Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,Other LT Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,ST Debt,Other ST Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/02/1989,4091.24292,247.612007,112.027,135.585007,510.402008,923.213013,163.285004,1844.511963,1389.026001,2233.822998,-844.796997,857.705017,857.705017,2246.731018,,361.497009,361.497009,272.661987,536.554993,536.554993,1170.713989,703.588013,414.201996,414.201996,1117.790009,2288.503998,0.729,184.539001,-622.622986,2240.093933,1802.738949,1802.738949,4091.242947,
11/01/1989,4406.611816,249.318001,72.611,176.707001,602.359985,1063.411987,180.449005,2095.539062,1431.258057,2301.13208,-869.874023,879.815002,879.815002,2311.073059,,412.049011,412.049011,414.783997,452.891968,452.891968,1279.724976,884.494995,425.325989,425.325989,1309.820984,2589.545959,0.659,217.664993,-661.315979,2260.057922,1817.065937,1817.065937,4406.611896,
01/31/1990,4479.333984,242.226997,57.111,185.115997,573.672974,1097.901978,160.235001,2074.037109,1501.907959,2408.436035,-906.528015,903.388977,903.388977,2405.296936,,351.324005,351.324005,476.036011,431.216034,431.216034,1258.57605,911.586975,450.955994,450.955994,1362.542969,2621.119019,0.659,222.138,-720.067017,2355.484985,1858.214969,1858.214969,4479.333988,
05/02/1990,4487.451172,241.081001,125.817001,115.264,640.788025,993.585022,138.246002,2013.699951,1567.751953,2495.53894,-927.786987,905.999023,905.999023,2473.750976,,460.044006,460.044006,381.378998,438.577973,438.577973,1280.000977,875.228027,445.322998,445.322998,1320.551025,2600.552002,0.599,223.977997,-777.547974,2439.869995,1886.899018,1886.899018,4487.45102,
08/01/1990,4818.326172,387.367996,215.617996,171.75,648.369995,974.862,189.231003,2199.831055,1666.126953,2643.146973,-977.02002,952.367981,952.367981,2618.494934,,405.850006,405.850006,642.565002,478.721954,478.721954,1527.136963,816.158997,447.462006,447.462006,1263.621002,2790.757965,0.565,225.261993,-771.638,2573.378967,2027.56796,2027.56796,4818.325925,
10/31/1990,5014.538086,296.389999,134.979004,161.410995,731.471985,1048.732056,197.311005,2273.905029,1742.355957,2765.093994,-1022.737976,998.276978,998.276978,2740.632935,,525.765015,525.765015,619.893005,423.030945,423.030945,1568.688965,818.143982,462.997009,462.997009,1281.140991,2849.829956,0.565,213.615997,-728.559021,2679.085999,2164.707975,2164.707975,5014.537931,
01/30/1991,5170.042969,330.600006,139.733002,190.867004,701.919983,1070.884033,207.751999,2311.156006,1806.868042,2868.590088,-1061.722046,1052.019043,1052.019043,2858.887085,,466.52301,466.52301,718.914978,404.149048,404.149048,1589.587036,819.953979,482.583008,482.583008,1302.536987,2892.124023,0.518,220.360992,-703.705994,2760.746033,2277.919032,2277.919032,5170.043055,
05/01/1991,4935.381836,313.964005,150.979004,162.985001,678.109009,967.859009,159.852997,2119.875,1722.740967,2764.469971,-1041.729004,1092.855957,1092.855957,2815.596924,,515.458984,515.458984,509.756989,404.493011,404.493011,1429.708984,716.937012,513.872986,513.872986,1230.809998,2660.518982,0.538,221.376007,-692.546997,2745.495972,2274.862982,2274.862982,4935.381964,
07/31/1991,5060.562012,427.348007,98.334,329.014008,616.383972,949.973999,187.899002,2181.60498,1668.010986,2632.50293,-964.492004,1210.946045,1210.946045,2878.957031,,427.010986,427.010986,799.018005,634.630066,634.630066,1860.659058,281.102997,480.197998,480.197998,761.300995,2621.960052,0.518,217.126007,-692.525024,2913.483032,2438.602015,2438.602015,5060.562067,
10/30/1991,6172.141113,513.451012,126.004997,387.446014,796.257019,1183.634033,188.255005,2681.596924,1830.901978,2854.436035,-1023.533997,1659.641968,1659.641968,3490.543945,,535.060974,535.060974,1860.81897,536.842957,536.842957,2932.7229,280.816986,536.593994,536.593994,817.41098,3750.133881,0.518,220.207993,-803.900024,3005.18103,2422.006998,2422.006998,6172.140879,
01/29/1992,6028.814941,364.524994,226.843994,137.681,785.231995,1134.024048,180.438004,2464.218994,1917.422974,2977.551025,-1060.128052,1647.172974,1647.172974,3564.595947,,457.329987,457.329987,1769.866943,527.046967,527.046967,2754.243896,284.402008,535.281982,535.281982,819.68399,3573.927887,0.494,223.791,-863.372986,3093.975037,2454.887051,2454.887051,6028.814938,
