Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/03/1994,22.613001,2.854,2.854,0.0,6.007,,,5.175,,,,,0.23,,,,14.266,7.948,13.367,-5.419,0.0,,0.399,,,,0.399,8.347,,5.927,5.927,,,,0.278,,,,1.637,,,1.637,7.842,1.156,,,,0.0,,,,,,0.0,1.156,8.998,0.0,17.326,,,0.0,,-3.711,13.615,0.0,13.615,22.613,
07/03/1994,24.52,1.594,1.594,0.0,7.46,,,7.204,,,,,0.41,,,,16.667999,7.442,,,0.0,,0.41,,,,0.41,7.852,,6.252,6.252,,,,0.284,,,,2.178,,,2.178,8.714,1.082,,,,0.575,,,,,,0.575,1.657,10.371,0.0,17.326,,,0.0,,-3.177,14.149,0.0,14.149,24.52,
10/02/1994,24.966999,2.229,2.229,0.0,7.272,,,7.278,,,,,0.565,,,,17.344,7.235,,,0.0,,0.388,,,,0.388,7.623,,5.115,5.115,,,,0.292,,,,2.679001,,,2.679001,8.086,1.007,,,,1.074,,,,,,1.074,2.081,10.167,0.0,17.326,,,0.0,,-2.526,14.8,0.0,14.8,24.967001,
01/01/1995,25.417,1.777,1.777,0.0,8.46,,,7.0,,,,,0.746,,,,17.983,6.951,,,0.0,,0.483,,,,0.483,7.434,,4.685,4.685,,,,0.297,,,,3.788001,,,3.788001,8.77,0.93,,,,0.172,,,,,,0.172,1.102,9.872,0.0,17.326,,,0.0,,-1.781,15.545,0.0,15.545,25.417001,
04/02/1995,24.591999,1.149,1.149,0.0,9.358,,,6.547,,,,,0.287,,,,17.341,6.773,14.396,-7.623,0.0,,0.478,,,,0.478,7.251,,4.937,4.937,,,,0.303,,,,1.537,,,1.537,6.777,0.853,,,,1.381,,,,,,1.381,2.234,9.011,0.0,17.327,,,0.0,,-1.746,15.581,0.0,15.581,24.592,
07/02/1995,23.556,0.559,0.559,0.0,7.799,,,8.017,,,,,0.384,,,,16.759001,6.422,,,0.0,,0.375,,,,0.375,6.797,,4.901,4.901,,,,0.308,,,,1.327,,,1.327,6.536,0.782,,,,1.381,,,,,,1.381,2.163,8.699,0.0,17.327,,,0.0,,-2.47,14.857,0.0,14.857,23.555999,
10/01/1995,24.212999,3.881,3.881,0.0,5.577,,,7.871,,,,,0.349,,,,17.677999,6.276,,,0.0,,0.259,,,,0.259,6.535,,5.195,5.195,,,,0.314,,,,1.551,,,1.551,7.06,0.701,,,,1.381,,,,,,1.381,2.082,9.142,0.0,17.327,,,0.0,,-2.256,15.071,0.0,15.071,24.213,
12/31/1995,25.316999,5.927,5.927,0.0,5.008,,,7.503,,,,,0.864,,,,19.302,5.855,,,0.0,,0.16,,,,0.16,6.015,,4.962,4.962,,,,0.307,,,,2.529,,,2.529,7.798,0.623,,,,1.381,,,,,,1.381,2.004,9.802,0.0,17.327,,,0.0,,-1.812,15.515,0.0,15.515,25.317,
03/31/1996,28.539,8.414,8.414,0.0,7.033,,,6.67,,,,,0.887,,,,23.004,5.52,14.123,-8.603,0.0,,0.015,,,,0.015,5.535,,6.177,6.177,,,,0.275,,,,3.218,,,3.218,9.67,0.576,,,,2.016,,,,,,2.016,2.592,12.262,0.0,17.357,,,0.0,,-1.08,16.277,0.0,16.277,28.539,
06/30/1996,28.479,9.536,9.536,0.0,4.555,,,7.736,,,,,0.934,,,,22.761,5.223,,,0.0,,0.495,,,,0.495,5.718,,5.597,5.597,,,,0.263,,,,3.162,,,3.162,9.022,0.519,,,,1.266,,,,,,1.266,1.785,10.807,0.0,17.785,,,0.0,,-0.113,17.672,0.0,17.672,28.479,
