Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,870.0,429.0,,,,428.0,,,,0.0,13.0,-413.0,142.0,75.0,67.0,271.0,,,,457.0,-274.0,33.0,71.0,53.0,117.0,183.0,-22.0,,,0.0,,48.0,75.0,-34.0,7.0,-26.0,161.0,-57.0,,104.0,0.0,,,104.0,0.0,104.0,-3.0,,101.0,101.0,,82.0,1.23,1.23,1.23,82.0,1.23,1.23,1.23,
06/30/1990,641.0,453.0,,,,175.0,,,,0.0,13.0,-298.0,207.0,66.0,141.0,91.0,,,,343.0,-246.0,39.0,52.0,40.0,115.0,97.0,-21.0,,,0.0,,79.0,74.0,-1.0,6.0,-58.0,76.0,-26.0,,50.0,0.0,,,50.0,0.0,50.0,-3.0,,47.0,47.0,,81.0,0.57,0.57,0.57,81.0,0.57,0.57,0.57,
09/30/1990,615.0,493.0,,,,107.0,,,,0.0,15.0,-252.0,212.0,86.0,126.0,40.0,,,,363.0,-246.0,41.0,50.0,40.0,115.0,117.0,-172.0,,,0.0,,78.0,71.0,-1.0,8.0,94.0,-55.0,21.0,,-34.0,0.0,,,-34.0,0.0,-34.0,-3.0,,-37.0,-37.0,,81.0,-0.45,-0.45,-0.45,81.0,-0.45,-0.45,-0.45,
12/31/1990,851.0,479.0,,,,354.0,,,,0.0,18.0,-440.0,223.0,80.0,143.0,217.0,,,,411.0,-291.0,41.0,67.0,47.0,136.0,120.0,-759.0,,,0.0,,83.0,73.0,-2.0,12.0,676.0,-639.0,36.0,,-603.0,0.0,,,-603.0,0.0,-603.0,-2.0,,-605.0,-605.0,,81.0,-7.48,-7.48,-7.48,81.0,-7.48,-7.48,-7.48,
03/31/1991,977.0,490.0,,,,472.0,,,,0.0,15.0,-535.0,227.0,69.0,158.0,308.0,,,,442.0,-303.0,43.0,73.0,55.0,132.0,139.0,-399.0,,,0.0,,88.0,72.0,-2.0,18.0,311.0,-260.0,56.0,,-204.0,0.0,,,-204.0,0.0,-204.0,-2.0,,-206.0,-206.0,,80.0,-2.56,-2.56,-2.56,80.0,-2.56,-2.56,-2.56,
06/30/1991,635.0,458.0,,,,163.0,,,,0.0,14.0,-281.0,203.0,88.0,115.0,78.0,,,,354.0,-268.0,39.0,62.0,41.0,126.0,86.0,-36.0,,,0.0,,75.0,68.0,-1.0,8.0,-39.0,50.0,-16.0,,34.0,0.0,,,34.0,0.0,34.0,-3.0,,31.0,31.0,,80.0,0.38,0.38,0.38,80.0,0.38,0.38,0.38,
09/30/1991,614.0,484.0,,,,116.0,,,,0.0,14.0,-263.0,216.0,79.0,137.0,47.0,,,,351.0,-263.0,40.0,63.0,39.0,121.0,88.0,-39.0,,,0.0,,78.0,69.0,-1.0,10.0,-39.0,49.0,-17.0,,32.0,0.0,,,32.0,0.0,32.0,-3.0,,29.0,29.0,,80.0,0.36,0.36,0.36,80.0,0.36,0.36,0.36,
12/31/1991,715.0,387.0,,,,312.0,,,,0.0,16.0,-441.0,217.0,72.0,145.0,224.0,,,,274.0,-317.0,50.0,85.0,45.0,137.0,-43.0,-142.0,,,0.0,,96.0,65.0,-1.0,32.0,46.0,-185.0,71.0,,-114.0,14.0,,,-128.0,0.0,-128.0,-2.0,,-130.0,-130.0,,80.0,-1.61,-1.43,-1.43,80.0,-1.61,-1.43,-1.43,
03/31/1992,967.0,479.0,,,,470.0,,,,0.0,18.0,-519.0,212.0,80.0,132.0,307.0,,,,448.0,-328.0,49.0,99.0,58.0,122.0,120.0,-41.0,,,0.0,,51.0,39.0,-1.0,13.0,-10.0,79.0,-25.0,,54.0,0.0,,,54.0,0.0,54.0,-3.0,,51.0,51.0,,80.0,0.64,0.64,0.64,80.0,0.64,0.64,0.64,
06/30/1992,664.0,455.0,,,,190.0,,,,0.0,19.0,-316.0,219.0,79.0,140.0,97.0,,,,348.0,-295.0,51.0,76.0,0.0,128.0,53.0,-29.0,,,0.0,,41.0,40.0,0.0,1.0,-12.0,24.0,-7.0,,17.0,0.0,,,17.0,0.0,17.0,-3.0,,14.0,14.0,,80.0,0.17,0.17,0.17,80.0,0.17,0.17,0.17,
