Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,290.872,100.256,100.256,0.0,137.992,52.624,0.0,52.624,51.135,-51.135,-33.874,33.874,33.874,,306.074,-23.165,0.0,282.909,-0.657,,,282.252,0.0,0.0,0.0,282.252,0.047,282.299,,0.0,282.299,245.75665,-36.54235,302.469516,0.93,0.93,0.812501,302.579254,0.93,0.93,0.80923,
06/30/2013,592.486,87.783,87.783,0.0,105.992,398.711,0.0,398.711,13.038,-13.038,-27.464,27.464,27.464,,3299.923,-29.004,0.0,3270.919,-0.611,,,3270.308,0.0,0.0,0.0,3270.308,2.123,3272.431,,0.0,3272.431,1453.30265,-1819.12835,45.000653,72.719634,72.719634,32.295146,46.575717,70.260454,70.260454,31.203012,
09/30/2013,171.652,70.949,70.949,0.0,54.322,46.381,0.0,46.381,154.29,-154.29,-25.047,25.047,25.047,,263.418,-31.817,0.0,231.601,-0.594,,,231.007,0.0,0.0,0.0,231.007,-0.032,230.975,,0.0,230.975,234.08525,3.11025,45.002463,5.13,5.13,5.20161,46.354875,4.98,4.98,5.047097,
12/31/2013,166.981,84.53,84.53,0.0,191.489,-109.038,0.0,-109.038,4.731,-4.731,-27.505,27.505,27.505,,106.909,-31.989,0.0,74.92,-6.407,,,68.513,0.0,0.0,0.0,68.513,0.05,68.563,,0.0,68.563,-8.5634,-77.1264,45.007557,1.52,1.52,-0.190266,46.038249,1.49,1.49,-0.190266,
03/31/2014,109.138,82.547,82.547,0.0,32.398,-5.807,0.0,-5.807,140.011,-140.011,-25.786,25.786,25.786,,191.626,-32.328,0.0,159.298,-3.249,,,156.049,0.0,0.0,0.0,156.049,-0.107,155.942,,0.0,155.942,182.32225,26.38025,45.042823,3.46,3.46,4.047754,47.045742,3.31,3.31,3.870736,
06/30/2014,57.333,65.013,65.013,0.0,29.513,-37.193,0.0,-37.193,-175.317,175.317,-24.033,24.033,24.033,,-178.459,-31.953,0.0,-210.412,2.179,,,-208.233,0.0,0.0,0.0,-208.233,0.328,-207.905,,0.0,-207.905,-172.10495,35.80005,45.091983,-4.61,-4.61,-3.816753,45.091983,-4.61,-4.61,-3.816753,
09/30/2014,155.339,64.831,64.831,0.0,74.051,16.457,0.0,16.457,28.698,-28.698,-25.513,25.513,25.513,,116.614,-31.841,0.0,84.773,-2.344,,,82.429,0.0,0.0,0.0,82.429,0.021,82.45,,0.0,82.45,84.55405,2.10405,45.115882,1.83,1.83,1.874153,46.624689,1.77,1.77,1.815127,
12/31/2014,6.86,33.969,33.969,0.0,35.551,-62.66,0.0,-62.66,552.182,-552.182,-26.142,26.142,26.142,,490.948,-31.354,0.0,459.594,-6.143,,,453.451,0.0,0.0,0.0,453.451,0.133,453.584,,0.0,453.584,518.7361,65.1521,45.121414,10.05,10.05,11.49645,46.612898,9.73,9.73,11.127727,
03/31/2015,155.491,65.718,65.718,0.0,76.508,13.265,0.0,13.265,150.952,-150.952,-24.523,24.523,24.523,,244.488,-27.908,0.0,216.58,-1.709,,,214.871,0.0,0.0,0.0,214.871,-0.16,214.711,,0.0,214.711,207.8106,-6.9004,45.156202,4.75,4.75,4.602039,46.948999,4.57,4.57,4.423023,
06/30/2015,230.752,60.879,60.879,0.0,119.672,50.201,0.0,50.201,147.477,-147.477,-25.873,25.873,25.873,,314.268,-28.173,0.0,286.095,-3.917,,,282.178,0.0,0.0,0.0,282.178,0.517,282.695,0.0,0.0,282.695,247.80755,-34.88745,45.190089,6.26,6.26,5.48367,46.702772,6.05,6.05,5.30299,
