Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,,,1.252226,,
12/31/1980,,,,,,,,,,,,1.131043,,
03/31/1981,,,,,,,,,,,,1.427269,,
06/30/1981,,,,,,,,,,,,1.400339,,
09/30/1981,,,,,,,,,,,,1.131043,,
12/31/1981,,,,,,,,,,,,1.292621,,
03/31/1982,,,,,,,,,,,,1.37341,,
06/30/1982,,,,,,,,,,,,1.427269,,
09/30/1982,,,,,,,,,,,,1.561917,,
12/31/1982,,,,,,,,,,,,1.885072,,
03/31/1983,,,,,,,,,,,,2.342875,,
06/30/1983,,,,,,,,,,,,2.396735,,
09/30/1983,,,,,,,,,,,,2.666031,,
12/31/1983,,,,,,,,,,,,2.989186,,
03/31/1984,,,,,,,,,,,,2.962256,,
06/30/1984,,,,,,,,,,,,3.271947,,
09/30/1984,,,,,,,,,,,,3.39313,,
12/31/1984,,,,,,,,,,,,3.850933,,
03/31/1985,,,,,,,,,,,,4.510708,,
06/30/1985,,,,,,,,,,,,4.793469,,
09/30/1985,,,,,,,,,,,,4.860793,,
12/31/1985,,,,,,,,,,,,5.062765,,
03/31/1986,,,,,,,,,,,,6.543893,,
06/30/1986,,,,,,,,,,,,7.863444,,
09/30/1986,,,,,,,,,,,,6.78626,,
12/31/1986,,,,,,,,,,,,7.621077,,
03/31/1987,,,,,,,,,,,,8.577078,,
06/30/1987,,,,,,,,,,,,9.209924,,
09/30/1987,,,,,,,,,,,,8.711726,,
12/31/1987,,,,,,,,,,,,6.880513,,
03/31/1988,,,,,,,,,,,,7.621077,,
06/30/1988,,,,,,,,,,,,8.213528,,
09/30/1988,,,,,,,,,,,,8.630937,,
12/31/1988,,,,,,,,,,,,8.819444,,
03/31/1989,,,,,,,,,,,,8.859839,,
06/30/1989,,,,,,,,,,,,9.869699,,
09/30/1989,,,,,,,,,,,,9.573473,,
12/31/1989,,,,,,,,,,,,8.940628,,
03/31/1990,,,,,,,,,,,,8.832909,,
06/30/1990,,,,,,,,,,,,9.896629,,
09/30/1990,,,,,,,,,,,,10.677587,,
12/31/1990,,,,,,,,,,,,11.041137,,
03/31/1991,,,,,,,,,,,,12.549194,,
06/30/1991,,,,,,,,,,,,10.556404,,
09/30/1991,,,,,,,,,,,,10.421756,,
12/31/1991,,,,,,,,,,,,12.14525,,
03/31/1992,,,,,,,,,,,,10.906489,,
06/30/1992,,,,,,,,,,,,10.017812,,
09/30/1992,,,,,,,,,,,,9.47922,,
12/31/1992,,,,,,,,,,,,10.260178,,
03/31/1993,,,,,,,,,,,,10.906489,,
06/30/1993,,7222.228706,7222.228706,7222.228706,,,,,,,,9.963953,,
09/30/1993,,6607.004522,7274.098206,5964.393351,9.094221,,,,,1.073253,,8.402036,6348.718018,
12/31/1993,,6623.450963,6750.005285,6348.016666,8.003846,,,,,1.073618,,8.563613,6386.416214,
03/31/1994,,6725.864015,7002.830551,6392.051443,11.338428,,,,,1.086519,,9.802375,6561.920319,
06/30/1994,,5568.89066,5917.00684,5356.50838,8.305896,,0.597299,,,0.942484,,8.493318,5563.576542,
09/30/1994,19.702381,5940.221732,6276.276037,5578.328541,12.66165,,0.722729,9.723169,,1.11448,8.484636,10.076302,6418.627329,
12/31/1994,25.070225,6486.564412,6847.949088,6163.53395,10.06653,,0.746178,10.939851,,1.073825,8.948736,10.867794,6471.725718,
03/31/1995,30.608974,6765.162556,6999.093466,6555.5224,11.763504,,0.770719,10.946634,,1.104805,9.99248,11.628844,6928.785959,
06/30/1995,29.651163,7027.583272,7854.283936,6700.309634,10.03591,,0.749778,9.805596,,1.12011,10.896344,12.420336,7737.493879,
09/30/1995,20.893502,8141.387682,8749.991182,7658.938939,11.912354,,0.822336,12.449784,,1.177992,11.247618,14.094646,8448.08569,
12/31/1995,20.45082,9067.685561,9577.670174,8664.179152,10.330814,,0.931649,12.782903,,1.300394,11.586985,15.190558,8867.519439,
03/31/1996,21.297771,9344.50058,9739.484564,8766.80423,11.304795,,1.047793,13.704713,,1.431964,12.274437,16.28647,9306.478182,
06/30/1996,19.373112,8997.843036,9623.073796,8523.790652,10.290632,,1.06699,15.011613,,1.487633,11.95343,15.616746,9101.341623,
09/30/1996,19.187675,9363.649579,9833.036578,8761.218216,10.11295,,1.146243,15.010424,218.521226,1.569339,12.154238,16.682216,9544.72269,
12/31/1996,21.837798,10245.781608,10839.362086,9528.4907,9.033671,,1.310001,14.767969,111.562351,1.745125,13.563365,17.869454,9952.796732,
03/31/1997,23.390719,10954.274989,11658.765698,10096.655914,9.94819,,1.496015,15.672321,102.306024,1.964373,14.639233,19.02625,10449.484635,
06/30/1997,25.603583,11229.67372,11620.659737,10539.491197,9.745703,,1.71577,15.328645,65.160773,2.242051,16.0682,20.015615,10947.264705,
