Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,435,110,1.0,546,,75.0,,75,,0.689382,0.174326,0.001585,0.865293,0.3276,0.082841,0.000753,0.411194,
06/30/2008,429,109,,538,,75.0,,75,,0.672319,0.170822,,0.843141,0.313002,0.079527,,0.392529,
09/30/2008,391,138,,529,,101.0,,101,,0.606578,0.214086,,0.820664,0.285969,0.10093,,0.3869,
12/31/2008,295,90,1.0,386,,104.0,,104,10.0,0.645938,0.197066,0.00219,0.845194,0.258638,0.078907,0.000877,0.338421,
03/31/2009,260,70,19.0,349,0.0,103.0,0.0,103,,0.713737,0.19216,0.052158,0.958054,0.367081,0.09883,0.026825,0.492736,
06/30/2009,237,58,0.0,295,0.0,97.0,0.0,97,,0.648516,0.158708,0.0,0.807224,0.334179,0.081782,0.0,0.415962,
09/30/2009,261,35,29.0,325,0.0,91.0,0.0,91,,0.715304,0.095922,0.079478,0.890704,0.366234,0.049112,0.040693,0.456038,
12/31/2009,259,34,32.0,325,0.0,91.0,12.0,103,,0.775519,0.101806,0.095817,0.973141,0.392074,0.051469,0.048442,0.491984,
03/31/2010,264,59,22.0,345,0.0,32.0,31.0,63,-1.0,0.792436,0.177097,0.066036,1.03557,0.3996,0.089305,0.0333,0.522205,
06/30/2010,246,87,17.0,350,0.0,33.0,61.0,94,,0.742956,0.262753,0.051342,1.057051,0.378287,0.133784,0.026142,0.538213,
09/30/2010,252,70,20.0,342,0.0,17.0,61.0,78,1.0,0.763313,0.212031,0.06058,1.035924,0.386385,0.107329,0.030665,0.524379,
12/31/2010,277,62,19.0,358,0.0,20.0,28.0,48,,0.840795,0.188192,0.057672,1.08666,0.416391,0.093199,0.028561,0.538152,
03/31/2011,295,45,22.0,362,0.0,47.0,22.0,69,7.0,0.914984,0.139574,0.068236,1.122794,0.448724,0.068449,0.033464,0.550637,
06/30/2011,290,55,22.0,367,0.0,60.0,15.0,75,13.0,0.914451,0.17343,0.069372,1.157254,0.435252,0.082548,0.033019,0.550819,
09/30/2011,270,67,12.0,349,0.0,30.0,16.0,46,3.0,0.866412,0.214999,0.038507,1.119918,0.403648,0.100164,0.01794,0.521752,
12/31/2011,283,105,20.0,408,0.0,0.0,17.0,17,,0.944782,0.350537,0.066769,1.362089,0.417398,0.154865,0.029498,0.601761,
03/31/2012,312,105,17.0,434,0.0,25.0,17.0,42,-1.0,1.047648,0.352574,0.057083,1.457305,0.467458,0.157318,0.02547,0.650246,
06/30/2012,273,133,18.0,424,0.0,0.0,16.0,16,,0.927215,0.45172,0.061135,1.440071,0.413919,0.201653,0.027291,0.642863,
09/30/2012,283,112,16.0,411,0.0,22.0,10.0,32,8.0,0.942736,0.373097,0.0533,1.369133,0.419352,0.165963,0.023709,0.609024,
12/31/2012,280,113,13.0,406,0.0,31.0,6.0,37,,0.939692,0.379233,0.043629,1.362553,0.411226,0.165959,0.019093,0.596278,
03/31/2013,288,98,11.0,397,0.0,19.0,5.0,24,6.0,0.960256,0.326754,0.036676,1.323686,0.430191,0.146384,0.016431,0.593006,
06/30/2013,279,60,9.0,348,,7.0,20.0,27,,0.936776,0.201457,0.030219,1.168452,0.420675,0.090468,0.01357,0.524713,
09/30/2013,273,76,10.0,359,,6.0,6.0,12,12.0,0.912128,0.253926,0.033411,1.199465,0.410817,0.114367,0.015048,0.540231,
12/31/2013,316,55,8.0,379,0.0,17.0,7.0,24,,1.056715,0.183922,0.026752,1.267389,0.464713,0.080884,0.011765,0.557361,
03/31/2014,311,68,0.0,379,0.0,11.0,6.0,17,,1.035148,0.226335,0.0,1.261483,0.456018,0.099708,0.0,0.555727,
06/30/2014,264,60,219.0,543,0.0,23.0,6.0,29,,1.01903,0.231598,0.845331,2.095959,0.409366,0.093038,0.339588,0.841991,
09/30/2014,258,82,159.0,499,0.0,0.0,6.0,6,,1.022592,0.32501,0.630202,1.977804,0.408907,0.129963,0.252001,0.790871,
12/31/2014,251,126,247.0,624,0.0,3.0,6.0,9,,1.025494,0.51479,1.009152,2.549436,0.396781,0.199181,0.390458,0.986421,
03/31/2015,256,190,190.0,636,0.0,0.0,6.0,6,,1.057939,0.785189,0.785189,2.628316,0.411609,0.305491,0.305491,1.02259,
06/30/2015,210,156,139.0,505,0.0,0.0,7.0,7,,0.874089,0.649324,0.578564,2.101977,0.3311,0.24596,0.219156,0.796216,
09/30/2015,193,171,133.0,497,0.0,5.0,7.0,12,,0.816137,0.723106,0.562415,2.101658,0.307943,0.27284,0.212209,0.792992,
12/31/2015,194,149,180.0,523,0.0,2.0,7.0,9,0.0,0.821373,0.630848,0.762098,2.214319,0.303847,0.233367,0.28192,0.819133,
03/31/2016,185,138,161.0,484,0.0,0.0,2.0,2,,0.774934,0.578059,0.674402,2.027395,0.292472,0.218168,0.254529,0.765169,
06/30/2016,177,119,118.0,414,0.0,7.0,0.0,7,,0.740028,0.497533,0.493352,1.730914,0.276015,0.185569,0.18401,0.645594,
09/30/2016,179,149,136.0,464,0.0,32.0,0.0,32,,0.736383,0.612967,0.559487,1.908837,0.272185,0.226568,0.2068,0.705553,
12/31/2016,180,190,161.0,531,0.0,9.0,0.0,9,,0.739615,0.780704,0.661544,2.181863,0.272868,0.288027,0.244065,0.80496,
03/31/2017,186,172,214.0,572,0.0,13.0,1.0,14,,0.731506,0.676446,0.841625,2.249577,0.283325,0.261999,0.325976,0.8713,
06/30/2017,174,68,305.0,547,0.0,,,6,,0.669514,0.261649,1.173573,2.104737,0.263253,0.102881,0.46145,0.827584,
09/30/2017,182,42,310.0,534,0.0,115.0,1.0,116,,0.667449,0.154027,1.136864,1.958339,0.266304,0.061455,0.453594,0.781353,
12/31/2017,186,35,369.0,590,0.0,50.0,1.0,51,,0.655484,0.123344,1.300395,2.079222,0.268751,0.050571,0.533168,0.85249,
03/31/2018,182,31,325.0,538,0.0,135.0,40.0,175,,0.610615,0.104006,1.090384,1.805006,0.26378,0.044929,0.471035,0.779744,
