Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/01/1989,16941,1552,1552,0.0,2401,,,2399,,,,,628,,,,,6980,6886,10855.0,-3969.0,0.0,,3075,,,,,3075,9961,,3891,3891,,,,1073,,,,,,0,,,,0,4964,3531,,,,,1754,,,,1754,5285,10249,1000.0,727.0,,,0.0,,4965,6692,0.0,6692,16941,
12/31/1989,17996,1589,1589,0.0,2608,,,2638,,,,,760,,,,,7595,7190,11398.0,-4208.0,0.0,,3211,,,,,3211,10401,,4284,4284,,,,1033,,,,,,0,,,,0,5317,3664,,,,,1848,,,,1848,5512,10829,1000.0,792.0,,,0.0,,5375,7167,0.0,7167,17996,
03/31/1990,18233,1372,1372,0.0,2609,,,2800,,,,,791,,,,,7572,7330,11704.0,-4374.0,0.0,,3331,,,,,3331,10661,,4500,4500,,,,1029,,,,,,0,,,,0,5529,3491,,,,,1837,,,,1837,5328,10857,1000.0,817.0,,,0.0,,5559,7376,0.0,7376,18233,
06/30/1990,18487,1407,1407,0.0,2647,,,2865,,,,,725,,,,,7644,7436,11789.0,-4353.0,0.0,,3407,,,,,3407,10843,,2035,2035,,,,897,,,,,,2485,,,,2485,5417,3588,,,,,1964,,,,1964,5552,10969,1000.0,856.0,,,-177.0,,5839,7518,0.0,7518,18487,
09/30/1990,19967,1352,1352,0.0,3107,,,3158,,,,,813,,,,,8430,7760,12410.0,-4650.0,0.0,,3777,,,,,3777,11537,,4736,4736,,,,1671,,,,,,0,,,,0,6407,3532,,,,,2011,,,,2011,5543,11950,998.0,877.0,,,,,6142,8017,0.0,8017,19967,
12/31/1990,20607,1531,1531,0.0,3021,,,3363,,,,,895,,,,,8810,8043,12921.0,-4878.0,0.0,,3754,,,,,3754,11797,,4526,4526,,,,1275,,,,,,0,,,,0,5801,4403,,,,,2053,,,,2053,6456,12257,1997.0,904.0,,,,,5449,8350,0.0,8350,20607,
03/31/1991,20150,1285,1285,0.0,2828,,,3399,,,,,869,,,,,8381,8062,12908.0,-4846.0,0.0,,3707,,,,,3707,11769,,4528,4528,,,,1232,,,,,,0,,,,0,5760,4142,,,,,1993,,,,1993,6135,11895,1996.0,930.0,,,,,5329,8255,0.0,8255,20150,
06/30/1991,20468,1384,1384,0.0,3024,,,3190,,,,,837,,,,,8435,8273,13034.0,-4761.0,0.0,,3760,,,,,3760,12033,,2045,2045,,,,1969,,,,,,2719,,,,2719,6733,4111,,,,,1888,,,,1888,5999,12732,1995.0,947.0,,,,,4794,7736,0.0,7736,20468,
09/30/1991,22785,1339,1339,0.0,3499,,,3315,,,,,1078,,,,,9231,8694,13826.0,-5132.0,0.0,,4860,,,,,4860,13554,,5112,5112,,,,3014,,,,,,0,,,,0,8126,4522,,,,,1940,,,,1940,6462,14588,1992.0,962.0,,,,,5243,8197,0.0,8197,22785,
12/31/1991,23733,1410,1410,0.0,3462,,,3606,,,,,1170,,,,,9648,9085,14466.0,-5381.0,0.0,,5000,,,,,5000,14085,,5052,5052,,,,3486,,,,,,0,,,,0,8538,4546,,,,,2012,,,,2012,6558,15096,1991.0,977.0,,,,,5669,8637,0.0,8637,23733,
