Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2009,28175,764,746,18.0,3273,3273,,2755,,,,,1284,,,,,1284.0,8076,15351,,,1233,1233.0,,3515,2257,,2257.0,934,324,20099,,3652,2264,,,1388.0,15202,5995.0,,,,9207.0,269,,,2706.0,269,19123,302,302.0,,,,16131,,,13425,16433.0,35556.0,,,,,,,-7381.0,-7381,,-7381,28175.0,
09/30/2009,27643,640,619,21.0,3374,3374,,2984,,,,,979,,,,,,7977,15299,,,1104,,,3263,1959,,,943,361,19666,,1780,1780,,,,6413,,,,,,1627,,,,1627,9820,307,,,,,25541,,,25541,,,,,,,0.0,,,0,,0,,
12/31/2009,27761,569,558,11.0,3092,3092,,3277,1040.0,164.0,2073.0,0.0,1314,,,115.0,,1314.0,8252,15152,18991.0,-3839.0,1197,1197.0,,3160,1861,0.0,1861.0,922,262,19509,,2995,1627,,,1368.0,6679,6182.0,0.0,0.0,,497.0,693,,0.0,2081.0,501,10367,305,305.0,0.0,0.0,,25936,,595.0,23260,26241.0,36608.0,,623.0,60.0,563.0,0.0,-9313.0,-286.0,-8976,129.0,-8847,27761.0,
03/31/2010,27585,539,537,2.0,3413,3413,,3590,1177.0,221.0,2192.0,0.0,1175,,,,,1175.0,8717,14687,18799.0,-4112.0,1215,1215.0,,2966,1748,,1748.0,880,338,18868,,2914,1694,,,1220.0,7162,6675.0,,,,487.0,682,,,2012.0,519,10758,304,304.0,,,,25387,,,23375,25691.0,36449.0,,623.0,60.0,563.0,0.0,-9303.0,-295.0,-8975,111.0,-8864,27585.0,
06/30/2010,24289,3753,3753,0.0,3533,3533,0.0,4372,,,,,1029,,,,,1029.0,12687,6839,,,1584,1584.0,,3179,2488,1061.0,1427.0,434,257,11602,,3725,2526,,,1199.0,565,557.0,,,,8.0,444,,,867.0,444,4734,6745,6745.0,,,,2880,,,2013,9625.0,14359.0,,,,,0.0,,9930.0,9930,,9930,24289.0,
09/30/2010,26030,4832,4832,0.0,3568,3568,,4412,1326.0,270.0,2816.0,0.0,1131,,,,,1131.0,13943,7216,7478.0,-262.0,1636,1636.0,,3235,2516,1105.0,1411.0,447,272,12087,,3345,1832,,,1513.0,526,518.0,,,,8.0,1176,,160.0,1155.0,730,5047,6799,6799.0,,,,3241,,,1926,10040.0,15087.0,,9859.0,30.0,9829.0,,816.0,207.0,10882,61.0,10943,26030.0,
12/31/2010,25494,4222,4222,,3482,3482,,4824,1467.0,230.0,3127.0,0.0,1251,,0.0,41.0,,1251.0,13779,7190,7607.0,-417.0,1654,1654.0,,2871,2147,787.0,1360.0,437,246,11715,,3456,1968,,,1488.0,46,42.0,0.0,0.0,,4.0,1254,0.0,0.0,923.0,793,4756,6036,6036.0,0.0,0.0,,3106,0.0,624.0,1559,9142.0,13898.0,0.0,9867.0,30.0,9837.0,,1587.0,81.0,11535,61.0,11596,25494.0,
03/31/2011,27948,4383,4383,0.0,4430,4430,,5726,1985.0,376.0,3365.0,0.0,1434,,,,,1434.0,15973,7440,8034.0,-594.0,524,510.0,14.0,4011,2151,807.0,1344.0,1586,274,11975,,4685,3200,,,1485.0,304,51.0,,,,253.0,1371,,,1027.0,899,6360,5805,5805.0,,,,3070,,,2043,8875.0,15235.0,,9962.0,30.0,9932.0,-1.0,2250.0,460.0,12671,42.0,12713,27948.0,
06/30/2011,28475,4687,4687,0.0,4605,4605,,5577,1757.0,273.0,3547.0,0.0,1644,,,,,1644.0,16513,7569,8343.0,-774.0,1736,1717.0,19.0,2657,1931,621.0,1310.0,436,290,11962,,4601,2988,,,1613.0,52,50.0,,,,2.0,1326,,,947.0,1011,5979,5813,5813.0,,,,3057,,,2110,8870.0,14849.0,,10012.0,30.0,9982.0,-16.0,2997.0,586.0,13579,47.0,13626,28475.0,
09/30/2011,28267,5609,5609,0.0,3786,3786,0.0,5682,1678.0,239.0,3765.0,0.0,1641,,,,,1641.0,16718,7363,8293.0,-930.0,1665,1661.0,4.0,2521,1835,598.0,1237.0,422,264,11549,,3945,2440,,,1505.0,51,49.0,,,,2.0,1182,,,1204.0,867,5178,5782,5782.0,,,,3225,,,2021,9007.0,14185.0,0.0,10296.0,31.0,10265.0,-128.0,3778.0,79.0,14025,57.0,14082,28267.0,
