Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1997,9.489,0.779,0.779,0.0,2.138,,,0.279,,,,,0.546,,,,,,3.742,0.805,1.238,-0.433,0.0,,4.942,,,,,4.942,5.747,,0.881,0.881,,,,0.651,,,,,,3.245,,,3.245,4.777,1.595,,,,,0.0,,,,,,0.0,1.595,6.372,0.25,3.987,,,0.0,,-1.12,3.117,0.0,3.117,9.489,
04/30/1997,15.132,6.151,6.151,0.0,1.814,,,0.239,,,,,0.792,,,,,,8.996,0.744,,,0.0,,5.392,,,,,5.392,6.136,,0.796,0.796,,,,0.702,,,,,,3.148,,,3.148,4.646,1.619,,,,,0.0,,,,,,0.0,1.619,6.265,0.0,10.765,,,0.0,,-1.898,8.867,0.0,8.867,15.132,
07/31/1997,20.914,3.769,3.769,0.0,3.038,,,0.456,,,,,1.609,,,,,,8.872,1.305,,,0.0,,10.737,,,,,10.737,12.042,,2.577,2.577,,,,1.726,,,,,,2.899,,,2.899,7.202,2.239,,,,,0.0,,,,,,0.0,2.239,9.441,0.0,14.758,,,0.0,,-3.285,11.473,0.0,11.473,20.914001,
10/31/1997,25.09,1.883,1.883,0.0,4.667,,,1.15,,,,,5.199,,,,,,12.898,1.208,1.948,-0.74,0.0,,10.984,,,,,10.984,12.192,,5.273,5.273,,,,5.625,,,,,,3.443,,,3.443,14.341,0.78,,,,,0.087,,,,,,0.087,0.867,15.208,0.0,15.68,,,0.0,,-5.798,9.882,0.0,9.882,25.09,
01/31/1998,30.648001,1.087,1.087,0.0,7.227,,,6.067,,,,,3.738,,,,,,18.118999,1.226,2.075,-0.849,0.0,,11.303,,,,,11.303,12.529,,5.254,5.254,,,,8.197,,,,,,3.71,,,3.71,17.160999,0.71,,,,,0.0,,,,,,0.0,0.71,17.870999,0.0,17.594,,,0.0,,-4.817,12.777,0.0,12.777,30.647999,
04/30/1998,47.460999,0.439,0.439,0.0,13.031,,,7.387,,,,,14.242,,,,,,35.098999,1.563,2.648,-1.085,0.0,,10.799,10.799,,,,0.0,12.362,,5.863,5.863,,,,5.548,,,,,,9.238,,,9.238,20.649,0.509,,,,,0.0,,,,,,0.0,0.509,21.158,0.018,30.093,,,0.0,,-3.808,26.303,0.0,26.303,47.461,
07/31/1998,49.801998,0.197,0.197,0.0,12.773,,,5.342,,,,,19.836,,,,,,38.147999,1.554,2.75,-1.196,0.0,,10.1,10.07,,,,0.03,11.654,,5.547,5.547,,,,6.205,,,,,,5.743001,,,5.743001,17.495001,0.257,,,,,0.025,,,,,,0.025,0.282,17.777001,0.018,35.650002,,,0.0,,-3.643,32.025002,0.0,32.025002,49.802003,
10/31/1998,109.385002,2.763,2.763,0.0,49.139,,,26.093,0.166,0.0,25.926001,0.0,17.306999,,,,,,95.302002,1.98,3.724,-1.744,0.0,,12.103,10.682,,,,1.421,14.083,,33.532001,33.532001,,,,30.669001,,,,,,9.303995,,,9.303995,73.504997,0.314,,,,,0.0,,,,,,0.0,0.314,73.818997,0.0,33.727001,,,0.0,,1.839,35.566001,0.0,35.566001,109.384998,
01/31/1999,107.640999,4.761,4.761,0.0,47.493,,,23.073999,,,,,18.681,,,,,,94.009003,1.967,3.749,-1.782,0.0,,11.665,11.665,,,,0.0,13.632,,22.436001,22.436001,,,,31.914,31.834,0.08,0.08,,,13.678999,,,13.678999,68.028999,0.146,0.082,0.064,0.064,,0.0,,,,,,0.0,0.146,68.174999,0.0,34.976002,,,0.0,,4.49,39.466002,0.0,39.466002,107.641001,
04/30/1999,118.92219,1.447145,1.447145,,47.38117,47.38117,,24.067656,,,,,24.96065,,,,,,97.856621,3.043923,,,1.332,,16.689646,15.105304,,,,1.584342,21.065569,,22.171619,22.171619,,,,35.29607,35.212984,0.083086,0.083086,,,12.798546,,,12.798546,70.266235,0.042104,0.0,0.042104,0.042104,,,,,,,,,0.042104,70.308339,,42.579989,,,,6.52553,-0.491668,48.613851,,48.613851,118.92219,
