Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,345.0,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,95.0,,,95.0,95.0,,,,,,,,,,
06/30/2010,431.0,,,,,,,,,,,,,218.0,,,,,,,,,,,,,,,129.0,,,129.0,129.0,,,,,,,,,,
09/30/2010,467.0,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,,131.0,,,131.0,131.0,,,,,,,,,,
12/31/2010,731.0,,,,,,,,,,,,,437.0,,,,,,,,,,,,,,,251.0,,,251.0,251.0,,,,,,,,,,
03/31/2011,731.0,637.0,94.0,-167.0,167.0,564.0,0.0,-176.0,119.0,68.0,51.0,57.0,0.0,388.0,10.0,,7.0,-17.0,398.0,-165.0,,,233.0,0.0,0.0,0.0,233.0,-80.0,153.0,0.0,0.0,153.0,153.0,0.0,1240.0,0.12,0.12,0.12,1390.909091,0.11,0.11,0.11,
06/30/2011,895.0,895.0,,-210.0,210.0,685.0,0.0,-278.0,179.0,96.0,83.0,99.0,0.0,407.0,-8.0,,9.0,-1.0,399.0,-159.0,,,240.0,0.0,0.0,0.0,240.0,-81.0,159.0,0.0,0.0,159.0,159.0,0.0,1292.0,0.12,0.12,0.12,1510.0,0.11,0.11,0.11,
09/30/2011,954.0,954.0,,-236.0,236.0,718.0,0.0,-304.0,196.0,114.0,82.0,108.0,0.0,414.0,-35.0,,10.0,25.0,379.0,-152.0,,,227.0,0.0,0.0,0.0,227.0,-77.0,150.0,0.0,0.0,150.0,150.0,0.0,1316.0,0.11,0.11,0.11,1520.0,0.1,0.1,0.1,
12/31/2011,1131.0,943.0,188.0,-247.0,247.0,884.0,0.0,-336.0,212.0,120.0,92.0,124.0,0.0,548.0,-28.0,,16.0,12.0,520.0,-218.0,,,302.0,0.0,0.0,0.0,302.0,-97.0,205.0,0.0,0.0,205.0,205.0,0.0,1325.0,0.15,0.15,0.15,1519.0,0.14,0.14,0.14,
03/31/2012,1058.0,872.0,186.0,-277.0,277.0,781.0,0.0,-400.0,247.0,143.0,104.0,153.0,0.0,381.0,1.0,,13.0,-14.0,382.0,-177.0,,,205.0,0.0,0.0,0.0,205.0,-68.0,137.0,0.0,0.0,137.0,137.0,0.0,1347.0,0.1,0.1,0.1,1527.0,0.09,0.09,0.09,
06/30/2012,1184.0,992.0,192.0,-367.0,367.0,817.0,0.0,-1560.0,855.0,392.0,463.0,705.0,0.0,-743.0,-22.0,,10.0,12.0,-765.0,608.0,,,-157.0,0.0,0.0,0.0,-157.0,0.0,-157.0,0.0,0.0,-157.0,-157.0,0.0,1879.0,-0.08,-0.08,-0.08,1879.0,-0.08,-0.08,-0.08,
