Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1994,6.334,6.334,6.334,,0.954531,0.550205,0.744869,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.479792,,0.42,0.42,0.478371,15.375118,,
06/30/1994,6.337,6.335,6.335,,1.120126,0.656985,0.86914,0.22,0.22,0.22,0.22,0.22,0.22,0.375,0.628098,,0.44,0.44,0.701752,15.22487,,
09/30/1994,6.34,6.245,6.245,,1.21249,0.734187,0.947158,0.2,0.2,0.2,0.2,0.2,0.2,0.375,0.521217,,0.42,0.42,0.78265,15.047949,,
12/31/1994,6.455,6.419,6.419,,1.224178,0.695747,0.824739,0.16,0.16,0.16,0.16,0.16,0.16,0.395,0.192086,,0.56,0.56,0.443222,14.874052,,
03/31/1995,6.494,6.385,6.385,,1.246515,0.773688,0.935944,0.21,0.21,0.21,0.21,0.21,0.21,0.4002,0.602193,,0.45,0.45,0.751617,14.71389,,
06/30/1995,6.611,6.496,6.496,,1.262469,0.794027,0.951509,0.2,0.2,0.2,0.2,0.2,0.2,0.395,0.627155,,0.46,0.46,0.667826,14.56406,,
09/30/1995,6.611,6.611,6.611,,1.314022,0.789139,0.989714,0.18,0.18,0.18,0.18,0.18,0.18,0.395,0.406746,,0.49,0.49,0.784601,14.363787,,
12/31/1995,9.229,6.63,6.63,,1.446154,0.836048,1.06365,0.16,0.16,0.16,0.16,0.16,0.16,0.395,0.798793,,0.5,0.5,0.368621,15.721097,,
03/31/1996,9.344,9.766,9.766,,1.086525,0.688409,0.81794,0.26,0.26,0.26,0.26,0.26,0.26,0.405,0.590621,0.071063,0.48,0.48,0.577162,15.586365,,
06/30/1996,9.444,9.85,9.85,,1.127817,0.712893,0.848731,0.26,0.26,0.26,0.26,0.26,0.26,0.405,0.253503,-0.428934,0.5,0.5,0.653007,15.484752,,
09/30/1996,10.383,10.803,10.803,,1.129501,0.736184,0.855966,0.28,0.28,0.28,0.28,0.28,0.28,0.405,0.556327,-3.127002,0.51,0.51,1.448522,15.558219,,
12/31/1996,13.115,10.945,10.945,,1.244495,0.706441,0.902969,0.16,0.16,0.16,0.16,0.16,0.16,0.405,0.157972,-4.533394,0.52,0.52,0.632329,15.762563,,
03/31/1997,14.823,16.237,15.217,,1.17671,0.747979,0.893934,0.31,0.31,0.31,0.3,0.3,0.3,0.42,0.93297,-1.178156,0.45,0.42,0.986912,15.606827,,
06/30/1997,20.266527,19.658001,15.551,,1.601505,1.069127,1.26172,0.3,0.3,0.3,0.3,0.3,0.3,0.42,0.690309,-3.812938,0.46,0.44,0.661781,17.715269,,
09/30/1997,25.750696,26.549999,25.424,,1.064585,0.711611,0.811713,0.35,0.35,0.35,0.33,0.33,0.33,0.42,0.515261,-0.215151,0.51,0.49,0.544878,19.341496,,
12/31/1997,26.492001,28.399,26.121,,1.106772,0.758738,0.843076,0.38,0.38,0.38,0.32,0.32,0.32,0.42,0.191876,-2.507944,0.54,0.49,0.626076,19.388002,,
03/31/1998,27.364466,29.063,27.226999,,1.139274,0.759577,0.885665,0.72,0.72,0.72,0.693,0.693,0.693,0.44,0.592206,-2.085136,0.557,0.551,0.610536,19.741916,,
