Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2352.725098,23.909,23.909,0.0,451.26001,,,183.610992,,,,,211.057999,,,,,869.838013,250.919006,565.304016,-314.38501,0.0,1231.968018,,,,,1231.968018,1482.887024,,72.704002,72.704002,,,,158.895996,,,,,,580.475014,,,,580.475014,812.075012,509.548004,,,,,156.917007,,,156.917007,666.465012,1478.540024,,109.916,,,-108.259003,,872.527985,874.184982,0.0,874.184982,2352.725006,
06/30/1990,2408.844971,28.142,28.142,0.0,462.819,,,192.356003,,,,,206.100006,,,,,889.416992,260.868011,581.223022,-320.355011,0.0,1258.560059,,,,,1258.560059,1519.42807,,78.601997,78.601997,,,,195.503998,,,,,,582.995018,,,,582.995018,857.101013,509.502014,,,,,153.227005,,,153.227005,662.729019,1519.830032,,109.903999,,,-108.097,,887.208023,889.015022,0.0,889.015022,2408.845055,
09/30/1990,2498.455078,15.317,15.317,0.0,512.45697,,,200.145996,,,,,210.119003,,,,,938.039001,265.876007,594.030029,-328.153992,0.0,1294.540039,,,,,1294.540039,1560.416046,,81.202003,81.202003,,,,184.434006,,,,,,636.717995,,,,636.717995,902.354004,509.490997,,,,,150.998993,,,150.998993,660.48999,1562.843994,,109.889,,,-107.862999,,933.584984,935.610985,0.0,935.610985,2498.454979,
12/31/1990,2533.604004,20.611,20.611,0.0,568.905029,,,187.970001,,,,,183.628998,,,,,961.11499,291.540009,620.455994,-328.915985,0.0,1280.948975,,,,,1280.948975,1572.488984,,102.026001,102.026001,,,,114.732002,,,,,,627.958,,,,627.958,844.716003,507.640015,,,,,226.988007,,,226.988007,734.628022,1579.344025,0.017,109.792,,,-107.936996,,952.387985,954.259989,0.0,954.259989,2533.604014,
03/31/1991,2411.566895,7.259,7.259,0.0,489.164001,,,199.597,,,,,150.473999,,,,,846.494019,292.748993,632.189026,-339.440002,0.0,1272.323975,,,,,1272.323975,1565.072968,,81.337997,81.337997,,,,123.482002,,,,,,529.354012,,,,529.354012,734.174011,511.645996,,,,,226.033997,,,226.033997,737.679993,1471.854004,,110.257004,,,-103.975998,,933.431992,939.712997,0.0,939.712997,2411.567001,
06/30/1991,2431.811035,17.121,17.121,0.0,488.713013,,,211.701996,,,,,140.972,,,,,858.507996,290.929993,635.700012,-344.769989,0.0,1282.373047,,,,,1282.373047,1573.30304,,86.535004,86.535004,,,,113.017998,,,,,,551.60099,,,,551.60099,751.153992,511.453003,,,,,220.399994,,,220.399994,731.852997,1483.006989,,110.358002,,,-102.901001,,941.346985,948.803986,0.0,948.803986,2431.810974,
09/30/1991,2513.288086,5.331,5.331,0.0,522.838013,,,214.298004,,,,,153.936005,,,,,896.403015,289.760986,644.851013,-355.089996,0.0,1327.124023,,,,,1327.124023,1616.88501,,90.901001,90.901001,,,,149.134995,,,,,,614.239029,,,,614.239029,854.275024,462.027008,,,,,216.177002,,,216.177002,678.20401,1532.479034,,110.387001,,,-102.721001,,973.142998,980.808998,0.0,980.808998,2513.288033,
12/31/1991,2525.230957,16.629,16.629,0.0,585.278992,,,192.050003,,,,,148.343002,,,,,942.301025,288.572998,646.101013,-357.528015,0.0,1294.357056,,,,,1294.357056,1582.930054,,103.269997,103.269997,,,,130.886002,,,,,,584.523017,,,,584.523017,818.679016,437.27301,,,,,270.303986,,,270.303986,707.576996,1526.256012,0.017,110.359001,,,-102.975998,,991.574997,998.975,0.0,998.975,2525.231012,
03/31/1992,2379.75,6.477,6.477,0.0,481.346008,,,199.563995,,,,,127.957001,,,,,815.343994,280.058014,640.825989,-360.768005,0.0,1284.348022,,,,,1284.348022,1564.406036,,95.850998,95.850998,,,,120.957001,,,,,,521.889023,,,,521.889023,738.697021,411.23999,,,,,373.256012,,,373.256012,784.496002,1523.193024,,110.737,,,-100.554001,,846.374008,856.557007,0.0,856.557007,2379.750031,
06/30/1992,2475.194092,19.836,19.836,0.0,502.803009,,,220.528,,,,,146.007004,,,,,889.174011,283.958008,658.049011,-374.091003,0.0,1302.062012,,,,,1302.062012,1586.02002,,104.941002,104.941002,,,,129.029007,,,,,,576.886986,,,,576.886986,810.856995,411.304993,,,,,382.31601,,,382.31601,793.621002,1604.477997,,111.0,,,-99.712997,,859.429001,870.716003,0.0,870.716003,2475.194,
09/30/1992,2589.950928,14.492,14.492,0.0,554.190979,,,126.967003,,,,,175.291,,,,,870.940979,282.920013,668.234985,-385.315002,0.0,1436.089966,,,,,1436.089966,1719.009979,,117.884003,117.884003,,,,127.775002,,,,,,647.411003,,,,647.411003,893.070007,409.360992,,,,,390.615997,,,390.615997,799.97699,1693.046997,,110.804001,,,-100.346001,,886.445976,896.903976,0.0,896.903976,2589.950974,
12/31/1992,2508.139893,13.228,13.228,0.0,588.742981,,,188.524002,,,,,120.524002,,,,,911.018982,284.649994,669.575012,-384.924988,0.0,1312.470947,,,,,1312.470947,1597.120941,,130.951004,130.951004,,,,124.286003,,,,,,585.466972,,,,585.466972,840.703979,358.704987,,,,,399.971008,,,399.971008,758.675995,1599.379974,0.016,110.862999,,,-99.447998,,897.328979,908.75998,0.0,908.75998,2508.139954,
03/31/1993,2398.200928,10.556,10.556,0.0,507.109985,,,199.218002,,,,,108.619003,,,,,825.502991,278.673004,628.375,-349.701996,0.0,1294.025024,,,,,1294.025024,1572.698029,,115.989998,115.989998,,,,125.464996,,,,,,523.592979,,,,523.592979,765.047974,333.419006,,,,,400.661011,,,400.661011,734.080017,1499.127991,,111.005997,,,-99.925003,,887.99202,899.073013,0.0,899.073013,2398.201004,
06/30/1993,2448.48291,13.893,13.893,0.0,513.536011,,,214.022995,,,,,101.68,,,,,843.132019,275.596008,634.252991,-358.657013,0.0,1329.755005,,,,,1329.755005,1605.351013,,124.427002,124.427002,,,,122.824997,,,,,,554.477005,,,,554.477005,801.729004,333.338989,,,,,400.476013,,,400.476013,733.815002,1535.544006,,110.995003,,,-99.675003,,901.618973,912.938972,0.0,912.938972,2448.482979,
09/30/1993,3211.519043,51.164001,51.164001,0.0,821.018005,,,250.675003,,,,,146.113007,,,,,1268.969971,340.657013,737.499023,-396.84201,0.0,1601.891968,,,,,1601.891968,1942.548981,,180.863998,180.863998,,,,194.410995,,,,,,748.313995,,,,748.313995,1123.588989,892.609985,,,,,393.477997,,,393.477997,1286.087982,2409.676971,,113.308998,,,-91.591003,,780.124023,801.842018,0.0,801.842018,3211.51899,
12/31/1993,3084.163086,47.952999,47.952999,0.0,711.919006,,,215.227997,,,,,156.682007,,,,,1131.781982,345.325989,753.452026,-408.126007,0.0,1607.055054,,,,,1607.055054,1952.381043,,178.466003,178.466003,,,,170.779999,,,,,,719.649018,,,,719.649018,1068.89502,757.567017,,,,,434.692993,,,434.692993,1192.26001,2261.15503,0.016,114.971001,,,-87.686996,,795.707992,823.007997,0.0,823.007997,3084.163027,
03/31/1994,2969.187988,28.743999,28.743999,0.0,621.679993,,,225.953003,,,,,154.848999,,,,,1031.225952,335.453003,745.148987,-409.696014,0.0,1602.509033,,,,,1602.509033,1937.962036,,173.914001,173.914001,,,,154.242996,,,,,,636.124985,,,,636.124985,964.281982,757.890015,,,,,429.686005,,,429.686005,1187.576019,2151.858002,0.0,118.207001,,,-83.32,,782.442986,817.329987,0.0,817.329987,2969.187988,
06/30/1994,3089.072998,12.995,12.995,0.0,694.536011,,,564.309998,,,,,186.195999,,,,,1458.036987,330.165009,748.369019,-418.20401,0.0,1300.870972,,,,,1300.870972,1631.03598,,176.324005,176.324005,,,,174.931,,,,,,715.331055,,,,715.331055,1066.58606,757.932007,,,,,425.770996,,,425.770996,1183.703003,2250.289062,,118.489998,,,-82.57,,802.864006,838.784004,0.0,838.784004,3089.073067,
09/30/1994,3214.052002,26.978001,26.978001,0.0,919.060974,,,232.841995,,,,,131.729996,,,,,1310.610962,348.164001,780.794983,-432.631012,0.0,1555.276978,,,,,1555.276978,1903.440979,,164.399994,164.399994,,,,204.516998,,,,,,763.084961,,,,763.084961,1132.001953,758.083008,,,,,415.585999,,,415.585999,1173.669006,2305.670959,0.0,120.221001,,,-9.485,,797.644973,908.380974,0.0,908.380974,3214.051933,
12/31/1994,3008.532959,8.056,8.056,0.0,757.948975,,,213.253006,,,,,144.828995,,,,,1124.087036,345.782013,788.671021,-442.889008,0.0,1538.66394,,,,,1538.66394,1884.445953,,176.313995,176.313995,,,,105.288002,,,,,,726.382988,,,,726.382988,1007.984985,657.517029,,,,,429.979004,,,429.979004,1087.496033,2095.481018,0.015,120.773003,,,-76.987,,869.250977,913.05198,0.0,913.05198,3008.532998,
03/31/1995,2973.149902,7.934,7.934,0.0,679.406006,,,239.869995,,,,,148.748993,,,,,1075.958984,337.018005,795.473022,-458.454987,0.0,1560.172974,,,,,1560.172974,1897.190979,,163.421997,163.421997,,,,204.75,,,,,,629.653992,,,,629.653992,997.825989,657.284973,,,,,426.466003,,,426.466003,1083.750977,2081.576965,0.0,125.293999,,,-71.583,,837.861992,891.57299,0.0,891.57299,2973.149956,
06/30/1995,3138.826904,19.031,19.031,0.0,798.820007,,,295.72699,,,,,132.772995,,,,,1246.350952,334.631989,808.978027,-474.346008,0.0,1557.843994,,,,,1557.843994,1892.475983,,172.610992,172.610992,,,,286.493011,,,,,,668.236938,,,,668.236938,1127.340942,657.705017,,,,,426.997986,,,426.997986,1084.703003,2212.043945,0.0,126.585999,,,-30.538,,830.735022,926.78302,0.0,926.78302,3138.826965,
09/30/1995,3184.110107,4.921,4.921,0.0,930.960999,,,261.410004,,,,,126.053001,,,,,1323.344971,329.104004,818.796997,-489.692993,0.0,1531.661011,,,,,1531.661011,1860.765015,,171.113998,171.113998,,,,137.457993,,,,,,775.511993,,,,775.511993,1084.083984,657.328003,,,,,430.863007,,,430.863007,1088.19101,2172.274994,0.0,128.369003,,,-63.587002,,947.053005,1011.835007,0.0,1011.835007,3184.110001,
