Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,29.719,27.610001,15.518,,24.533001,,,24.533001,-37.942001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,19.313999,28.523001,17.473,,-20.709999,,,-20.709999,-5.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,46.592999,29.875,25.113001,,10.668,,,10.668,-19.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,88.084,31.319,31.1,,-23.540001,,,-23.540001,49.205002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.084,,,
03/31/1991,124.255997,57.504002,23.174,,33.903,,,33.903,9.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,45.533001,26.285,35.393002,,0.774,,,0.774,-16.919001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,-144.272003,27.254,25.1,,-202.873993,,,-202.873993,6.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,69.394997,28.226999,32.581001,,112.517998,,,112.517998,-103.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.394997,,,
03/31/1992,180.813995,36.231998,21.316999,,31.614,,,31.614,91.651001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,99.150002,38.701,19.732,,52.300999,,,52.300999,-11.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,7.961,41.872002,24.392,,-87.445,,,-87.445,29.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,53.791,43.638,52.483002,,-24.775999,,,-24.775999,-17.554001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.791,,,
03/31/1993,42.415001,42.654999,32.176998,,5.087,,,5.087,-37.504002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-21.177999,43.216999,37.098999,,-23.587999,,,-23.587999,-77.905998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,34.194,46.272999,42.811001,,-125.208,,,-125.208,70.318001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,172.479996,47.683998,51.771,,66.140999,,,66.140999,6.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.479996,,,
03/31/1994,-723.35199,54.196999,53.806,,-251.186996,,,-251.186996,-580.16803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,327.119995,53.879002,41.103001,,213.917007,,,213.917007,18.221001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,198.960999,55.154999,38.894001,,-347.639008,,,-347.639008,452.550995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,252.809998,57.112,37.883999,,398.713989,,,398.713989,-240.899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.809998,,,
03/31/1995,304.901001,54.335999,49.523998,,-138.459,,,-138.459,339.5,,,,,,-34.511002,,-34.511002,,,,,,,,,,,,,,,,,,34.511002,,,,,,,,,,,,,,,,,
06/30/1995,138.526001,62.660999,34.820999,,122.509003,,,122.509003,-81.464996,,,,,,-27.743999,,-27.743999,,,,,,,,,,,,,,,,,,27.743999,,,,,,,,,,,,,,,,,
09/30/1995,-322.016998,64.636002,30.948,,-231.492004,,,-231.492004,-186.108994,,,,,,-18.237,,-18.237,,,,,,,,,,,,,,,,,,18.237,,,,,,,,,,,,,,,,,
12/31/1995,189.447006,65.475998,24.507999,,128.572006,,,128.572006,-29.108999,,,,,-15.718,-15.718,,-15.718,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,173.729006,,,
03/31/1996,416.166992,69.75,115.238998,,201.018997,,,201.018997,30.159,,,,,,-17.478001,,-17.478001,,,,,,,,,,,,,,,,,,17.478001,,,,,,,,,,,,,,,,,
06/30/1996,-93.780998,71.508003,19.568001,,-295.059998,,,-295.059998,110.203003,,,,,,-28.57,,-28.57,,,,,,,,,,,,,,,,,,28.57,,,,,,,,,,,,,,,,,
09/30/1996,262.778992,73.614998,41.868999,,52.956001,,,52.956001,94.338997,,,,,,-24.298,,-24.298,,,,,,,,,,,,,,,,,,24.298,,,,,,,,,,,,,,,,,
