Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1989,116.800003,141.899994,60.900002,8.7,,8.7,-94.699997,,,,-94.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,153.399994,156.199997,66.5,-14.0,,-14.0,-55.299999,,,,-55.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,244.600006,160.5,73.199997,12.2,,12.2,-1.3,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,311.700012,154.600006,68.699997,27.4,,27.4,61.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.700012,,,
12/31/1990,122.900002,146.800003,73.599998,-1.9,,-1.9,-95.599998,,,,-95.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,212.300003,160.699997,74.5,11.0,,11.0,-33.900002,,,,-33.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,277.299988,165.300003,74.199997,-4.9,,-4.9,42.700001,,,,42.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,353.799988,159.100006,72.099998,28.299999,,28.299999,94.300003,,,,94.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.799988,,,
12/31/1991,170.300003,152.600006,74.5,6.9,,6.9,-63.700001,,,,-63.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,160.800003,167.899994,77.0,-15.3,,-15.3,-68.800003,,,,-68.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,300.700012,174.5,74.599998,-4.9,,-4.9,56.5,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,369.399994,167.899994,69.099998,12.9,,12.9,119.5,,,,119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.399994,,,
12/31/1992,130.0,163.199997,85.300003,4.1,,4.1,-122.599998,,,,-122.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,199.899994,177.699997,89.400002,-0.6,,-0.6,-66.599998,,,,-66.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,313.899994,187.199997,89.300003,-9.0,,-9.0,46.400002,,,,46.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,431.0,180.0,76.699997,5.8,,5.8,168.5,,,,168.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,,,
12/31/1993,194.600006,178.0,82.900002,0.2,,0.2,-66.5,,,,-66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,55.5,194.300003,86.300003,-107.599998,,-107.599998,-117.5,,,,-117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,310.399994,208.0,91.800003,11.9,,11.9,-1.3,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,536.299988,208.199997,103.5,121.699997,,121.699997,102.900002,,,,102.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.299988,,,
12/31/1994,170.699997,203.399994,,,,,,,,,,,,-77.699997,,,,-77.699997,,,,,,,,,,77.699997,,,,,,,,,,,,,,,
03/31/1995,78.699997,227.100006,,,,,,,,,,,,-105.400002,,,,-105.400002,,,,,,,,,,105.400002,,,,,,,,,,,,,,,
06/30/1995,307.100006,239.5,,,,,,,,,,,,-115.0,,,,-115.0,,,,,,,,,,115.0,,,,,,,,,,,,,,,
09/30/1995,585.900024,237.699997,,,,,,,,,,,-122.599998,-122.599998,,,,-122.599998,,,,,,,,,,0.0,,,,,,,,,,,,463.300026,,,
12/31/1995,140.199997,230.5,,,,,,,,,,,,-106.400002,,,,-106.400002,,,,,,,,,,106.400002,,,,,,,,,,,,,,,
03/31/1996,198.0,254.899994,,,,,,,,,,,,-112.400002,,,,-112.400002,,,,,,,,,,112.400002,,,,,,,,,,,,,,,
06/30/1996,344.0,266.899994,,,,,,,,,,,,-126.0,,,,-126.0,,,,,,,,,,126.0,,,,,,,,,,,,,,,
09/30/1996,635.099976,266.200012,,,,,,,,,,,-168.699997,-168.699997,,,,-168.699997,,,,,,,,,,0.0,,,,,,,,,,,,466.399979,,,
12/31/1996,184.100006,254.899994,,,,,,,,,,,,-113.699997,,,,-113.699997,,,,,,,,,,113.699997,,,,,,,,,,,,,,,
03/31/1997,228.800003,280.399994,,,,,,,,,,,,-113.400002,,,,-113.400002,,,,,,,,,,113.400002,,,,,,,,,,,,,,,
06/30/1997,464.799988,296.600006,,,,,,,,,,,,-146.0,,,,-146.0,,,,,,,,,,146.0,,,,,,,,,,,,,,,
09/30/1997,620.900024,290.0,,,,,,,,,,,-202.300003,-202.300003,,,,-202.300003,,,,,,,,,,0.0,,,,,,,,,,,,418.600021,,,
12/31/1997,246.0,282.299988,,,,,,,,,,,-106.400002,-112.5,,,,-112.5,,,0.0,0.0,0.0,,,,,6.099998,103.500009,-130.199997,398.8,,,,-152.399994,0.0,-152.399994,-12.7,,243.100006,,,
03/31/1998,340.700012,307.600006,,,,,,,,,,,-265.5,-152.699997,,,,-152.699997,,,0.0,0.0,0.0,,,,,-112.800003,-112.899997,-130.699997,76.0,,,,-58.5,0.0,-58.5,0.3,,-37.700001,,,
06/30/1998,428.700012,324.799988,,,,,,,,,,,-212.800003,-142.899994,,,,-142.899994,,,0.0,0.0,0.0,,,,,-69.900009,-228.700003,-130.399994,67.099991,,,,-166.5,0.0,-166.5,1.1,,-12.8,,,
09/30/1998,636.200012,313.899994,,,,,,,,,,,-514.599976,-194.5,,,,-194.5,,,0.0,0.0,0.0,,,,,-320.099976,-325.599991,-129.699997,-76.999994,,,,-122.0,0.0,-122.0,3.1,,-204.0,,,
