Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1346.707031,153.559998,142.559998,11.0,354.610992,,,582.075989,,,,,16.624001,,,,1106.870972,191.399002,316.432007,-125.032997,0.0,,48.437,,,,,,,,48.437,239.836002,,192.231995,192.231995,,,,,,,,,,84.242004,,,84.242004,276.473999,45.721001,,,,,20.194,,,,20.194,65.915001,342.389,0.0,91.084,,,-114.098999,,1015.172974,992.157974,12.16,1004.317974,1346.706974,
06/30/1990,1342.953979,151.932997,133.227997,18.705,350.035004,,,578.510986,,,,,13.976,,,,1094.454956,199.104996,329.184998,-130.080002,0.0,,49.394001,,,,,,,,49.394001,248.498997,,205.483994,205.483994,,,,,,,,,,69.202011,,,69.202011,274.686005,18.372,,,,,20.194,,,,20.194,38.566,313.252005,0.0,91.040001,,,-113.933998,,1040.050026,1017.156029,12.546,1029.702028,1342.954033,
09/30/1990,1353.378052,143.716002,137.746002,5.97,354.192993,,,587.482971,,,,,17.049,,,,1102.44104,200.188004,333.278992,-133.091003,0.0,,50.749001,,,,,,,,50.749001,250.937004,,190.018997,190.018997,,,,,,,,,,78.278,,,78.278,268.296997,44.007999,,,,,20.194,,,,20.194,64.202,332.498997,0.0,90.014,,,-113.888,,1031.276001,1007.402,13.477,1020.879001,1353.377997,
12/31/1990,1351.910034,144.828003,131.828003,13.0,315.109985,,,632.671997,,,,,5.964,,,,1098.573975,204.436996,338.002991,-133.565994,0.0,,48.898998,,,,,,,,48.898998,253.335995,,167.658005,167.658005,,,,26.684,,,,,,74.349005,,,74.349005,268.69101,16.368999,,,,,19.493,,,,19.493,35.862,304.553009,0.0,89.853996,,,-113.836998,,1057.08297,1033.099968,14.257,1047.356968,1351.909977,
03/31/1991,1396.698975,133.487003,109.661003,23.826,348.786987,,,625.064026,,,,,29.096001,,,,1136.43396,202.246994,336.311005,-134.063995,0.0,,58.018002,,,,,,,,58.018002,260.264996,,209.085999,209.085999,,,,,,,,,,91.591003,,,91.591003,300.677002,17.643999,,,,,19.493,,,,19.493,37.136999,337.814001,0.0,89.745003,,,-113.676003,,1068.262001,1044.331001,14.554,1058.885001,1396.699002,
06/30/1991,1422.922974,153.575006,139.684006,13.891,357.462006,,,620.388977,,,,,26.566,,,,1157.991943,204.667007,342.971985,-138.304993,0.0,,60.264,,,,,,,,60.264,264.931007,,221.222,221.222,,,,,,,,,,80.707993,,,80.707993,301.929993,17.632,,,,,19.493,,,,19.493,37.125,339.054993,0.0,89.653999,,,-113.383003,,1092.534004,1068.805,15.063,1083.868,1422.922993,
09/30/1991,1451.60498,194.590008,184.264008,10.326,357.507996,,,608.22699,,,,,27.025,,,,1187.349976,202.535995,341.963989,-139.427994,0.0,,61.719002,,,,,,,,61.719002,264.254997,,219.339996,219.339996,,,,,,,,,,85.018005,,,85.018005,304.358002,17.448999,,,,,19.493,,,,19.493,36.941999,341.300001,0.0,89.636002,,,-112.901001,,1117.89502,1094.63002,15.675,1110.30502,1451.605021,
12/31/1991,1466.973999,185.511004,167.813004,17.698,328.112,,,658.536011,,,,,7.105,,,,1179.264038,200.843994,345.889008,-145.044998,0.0,,86.865997,,,,,,,,86.865997,287.709991,,194.688004,194.688004,,,,3.087,,,,,,92.940999,,,92.940999,290.716003,12.658,,,,,20.32,,,,20.32,32.978,323.694003,0.0,89.456001,,,-112.643997,,1149.90596,1126.717964,16.562,1143.279964,1466.973967,
03/31/1992,1509.349976,193.049999,171.029999,22.02,366.334991,,,653.021973,,,,,9.331,,,,1221.738037,198.817993,346.252991,-147.434998,0.0,,88.793999,,,,,,,,88.793999,287.611992,,206.399002,206.399002,,,,,,,,,,104.516006,,,104.516006,310.915009,14.091,,,,,20.32,,,,20.32,34.410999,345.326008,0.0,130.785995,,,-111.601997,,1127.924019,1147.108017,16.916,1164.024017,1509.350025,
06/30/1992,1514.927979,187.825001,140.487,47.338001,363.460999,,,666.026001,,,,,8.726,,,,1226.037964,199.363007,351.220001,-151.856995,0.0,,89.527,,,,,,,,89.527,288.890007,,205.014008,205.014008,,,,,,,,,,84.406006,,,84.406006,289.420013,14.077,,,,,20.32,,,,20.32,34.396999,323.817013,0.0,130.733002,,,-111.278,,1154.121017,1173.576019,17.535,1191.111019,1514.928032,
