Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,191.188995,2.46,2.46,0.0,37.224998,,,0.0,,,,,4.285,,,,43.970001,0.0,0.0,0.0,0.0,147.218994,,,,,147.218994,147.218994,,4.895,4.895,,,4.288,,,,,,11.605999,,,11.605999,20.789,89.487,,,,,8.656,,,,,8.656,98.143,118.931999,0.0,18.08,,,0,,54.176998,72.256998,0.0,72.256998,191.188997,
06/30/1990,192.128006,1.566,1.566,0.0,35.636002,,,0.0,,,,,4.673,,,,41.875,0.0,0.0,0.0,0.0,150.253006,,,,,150.253006,150.253006,,4.981,4.981,,,4.118,,,,,,10.863,,,10.863,19.962,86.030998,,,,,8.858,,,,,8.858,94.888998,114.850998,0.0,20.355,,,0,,56.922001,77.277,0.0,77.277,192.127998,
09/30/1990,191.218994,0.599,0.599,0.0,35.775002,,,0.0,,,,,4.816,,,,41.189999,0.0,0.0,0.0,0.0,150.029007,,,,,150.029007,150.029007,,3.733,3.733,,,4.037,,,,,,11.227999,,,11.227999,18.997999,86.001999,,,,,9.421,,,,,9.421,95.422998,114.420998,0.0,20.129999,,,0,,56.667999,76.797998,0.0,76.797998,191.218996,
12/31/1990,188.365997,1.202,1.202,0.0,32.587002,,,0.0,,,,,4.029,,,,37.818001,0.0,0.0,0.0,0.0,150.548004,,,,,150.548004,150.548004,,4.596,4.596,,,5.67,,,,,,8.383999,,,8.383999,18.65,80.805,,,,,11.62,,,,,11.62,92.425,111.075,0.0,20.118,,,0,,57.173,77.291,0.0,77.291,188.366,
03/31/1991,186.227997,0.425,0.425,0.0,31.815001,,,0.0,,,,,3.84,,,,36.080002,0.0,0.0,0.0,0.0,150.147995,,,,,150.147995,150.147995,,4.926,4.926,,,5.487,,,,,,6.677999,,,6.677999,17.091,76.363998,,,,,12.013,,,,,12.013,88.376998,105.467998,0.0,22.309,,,0,,58.451,80.76,0.0,80.76,186.227998,
06/30/1991,182.723007,1.462,1.462,0.0,28.016001,,,0.0,,,,,3.566,,,,33.043999,0.0,0.0,0.0,0.0,149.679001,,,,,149.679001,149.679001,,5.743,5.743,,,5.791,,,,,,6.802001,,,6.802001,18.336,70.372002,,,,,11.988,,,,,11.988,82.360002,100.696002,0.0,22.664,,,0,,59.362999,82.026999,0.0,82.026999,182.723001,
09/30/1991,182.442993,2.317,2.317,0.0,27.302999,,,0.0,,,,,4.108,,,,33.728001,0.0,0.0,0.0,0.0,148.714996,,,,,148.714996,148.714996,,5.722,5.722,,,6.852,,,,,,8.013999,,,8.013999,20.587999,66.431999,,,,,12.276,,,,,12.276,78.707999,99.295999,0.0,22.836,,,0,,60.311001,83.147001,0.0,83.147001,182.443,
12/31/1991,178.947998,0.799,0.799,0.0,26.233999,,,0.0,,,,,4.389,,,,31.422001,0.0,0.0,0.0,0.0,147.526001,,,,,147.526001,147.526001,,5.621,5.621,,,5.997,,,,,,7.881001,,,7.881001,19.499001,61.617001,,,,,13.413,,,,,13.413,75.030001,94.529001,0.0,23.163,,,0,,61.256001,84.419001,0.0,84.419001,178.948002,
03/31/1992,178.660004,1.532,1.532,0.0,26.021999,,,0.0,,,,,4.661,,,,32.215,0.0,0.0,0.0,0.0,146.445007,,,,,146.445007,146.445007,,5.952,5.952,,,1.88,,,,,,8.053,,,8.053,15.885,61.744999,,,,,14.484,,,,,14.484,76.228999,92.113999,0.0,24.686001,,,0,,61.810001,86.496002,0.0,86.496002,178.610002,
06/30/1992,178.028,1.501,1.501,0.0,26.006001,,,0.0,,,,,5.32,,,,32.827,0.0,0.0,0.0,0.0,145.201004,,,,,145.201004,145.201004,,5.929,5.929,,,1.476,,,,,,8.870999,,,8.870999,16.275999,58.676998,,,,,15.001,,,,,15.001,73.677999,89.953998,0.0,25.243999,,,0,,62.830002,88.074001,0.0,88.074001,178.027999,
