Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,1401.0,,,-982.0,,,419.0,0.0,1.0,,420.0,-65.0,155.0,155.0,,0.0,-90.0,0.0,355,-119.0,236,0.0,,,236.0,-16.0,236,0.0,0.0,236,236.0,,631.0,0.37,0.37,0.37,634.0,0.37,0.37,0.37,
06/30/2007,985.0,,,-683.0,,,302.0,0.0,0.0,,302.0,-32.0,,156.0,,0.0,-129.0,5.0,270,-85.0,185,-11.0,,,196.0,-15.0,196,0.0,0.0,196,196.0,,632.0,0.31,0.29,0.3,635.0,0.31,0.29,0.3,
09/30/2007,950.0,,,-625.0,,,325.0,,,,330.0,30.0,156.0,156.0,,0.0,,-186.0,360,-110.0,250,1.0,,,249.0,-15.0,234,0.0,0.0,234,234.0,,632.0,0.37,0.37,0.37,635.0,0.37,0.37,0.37,
12/31/2007,1387.0,,,,,,,0.0,-1003.0,,384.0,52.0,,166.0,,,,-218.0,436,-128.0,308,-4.0,,,312.0,-21.0,291,0.0,0.0,291,291.0,,632.0,0.46,0.45,0.45,635.0,0.46,0.45,0.45,
03/31/2008,1600.0,,,-1107.0,,,493.0,,,,493.0,62.0,,158.0,,0.0,-209.0,-11.0,555,-172.0,383,-3.0,,,386.0,-19.0,367,0.0,0.0,367,367.0,,633.0,0.58,0.58,0.58,635.0,0.58,0.58,0.58,
06/30/2008,1133.0,,,-822.0,,,311.0,,,,311.0,136.0,,149.0,,,-243.0,-42.0,447,-136.0,311,2.0,,,309.0,-14.0,295,0.0,0.0,295,295.0,0.2,630.0,0.47,0.471429,0.471746,633.0,0.47,0.471429,0.471745,
09/30/2008,1080.0,,,-740.0,,,340.0,,,,340.0,119.0,,163.0,,,-273.0,-9.0,459,-145.0,314,2.0,,,312.0,-16.0,296,0.0,0.0,296,296.0,,615.0,0.48,0.49,0.49,617.0,0.48,0.48,0.48,
12/31/2008,1261.0,,,,,,,,,,304.0,-77.0,,166.0,,,,-89.0,227,-43.0,184,-3.0,,,187.0,-16.0,171,0.0,0.0,171,171.0,28.6,611.0,0.28,0.27,0.316809,612.0,0.28,0.27,0.316732,
03/31/2009,1384.0,1352.0,32.0,-969.0,833.0,136.0,415.0,0.0,10.0,-10.0,425.0,26.0,,150.0,,,-167.0,-9.0,451,-139.0,312,-3.0,-3.0,0.0,315.0,-17.0,298,,0.0,298,204.15,-90.85,628.0,0.47,0.47,0.32508,629.0,0.47,0.47,0.32508,
06/30/2009,937.0,901.0,36.0,-620.0,476.0,144.0,317.0,0.0,0.0,0.0,317.0,-92.0,,146.0,,,-40.0,-14.0,225,-67.0,158,1.0,1.0,0.0,157.0,-17.0,140,,0.0,140,139.05,-1.95,645.0,0.22,0.218605,0.215581,646.0,0.22,0.218605,0.215581,
