Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1993,586.916016,-404.634003,182.282013,-102.858002,79.424004,0.0,0,-0.618,78.806004,-31.316999,47.488998,-21.26,0,26.229,0,,26.229,,,47.489004,,0.36,0.195,132.666673,0.36,0.36,0.195,132.666673,
06/30/1993,604.572021,-431.631989,172.940033,-109.627998,63.312,0.0,0,-0.663,62.649,-25.065001,37.584,0.0,0,37.584,0,,37.584,,,37.584,,0.285,0.285,132.666673,0.285,0.285,0.285,132.666673,
09/30/1993,628.593018,-431.790009,196.803009,-109.391998,87.411003,0.0,0,-0.768,86.643003,-35.640999,51.001999,0.0,0,51.001999,0,,51.001999,,,51.002004,,0.3825,0.3825,132.666673,0.3825,0.3825,0.3825,132.666673,
12/31/1993,554.02002,-451.796997,102.223023,-91.514,10.709,0.0,0,74.222,84.931,-34.362,50.569,0.0,0,50.569,0,,50.569,,,50.569,0.3825,0.3825,0.3825,132.666673,0.3825,0.3825,0.3825,132.666673,
03/31/1994,681.973999,-457.493011,224.480988,-120.330002,104.151001,0.0,0,-1.384,102.767001,-41.141998,61.625,0.0,0,61.625,0,,61.625,,,61.625003,,0.465,0.465,132.666673,0.465,0.465,0.465,132.666673,
06/30/1994,694.565002,-488.851013,205.713989,-122.014999,83.698997,0.0,0,-1.573,82.125998,-32.394001,49.731998,0.0,0,49.731998,0,,49.731998,,,49.731997,,0.375,0.375,132.666673,0.375,0.375,0.375,132.666673,
09/30/1994,697.820984,-488.118988,209.701996,-124.113998,85.587997,0.0,0,-4.373,81.214997,-31.370001,49.845001,0.0,0,49.845001,0,,49.845001,,,49.844996,,0.375,0.375,132.666673,0.375,0.375,0.375,132.666673,
12/31/1994,609.86499,-493.490997,116.373993,-122.802002,-6.428,0.0,0,92.341003,85.913003,-33.945,51.967999,0.0,0,51.967999,0,,51.967999,,,51.968003,0.39,0.39,0.39,132.666673,0.39,0.39,0.39,132.666673,
03/31/1995,768.132019,-530.286987,237.845032,-134.830002,103.014999,0.0,0,-3.121,99.893999,-40.424,59.470001,0.0,0,59.470001,0,,59.470001,,,59.47,,0.45,0.45,132.666673,0.45,0.45,0.45,132.666673,
06/30/1995,788.455994,-560.71698,227.739014,-131.723007,96.015999,0.0,0,-2.762,93.253999,-37.813999,55.439999,0.0,0,55.439999,0,,55.439999,,,55.44,,0.42,0.42,132.666673,0.42,0.42,0.42,132.666673,
09/30/1995,771.830017,-549.893005,221.937012,-131.488998,90.447998,0.0,0,-2.962,87.485998,-35.686001,51.799999,0.0,0,51.799999,0,,51.799999,,,51.799997,,0.39,0.39,132.666673,0.39,0.39,0.39,132.666673,
12/31/1995,643.35498,-559.05603,84.29895,-136.546005,-52.247002,,0,74.400002,22.153,-8.874,13.279,0.0,0,12.927,0,,12.927,,,13.279,0.0975,0.0975,0.0975,132.666673,0.0975,0.0975,0.0975,132.666673,
03/31/1996,781.512024,-571.784973,209.727051,-141.740005,67.987,0.0,0,33.057999,101.044998,-40.931999,60.112999,0.0,0,60.112999,0,,60.112999,,,60.112999,0.6825,0.6825,0.6825,88.489333,0.6825,0.6825,0.6825,88.489333,
06/30/1996,1029.099976,-762.953003,266.146973,-201.751999,64.394997,-10.923,0,30.190001,83.661997,-33.889999,49.771999,0.0,0,49.771999,0,,49.771999,,,49.771997,0.375,0.375,0.375,132.792007,0.375,0.375,0.375,132.792007,
09/30/1996,1096.107056,-824.323975,271.783081,-212.181,59.602001,-12.396,0,28.653,75.859001,-30.757999,45.101002,0.0,0,45.101002,0,,45.101002,,,45.101002,0.34,0.34,0.34,132.968002,0.34,0.34,0.34,132.968002,
12/31/1996,1121.035034,-844.054993,276.980041,-214.722,-44.75,-13.309,0,29.993,-28.066,-31.926001,47.015999,0.0,0,47.015999,0,,47.015999,,,-59.992001,0.355,0.355,0.355,132.970002,0.355,0.355,0.355,132.970002,
03/31/1997,1231.282959,-920.872009,310.41095,-240.337006,70.073997,-10.768,0,25.973,85.278997,-34.523998,50.755001,0.0,0,50.755001,0,,50.755001,6.5,-2.7,54.554999,0.41,0.38,0.38,133.087997,0.41,0.38,0.38,133.087997,
06/30/1997,1400.03894,-1045.272949,354.765991,-290.950989,63.814999,-9.845,0,28.225,82.194999,-33.619999,48.575001,0.688,0,49.263,0,,49.263,8.0,-3.2,53.375,0.385,0.35,0.355,138.621994,0.38,0.345,0.35,140.014008,
09/30/1997,1418.634033,-1078.157959,340.476074,-279.739014,60.737,-8.144,0,41.118,93.710999,-38.028999,55.681999,-0.114,0,55.568001,0,,55.568001,,,55.682,0.4,0.4,0.4,139.332001,0.395,0.395,0.395,141.494003,
12/31/1997,1480.781982,-1124.620972,356.161011,-290.186005,65.974998,-7.901,0,62.646,120.719998,-48.896999,71.822998,0.0,0,71.822998,0,,71.822998,,,71.822999,0.42,0.515,0.515,139.444,0.415,0.51,0.51,141.102005,
03/31/1998,1544.758057,-1146.55603,398.202026,-311.916992,86.285004,-7.324,0,33.097,112.058004,-44.866001,67.192001,-8.678,0,58.514,0,,58.514,,,67.192003,0.48,0.48,0.42,139.75,0.475,0.475,0.415,141.815994,
06/30/1998,1569.859985,-1180.389038,389.470947,-312.713013,76.758003,-7.284,0,-15.121,54.353003,-21.601,32.751999,-79.59,0,-46.838001,0,,-46.838001,61.702,,94.454003,0.44,0.235,-0.335,140.257996,0.43,0.225,-0.33,142.876007,
09/30/1998,1589.64502,-1191.848022,397.796997,-312.23999,85.556999,-5.817,0,32.563999,112.303998,39.903999,152.207993,0.0,0,152.207993,0,,152.207993,-85.5,,66.707998,0.475,1.1,1.1,138.656006,0.475,1.08,1.08,140.641998,
12/31/1998,1629.487061,-1212.650024,416.837036,-309.894989,106.942001,-6.478,0,26.5,126.964001,-50.889999,76.072998,-8.678,0,67.396004,0,,67.396004,,,76.074002,0.505,0.505,0.505,134.119995,0.495,0.495,0.495,136.731995,
03/31/1999,1771.244995,-1308.579956,462.665039,-331.908997,130.755997,-6.1,0,-8.085,116.570997,-45.460999,71.110001,-20.558001,0,50.551998,0,0.0,50.551998,0.0,,71.109998,0.53,0.53,0.375,134.518005,0.52,0.52,0.37,137.121994,
06/30/1999,1856.772949,-1383.067993,473.704956,-340.984985,132.720001,-5.907,0,-10.25,116.563001,-45.484001,71.079002,0.0,0,71.079002,0,0.0,71.079002,0.0,,71.079,0.525,0.525,0.525,135.212006,0.515,0.515,0.515,137.707993,
09/30/1999,1891.512939,-1400.390991,491.121948,-354.507996,136.613998,-3.686,0,-7.914,125.013998,-48.780998,76.233002,0.0,0,76.233002,0,0.0,76.233002,0.0,,76.233,0.58,0.58,0.58,131.535995,0.555,0.555,0.555,137.904007,
12/31/1999,1965.895996,-1441.029053,524.866943,-376.665985,148.201004,-4.485,0,-14.543,129.173004,-50.383999,78.789001,1.891,0,80.68,0,0.0,80.68,0.0,,78.789005,0.615,0.615,0.63,131.186005,0.6,0.6,0.61,134.466003,
03/31/2000,2145.246094,-1611.589966,533.656128,-389.709991,143.945999,-5.524,0,-7.807,130.614999,-50.971001,79.643997,0.0,0,79.643997,0,0.0,79.643997,0.0,,79.643998,0.635,0.635,0.635,125.688004,0.615,0.615,0.615,130.197998,
06/30/2000,2288.834961,-1723.947021,564.887939,-407.196014,157.692001,-7.249,0,-13.249,137.194002,-53.527,83.667,0.0,0,83.667,0,0.0,83.667,0.0,,83.667001,0.675,0.675,0.675,124.393997,0.65,0.65,0.65,129.141998,
09/30/2000,2353.323975,-1762.219971,591.104004,-425.971008,165.132996,-5.657,0,-12.749,146.726996,-57.223,89.503998,0.0,0,89.503998,0,0.0,89.503998,0.0,,89.503996,0.715,0.715,0.715,124.982002,0.69,0.69,0.69,130.281998,
12/31/2000,2441.552979,-1837.640991,603.911987,-436.494995,167.417007,-5.548,0,-12.092,149.777008,-60.305,89.472,0.0,0,89.472,0,0.0,89.472,0.0,,89.472007,0.71,0.71,0.71,125.183998,0.69,0.69,0.69,131.25,
03/31/2001,2615.452881,-1965.473022,649.979858,-469.324005,180.656006,-8.179,0,-13.326,159.151006,-62.647999,96.502998,0.0,0,96.502998,0,0.0,96.502998,0.0,,96.503007,0.765,0.765,0.765,125.970001,0.74,0.74,0.74,131.421997,
06/30/2001,3145.406006,-2388.224121,757.181885,-555.632019,201.550003,-13.563,0,-18.606001,169.381002,-69.452003,99.929001,0.0,0,99.929001,0,0.0,99.929001,0.0,,99.928999,0.79,0.79,0.79,126.720001,0.765,0.765,0.765,131.628006,
09/30/2001,3245.471924,-2471.1521,774.319824,-556.510986,217.809006,-14.59,0,-19.399,183.820005,-75.374001,108.445999,0.0,0,108.445999,0,0.0,108.445999,0.0,,108.446005,0.85,0.85,0.85,127.209999,0.82,0.82,0.82,132.912003,
12/31/2001,3422.315918,-2611.415039,810.900879,-587.690979,223.210007,-13.597,0,-23.382999,186.230007,-76.362,109.867996,0.0,0,109.867996,0,0.0,109.867996,0.0,,109.868008,0.865,0.865,0.865,127.503998,0.83,0.83,0.83,133.725998,
03/31/2002,3943.01001,-2982.604004,960.406006,-697.814026,262.59201,-16.485001,0,-10.923,235.18401,-94.084,141.100006,0.0,0,141.100006,0,0.0,141.100006,0.0,0.0,141.10001,1.01,1.01,1.01,139.089005,0.97,0.97,0.97,145.856003,
06/30/2002,4299.073242,-3282.00293,1017.070312,-706.051025,311.019012,-16.973,0,-13.978,280.068013,-112.105003,167.962997,2.784,0,170.746994,0,0.0,170.746994,0.0,0.0,167.96301,1.14,1.14,1.18,144.852005,1.08,1.08,1.12,152.565994,
09/30/2002,4515.125,-3420.328,1094.797,-715.562,379.235,-15.992,0,-15.072,348.171,-139.279,208.892,2.364,0,211.256,0,0.0,211.256,,,208.892,,,,,,,,,
12/31/2002,4581.332,-3526.155,1055.177,-729.119,326.058,-17.302,0,-15.113,293.643,-117.469,176.174,3.802,0,179.976,0,0.0,179.976,0.0,0.0,176.174,1.22,1.22,1.22,147.412,1.18,1.18,1.18,152.214,
03/31/2003,4840.791016,-3717.5,1123.291016,-781.666016,341.625,-12.774,0,-7.004,321.847,-128.794006,193.052994,0.0,0,193.052994,0,0.0,193.052994,0.0,,193.052993,1.33,1.33,1.33,145.613007,1.29,1.29,1.29,149.171005,
06/30/2003,4940.356934,-3769.666992,1170.689941,-779.237,391.453003,-12.689,0,-4.646,374.118003,-149.649002,224.468994,0.0,0,224.468994,0,0.0,224.468994,0.0,,224.469001,1.54,1.54,1.54,145.710999,1.49,1.49,1.49,150.216995,
09/30/2003,5049.008789,-3792.10498,1256.903809,-824.820007,432.084015,-12.645,0,-9.074,410.365014,-164.145996,246.218994,0.0,0,246.218994,0,0.0,246.218994,0.0,,246.219018,1.68,1.68,1.68,146.626007,1.63,1.63,1.63,150.845001,
12/31/2003,5467.149902,-4149.487793,1317.662109,-899.643982,418.011993,-12.524,0,46.992001,452.479994,-180.992004,271.488007,0.0,0,271.488007,0,0.0,271.488007,-4.808,1.923,268.602989,1.77,1.79,1.79,151.990005,1.71,1.73,1.73,156.785004,
03/31/2004,5646.140137,-4187.351074,1458.789062,-942.844971,515.94397,-12.243,0,-11.666,492.034969,-196.813995,295.221008,0.0,0,295.221008,0,0.0,295.221008,0.0,,295.220974,1.92,1.92,1.92,153.938995,1.85,1.85,1.85,159.397995,
06/30/2004,5780.416992,-4364.370117,1416.046875,-893.409973,522.637024,-12.967,0,-9.778,499.892024,-199.957001,299.934998,0.0,0,299.934998,0,0.0,299.934998,0.0,,299.935023,1.92,1.92,1.92,155.822998,1.86,1.86,1.86,161.162994,
09/30/2004,5848.072,-4412.655,1435.417,-882.964,552.453,-12.169,0,-15.188,525.096,-210.038,315.058,0.0,0,315.058,0,0.0,315.058,,,315.058,2.02,2.02,2.02,156.012,1.97,1.97,1.97,160.211,
