Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,8.331,8.693,5.389,,-1.601,,,,-1.601,-4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,7.083,8.98,5.963,,-2.913,,,,-2.913,-4.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,22.136,9.193,9.768,,1.172,,,,1.172,2.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,1.588,9.01,5.55,,-4.866,,,,-4.866,-8.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.588,,,
03/31/1991,7.661,9.399,7.437,,-7.576,,,,-7.576,-1.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,20.249001,9.879,8.694,,6.613,,,,6.613,-4.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,21.607,10.472,10.884,,7.522,,,,7.522,-7.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,59.361,12.857,18.454,,13.315,,,,13.315,14.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.361,,,
03/31/1992,16.615,14.023,13.001,,-9.514,,,,-9.514,-0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,27.292,15.184,12.991,,2.763,,,,2.763,-3.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,68.002998,16.153999,15.299,,10.517,,,,10.517,26.033001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,38.208,15.815,16.926001,,5.576,,,,5.576,-0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.208,,,
03/31/1993,40.113998,16.466999,13.187,,-5.721,,,,-5.721,16.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,8.148,17.853001,13.315,,-2.552,,,,-2.552,-20.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,51.216999,16.115,14.994,,-0.264,,,,-0.264,20.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,15.303,20.711,12.447,,10.083,,,,10.083,-27.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.303,,,
03/31/1994,48.456001,20.419001,15.449,,-5.223,,,,-5.223,17.811001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,32.526001,22.598,14.147,,-1.252,,,,-1.252,-2.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,39.113998,24.683001,14.74,,2.305,,,,2.305,-2.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,47.817001,21.752001,19.459999,,4.276,,,,4.276,2.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.817001,,,
03/31/1995,29.440001,24.07,14.422,,-6.401,,,,-6.401,-2.651,,,,,,,,-9.731,,-9.731,,,,,,,,,,,,,,,,,,9.731,,,,,,,,,,,,,,,,,
06/30/1995,22.379999,26.6,15.377,,-14.822,,,,-14.822,-4.775,,,,,,,,-9.248,,-9.248,,,,,,,,,,,,,,,,,,9.248,,,,,,,,,,,,,,,,,
09/30/1995,58.511002,30.278999,16.827999,,18.524,,,,18.524,-7.12,,,,,,,,-11.481,,-11.481,,,,,,,,,,,,,,,,,,11.481,,,,,,,,,,,,,,,,,
12/31/1995,42.118,33.633999,17.777,,-13.148,,,,-13.148,3.855,,,,,,,-17.752001,-17.752001,,-17.752001,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24.365999,,,
03/31/1996,32.476002,29.627001,16.653999,,0.262,,,,0.262,-14.067,,,,,,,,-15.901,,-15.901,,,,,,,,,,,,,,,,,,15.901,,,,,,,,,,,,,,,,,
06/30/1996,43.397999,33.108002,19.121,,-10.669,,,,-10.669,1.838,,,,,,,,-17.363001,,-17.363001,,,,,,,,,,,,,,,,,,17.363001,,,,,,,,,,,,,,,,,
09/30/1996,64.179001,35.208,18.978001,,4.816,,,,4.816,5.177,,,,,,,,-13.839,,-13.839,,,,,,,,,,,,,,,,,,13.839,,,,,,,,,,,,,,,,,
12/31/1996,60.561001,41.660999,20.292999,,4.05,,,,4.05,-5.443,,,,,,,-16.702999,-16.702999,,-16.702999,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43.858002,,,
03/31/1997,74.220001,35.806999,19.039,,9.755,,,,9.755,9.619,,,,,,,,-18.152,,-18.152,,,,,,,,,,,,,,,,,,18.152,,,,,,,,,,,,,,,,,
06/30/1997,44.776001,39.321999,20.974001,,-4.463,,,,-4.463,-11.057,,,,,,,,-16.903999,,-16.903999,,,,,,,,,,,,,,,,,,16.903999,,,,,,,,,,,,,,,,,
09/30/1997,58.666,43.101002,19.608,,0.095,,,,0.095,-4.138,,,,,,,,-11.936,,-11.936,,,,,,,,,,,,,,,,,,11.936,,,,,,,,,,,,,,,,,
12/31/1997,79.507004,47.006001,21.767,,8.307,,,,8.307,2.427,,,,,,,-19.444,-19.444,,-19.444,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60.063004,,,
03/31/1998,29.67,41.213001,20.67,,14.466,,,,14.466,-46.679001,,,,,,,-127.336998,-17.313,0.065,-17.378,-23.804001,166.248993,,,,-190.052994,,,,-77.438004,,,,,,,,-8.781993,64.112001,-19.299999,-99.370999,,,,,0.908,0.908,0.0,181.875,0.0,,-33.555,1.8,75.900002,
06/30/1998,74.805,44.212002,21.58,,-14.231,,,,-14.231,23.243999,,,,,,,-3.097,-30.426001,0.257,-30.683001,16.499008,168.436005,,,,-151.936996,,,,27.462999,,,,,,,,-16.633007,-44.722001,-19.284,40.507999,,,,,0.402,0.402,0.0,-66.348,0.0,,26.986,47.299999,82.599998,
09/30/1998,83.992996,49.608002,21.843,,15.529,,,,15.529,-2.987,,,,,,,-180.929001,-27.512,0.315,-27.827,-261.805969,292.588013,,,,-554.393982,,,,103.217003,,,,,,,,5.171965,57.072005,-20.198,173.682007,,,,,2.743,6.535,-3.792,-95.524002,-3.631,,-39.863998,22.6,86.5,
12/31/1998,-24.573,56.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.573,,,
03/31/1999,143.994995,50.733002,23.686001,,16.934,,,,16.934,52.641998,,,,,,,-253.826996,24.650999,26.268999,-1.618,-67.175995,196.910004,,,,-264.085999,,,,-203.037003,,,,,,,,-8.264997,85.374997,-20.441,185.947997,,,,,2.436,2.436,,-82.568001,,,-24.457001,0.0,82.199997,
06/30/1999,76.742,53.313,28.757,,-0.973,,,,-0.973,-4.355,,,,,,,-531.128,-81.135,0.0,-81.135,-85.526,136.503,,,,-222.029,,,,-345.944,,,,,,,,-18.523,532.081,-26.964,54.937,,,,,1.877,1.877,,502.231,,,77.695,46.6,90.4,
09/30/1999,94.519997,58.005001,28.218,,11.253,,,,11.253,-2.956,,,,,,,-533.317017,-26.718999,2.334,-29.052999,-1026.211967,127.831001,,,,-1154.042969,,,,531.807007,,,,,,,,-12.193057,396.779992,-25.294001,371.381991,,,,,0.594,0.594,0.0,54.963001,-4.865,,-42.016998,33.400002,99.5,
12/31/1999,145.673004,63.256001,26.434999,,26.67,,,,26.67,29.312,,,,,,,-37.473999,-37.473999,,-37.473999,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,108.198997,26.0,98.900002,
03/31/2000,38.355,61.391998,29.948,,-25.271,,,,-25.271,-27.714001,,,,,,,-568.838013,16.566999,16.924999,-0.358,-31.205002,67.365997,,,,-98.570999,,,,-510.834015,,,,,,,,-43.365995,531.813011,-25.393999,228.539003,,,,,1.792,1.792,,326.876007,,,1.33,11.3,114.699997,
06/30/2000,84.765,61.752,32.974,,21.818,,,,21.818,-31.779,,,,,,,-664.18,-83.185,0.0,-83.185,-5.716,69.304,,,,-75.02,,,,-563.636,,,,,,,,-11.643,562.652,-31.07,149.319,,,,,2.508,2.508,,441.895,,,-16.763,63.5,122.5,
09/30/2000,160.740005,64.731003,29.465,,33.936001,,,,33.936001,32.608002,,,,,,,-464.364014,-27.726,0.0,-27.726,10.156,10.156,,,,0.0,,,,-400.696014,,,,,,,,-46.098,275.511009,-31.264,14.501999,,,,,0.763,0.763,0.0,291.51001,0.0,,-28.113001,39.799999,129.399994,
12/31/2000,170.464996,74.681999,32.456001,,66.969002,,,,66.969002,-3.642,,,,,,,-728.71698,-72.134003,0.0,-72.134003,2.562004,122.396004,,,,-119.834,,,,-572.731995,,,,,,,,-86.412987,693.309028,-31.284,-91.926987,,,,,2.867,4.944,-2.077,813.653015,0.0,,135.057007,28.4,143.399994,
03/31/2001,-13.453,71.885002,31.475,,-22.558001,,,,-22.558001,-94.254997,,,,,,,49.148998,-33.887999,1.836,-35.723999,73.052002,367.72699,,,,-294.674988,,,,16.884001,,,,,,,,-6.899005,-32.169996,-31.323,-153.922004,,,,,7.908,7.908,0.0,145.167007,,,3.526,18.5,140.0,
06/30/2001,96.009003,75.614998,35.487999,,2.197,,,,2.197,-17.291,,,,,,,-544.627991,-34.060001,1.744,-35.804001,4.804016,289.001007,,,,-284.196991,,,,-495.522003,,,,,,,,-19.850003,429.257984,-36.567001,383.02799,,,,,8.61,8.61,0.0,74.186996,0.0,,-19.361,68.699997,143.899994,
09/30/2001,192.723007,78.904999,32.167999,,37.352001,,,,37.352001,44.298,,,,,,,-141.240997,-25.840002,7.185,-33.025002,5.979004,216.921005,,,,-210.942001,,,,-123.028,,,,,,,,1.648,-35.997002,-37.066002,31.041001,,,,,5.769,5.769,0.0,-35.741001,0.0,,15.485,0.5,128.600006,
12/31/2001,-97.419,85.211,39.742,,-2.38,,,,-2.38,-219.992,,,,,,,-414.762,-38.681,3.429,-42.11,7.882,235.582,,,,-227.7,,,,-349.631,,,,,,,,-34.332,602.656,-37.127,216.233,,,,,4.259,4.259,0.0,419.291,0.0,,90.475,98.3,112.5,
03/31/2002,329.683014,82.751999,35.193001,,38.216999,,,,38.216999,173.520996,,,,,,,-457.700989,-34.553999,4.301,-38.855,-3.791,207.798004,,,,-211.589005,,,,-397.11499,,,,,,,,-22.240999,-22.375013,-37.134998,-295.815012,,,,,5.765,5.765,,304.809998,,,-150.393005,1.7,89.599998,
06/30/2002,152.451004,85.894997,43.326,,-15.427,,,,-15.427,38.657001,,,,,,,-549.471008,-35.667999,0.0,-35.667999,12.209,187.302002,,,,-175.093002,,,,-494.980011,,,,,,,,-31.031998,491.557003,-43.721001,41.702,,,,,3.097,3.097,0.0,490.479004,0.0,,94.537003,75.199997,92.0,
09/30/2002,57.457001,92.272003,40.616001,,-17.781,,,,-17.781,-57.650002,,,,,,,-453.981995,-25.33,0.0,-25.33,34.210999,205.511993,,,,-171.300995,,,,-467.451996,,,,,,,,4.589003,456.054003,-44.235001,166.073997,,,,,3.24,3.24,0.0,330.975006,0.0,,59.528999,35.700001,62.400002,
12/31/2002,201.563,104.428,43.203,,62.677,,,,62.677,-8.745,,,,,,,-699.02,-38.291,6.864,-45.155,-94.293,320.97,,,,-415.263,,,,-530.347,,,,,,,,-36.089,586.697,-44.016,203.034,,,,,6.945,6.945,0.0,420.734,0.0,,89.24,94.4,108.0,
03/31/2003,45.153999,89.918999,48.116001,,7.858,,,,7.858,-100.738998,,,,,,,-649.338013,-38.421001,0.73,-39.151001,-13.609985,437.397003,,,,-451.006989,,,,-535.41803,,,,,,,,-61.888997,608.60896,-50.372002,58.242992,,,,,2.531,2.531,,598.20697,,,4.425,6.0,83.699997,
06/30/2003,159.856003,96.366997,45.825001,,5.876,,,,5.876,11.788,,,,,,,-426.273987,-130.132996,0.138,-130.270996,-19.325012,469.485992,,,,-488.811005,,,,-241.932999,,,,,,,,-34.88298,325.79899,-44.319,55.104997,,,,,-92.282996,8.515,-100.797997,407.29599,0.0,,59.381001,79.400002,72.699997,
09/30/2003,242.542007,100.0,48.418999,,-27.198,,,,-27.198,121.320999,,,,,,,-235.296005,10.579,10.579,0.0,-126.470001,371.178009,,,,-497.64801,,,,-98.452003,,,,,,,,-20.953001,-106.115004,-49.706001,45.043999,,,,,-0.983,9.672,-10.655,-100.470001,0.0,,-98.869003,54.0,79.599998,
12/31/2003,277.493,102.639,41.429,,38.987,,,,38.987,94.438,,,,,,,-756.997,-23.57,0.0,-23.57,-103.804,358.967,,,,-462.771,,,,-598.014,,,,,,,,-31.609,469.505,-49.78,95.613,,,,,6.15,7.352,-1.202,417.522,0.0,,-9.999,95.6,62.0,
03/31/2004,147.478,104.162,46.593,,22.715,,,,22.715,-25.992,,,,,,,-528.729,-30.419,0.721,-31.14,-53.499,555.156,,,,-608.655,,,,-442.045,,,,,,,,-2.766,308.117,-49.89,174.086,,,,,7.828,7.828,,176.093,,,-73.134,1.3,72.2,
06/30/2004,166.589,105.141,62.607,,26.379,,,,26.379,-27.538,,,,,,,-775.556,-32.436,0.658,-33.094,33.934,448.439,,,,-414.505,,,,-781.153,,,,,,,,4.099,742.605,-53.542,-139.255,,,,,5.53,5.53,,929.872,,,133.638,86.5,67.3,
