Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,4079.447998,1027.827011,967.812012,60.014999,586.833008,,,383.436005,,,,,148.875,,,,,2146.970947,1335.562988,2360.291016,-1024.728027,561.067017,,,,35.847,,,,,,,35.847,1932.477005,,168.167999,168.167999,,,,126.995003,,,,,,536.29702,,,536.29702,831.460022,397.222992,,,,,110.254997,,,,110.254997,507.477989,1338.938011,0.0,1213.31604,,,0.0,,1527.19397,2740.51001,0.0,2740.51001,4079.448021,
06/30/1990,4636.522949,1477.731979,1357.10498,120.626999,626.750977,,,399.019989,,,,,158.516006,,,,,2662.019043,1410.244019,2488.383057,-1078.139038,529.77002,,,,34.490002,,,,,,,34.490002,1974.50404,,168.240997,168.240997,,,,188.888,,,,,,661.61203,,,661.61203,1018.741028,335.988007,,,,,113.843002,,,,113.843002,449.831009,1468.572037,0.0,1470.062988,,,0.0,,1697.887939,3167.950928,0.0,3167.950928,4636.522964,
09/29/1990,5117.650879,1719.049011,1595.239014,123.809998,701.981995,,,411.843994,,,,,169.695007,,,,,3002.570068,1516.947998,2618.760986,-1101.812988,562.25,,,,35.882999,,,,,,,35.882999,2115.080997,,226.158997,226.158997,,,,225.199997,,,,,,778.050064,,,778.050064,1229.409058,340.777008,,,,,115.984001,,,,115.984001,456.761009,1686.170067,0.0,1569.901001,,,0.0,,1861.579956,3431.480957,0.0,3431.480957,5117.651024,
12/29/1990,5376.308105,1784.886948,1619.647949,165.238998,709.65802,,,415.433014,,,,,209.203003,,,,,3119.180908,1657.567993,2813.60498,-1156.036987,561.47699,,,,38.082001,,,,,,,38.082001,2257.126984,,209.365005,209.365005,,,,278.596008,,,,,,825.789963,,,825.789963,1313.750977,344.605011,,,,,126.445999,,,,126.445999,471.05101,1784.801987,0.0,1572.755005,,,0.0,,2018.750977,3591.505981,0.0,3591.505981,5376.307968,
03/30/1991,5470.516113,1806.825943,1592.840942,213.985001,715.270996,,,419.723999,,,,,201.126999,,,,,3142.947998,1735.983032,2985.928955,-1249.946045,553.281006,,,,38.304001,,,,,,,38.304001,2327.568039,,185.651001,185.651001,,,,241.509003,,,,,,717.580963,,,717.580963,1144.740967,349.352997,,,,,135.175003,,,,135.175003,484.528,1629.268967,0.0,1625.084961,,,0.0,,2216.162109,3841.24707,0.0,3841.24707,5470.516037,
06/29/1991,5822.166016,1918.384033,1601.509033,316.875,781.169006,,,445.764008,,,,,202.291,,,,,3347.60791,1870.963013,3200.600098,-1329.636963,555.794983,,,,47.799999,,,,,,,47.799999,2474.557995,,255.764008,255.764008,,,,145.035004,,,,,,812.210999,,,812.210999,1213.01001,353.309998,,,,,144.429993,,,,144.429993,497.73999,1710.75,0.0,1664.45105,,,0.0,,2446.965088,4111.416138,0.0,4111.416138,5822.166138,
09/28/1991,6065.928223,2145.816956,1512.777954,633.039001,745.919006,,,446.959991,,,,,221.888,,,,,3560.583984,1997.921021,3416.147949,-1418.227051,464.765991,,,,42.657001,,,,,,,42.657001,2505.344013,,238.371002,238.371002,,,,157.623001,,,,,,815.613052,,,815.613052,1211.607056,358.174988,,,,,151.468002,,,,151.468002,509.64299,1721.250046,0.0,1695.984009,,,0.0,,2648.694092,4344.678101,0.0,4344.678101,6065.928146,
12/28/1991,6292.104004,2276.648987,1519.046997,757.60199,698.171021,,,422.299988,,,,,206.901001,,,,,3604.020996,2162.7229,3644.156006,-1481.432983,479.752014,,,,45.608002,,,,,,,45.608002,2688.082916,,168.835999,168.835999,,,,173.257996,,,,,,885.672973,,,885.672973,1227.766968,362.528992,,,,,283.955994,,,,283.955994,646.484986,1874.251954,0.0,1640.635986,,,0.0,,2777.216064,4417.85205,0.0,4417.85205,6292.104004,
03/28/1992,6505.166016,2268.918945,1579.03894,689.880005,731.145996,,,456.056,,,,,216.666,,,,,3672.787109,2276.013916,3846.384033,-1570.369995,512.849976,,,,43.514999,,,,,,,43.514999,2832.378891,,198.479996,198.479996,,,,139.429001,,,,,,845.433044,,,845.433044,1183.342041,346.718994,,,,,287.450989,,,,287.450989,634.169983,1817.512024,0.0,1726.366943,,,0.0,,2961.287109,4687.654053,0.0,4687.654053,6505.166077,
