Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,4065.600098,934.400002,833.5,100.900002,560.900024,,,364.200012,,,,,245.600006,,,2105.100098,1237.800049,1896.699951,-658.900024,403.799988,318.899994,,,,318.899994,1960.500031,,157.199997,157.199997,,,898.0,,,,,509.800003,509.800003,1565.0,185.399994,,,,257.100006,,257.100006,442.5,2007.5,,207.600006,,,-704.200012,,2554.700012,2058.100006,,2058.100006,4065.600006,
06/30/1990,4611.299805,1261.700012,538.0,723.700012,627.0,,,380.600006,,,,,281.0,,,2550.300049,1271.199951,1953.800049,-682.599976,463.799988,326.0,,,,326.0,2060.999939,,161.300003,161.300003,,,1357.099976,,,,,495.600021,495.600021,2014.0,185.199997,,,,223.300003,,223.300003,408.5,2422.5,,266.299988,,,-699.700012,,2587.200012,2153.799988,,2153.799988,4576.299988,
09/30/1990,4037.5,955.800018,808.900024,146.899994,443.899994,,,332.899994,,,,,276.799988,,,2009.400024,1243.599976,1918.900024,-675.299988,472.700012,311.799988,,,,311.799988,2028.099976,,168.699997,168.699997,,,528.200012,,,,,605.599991,605.599991,1302.5,185.100006,,,,310.299988,,310.299988,495.399994,1797.899994,,269.600006,,,-708.200012,,2678.200012,2239.600006,,2239.600006,4037.5,
12/31/1990,4103.100098,920.399994,742.5,177.899994,467.399994,,,357.700012,,,,,254.600006,,,2000.099976,1284.400024,1980.5,-696.099976,514.0,304.600006,,,,304.600006,2103.00003,,195.0,195.0,,,782.799988,,,,,551.700012,551.700012,1529.5,182.899994,,,,309.899994,,309.899994,492.799988,2022.299988,,278.799988,,,-945.0,,2747.0,2080.799988,,2080.799988,4103.099976,
03/31/1991,4116.799805,1107.100021,949.400024,157.699997,677.599976,,,340.200012,,,,,255.800003,,,2380.699951,1365.099976,2094.800049,-729.700012,57.700001,313.299988,,,,313.299988,1736.099964,,178.600006,178.600006,,,777.299988,,,,,633.900055,633.900055,1589.800049,182.699997,,,,324.600006,,324.600006,507.300003,2097.100052,,282.200012,,,-1138.199951,,2843.399902,1987.399963,,1987.399963,4084.500015,
06/30/1991,4116.799805,1107.100021,949.400024,157.699997,677.599976,,,340.200012,,,,,255.800003,,,2380.699951,1365.099976,2094.800049,-729.700012,57.700001,313.299988,,,,313.299988,1736.099964,,163.699997,163.699997,,,936.0,,,,,654.200027,654.200027,1753.900024,182.399994,,,,324.200012,,324.200012,506.600006,2260.500031,,285.899994,,,-1355.800049,,2926.200073,1856.300018,,1856.300018,4116.800049,
09/30/1991,4027.5,1135.099991,904.799988,230.300003,493.899994,,,347.200012,,,,,249.5,,,2225.699951,1419.800049,2173.5,-753.700012,56.099998,325.899994,,,,325.899994,1801.800041,,159.300003,159.300003,,,755.5,,,,,743.299973,743.299973,1658.099976,185.0,,,,332.799988,,332.799988,517.799988,2175.899963,,289.100006,,,-1464.0,,3026.5,1851.600006,,1851.600006,4027.499969,
12/31/1991,4013.199951,927.199982,584.299988,342.899994,513.900024,,,385.899994,,,,,275.399994,,,2102.399902,1490.400024,2268.0,-777.599976,52.299999,368.100006,,,,368.100006,1910.800029,,204.300003,204.300003,,,606.200012,,,,,717.699936,717.699936,1528.199951,753.599976,,,,385.299988,,385.299988,1138.899964,2667.099915,,272.299988,,,-1487.400024,,2561.200073,1346.100037,,1346.100037,4013.199952,
03/31/1992,3867.699951,685.399994,407.600006,277.799988,573.099976,,,368.399994,,,,,296.799988,,,1923.699951,1517.599976,2308.800049,-791.200012,51.400002,375.0,,,,375.0,1943.999977,,169.600006,169.600006,,,968.599976,,,,,755.600067,755.600067,1893.800049,184.800003,,,,365.299988,,365.299988,550.099991,2443.90004,,274.399994,,,-1423.800049,,2573.200073,1423.800018,,1423.800018,3867.700058,
06/30/1992,4282.399902,807.800003,638.0,169.800003,760.400024,,,389.299988,,,,,321.0,,,2278.5,1590.400024,2411.5,-821.099976,49.599998,363.899994,,,,363.899994,2003.900017,,199.199997,199.199997,,,1278.0,,,,,799.699905,799.699905,2276.899902,184.5,,,,350.5,,350.5,535.0,2811.899902,,276.799988,,,-1610.099976,,2803.799927,1470.499939,,1470.499939,4282.399841,
