Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/2000,703.5,21.4,920.200012,431.100006,2076.199951,-1338.899979,-458.200012,279.100006,9.9,289.000006,-102.900002,186.100006,0.0,0,186.100006,0,0.0,186.100006,27.4,-2.3,211.200004,0.64,0.61,0.61,314.799988,0.64,0.61,0.61,315.100006,
06/30/2000,959.5,59.799999,926.0,372.799988,2318.100098,-1562.500031,-464.899994,290.700012,49.0,339.700012,-109.599998,230.100006,0.0,0,230.100006,0,0.0,230.100006,-4.6,1.9,227.400014,0.58,0.74,0.74,314.799988,0.58,0.73,0.73,316.5,
09/30/2000,699.900024,-1.3,945.799988,379.600006,2024.0,-1322.400024,-447.299988,254.300003,3.5,257.800003,-81.699997,176.100006,0.0,0,176.100006,0,,176.100006,2.4,,178.500006,0.56,0.585,0.585,314.799988,0.55,0.58,0.58,317.0,
12/31/2000,1089.199951,15.0,927.200012,348.799988,2380.199951,-1687.899948,-468.399994,223.899994,54.5,278.399994,-52.0,226.399994,0.0,0,226.399994,0,,226.399994,1.7,-3.2,224.899994,0.57,0.736,0.736,313.600006,0.57,0.73,0.73,316.399994,
03/31/2001,1095.699951,-24.4,988.099976,334.899994,2394.300049,-1708.399948,-432.399994,253.5,-23.6,229.9,-69.099998,160.800003,7.2,0,168.0,0,0.0,168.0,23.6,-8.6,175.800001,0.61,0.52,0.54,311.200012,0.61,0.51,0.54,313.799988,
06/30/2001,776.299988,-15.6,988.799988,395.399994,2144.899902,-1425.100052,-456.399994,263.399994,-7.0,256.399994,-73.199997,183.199997,0.0,0,183.199997,0,0.0,183.199997,7.0,-2.7,187.499997,0.65,0.6,0.6,306.859985,0.64,0.59,0.59,310.100006,
09/30/2001,717.299988,-58.5,992.799988,395.700012,2047.300049,-1394.100021,-427.399994,225.800003,0.8,226.600003,-61.400002,165.199997,0.0,0,165.199997,0,0.0,165.199997,-0.8,,164.400001,0.67,0.55,0.55,302.559998,0.66,0.54,0.54,306.01001,
12/31/2001,1262.0,-150.600006,975.200012,435.899994,2522.5,-1948.400055,-445.399994,128.699997,-15.5,113.199997,-10.9,102.300003,0.0,0,102.300003,0,0.0,102.300003,15.0,,117.299997,0.71,0.34,0.34,301.0,0.71,0.34,0.34,301.0,
03/31/2002,742.400024,-85.699997,969.900024,419.200012,2045.800049,-1377.500031,-466.799988,201.5,-3.2,198.3,-51.799999,146.5,0.0,0,146.5,0,0.0,146.5,3.2,,149.700001,0.68,0.49,0.49,296.399994,0.68,0.49,0.49,300.0,
06/30/2002,963.599976,-139.0,979.099976,398.700012,2202.399902,-1616.000031,-435.5,150.899994,-26.6,124.299994,-26.0,98.300003,0.0,0,98.300003,0,0.0,98.300003,20.700001,,118.999994,0.73,0.34,0.34,293.200012,0.72,0.33,0.33,295.100006,
