Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
09/30/1993,236.285004,86.237999,71.752998,0,-4.924,30.177,,-23.542999,-0.073,4.69,,16.986,,34.601002,20.379999,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1994,66.452003,108.940002,72.200996,0,-6.721,8.591,,0.891,-0.044,-24.188999,,19.825001,,-63.597,34.979,-84.424004,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1994,122.836998,57.57,72.821999,0,-3.697,19.975,,6.247,-0.082,58.214001,,-45.435001,,17.903,-50.939999,-9.74,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1994,140.5,66.196999,73.419998,0,-5.822,1.606,,16.554001,1.547,40.438999,,-16.799,,-27.540001,-6.103,-2.999,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1994,111.781998,-6.006,75.952003,0,-2.293,0.754,,20.535,8.625,-33.914001,,-3.54,,65.042999,0.0,-13.374,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1995,188.481995,110.266998,73.456001,0,-3.265,1.769,,12.278,0.0,20.250999,,16.83,,-80.461998,37.223999,0.134,,-75.903,0.0,0.0,,-75.903,,,,,,,,,,0.0,,,,
06/30/1995,97.677002,68.682999,68.214996,0,-2.917,-13.353,,-1.758,-0.001,27.370001,,-11.91,,-1.605,-35.242001,0.195,,-80.363998,0.0,0.0,,-80.363998,,,,,,,,,,0.0,,,,
09/30/1995,219.572998,115.686996,68.68,0,-0.868,39.419998,,-21.027,-0.006,-15.587,,21.297001,,-11.346,26.240999,-2.918,,-69.351997,0.0,0.0,,-69.351997,,,,,,,,,,0.0,,,,
12/31/1995,220.451004,83.398003,69.407997,0,-2.979,0.575,,28.405001,-1.028,-103.675003,,24.997,,90.348999,28.412001,2.589,,-91.221001,0.0,0.0,,-91.221001,,,,-91.221001,,,,,,0.0,,,129.230003,
03/31/1996,374.946991,116.910004,70.195,0,-1.489,16.978001,,-6.042,-0.024,143.778,,29.169001,,12.675,-7.203,,,-48.622002,0.0,0.0,,-48.622002,,,,,,,,,,0.0,,,,
