Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/30/2008,,18.221,3.901,22.122,0.48,0.48,-0.399,,8.645912,1.851035,10.496947,,7.954545,1.703017,9.657563,
09/30/2008,,11.932,6.104,18.036,0.009,0.009,-0.267,,5.405503,2.765269,8.170773,,4.970134,2.542549,7.512684,
12/31/2008,,35.491,,35.491,,,,,15.78725,,15.78725,,14.402178,,14.402178,
03/31/2009,,27.883,,27.883,,,,,12.167163,,12.167163,,11.464012,,11.464012,
06/30/2009,29.949,26.289,,56.238,0.02,0.02,,12.738835,11.18205,0.0,23.920885,11.880045,10.428212,0.0,22.308257,
09/30/2009,,56.803,,56.803,,,,,23.460099,0.0,23.460099,,21.234766,0.0,21.234766,
12/31/2009,,70.997,,70.997,0.259,0.259,,,28.765036,,28.765036,,25.60425,,25.60425,
03/31/2010,,63.142,,63.142,0.234,0.234,,,25.00396,0.0,25.00396,,23.160242,0.0,23.160242,
06/30/2010,,74.087,,74.087,0.338,0.338,,,28.448498,0.0,28.448498,,25.955731,0.0,25.955731,
09/30/2010,,74.218,,74.218,0.185,0.185,,,28.983934,0.0,28.983934,,25.844712,0.0,25.844712,
12/31/2010,,72.552,,72.552,0.337,0.337,,,27.399723,0.0,27.399723,,24.222676,0.0,24.222676,
03/31/2011,89.619,79.903,,169.522,,,,31.849359,28.396426,0.0,60.245785,29.50614,26.307247,0.0,55.813387,
06/30/2011,107.192,75.696,,75.696,0.06,0.06,,36.602164,25.847427,0.0,25.847427,33.365394,23.56171,0.0,23.56171,
09/30/2011,,80.2,,80.2,0.126,0.126,,,26.223462,0.0,26.223462,,23.643868,0.0,23.643868,
12/31/2011,111.256,78.265,,189.521,,,,35.608871,25.04969,0.0,60.658561,31.83673,22.396111,0.0,54.232841,
03/31/2012,96.35,60.086,,156.436,0.311,0.311,,38.707682,24.13897,0.0,62.846652,35.098904,21.888456,0.0,56.987359,
06/30/2012,106.329,58.592,,164.921,0.181,0.181,,40.624678,22.386001,0.0,63.010679,36.699594,20.223106,0.0,56.9227,
09/30/2012,125.474,54.181,,179.655,0.047,0.047,,46.141343,19.92432,0.0,66.065663,41.14873,17.768457,0.0,58.917187,
12/31/2012,83.519,51.223,,134.742,,,,34.410033,21.104002,,55.514035,29.845162,18.304323,,48.149485,
03/31/2013,99.801,17.059,,116.86,0.251,0.251,,39.524992,6.756013,,46.281005,35.280206,6.030451,,41.310657,
06/30/2013,89.819,14.479,,104.298,0.227,0.227,,33.196952,5.351414,0.0,38.548366,29.4124,4.741337,0.0,34.153737,
09/30/2013,73.507,58.437,,131.944,0.326,0.326,,25.646152,20.388319,0.0,46.034471,22.094876,17.565106,0.0,39.659982,
12/31/2013,90.536,67.27,,157.806,,,,29.171097,21.67469,,50.845787,25.581645,19.007657,,44.589302,
03/31/2014,90.862,63.483,0.0,154.345,0.339,0.339,,28.549524,19.946836,0.0,48.49636,26.232414,18.32793,0.0,44.560344,
06/30/2014,80.4,65.742,,,,,,24.893259,20.354884,,,22.538749,18.429632,,,
09/30/2014,80.663,57.198,0.0,137.861,,,,24.720275,17.529106,0.0,42.249382,22.226784,15.760976,0.0,37.98776,
12/31/2014,62.126,64.966,,127.092,,,,18.589022,19.438793,,38.027815,16.35394,17.101536,,33.455476,
03/31/2015,51.944,62.246,0.0,114.19,,,,15.070647,18.059593,0.0,33.130241,13.716616,16.437018,0.0,30.153633,
06/30/2015,46.182,67.517,0.0,113.699,0.107,0.107,,12.833431,18.762175,0.0,31.595606,11.576003,16.923844,0.0,28.499847,
09/30/2015,51.175,95.702,0.0,146.877,,,,13.702536,25.625015,0.0,39.327552,12.292168,22.987495,0.0,35.279663,
12/31/2015,61.913,85.06,,146.973,,,,15.846158,21.770456,,37.616614,14.101872,19.374045,,33.475917,
03/31/2016,31.973,146.096,,178.069,,,,7.790388,35.597053,0.0,43.387441,7.076146,32.333426,0.0,39.409572,
06/30/2016,36.97,151.848,0.0,188.818,,,,8.476422,34.815465,0.0,43.291887,7.748656,31.826289,0.0,39.574945,
09/30/2016,37.609,170.973,0.0,208.582,,,,8.326101,37.851007,0.0,46.177109,7.48958,34.048125,0.0,41.537705,
12/31/2016,,,,,,,,12.515251,41.481326,0.0,53.996577,11.092489,36.765636,0.0,47.858125,
03/31/2017,26.627,217.466,,244.093,,,,5.520208,45.084222,0.0,50.60443,5.017203,40.976119,0.0,45.993322,
06/30/2017,11.087,235.015,0.0,246.102,,,,2.211967,46.887843,0.0,49.099811,2.026722,42.961131,0.0,44.987853,
09/30/2017,25.213,237.812,0.0,263.025,,,,4.934939,46.546932,0.0,51.481871,4.483531,42.289192,0.0,46.772722,
12/31/2017,88.562,238.819,0.0,327.381,,,,17.204255,46.393521,0.0,63.597776,15.236945,41.088412,0.0,56.325357,
03/31/2018,61.139,244.559,0.0,305.698,,,,11.381813,45.527809,0.0,56.909622,10.375327,41.501817,0.0,51.877144,
06/30/2018,101.896,249.329,0.0,351.225,,,,18.28131,44.73248,0.0,63.01379,16.498758,40.370759,0.0,56.869517,
09/30/2018,112.829,237.57,0.0,350.399,,,,19.499739,41.058177,0.0,60.557916,17.462248,36.768086,0.0,54.230334,
12/31/2018,112.529,239.084,0.0,351.613,,,,18.511774,39.330918,0.0,57.842692,16.178676,34.373917,0.0,50.552593,
03/31/2019,155.57,223.554,0.0,379.124,,,,24.648813,35.420331,0.0,60.069144,20.078497,28.852788,0.0,48.931285,
06/30/2019,108.362,230.917,0.0,339.279,,,,16.371157,34.88657,0.0,51.257728,13.344926,28.437739,0.0,41.782665,
09/30/2019,163.734,235.856,0.0,399.59,,,,23.571635,33.954534,0.0,57.526169,19.149593,27.584658,0.0,46.734251,
12/31/2019,99.755,227.705,0.0,327.46,,,,12.953664,29.568583,0.0,42.522247,10.446315,23.845203,0.0,34.291519,
03/31/2020,152.808,128.238,0.0,281.046,,,,19.15168,16.072281,0.0,35.223961,15.662928,13.144486,0.0,28.807414,
06/30/2020,153.75,132.768,0.0,286.518,,,,18.014397,15.556003,0.0,33.570401,14.794793,12.775773,0.0,27.570565,
