Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/30/1990,2.416,2.542,1.95,-0.131,,,-0.131,-1.945,,,,-1.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1990,-1.442,2.131,2.147,-2.574,,,-2.574,-3.146,,,,-3.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/28/1990,5.478,0.942,2.217,-0.19,,,-0.19,2.509,,,,2.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/1990,1.36,2.487,2.249,-2.49,,,-2.49,-0.886,,,,-0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/1991,-4.264,-0.968,2.348,0.241,,,0.241,-5.885,,,,-5.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1991,6.143,-1.715,2.44,0.089,,,0.089,5.329,,,,5.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1991,-1.464,2.821,2.306,0.532,,,0.532,-7.123,,,,-7.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/1991,3.996,6.493,2.762,-1.031,,,-1.031,-4.228,,,,-4.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/27/1992,4.174,3.44,2.579,-0.859,,,-0.859,-0.986,,,,-0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/26/1992,4.104,1.972,2.729,0.302,,,0.302,-0.899,,,,-0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/1992,2.75,1.702,2.809,-0.521,,,-0.521,-1.24,,,,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/1993,5.127,9.74,3.253,-2.45,,,-2.45,-5.416,,,,-5.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.127,,,
04/02/1993,4.829,5.645,2.839,-4.691,,,-4.691,1.036,,,,1.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/02/1993,6.774,4.793,3.062,-0.402,,,-0.402,-0.679,,,,-0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/1993,-0.941,6.374,3.368,-1.197,,,-1.197,-9.486,,,,-9.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,5.943,15.155,5.242,-5.891,,,-5.891,-8.563,,,,-8.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.943,,,
04/01/1994,16.459,11.198,4.706,3.677,,,3.677,-3.122,,,,-3.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/1994,21.6,17.018,4.802,0.194,,,0.194,-0.414,,,,-0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,27.945,18.098,4.51,2.199,,,2.199,3.138,,,,3.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/1994,45.111,26.075001,5.484,-7.574,,,-7.574,21.125999,,,,21.125999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
