Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,5711,79,79,0,871,871,0,1063,0,284,608,171,298,0.0,,143,202,2311,1243,2149.0,-906.0,0,2157,1917,989,928,97,3400,,382,214,18,0.0,150,0,0.0,0.0,0.0,,0.0,461,0.0,0.0,461,843,575,575,0.0,0.0,,557,0.0,37.0,37.0,0.0,311,209,1132,1975,0,3785.0,3785.0,,0.0,0.0,-65,3720,16,3736,5711,
04/01/2012,5906,113,113,0,848,848,0,1230,0,321,718,191,335,,,145,238,2526,1242,,,0,2138,1905,990,915,88,3380,,352,200,12,,140,0,0.0,,,,,453,,,453,805,579,579,,,,572,,,,,322,250,1151,1956,0,,,,0.0,0.0,3934,3934,16,3950,5906,
07/01/2012,5800,106,106,0,889,889,0,1172,0,307,688,177,310,,,168,222,2477,1199,,,0,2124,1868,980,888,88,3323,,357,222,32,,103,0,0.0,,,,,384,,,384,741,573,573,,,,555,,,,,323,232,1128,1869,0,,,,0.0,,3915,3915,16,3931,5800,
09/30/2012,5904,133,133,0,848,848,0,1272,0,316,767,189,302,,,218,230,2555,1204,,,0,2145,1858,981,877,69,3349,,382,195,42,,145,0,0.0,,,,,355,,,355,737,580,580,,,,478,,,,,299,179,1058,1795,0,,,,0.0,0.0,4094,4094,15,4109,5904,
12/31/2012,6262,317,317,0,900,900,0,1345,0,332,799,214,302,0.0,,216,201,2864,1241,2252.0,-1011.0,0,2157,1853,985,868,88,3398,,543,319,30,0.0,194,73,0.0,0.0,0.0,,73.0,507,0.0,0.0,507,1123,509,509,0.0,0.0,,589,0.0,4.0,4.0,0.0,323,262,1098,2221,0,4183.0,,,0.0,0.0,-157,4026,15,4041,6262,
03/31/2013,6142,468,468,0,861,861,0,1120,0,205,699,216,493,2.0,,63,410,2942,1237,2166.0,-929.0,0,1963,1840,985,855,58,3200,,489,275,49,33.0,132,6,0.0,,,,6.0,792,,1.0,792,1287,3640,3640,,,,491,,,,,337,153,4131,5418,0,817.0,5.0,812.0,0.0,13.0,-121,709,15,724,6142,
06/30/2013,6261,369,369,0,1137,1137,0,1257,0,227,844,186,319,4.0,,54,227,3082,1252,2226.0,-974.0,0,1927,1816,982,834,53,3179,,860,587,83,33.0,157,12,0.0,,,,12.0,449,,1.0,449,1321,3640,3640,,,,477,,,,,308,168,4117,5438,0,874.0,5.0,869.0,0.0,109.0,-183,800,23,823,6261,
09/29/2013,6259,389,389,0,1110,1110,0,1290,0,203,887,200,294,,,70,222,3083,1252,2248.0,-996.0,0,1924,1795,980,815,59,3176,,820,482,121,33.0,184,10,0.0,,,,10.0,478,,,477,1308,3642,3642,,,,443,,,,,269,174,4085,5393,0,881.0,5.0,876.0,0.0,207.0,-245,843,23,866,6259,
12/31/2013,6558,610,610,0,1138,1138,0,1293,213,218,862,0,316,0.0,,63,209,3357,1295,2323.0,-1028.0,0,1906,1785,982,803,58,3201,,1381,506,40,36.0,799,15,15.0,0.0,0.0,,,19,0.0,0.0,14,1415,3642,3642,0.0,0.0,,539,0.0,28.0,28.0,0.0,322,189,4181,5596,0,883.0,5.0,878.0,,276.0,-219,940,22,962,6558,
03/30/2014,6403,506,506,0,1100,1100,0,1316,0,284,790,242,300,,,57,198,3222,1292,2358.0,-1066.0,0,1889,1769,982,787,63,3181,,660,363,84,36.0,177,16,0.0,,,,16.0,451,,7.0,451,1127,3642,3642,,,,535,,,,,319,209,4177,5304,0,911.0,5.0,906.0,0.0,395.0,-229,1077,22,1099,6403,
06/29/2014,6522,578,578,0,1098,1098,0,1336,0,290,801,245,315,,,57,202,3327,1309,2423.0,-1114.0,0,1886,1758,984,774,71,3195,,606,337,97,0.0,172,12,0.0,,,,12.0,443,,,437,1061,3642,3642,,,,536,,,,,314,222,4178,5239,0,928.0,5.0,923.0,0.0,531.0,-199,1260,23,1283,6522,
