Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,6.936,6.163,6.489,,1.792,,,1.792,-7.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,8.351,6.782,5.146,,-1.646,,,-1.646,-1.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,16.098,5.157,7.733,,2.257,,,2.257,0.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,12.291,4.765,9.046,,-3.337,,,-3.337,1.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,16.864,6.704,7.171,,5.271,,,5.271,-2.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,11.104,7.251,6.717,,-5.788,,,-5.788,2.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,3.855,8.313,6.162,,-3.067,,,-3.067,-7.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,20.023001,8.511,5.826,,-0.374,,,-0.374,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,45.223,11.176,6.272,,2.131,,,2.131,25.643999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,-4.126,13.51,5.985,,4.916,,,4.916,-28.537001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,27.775999,15.432,6.06,,-5.317,,,-5.317,11.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,11.031,7.121,5.565,,4.674,,,4.674,-6.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.031,,,
03/31/1993,149.263,-1.977,10.025,,38.176998,,,38.176998,103.038002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-78.513,22.628,7.295,,-14.413,,,-14.413,-94.023003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,88.323997,21.729,8.296,,-37.715,,,-37.715,96.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,96.512001,-61.403999,28.472,,74.302002,,,74.302002,55.141998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.512001,,,
03/31/1994,195.188004,54.971001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,129.664001,57.108002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,174.292999,62.151001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1.544,62.641998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,103.137001,-12.345,15.882,,76.181,,,76.181,23.419001,,,,,,,,,,,-11.413,,-11.413,,,,,,,,,,,,,,,,,,11.413,,,,,,,,,,,,,,,,,
06/30/1995,61.876999,57.908001,15.085,,-33.946999,,,-33.946999,22.830999,,,,,,,,,,,-24.139,,-24.139,,,,,,,,,,,,,,,,,,24.139,,,,,,,,,,,,,,,,,
09/30/1995,-58.693001,62.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,146.656998,78.297997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1996,47.928001,82.730003,,,,,,,,,,,,,,,,,,-17.551001,,-17.551001,,,,,,,,,,,,,,,,,,17.551001,,,,,,,,,,,,,,,,,
06/30/1996,62.455002,89.120003,,,,,,,,,,,,,,,,,,-11.165,,-11.165,,,,,,,,,,,,,,,,,,11.165,,,,,,,,,,,,,,,,,
09/30/1996,181.102005,68.341003,,,,,,,,,,,,,,,,,,-11.497,,-11.497,,,,,,,,,,,,,,,,,,11.497,,,,,,,,,,,,,,,,,
12/31/1996,97.214996,89.984001,,,,,,,,,,,,,,,,,-67.106003,-67.106003,,-67.106003,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,30.108993,,,
03/31/1997,165.777,100.078,38.682,,49.667,,,49.667,-22.65,,,,,,,,,,-594.304,-16.971,0.383,-17.354,-47.801,1074.047,,,,-1121.848,,,,-546.989,,,,,,,,17.457,306.203,-35.035,73.819,,,,,-77.434,4.883,-82.317,344.853,0.0,,-122.324,6.019,249.575,
06/30/1997,88.097,103.281998,,,,,,,,,,,,,,,,,,-23.143999,,-23.143999,,,,,,,,,,,,,,,,,,23.143999,,,,,,,,,,,,,,,,,
09/30/1997,134.516006,66.235001,,,,,,,,,,,,,,,,,,-49.249001,,-49.249001,,,,,,,,,,,,,,,,,,49.249001,,,,,,,,,,,,,,,,,
12/31/1997,-111.279999,89.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
