Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,573.700012,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,27.0,27.0,,50.599998,0.49,0.49,,50.599998,0.49,0.49,0.49,
03/31/1990,589.799988,,-441.700012,,148.099976,,-115.300003,,,32.799999,-6.4,,7.1,,,,-0.7,26.399999,-10.2,16.200001,0.0,,,16.2,0.0,16.200001,-2.1,,14.100001,14.100001,,50.599998,0.28,0.28,,50.599998,0.28,0.28,0.28,
06/30/1990,632.5,,-453.600006,,178.899994,,-119.099998,,,59.799999,-3.5,,6.7,,,,-3.2,56.299999,-21.4,34.900002,-20.5,,,55.4,0.0,55.400002,-2.1,,53.300002,53.300002,,50.799999,1.05,0.645,,50.799999,1.05,0.645,0.645,
09/30/1990,634.5,,-477.799988,,156.700012,,-122.199997,,,34.5,-4.7,,6.8,,,,-2.1,29.8,20.799999,50.599998,0.0,,,50.599999,0.0,50.599998,-2.1,,48.499999,48.499999,,50.799999,0.955,0.955,,50.799999,0.955,0.955,0.955,
12/31/1990,575.799988,,-417.600006,,158.199982,,-133.699997,,,24.5,-4.6,,5.7,,0.0,,-1.1,19.9,-5.8,14.1,0.0,,,14.1,0.0,14.1,-2.2,,11.9,11.9,,50.724,0.235,0.235,0.235,50.724,0.235,0.235,0.235,
03/31/1991,577.700012,,-443.0,,134.700012,,-129.5,,,5.2,-10.3,,9.9,,,,0.4,-5.1,2.2,-2.9,0.0,,,-2.9,0.0,-2.9,-2.1,,-5.0,-5.0,,50.799999,-0.1,-0.1,,50.799999,-0.1,-0.1,-0.1,
06/30/1991,637.0,,-484.700012,,152.299988,,-127.599998,,,24.700001,-11.7,,8.5,,,,3.2,13.000001,-4.7,8.3,0.0,,,8.300001,0.0,8.3,-2.1,,6.2,6.2,,50.799999,0.125,0.125,,50.799999,0.125,0.125,0.125,
09/30/1991,649.5,,-480.200012,,169.299988,,-119.400002,,,49.900002,-15.5,,10.7,,,,4.8,34.400002,-13.7,20.700001,0.0,,,20.700002,0.0,20.700001,-2.1,,18.600001,18.600001,,50.799999,0.365,0.365,,50.799999,0.365,0.365,0.365,
12/31/1991,607.400024,,-484.799988,,122.600036,,-132.899994,,,-10.3,-141.499994,,11.5,,0.1,,129.899994,-151.799994,45.099998,-106.699997,0.0,,,-106.699996,0.0,-106.699997,-2.0,,-108.699997,-108.699997,,50.793,-2.14,-2.14,-2.14,50.793,-2.14,-2.14,-2.14,
03/31/1992,397.799988,,-276.899994,,120.899994,,-105.099998,,,15.8,-15.5,,9.6,,,,5.9,0.3,1.0,1.3,289.700012,,,-288.400012,0.0,-288.399994,-2.1,,-290.499994,-290.499994,,50.799999,-5.715,-0.01,,50.799999,-5.715,-0.01,-0.01,
