Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,0.745,13.501,2.469,5.137,-20.362,,,,,,
06/30/1990,-4.08,17.950001,2.625,-17.253,-7.402,,,,,,
09/30/1990,23.976,17.68,2.845,-1.238,4.689,,,,,,
12/31/1990,43.313999,19.507999,2.998,2.117,18.691,,,,,,
03/31/1991,46.126999,15.68,2.998,3.1,24.349001,,,,,,
06/30/1991,-20.912001,17.92,2.885,-30.929001,-10.788,,,,,,
09/30/1991,18.620001,18.607,2.596,15.125,-17.708,,,,,,
12/31/1991,33.945999,22.465,3.435,0.641,7.405,,,,,,
03/31/1992,49.638,-20.443001,3.024,24.209,42.848,,,,,,
06/30/1992,-26.999001,19.718,3.133,7.441,-57.291,,,,,,
09/30/1992,23.799,19.892,3.225,10.039,-9.357,,,,,,
12/31/1992,37.047001,12.455,3.542,0.716,20.334,,,,37.047001,,
03/31/1993,130.175003,20.462,3.038,13.472,93.203003,,,,,,
06/30/1993,1.634,23.733999,3.174,17.492001,-42.765999,,,,,,
09/30/1993,-5.186,26.528,2.961,-7.631,-27.044001,,,,,,
12/31/1993,15.148,26.433001,3.495,35.914001,-50.694,,,,15.148,,
03/31/1994,72.410004,23.624001,3.134,24.304001,21.348,,,,,,
06/30/1994,33.722,24.164,3.086,17.688,-11.216,,,,,,
09/30/1994,-6.9,25.51,3.204,-13.721,-21.893,,,,,,
12/31/1994,78.628998,22.886999,3.282,35.487,16.973,,,,78.628998,,
03/31/1995,51.898998,24.290001,3.116,15.574,8.919,,-1.084,,,,
06/30/1995,30.035,26.167,3.366,9.955,-9.453,,-0.809,,,,
09/30/1995,39.152,26.643,3.197,22.620001,-13.308,,-0.951,,,,
12/31/1995,59.255001,28.313999,4.026,50.602001,-23.687,-1.953,-1.953,,57.302001,,
03/31/1996,66.959999,26.191,3.027,21.774,15.968,,-0.753,,,,
06/30/1996,63.0,-4.07,3.161,77.753998,-13.845,,-1.324,,,,
09/30/1996,62.23,27.047001,3.928,-37.470001,68.724998,,-1.041,,,,
12/31/1996,39.292999,26.858999,2.138,84.042,-73.746002,,-1.251,,,,
03/31/1997,119.684998,28.587999,2.749,72.281998,16.066,,-0.331,,,,
