Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1996,13155,355,355,0,2054,,,0.0,,,,,1286,,,,,3695,9059,15293,-6234,0.0,,401,,,,,401,9460,,1225,1225,,,,0,,,,,,1677,,,,1677,2902,1966,,,,,2903,,,2903,4869,7771,0.0,149,,,0,,5235,5384,0.0,5384,13155,
06/30/1996,13219,225,225,0,2162,,,0.0,,,,,1225,,,,,3612,9212,15640,-6428,0.0,,395,,,,,395,9607,,1297,1297,,,,0,,,,,,1720,,,,1720,3017,1744,,,,,2955,,,2955,4699,7716,0.0,146,,,0,,5357,5503,0.0,5503,13219,
09/30/1996,13732,376,376,0,2186,,,0.0,,,,,1068,,,,,3630,9713,16354,-6641,0.0,,389,,,,,389,10102,,1311,1311,,,,0,,,,,,1702,,,,1702,3013,1803,,,,,3064,,,3064,4867,7880,0.0,148,,,0,,5704,5852,0.0,5852,13732,
12/31/1996,14954,392,392,0,2341,,,0.0,,,,,1522,,,,,4255,10230,17008,-6778,0.0,,469,,,,,469,10699,,1155,1155,,,,0,,,,,,2003,,,,2003,3158,2573,,,,,3322,,,3322,5895,9053,0.0,152,,,0,,5749,5901,0.0,5901,14954,
03/31/1997,15261,479,479,0,2352,,,0.0,,,,,1739,,,,,4570,10239,17183,-6944,0.0,,452,,,,,452,10691,,1113,1113,,,,0,,,,,,1787,,,,1787,2900,2766,,,,,3498,,,3498,6264,9164,0.0,168,,,0,,5929,6097,0.0,6097,15261,
06/30/1997,15127,671,671,0,2249,,,0.0,,,,,1374,,,,,4294,10382,17512,-7130,0.0,,451,,,,,451,10833,,1096,1096,,,,0,,,,,,1911,,,,1911,3007,2358,,,,,3561,,,3561,5919,8926,0.0,146,,,0,,6055,6201,0.0,6201,15127,
09/30/1997,16783,1663,1663,0,2269,,,0.0,,,,,1633,,,,,5565,10806,18143,-7337,0.0,,412,,,,,412,11218,,1226,1226,,,,900,,,,,,1981,,,,1981,4107,2885,,,,,3608,,,3608,6493,10600,0.0,152,,,0,,6031,6183,0.0,6183,16783,
12/31/1997,15912,460,460,0,2405,,,0.0,,,,,1612,,,,,4477,11007,18502,-7495,0.0,,428,,,,,428,11435,,1207,1207,,,,41,,,,,,2150,,,,2150,3398,2583,,,,,3844,,,3844,6427,9825,0.0,56,,,0,,6031,6087,0.0,6087,15912,
03/31/1998,16262,624,624,0,2383,,,0.0,466.0,0.0,0.0,0.0,1972,,,,,4979,10939,18583,-7644,0.0,,344,0.0,,,,344,11283,,1122,1122,,,,229,,,,,,2046,,,,2046,3397,2456,,,,,3987,,,3987,6443,9840,0.0,58,,,0,,6364,6422,0.0,6422,16262,
06/30/1998,16254,460,460,0,2412,,,0.0,487.0,0.0,0.0,0.0,2244,,,,,5116,10863,18721,-7858,0.0,,275,0.0,,,,275,11138,,1094,1094,,,,243,,,,,,2080,,,,2080,3417,2374,,,,,3909,,,3909,6283,9700,0.0,56,,,0,,6498,6554,0.0,6554,16254,
09/30/1998,17040,1679,1332,347,2508,,,0.0,431.0,0.0,0.0,0.0,1489,,,,,5676,11094,19185,-8091,0.0,,270,0.0,,,,270,11364,,1217,1217,,,,244,,,,,,2150,,,,2150,3611,2371,,,,,4006,,,4006,6377,9988,0.0,70,,,0,,6982,7052,0.0,7052,17040,
12/31/1998,17067,1629,1240,389,2713,,,0.0,380.0,0.0,0.0,0.0,1083,,,,,5425,11384,19554,-8170,0.0,,258,0.0,,,,258,11642,,1322,1322,,,,410,,,,,,1985,,,,1985,3717,2191,,,,,3986,,,3986,6177,9894,0.0,381,,,-425,,7217,7173,0.0,7173,17067,
03/31/1999,18498,3275,2795,480,2677,,,0.0,417.0,0.0,0.0,0.0,878,,,,,6830,11420,19794,-8374,0.0,,248,,,,,248,11668,,1147,1147,,,,1157,,,,,,2124,,,,2124,4428,2142,,,,,4082,,,4082,6224,10652,0.0,224,,,-32,,7654,7846,0.0,7846,18498,
06/30/1999,18302,3243,1778,1465,2628,,,0.0,442.0,0.0,0.0,0.0,733,,,,,6604,11466,20054,-8588,0.0,,232,,,,,232,11698,,1282,1282,,,,1095,,,,,,3793,,,,3793,6170,2138,,,,,3872,,,3872,6010,12180,0.0,245,,,-590,,6467,6122,0.0,6122,18302,
09/30/1999,18717,2643,1955,688,2845,,,0.0,434.0,0.0,0.0,0.0,1431,,,,,6919,11567,20379,-8812,0.0,,231,,,,,231,11798,,1313,1313,,,,2155,,,,,,2630,,,,2630,6098,1817,,,,,3971,,,3971,5788,11886,0.0,343,,,-569,,7057,6831,0.0,6831,18717,
12/31/1999,23028,6278,4204,2074,3167,,,0.0,366.0,0.0,0.0,0.0,747,,,,,10192,11579,20470,-8891,0.0,,1257,,,,,1257,12836,,1295,1295,,,,512,470.0,42.0,42.0,,,2391,,,,2391,4198,1912,1396.0,516.0,516.0,,4444,,,4444,6356,10554,0.0,5108,,,0,,7366,12474,0.0,12474,23028,
03/31/2000,20918,4178,2471,1707,3306,,,0.0,460.0,0.0,0.0,0.0,1596,,,,,9080,11462,20478,-9016,0.0,,376,,,,,376,11838,,1568,1568,,,,1244,,,,,,2648,,,,2648,5460,1952,,,,,4522,,,4522,6474,11934,0.0,1023,,,0,,7961,8984,0.0,8984,20918,
06/30/2000,21085,4658,2381,2277,3216,,,0.0,406.0,0.0,0.0,0.0,1382,,,,,9256,11450,20695,-9245,0.0,,379,,,,,379,11829,,1267,1267,,,,1449,,,,,,2827,,,,2827,5543,1748,,,,,4533,,,4533,6281,11824,0.0,822,,,0,,8439,9261,0.0,9261,21085,
09/30/2000,21412,3592,1670,1922,3383,,,0.0,506.0,0.0,0.0,0.0,2132,,,,,9107,11721,21163,-9442,0.0,,584,,,,,584,12305,,1433,1433,,,,1218,,,,,,2968,,,,2968,5619,2052,,,,,4475,,,4475,6527,12146,0.0,356,,,0,,8910,9266,0.0,9266,21412,
12/31/2000,21662,1952,879,1073,4140,,,0.0,0.0,0.0,0.0,0.0,1032,,,,,7124,12329,21994,-9665,0.0,,2209,,,,,2209,14538,,1674,1674,,,,623,579.0,44.0,44.0,,,2204,,,,2204,4501,2981,2463.0,518.0,518.0,,4445,,,4445,7426,11927,0.0,278,,,0,,9457,9735,0.0,9735,21662,
03/31/2001,22003,2625,1318,1307,3716,,,0.0,0.0,0.0,0.0,0.0,931,,,,,7272,12464,22375,-9911,0.0,,2267,,,,,2267,14731,,1559,1559,,,,249,,,,,,2497,,,,2497,4305,3803,,,,,4501,,,4501,8304,12609,0.0,11,,,0,,9383,9394,0.0,9394,22003,
06/30/2001,23792,3143,2062,1081,3932,,,0.0,0.0,0.0,0.0,0.0,684,,,,,7759,13062,23230,-10168,0.0,,2971,,,,,2971,16033,,1829,1829,,,,392,,,,,,2924,,,,2924,5145,4138,,,,,4581,,,4581,8719,13864,0.0,111,,,-47,,9864,9928,0.0,9928,23792,
09/30/2001,24619,2494,1303,1191,4549,,,0.0,0.0,0.0,0.0,0.0,641,,,,,7684,13401,23850,-10449,0.0,,3534,,,,,3534,16935,,1970,1970,,,,682,,,,,,3392,,,,3392,6044,4233,,,,,4637,,,4637,8870,14914,0.0,11,,,-47,,9741,9705,0.0,9705,24619,
12/31/2001,24636,1616,858,758,4078,,,0.0,0.0,0.0,0.0,0.0,1903,,,,,7597,13438,24058,-10620,0.0,,3601,,,,,3601,17039,,1899,1899,,,,518,471.0,47.0,47.0,,,2369,,,,2369,4786,4648,4174.0,474.0,474.0,,4954,,,4954,9602,14388,0.0,425,,,-47,,9870,10248,0.0,10248,24636,
03/31/2002,24729,2027,1142,885,3896,,,0.0,0.0,0.0,0.0,0.0,1515,,,,,7438,13654,24539,-10885,0.0,,3637,,1102.0,,,3637,17291,,1756,1756,,,,276,,,,,,2694,,,,2694,4726,4717,,,,,4998,,,4998,9715,14441,0.0,111,,,-47,,10224,10288,0.0,10288,24729,
06/30/2002,25442,2429,1404,1025,3722,,,0.0,0.0,0.0,0.0,0.0,1787,,,,,7938,13699,24976,-11277,0.0,,3805,,1126.0,,,3805,17504,,1982,1982,,,,123,,,,,,2757,,,,2757,4862,4729,,,,,5173,,,5173,9902,14764,0.0,28,,,-86,,10736,10678,0.0,10678,25442,
09/30/2002,25950,2651,1452,1199,3745,,,0.0,0.0,0.0,0.0,0.0,1920,,,,,8316,13612,25131,-11519,0.0,,4022,,,,,4022,17634,,1997,1997,,,,1292,,,,,,2874,,,,2874,6163,3558,,,,,5272,,,5272,8830,14993,0.0,14,,,-84,,11027,10957,0.0,10957,25950,
12/31/2002,26357,3014,2211,803,3756,,,0.0,0.0,0.0,0.0,0.0,1968,,,,,8738,13612,25361,-11749,0.0,,4007,1180.0,,,,2827,17619,,1908,1908,,,,1107,1056.0,51.0,51.0,,,2540,,,,2540,5555,3495,3077.0,418.0,418.0,,4852,,,4852,8347,13902,0.0,398,,,-84,,12141,12455,0.0,12455,26357,
03/31/2003,26750,3015,2135,880,3659,,,0.0,0.0,0.0,0.0,0.0,2280,,,,,8954,13808,25828,-12020,0.0,,3988,1273.0,,,,2715,17796,,1944,1944,,,,598,,,,,,3018,,,,3018,5560,3467,,,,,4910,,,4910,8377,13937,0.0,300,,,-85,,12598,12813,0.0,12813,26750,
06/30/2003,27235,3373,2185,1188,3675,,,0.0,0.0,0.0,0.0,0.0,2269,,,,,9317,13869,26228,-12359,0.0,,4049,,,,,4049,17918,,1943,1943,,,,549,,,,,,2910,,,,2910,5402,3520,,,,,4999,,,4999,8519,13921,0.0,341,,,-135,13326.0,-218,13314,0.0,13314,27235,
09/30/2003,28373,4136,3108,1028,3741,,,0.0,0.0,0.0,0.0,0.0,2101,,,,,9978,13931,26579,-12648,0.0,,4464,,1149.0,,,4464,18395,,2118,2118,,,,645,,,,,,3300,,,,3300,6063,3425,,,,,5154,,,5154,8579,14642,0.0,253,,,-135,13783.0,-170,13731,0.0,13731,28373,
12/31/2003,28909,3952,2951,1001,4844,4004.0,,,,,,,1057,,,,,9853,13908,26915,-13007,,,5148,1273.0,1173.0,100.0,,3875,19056,,2003,2003,,,,674,618.0,56.0,56.0,,,2841,,,,2841,5518,3149,2754.0,395.0,395.0,,5390,,,5390,8539,14057,,673,,,-136,14356.0,-41,14852,,14852,28909,
03/31/2004,29559,4612,2823,1789,3954,,,0.0,0.0,0.0,0.0,0.0,1852,,,,,10418,14008,27337,-13329,0.0,,5133,1317.0,,,,3816,19141,,2108,2108,,,,683,,,,,,2949,,,,2949,5740,3273,,,,,5600,,,5600,8873,14613,0.0,371,,,-129,14799.0,-95,14946,0.0,14946,29559,
06/30/2004,29857,4937,3312,1625,3964,,,0.0,0.0,0.0,0.0,0.0,1711,,,,,10612,14072,27661,-13589,0.0,,5173,1314.0,,,,3859,19245,,2022,2022,,,,805,,,,,,2966,,,,2966,5793,3182,,,,,5703,,,5703,8885,14678,0.0,116,,,-168,15301.0,-70,15179,0.0,15179,29857,
09/30/2004,30969,4571,2823,1748,4192,,,0.0,0.0,0.0,0.0,0.0,2308,,,,,11071,14220,28075,-13855,0.0,,5678,1309.0,,,,4369,19898,,1905,1905,,,,616,,,,,,3234,,,,3234,5755,3145,,,,,6582,,,6582,9727,15482,0.0,11,,,-169,15713.0,-68,15487,0.0,15487,30969,
12/31/2004,33088,5197,739,4458,5680,5156.0,,0.0,0.0,0.0,0.0,0.0,1728,,,,,12605,13973,27478,-13505,0.0,,6510,1924.0,1255.0,669.0,,4586,20483,,2312,2312,,,,1187,1109.0,78.0,78.0,,,3030,,,,3030,6529,3261,2938.0,323.0,323.0,,6920,,,6920,10181,16710,0.0,428,,,-169,16192.0,-73,16378,0.0,16378,33088,
