Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1994,,234.199997,234.199997,,11.280957,,0.63,0.58,,0.63,0.58,0.58,,,,,,,
06/30/1994,,234.199997,234.199997,,11.635355,,0.67,0.67,,0.67,0.67,0.67,,,,,,,
09/30/1994,,234.199997,234.199997,,11.541418,,0.775,0.775,,0.775,0.775,0.775,,,,,,,
12/31/1994,,234.199997,234.199997,,12.9462,,0.675,0.675,,0.675,0.675,0.675,,,,,,,
03/31/1995,,234.199997,234.199997,,12.830914,0.841161,0.6,0.6,0.545,0.6,0.6,0.545,,1.029035,0.969257,,,,
06/30/1995,,234.199997,234.199997,,12.442357,0.538002,0.45,0.45,0.315,0.45,0.45,0.315,,0.649018,0.546541,,,,
09/30/1995,,234.199997,234.199997,,13.057216,0.952178,0.74,0.74,0.66,0.74,0.74,0.66,,1.494449,1.340734,,,,
12/31/1995,,234.199996,234.199996,,13.54825,1.268147,0.6,0.6,0.52,0.6,0.6,0.52,,1.498719,1.490179,,,,
03/31/1996,234.371994,235.800003,234.399994,,13.984642,0.486348,0.41,0.41,0.36,0.405,0.405,0.36,0.2,2.337884,2.286689,0.661342,18.760774,,
06/30/1996,234.557999,235.800003,234.399994,,12.909557,0.763652,0.61,0.61,0.54,0.605,0.605,0.54,0.2,-0.823379,-0.891638,0.665081,18.699,,
09/30/1996,234.634003,234.399994,234.399994,,12.098976,-3.690273,-2.315,-2.315,0.565,-2.315,-2.315,0.565,0.2,0.831911,0.784983,0.681913,17.337641,,
12/31/1996,235.112,236.800003,234.600006,,14.207161,1.082694,0.875,0.875,0.825,0.865,0.865,0.825,0.2,1.892583,1.764706,0.476369,19.22488,,
03/31/1997,235.796005,238.199997,235.399994,,13.24554,1.163976,0.865,0.865,0.76,0.855,0.855,0.75,0.2,2.276975,2.22175,0.619179,18.579619,,
06/30/1997,236.455994,238.800003,236.0,,13.313559,1.165254,2.43,2.43,0.875,2.4,2.4,0.85,0.2,1.29661,1.233051,0.570931,22.655378,,
09/30/1997,236.216003,239.5,236.5,,13.978858,1.881607,1.26,1.26,0.77,1.25,1.25,0.76,0.2,1.890063,1.7463,0.753548,24.587665,,
12/31/1997,235.951996,238.800003,236.0,,15.84322,1.444915,1.08,1.08,0.87,1.07,1.07,0.86,0.2,3.20339,3.004237,0.593341,25.789144,,
03/31/1998,235.617996,239.100006,235.800003,,15.57676,1.403732,1.12,1.12,0.619,1.1,1.1,0.61,0.21,0.746395,0.585242,0.322556,26.912206,,
06/30/1998,234.014008,239.100006,235.399994,,14.838573,1.44435,1.0,1.0,0.79,0.99,0.99,0.78,0.21,0.539507,0.433305,0.611075,27.5069,,
09/30/1998,229.322006,235.600006,232.199997,,15.676141,1.347976,0.92,0.92,0.92,0.91,0.91,0.91,0.21,1.959518,1.851852,0.588692,27.851666,,
12/31/1998,227.395004,231.199997,228.0,,18.25,1.912281,1.32,1.32,0.99,1.3,1.3,0.97,0.22,0.54386,0.45614,0.540909,28.246003,,
03/31/1999,226.845993,229.899994,227.0,,14.53304,1.515419,1.05,1.05,0.96,1.04,1.04,0.95,0.22,-0.519824,-0.581498,0.476094,27.904394,,
06/30/1999,226.386993,230.0,226.800003,,14.766314,1.353616,0.95,0.95,0.94,0.93,0.93,0.92,0.23,0.987654,0.846561,0.88786,26.490038,,
09/30/1999,223.574997,227.800003,225.300003,,15.286285,1.122947,0.83,0.83,0.83,0.82,0.82,0.82,0.23,1.460275,1.313804,0.603824,25.821313,,
