Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,21254,128,128,0,3526,3526,0,3324,,,,,922,0.0,814,7900,11897,16345.0,-4448.0,0,1457,872,872,0,365,220,13354,,5507,5507,,,0.0,0,0,0.0,0.0,,0,1130,232.0,0.0,1251,766,6637,2601,2601,0.0,0.0,,2844,0.0,1361,0,5445,12082,0,,,,0,0.0,9172,9172,0,9172,21254,
09/30/2010,21968,117,117,0,4065,4065,0,3623,,,,,656,,506,8461,11632,16158.0,-4526.0,0,1875,840,840,0,309,726,13507,,5514,5514,,,,3525,3514,,,,11,1395,224.0,,1355,670,10434,263,263,,,,2786,,1207,0,3049,13483,0,,,,0,,8485,8485,0,8485,21968,
12/31/2010,23232,118,118,0,4393,4393,0,3071,0.0,0.0,1716.0,1355.0,2474,0.0,2415,10056,11724,16624.0,-4900.0,0,1452,837,837,0,312,303,13176,,6977,6453,524.0,0.0,0.0,666,0,,,,666,977,0.0,0.0,1367,871,8620,3231,3231,,,,3137,0.0,1493,277,6368,14988,0,0.0,0.0,0.0,0,0.0,8244,8244,0,8244,23232,
03/31/2011,23777,219,219,0,4755,4755,0,2735,0.0,0.0,1565.0,1170.0,2871,,2871,10580,11708,,,0,1489,834,834,0,316,339,13197,,7061,7061,,,,64,0,,,,64,1157,321.0,,1355,709,8282,3263,3263,,,,3196,,1520,0,6459,14741,0,,,,0,,9036,9036,0,9036,23777,
06/30/2011,23964,1622,1622,0,5041,5041,0,3679,0.0,0.0,1987.0,1692.0,171,,3,10513,11935,17366.0,-5431.0,0,1516,842,842,0,323,351,13451,,7313,7313,,,,12,0,,,,12,1224,,,1383,671,8549,3262,3262,,,,3176,,1489,304,6438,14987,0,9573.0,4.0,9569.0,0,0.0,-596,8977,0,8977,23964,
09/30/2011,25225,2957,2957,0,4913,4913,0,3615,0.0,0.0,1795.0,1820.0,184,19.0,-33,11669,12026,17660.0,-5634.0,0,1530,842,842,0,321,348,13556,,7957,6974,983.0,,,14,0,,,,14,641,,,1473,544,8612,3285,3285,,,,3279,,1522,284,6564,15176,0,9588.0,4.0,9584.0,0,1062.0,-601,10049,0,10049,25225,
12/31/2011,25745,3079,3079,0,5461,5461,0,3320,0.0,0.0,1725.0,1595.0,141,19.0,114,12001,12228,18073.0,-5845.0,0,1516,842,842,0,302,353,13744,,8747,8189,558.0,0.0,0.0,15,0,,,,15,829,0.0,0.0,1310,783,9591,3292,3292,,,,3357,0.0,1783,264,6649,16240,0,9486.0,4.0,9482.0,0,898.0,-879,9505,0,9505,25745,
03/31/2012,25306,2205,2205,0,5867,5867,0,3352,0.0,0.0,1853.0,1499.0,156,,6,11580,12246,18309.0,-6063.0,0,1480,842,842,0,302,336,13726,,8385,7803,582.0,,,17,0,,,,17,799,,,1509,703,9201,3304,3304,,,,3585,,1809,267,6889,16090,0,9414.0,4.0,9410.0,-743,1407.0,-862,9216,0,9216,25306,
06/30/2012,24681,1895,1895,0,4708,4708,0,4030,0.0,0.0,1604.0,2426.0,73,123.0,62,10706,12414,18689.0,-6275.0,0,1561,925,925,0,302,211,13975,,6759,6155,604.0,,,19,0,,,,19,790,,,1823,700,7568,3316,3316,,,,3471,,1348,300,6787,14355,0,9430.0,4.0,9426.0,-743,2136.0,-497,10326,0,10326,24681,
09/30/2012,26583,3387,3387,0,5101,5101,0,3889,0.0,0.0,2038.0,1851.0,139,,40,12516,12532,19051.0,-6519.0,0,1535,930,930,0,300,305,14067,,7660,6951,709.0,,,20,0,,,,20,628,255.0,,1954,553,8308,3329,3329,,,,3479,,1270,0,6808,15116,0,9567.0,4.0,9563.0,-852,3241.0,-489,11467,0,11467,26583,
