Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,51.34,,,-47.811001,,,3.528999,,-4.599,,,,-1.07,18.713001,,4.9,,,,-23.613001,17.643001,-6.244,11.399,5.889,,,5.510001,0.0,5.51,0.0,,5.51,5.51,,36.700001,0.15,0.31,,36.700001,0.15,0.31,0.31,
06/30/1993,80.362999,,,-69.574997,,,10.788002,,-3.77,,,,7.018,-2.464,,3.497,,,,-1.033,4.554,-1.946,2.608,0.0,,,2.608,0.0,2.608,0.0,,2.608,2.608,,42.347824,0.06,0.06,,42.347824,0.06,0.06,0.06,
09/30/1993,51.943001,,,-41.394001,,,10.549,,-4.828,,,,5.721,0.139,,0.062,,,,-0.201,5.86,-4.151,1.709,0.0,,,1.709,0.0,1.709,0.0,,1.709,1.709,,56.588001,0.03,0.03,,56.588001,0.03,0.03,0.03,
12/31/1993,87.629997,,,-72.865997,,,14.764,,-2.189,,,,12.575,0.442,,0.055,,,,-0.497,13.017,-4.686,8.331,0.799,,,7.532,0.0,7.532,0.0,,7.532,7.532,,56.588002,0.13,0.145,0.145,56.588002,0.13,0.145,0.145,
03/31/1994,66.107002,,,-55.678001,,,10.429001,,-3.855,,,,6.574,0.069,,0.298,,,,-0.367,6.643,-2.396,4.247,0.0,,,4.247,0.0,4.247,0.0,,4.247,4.247,,56.605999,0.075,0.075,,56.605999,0.075,0.075,0.075,
06/30/1994,58.922001,,,-49.555,,,9.367001,,-5.376,,,,3.991,-0.522,,0.581,,,,-0.059,3.469,-1.299,2.17,0.0,,,2.17,0.0,2.17,0.0,,2.17,2.17,,56.616001,0.04,0.04,,56.616001,0.04,0.04,0.04,
09/30/1994,54.546001,,,-46.310001,,,8.236,,-4.541,,,,3.695,0.069,,0.567,,,,-0.636,3.764,-1.703,2.061,0.0,,,2.061,0.0,2.061,0.0,,2.061,2.061,,56.644001,0.035,0.035,,56.644001,0.035,0.035,0.035,
12/31/1994,63.377998,,,-52.242001,,,11.135997,,-4.499,,,,6.637,-0.274,,0.581,,,,-0.307,6.363,-2.126,4.237,0.0,,,4.237,0.0,4.237,0.0,,4.237,4.237,,56.722,0.075,0.075,0.075,56.722,0.075,0.075,0.075,
03/31/1995,70.725998,,,-54.93,,,15.795998,,-5.088,,,,10.708,0.633,,0.573,,0.0,,-1.206,11.341,-4.065,7.276,0.0,,,7.276,0.0,7.276,0.0,,7.276,7.276,,56.740002,0.13,0.13,,56.740002,0.13,0.13,0.13,
06/30/1995,85.510002,,,-67.303001,,,18.207001,,-6.294,,,,11.913,0.942,,0.58,,0.0,,-1.522,12.855,-4.665,8.19,0.0,,,8.19,0.0,8.19,0.0,,8.19,8.19,,56.77,0.145,0.145,,56.77,0.145,0.145,0.145,
09/30/1995,83.283997,,,-63.978001,,,19.305996,,-4.949,,,,14.357,18.977001,,0.681,,0.0,,-19.658001,33.334001,-12.953,20.381001,0.0,,,20.381001,0.0,20.381001,0.0,,20.381001,20.381001,,56.726002,0.36,0.36,,56.726002,0.36,0.36,0.36,
12/31/1995,83.138,,,-63.151001,,,19.986999,,-4.877,,,,15.11,2.509,,0.685,,0.3,,-3.494,17.619,-6.518,11.101,0.0,,,11.101,0.0,11.101,0.0,,11.101,11.101,,56.740002,0.195,0.195,0.195,56.740002,0.195,0.195,0.195,
03/31/1996,81.220001,,,-62.213001,,,19.007,,-5.056,,,,13.951,4.212,,0.442,,0.0,,-4.654,18.163,-6.338,11.825,0.0,,,11.825,0.0,11.825,0.0,,11.825,11.825,,56.869999,0.21,0.21,0.21,56.869999,0.21,0.21,0.21,
06/30/1996,108.880997,,,-73.473,,,35.407997,,-5.174,,,,30.233999,9.009,,0.091,,0.0,,-9.1,39.243,-13.766,25.476999,0.0,,,25.477,0.0,25.476999,0.0,,25.476999,25.476999,,56.948002,0.445,0.445,0.37,56.948002,0.445,0.445,0.37,
09/30/1996,136.925995,,,-97.359001,,,39.566994,,-6.966,,,,32.601002,0.547,,2.315,,0.0,,-2.862,33.148002,-11.605,21.542999,0.0,,,21.543002,0.0,21.542999,0.0,,21.542999,21.542999,,70.419998,0.305,0.305,0.305,70.419998,0.305,0.305,0.305,
12/31/1996,201.876007,,,-165.110992,,,36.765015,,-5.937,,,,30.827999,0.27,,4.372,,0.0,,-4.642,31.097999,-11.898,19.200001,0.0,,,19.199999,0.0,19.200001,0.0,,19.200001,19.200001,,102.977997,0.185,0.185,0.185,102.977997,0.185,0.185,0.185,
03/31/1997,219.615997,,,-169.253998,,,50.362,,-5.779,,,,44.583,-3.834,,4.802,,0.0,,-0.968,40.749,-13.04,27.709,0.0,,,27.709,0.0,27.709,0.0,,27.709,27.709,,102.188004,0.27,0.27,0.27,103.610001,0.27,0.27,0.27,
06/30/1997,208.093002,,,-158.722,,,49.371002,,-7.265,,,,42.105999,-1.875,,6.029,,0.0,,-4.154,40.230999,-12.315,27.916,0.0,,,27.915999,0.0,27.916,0.0,,27.916,27.916,,101.166,0.28,0.28,0.28,102.639999,0.27,0.27,0.27,
09/30/1997,223.201004,,,-155.671005,,,67.529999,,-6.591,,,,60.938999,-2.978,,5.671,,0.0,,-2.693,57.960999,-18.841999,39.118999,0.0,,,39.119,0.0,39.118999,0.0,,39.118999,39.118999,,101.279999,0.39,0.39,0.39,102.806999,0.38,0.38,0.38,
12/31/1997,241.052002,,,-165.395004,,,75.656998,,-5.809,,,,69.848,-1.544,,6.351,,0.0,,-4.807,68.304,-21.115,47.188999,0.0,,,47.189,0.0,47.188999,0.0,,47.188999,47.188999,,100.322998,0.47,0.47,0.47,101.888,0.46,0.46,0.46,
03/31/1998,258.312988,,,-159.725998,,,98.58699,,-7.268,,,,91.319,18.695,,7.107,,0.0,,-25.802,110.014,-32.453999,77.559998,0.0,,,77.560002,0.0,77.559998,0.0,,77.559998,77.559998,,99.672997,0.78,0.78,0.64,100.682999,0.77,0.77,0.63,
06/30/1998,251.576996,,,-142.529999,,,109.046997,,-7.845,,,,101.202003,-2.392,,5.575,,0.0,,-3.183,98.810004,-29.149,69.661003,0.0,,,69.661004,0.0,69.661003,0.0,,69.661003,69.661003,,100.082001,0.7,0.7,0.7,101.005997,0.69,0.69,0.69,
09/30/1998,269.002014,,,-142.401001,,,126.601013,,-6.31,,,,120.291,11.524,,4.889,,0.0,,-16.413,131.815001,-38.885742,92.929001,0.0,,,92.929258,0.0,92.929001,0.0,,92.929001,92.929001,,100.282997,0.93,0.929993,0.85,100.869003,0.92,0.92,0.84,
12/31/1998,310.72,,,-156.649,,,154.071,0.0,-6.611,,,,147.46,-0.953,6.321,6.321,0.0,,,-5.368,146.507,-43.241,103.266,,,,103.266,,103.266,,0.0,103.266,103.266,,100.284,1.03,1.03,1.03,100.78,1.03,1.03,1.03,
03/31/1999,189.158005,,,-177.274994,,,11.883011,,-4.116,,,,7.767,-0.203,,3.094,,0.0,,-2.891,7.564,3.772,11.336,0.0,,,11.336,0.0,11.336,0.0,,11.336,11.336,,109.564003,0.1,0.1,0.1,109.636002,0.1,0.1,0.1,
06/30/1999,162.432007,,,-125.961998,,,36.470009,,-4.068,,,,32.402,-0.361,,3.817,,0.0,,-3.456,32.041001,-4.683,27.358,0.0,,,27.358001,0.0,27.358,0.0,,27.358,27.358,,109.564003,0.25,0.25,0.25,109.636002,0.25,0.25,0.25,
09/30/1999,165.25,,,-131.677002,,,33.572998,,-4.093,,,,29.48,-0.861,,3.251,,0.0,,-2.39,28.619,3.23,31.849001,0.0,,,31.849,-0.045,31.804001,0.0,,31.804001,31.804001,,109.564003,0.29,0.29,0.29,109.636002,0.29,0.29,0.29,
12/31/1999,131.396,,,-112.563,,,18.833,0.0,-39.451,,,,-20.618,1.246,-0.552,0.088,-0.64,,-1.891,1.197,-19.372,6.977,-12.395,,,,-12.395,,-12.395,0.0,0.0,-12.395,-12.395,,109.697,-0.11,-0.11,-0.11,109.769,-0.11,-0.11,-0.11,
03/31/2000,300.848999,,,-250.572006,,,50.276993,,-12.878,,,,37.398998,4.779,,0.0,,0.0,,-4.779,42.177998,-9.701,32.477001,0.0,,,32.476998,0.0,32.477001,0.0,0.0,32.477001,32.477001,,210.153,0.15,0.15,0.07,211.048004,0.15,0.15,0.07,
06/30/2000,299.243011,,,-249.001999,,,50.241013,,-9.527,,,,40.714001,6.313,,0.304,,0.0,,-6.617,47.027001,-11.084,35.943001,0.0,,,35.943001,0.0,35.943001,0.0,,35.943001,35.943001,,210.386993,0.17,0.17,0.17,211.699997,0.17,0.17,0.17,
09/30/2000,314.483002,,,-256.561005,,,57.921997,,-9.189,,,,48.733002,13.85,,1.806,,0.0,,-15.656,62.583002,-14.628,47.955002,-1.424,,,49.379002,-0.101,49.278,0.0,0.0,49.278,49.278,,210.526001,0.23,0.22,0.19,212.016006,0.23,0.22,0.19,
12/31/2000,314.937988,,,-316.311005,,,-1.373016,,-10.547,,,,-11.92,4.142,,0.915,,0.0,,-5.057,-7.778,-1.286,-9.064,0.0,,,-9.064,-0.086,-9.15,0.0,,-9.15,-9.15,,210.604996,-0.04,-0.04,0.15,210.604996,-0.04,-0.04,0.15,
03/31/2001,550.099976,,,-480.5,,,69.599976,,-14.7,,,,54.900002,-12.900002,,37.200001,-3.6,,,-20.699999,42.0,-10.2,31.799999,0.0,,,31.8,-1.3,30.5,0.0,0.0,30.5,30.5,,280.600006,0.11,0.11,0.11,285.5,0.11,0.11,0.11,
06/30/2001,752.200012,,,-518.0,,,234.200012,,-56.0,,,,178.199997,-59.100003,,66.800003,-4.7,,,-3.0,119.099994,-32.200001,86.900002,17.299999,,,69.599994,-1.1,68.5,0.0,0.0,68.5,68.5,,318.200012,0.22,0.27,0.27,325.0,0.21,0.26,0.26,
09/30/2001,770.200012,,,-543.599976,,,226.600037,,-56.200001,,,,170.399994,-40.099998,,60.799999,,,,-20.700001,130.299995,-32.599998,97.699997,0.0,,,97.699997,-0.1,97.599998,0.0,0.0,97.599998,97.599998,,318.700012,0.31,0.31,0.31,322.700012,0.3,0.3,0.3,
12/31/2001,747.599976,,,-561.599976,,,186.0,,-55.5,,,,130.5,-61.299999,,59.099998,,,,2.2,69.200001,-10.8,58.400002,1.9,,,56.500001,-0.5,56.0,0.0,0.0,56.0,56.0,,318.700012,0.18,0.19,0.23,322.700012,0.17,0.19,0.23,
03/31/2002,667.900024,,,-507.700012,,,160.200012,,-19.799999,,,,140.399994,-48.600001,,55.900002,-4.2,,,-3.1,91.799993,-13.8,78.0,1363.699951,,,-1285.699959,-0.7,-1286.400024,0.0,0.0,-1286.400024,-1286.400024,,319.100006,-4.03,0.24,0.24,323.100006,-3.98,0.24,0.24,
06/30/2002,646.200012,,,-489.899994,,,156.300018,,-16.0,,,,140.300003,-46.0,,52.5,-5.7,,,-0.8,94.300003,-13.9,80.400002,0.0,,,80.400003,-0.4,80.0,0.0,0.0,80.0,80.0,,319.100006,0.25,0.25,0.25,323.899994,0.25,0.25,0.25,
09/30/2002,695.200012,,,-546.200012,,,149.0,,-15.8,,,,133.199997,-41.599999,,52.299999,-6.1,,,-4.6,91.599998,164.800003,256.399994,0.0,,,256.400001,-1.2,255.199997,0.0,0.0,255.199997,255.199997,,319.200012,0.8,0.8,0.35,328.799988,0.79,0.79,0.34,
12/31/2002,664.599976,,,-492.700012,,,171.899963,,-14.0,,,,157.899994,-2924.400097,,51.299999,-9.6,,,2882.700098,-2766.500103,-14.1,-2780.600098,0.0,,,-2780.600103,-0.1,-2780.699951,0.0,0.0,-2780.699951,-2780.699951,,319.200012,-8.71,-8.71,0.32,319.200012,-8.71,-8.71,0.32,
03/31/2003,616.0,,,-501.899994,,,114.100006,,-13.9,,,,100.199997,-41.299998,,52.599998,-6.9,0.0,,-4.4,58.899999,-11.8,47.099998,0.0,,,47.099998,0.1,47.200001,0.0,0.0,47.200001,47.200001,,319.700012,0.15,0.15,0.15,321.600006,0.15,0.15,0.15,
06/30/2003,603.900024,,,-554.0,,,49.900024,,-14.9,,,,35.0,-100.099998,,52.799999,-5.8,0.0,,53.099999,-65.099998,20.799999,-44.299999,0.0,,,-44.299999,-0.2,-44.5,0.0,0.0,-44.5,-44.5,,319.799988,-0.14,-0.14,-0.06,319.799988,-0.14,-0.14,-0.06,
09/30/2003,622.900024,,,-529.799988,,,93.100037,,-21.200001,,,,71.900002,-43.4,,49.0,-3.0,0.0,,-2.6,28.500001,-17.299999,11.2,0.0,,,11.200002,-0.2,11.0,0.0,0.0,11.0,11.0,,319.899994,0.03,0.03,0.06,321.100006,0.03,0.03,0.06,
12/31/2003,591.5,,,-532.900024,,,58.599976,,-31.799999,,,,26.799999,-27.499998,,47.599998,-3.1,0.0,,-17.0,-0.699999,5.3,4.6,-0.8,,,5.400001,0.1,5.5,0.0,0.0,5.5,5.5,,319.899994,0.02,0.02,0.07,321.299988,0.02,0.02,0.07,
03/31/2004,652.0,,,-543.900024,,,108.099976,,-15.1,,,,93.0,-26.500002,,47.400002,-2.1,0.0,,-18.8,66.499998,-48.0,18.5,0.0,,,18.499998,4.2,22.700001,0.0,0.0,22.700001,22.700001,,320.600006,0.07,0.07,0.15,324.100006,0.07,0.07,0.15,
06/30/2004,633.200012,,,-539.200012,,,94.0,,-14.0,,,,80.0,-14.299999,,42.599998,-1.9,0.0,,-26.399999,65.700001,-19.9,45.799999,0.0,,,45.800001,2.2,48.0,0.0,0.0,48.0,48.0,,320.799988,0.15,0.15,0.08,324.100006,0.15,0.15,0.08,
09/30/2004,651.799988,,,-566.799988,,,85.0,,-15.2,,,,69.800003,92.400002,,42.599998,-2.5,0.0,,-132.5,162.200005,-6.3,155.899994,0.0,,,155.900005,-1.0,154.899994,0.0,0.0,154.899994,154.899994,,320.899994,0.48,0.48,0.08,325.299988,0.48,0.48,0.08,
12/31/2004,676.9,,,-601.0,,,75.9,,-22.7,,,,53.2,-107.3,,39.1,-2.8,-0.4,,71.4,-54.1,-17.1,-71.2,0.0,,,-71.2,-2.2,-73.4,0.0,0.0,-73.4,-73.4,,321.2,-0.23,-0.23,0.01,321.2,-0.23,-0.23,0.01,
03/31/2005,630.5,,,-489.3,,,141.2,,-18.1,,,,123.1,-13.6,29.1,33.1,-4.0,0.0,,-15.5,109.5,-17.5,92.0,0.0,,,92.0,-0.2,91.8,0.0,0.0,91.8,91.8,,323.6,0.28,0.28,0.19,331.0,0.28,0.28,0.19,
06/30/2005,727.4,,,-540.1,,,187.3,,-18.0,,,,169.3,155.9,25.0,29.8,-4.8,0.0,,-180.9,325.2,-23.6,301.6,0.0,,,301.6,0.2,301.8,0.0,0.0,301.8,301.8,,326.1,0.93,0.93,0.39,338.0,0.9,0.9,0.38,
09/30/2005,762.6,,,-541.9,,,220.7,,-19.4,,,,201.3,-6.2,19.3,24.5,-5.2,0.0,,-13.1,195.1,-24.7,170.4,0.0,,,170.4,0.0,170.4,0.0,0.0,170.4,170.4,,328.9,0.52,0.52,0.52,340.8,0.5,0.5,0.5,
12/31/2005,771.2,,,-555.1,,,216.1,,-19.3,,,,196.8,-24.2,18.2,23.8,-5.6,4.5,,1.5,172.6,-21.0,151.6,0.0,,,151.6,0.0,151.6,0.0,0.0,151.6,151.6,,329.8,0.46,0.46,0.46,336.1,0.45,0.45,0.45,
03/31/2006,817.3,,,-576.6,,,240.7,,-20.2,,,,220.5,45.6,18.7,23.9,-5.2,,,-64.3,266.1,-60.4,205.7,0.0,,,205.7,0.0,205.7,0.0,0.0,205.7,205.7,-69.55,325.4,0.63,0.63,0.416263,337.3,0.61,0.61,0.721029,
06/30/2006,853.3,,,-651.3,,,202.0,,-24.6,,,,177.4,98.0,15.1,20.4,-5.3,0.0,,-113.1,275.4,-25.9,249.5,0.0,,,249.5,0.0,249.5,0.0,0.0,249.5,249.5,,323.6,0.77,0.77,0.43,335.8,0.75,0.75,0.42,
09/30/2006,1025.7,,,-660.1,,,365.6,,-22.5,,,,343.1,29.7,23.9,27.2,-3.3,0.0,,-53.6,372.8,-63.8,309.0,0.0,,,309.0,0.0,309.0,0.0,0.0,309.0,309.0,,312.0,0.99,0.99,0.86,323.4,0.96,0.96,0.83,
12/31/2006,1186.0,,,-668.0,,,518.0,,-23.0,,,,495.0,198.0,36.0,43.0,-7.0,,,-234.0,693.0,-72.0,621.0,0.0,,,621.0,0.0,621.0,0.0,0.0,621.0,621.0,,292.0,2.13,2.13,1.3,304.0,2.05,2.05,1.25,
03/31/2007,1328.0,,,-668.0,,,660.0,,-26.0,,,,634.0,4.0,32.0,37.0,-5.0,0.0,,-36.0,638.0,-85.0,553.0,0.0,,,553.0,0.0,553.0,0.0,0.0,553.0,553.0,,290.0,1.9,1.9,1.83,302.0,1.84,1.84,1.77,
06/30/2007,1434.0,,,-728.0,,,706.0,,-29.0,,,,677.0,-34.0,28.0,33.0,-5.0,0.0,,6.0,643.0,-93.0,550.0,0.0,,,550.0,-1.0,549.0,0.0,0.0,549.0,549.0,,288.0,1.91,1.91,1.91,300.0,1.84,1.84,1.84,
09/30/2007,1538.0,,,-766.0,,,772.0,,-27.0,,,,745.0,279.0,16.0,23.0,-7.0,0.0,,-295.0,1024.0,-52.0,972.0,0.0,,,972.0,1.0,973.0,0.0,0.0,973.0,973.0,,290.0,3.36,3.36,2.2,300.0,3.24,3.24,2.12,
03/31/2008,3110.0,,,-1524.0,,,1586.0,0.0,-49.0,,,,1537.0,-169.0,164.0,177.0,-13.0,0.0,,5.0,1368.0,-218.0,1150.0,0.0,,,1150.0,-1.0,1149.0,0.0,0.0,1149.0,1149.0,,317.0,3.62,3.62,3.71,321.0,3.58,3.58,3.67,
06/30/2008,3102.0,,,-1701.0,,,1401.0,0.0,-45.0,,,,1356.0,-152.0,143.0,153.0,-10.0,0.0,,9.0,1204.0,-140.0,1064.0,0.0,,,1064.0,1.0,1065.0,0.0,0.0,1065.0,1065.0,10.399999,318.0,3.34,3.34,3.38,321.0,3.31,3.31,3.33,
09/30/2008,3192.0,,,-1762.0,,,1430.0,,-46.0,,,,1384.0,-106.0,93.0,100.0,-7.0,0.0,,13.0,1278.0,-175.0,1103.0,0.0,,,1103.0,3.0,1106.0,0.0,0.0,1106.0,1106.0,,319.0,3.47,3.47,3.42,321.0,3.44,3.44,3.39,
12/31/2008,3270.0,,,-1804.0,,,1466.0,0.0,-59.0,,,,1407.0,-442.0,165.0,167.0,-2.0,0.0,,277.0,965.0,-210.0,755.0,0.0,,,755.0,-1.0,754.0,0.0,0.0,754.0,754.0,,319.0,2.36,2.36,3.57,320.0,2.35,2.35,3.55,
03/31/2009,3118.0,2834.0,284.0,-1526.0,1171.0,355.0,1592.0,0.0,-273.0,56.0,56.0,217.0,1319.0,-129.0,135.0,136.0,-1.0,,,-6.0,1190.0,-251.0,939.0,0.0,0.0,0.0,939.0,3.0,942.0,0.0,0.0,942.0,1088.25,146.25,319.0,2.94,2.94,3.411442,320.0,2.93,2.93,3.387031,
06/30/2009,2882.0,2625.0,257.0,-1637.0,1277.0,360.0,1245.0,0.0,-124.0,53.0,53.0,71.0,1121.0,-129.0,113.0,114.0,-1.0,,,16.0,992.0,-184.0,808.0,0.0,0.0,0.0,808.0,-2.0,806.0,0.0,-5.0,801.0,856.25,55.25,320.0,2.5,2.5,2.675781,321.0,2.49,2.49,2.662118,
09/30/2009,2823.0,2602.0,221.0,-1763.0,1396.0,367.0,1060.0,0.0,-103.0,54.0,54.0,49.0,957.0,-113.0,115.0,115.0,0.0,,,-2.0,844.0,-138.0,706.0,0.0,0.0,0.0,706.0,4.0,710.0,0.0,-4.0,706.0,830.8,124.8,321.0,2.2,2.2,2.588162,322.0,2.19,2.19,2.577578,
12/31/2009,2733.0,2546.0,187.0,-1678.0,1296.0,382.0,1055.0,0.0,-52.0,46.0,46.0,6.0,1003.0,-105.0,116.0,119.0,-3.0,,,-11.0,898.0,-181.0,717.0,0.0,0.0,0.0,717.0,6.0,723.0,0.0,0.0,723.0,700.25,-22.75,321.0,2.24,2.24,2.181464,322.0,2.24,2.24,2.169348,
03/31/2010,2579.0,2425.0,154.0,-1560.0,1186.0,374.0,1019.0,0.0,-77.0,63.0,63.0,14.0,942.0,-112.0,127.0,132.0,-5.0,,,-15.0,830.0,-147.0,683.0,-2.0,-2.0,0.0,685.0,-8.0,677.0,0.0,0.0,677.0,702.3,27.3,321.0,2.1,2.09,2.18785,322.0,2.09,2.08,2.164783,
06/30/2010,2479.0,2272.0,207.0,-1740.0,1347.0,393.0,739.0,0.0,210.0,58.0,58.0,-268.0,949.0,-139.0,136.0,141.0,-5.0,,,3.0,810.0,-98.0,712.0,-8.0,-8.0,0.0,720.0,-5.0,715.0,0.0,0.0,715.0,540.6,-166.4,319.0,2.23,2.2,1.694671,320.0,2.22,2.2,1.68,
09/30/2010,2281.0,2183.0,98.0,-1590.0,1202.0,388.0,691.0,0.0,-57.0,59.0,59.0,-2.0,634.0,-148.0,135.0,142.0,-7.0,,,13.0,486.0,-123.0,363.0,-15.0,-15.0,0.0,378.0,-10.0,368.0,0.0,-2.0,366.0,379.45,28.45,319.0,1.15,1.1,1.189498,319.0,1.15,1.1,1.189185,
12/31/2010,2127.0,2008.0,119.0,-1720.0,1339.0,381.0,407.0,0.0,-1075.0,66.0,66.0,1009.0,-668.0,-168.0,146.0,152.0,-6.0,,,22.0,-836.0,32.0,-804.0,-9.0,-9.0,0.0,-795.0,-4.0,-799.0,0.0,0.0,-799.0,200.55,1008.55,319.0,-2.49,-2.51,0.624503,319.0,-2.49,-2.51,0.624503,
03/31/2011,2144.0,1950.0,194.0,-1713.0,1359.0,354.0,431.0,0.0,-59.0,67.0,67.0,-8.0,372.0,-127.0,130.0,145.0,-15.0,,,-3.0,245.0,-81.0,164.0,-176.0,-176.0,0.0,340.0,-30.0,310.0,0.0,0.0,310.0,186.95,52.95,319.0,0.96,0.42,0.58605,320.0,0.96,0.42,0.585469,
06/30/2011,2334.0,2096.0,238.0,-1887.0,1528.0,359.0,447.0,0.0,-92.0,66.0,66.0,26.0,355.0,-147.0,142.0,147.0,-5.0,,,5.0,208.0,-77.0,131.0,-2.0,-2.0,0.0,133.0,-9.0,124.0,0.0,0.0,124.0,160.65,38.65,320.0,0.39,0.38,0.502031,320.0,0.39,0.38,0.500781,
09/30/2011,1991.0,1827.0,164.0,-1625.0,1344.0,281.0,366.0,0.0,-68.0,67.0,67.0,1.0,298.0,-221.0,144.0,151.0,-7.0,,,77.0,77.0,-93.0,-16.0,5.0,5.0,0.0,-21.0,-11.0,-32.0,0.0,0.0,-32.0,34.25,61.25,320.0,-0.1,-0.08,0.107031,320.0,-0.1,-0.08,0.107031,
