Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,211.886002,211.860992,211.860992,,6.507328,2.664714,1.524287,0.31,0.31,0.31,0.31,0.31,0.31,0.75,1.700294,1.700294,1.226924,32.243644,74.081363,
06/30/1990,212.061005,211.985001,211.985001,,3.992731,0.342661,-0.757355,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,0.75,2.437305,2.437305,2.192157,29.61177,73.46948,
09/30/1990,212.089005,212.078003,212.078003,,8.129589,4.618786,3.498269,1.48,1.48,1.48,1.48,1.48,1.48,0.75,2.670069,2.670069,2.748582,30.334811,72.828168,
12/31/1990,212.285004,212.205994,212.205994,,6.186588,2.202878,1.104766,0.31,0.31,0.31,0.31,0.31,0.31,0.75,1.398891,1.398891,2.612464,29.88993,73.040921,
03/31/1991,212.319,212.300995,212.300995,,6.209773,2.116504,1.015813,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0.75,1.011451,1.011451,0.640319,29.069291,72.962878,
06/30/1991,212.468994,212.408005,212.408005,,7.162423,3.010211,1.959818,0.65,0.65,0.65,0.65,0.65,0.65,0.75,2.442996,2.442996,0.903238,28.971158,73.231333,
09/30/1991,212.507004,212.492996,212.492996,,9.187381,4.603601,3.557882,1.61,1.61,1.61,1.61,1.61,1.61,0.75,3.528968,3.528968,2.142593,29.834048,72.904077,
12/31/1991,212.677002,212.606003,212.606003,,6.978082,2.701212,1.782955,-2.11,-2.11,-2.11,-2.11,-2.11,-2.11,0.75,2.070835,2.070835,1.185065,26.981276,70.542905,
03/31/1992,212.729996,212.712997,212.712997,,6.687683,2.466765,1.444246,0.23,0.23,0.23,0.23,0.23,0.23,0.75,1.405899,1.405899,1.268086,26.4656,70.657514,
06/30/1992,212.932999,212.860001,212.860001,,6.726247,2.613779,1.59168,0.41,0.41,0.41,0.41,0.41,0.41,0.75,2.243864,2.243864,0.50676,26.131346,70.930524,
09/30/1992,212.994995,212.973007,212.973007,,8.023928,3.588206,2.567527,1.02,1.02,1.02,1.02,1.02,1.02,0.4,2.140558,2.140558,1.607784,26.755896,70.611639,
12/31/1992,213.304993,213.169998,213.169998,,6.8637,2.485992,1.449533,0.41,0.41,0.41,0.41,0.41,0.41,0.4,1.537702,1.537702,0.787487,26.759016,71.646594,
03/31/1993,213.358994,213.337006,213.337006,,6.953248,2.401909,1.3503,0.28,0.23,0.23,0.28,0.23,0.23,0.4,2.102622,2.102622,0.822585,26.642607,85.185945,
06/30/1993,213.522995,213.466003,213.466003,,6.701521,2.375198,1.312776,0.27,0.27,0.27,0.27,0.27,0.27,0.4,1.59818,1.59818,0.600886,26.505947,84.839982,
09/30/1993,213.304993,213.550003,213.550003,,8.768195,4.142271,3.066003,1.27,1.27,1.27,1.27,1.27,1.27,0.4,3.805905,3.805905,2.476271,27.404193,84.595445,
12/31/1993,213.751007,213.679001,213.679001,,2.218561,-2.311037,-3.388171,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,0.4,2.947449,2.947449,4.161089,25.365462,83.70708,
03/31/1994,213.794998,213.779999,213.779999,,7.132332,2.252315,1.163659,0.17,0.17,0.17,0.17,0.17,0.17,0.4,1.056497,1.056497,3.540649,25.134404,81.349833,
06/30/1994,214.070007,213.923004,213.923004,,6.694773,1.999546,0.919962,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,0.4,-0.292203,-0.292203,1.344948,24.390988,81.191268,
09/30/1994,214.186005,214.138,214.138,,8.663927,4.053353,2.960007,1.23,1.23,1.23,1.23,1.23,1.23,0.4,0.952554,0.952554,0.672719,25.453913,80.910089,
12/31/1994,214.339996,214.283005,214.283005,,6.838288,2.488849,1.408236,0.37,0.37,0.37,0.37,0.37,0.37,0.4,1.551854,1.551854,0.450219,25.418028,80.821597,
03/31/1995,214.522995,214.429001,214.429001,,7.359713,2.675743,1.562886,0.41,0.41,0.41,0.41,0.41,0.41,0.4,2.596981,1.022702,1.205358,25.428929,80.331815,
06/30/1995,214.757004,214.677002,214.677002,,7.2645,2.806514,1.696688,0.51,0.51,0.51,0.51,0.51,0.51,0.4,2.281903,1.111777,0.599296,25.534174,79.846485,
09/30/1995,214.789001,214.800003,214.800003,,10.19972,5.141992,4.036778,1.9,1.9,1.9,1.9,1.9,1.9,0.4,4.023277,2.88371,2.829344,27.018293,79.441226,
