Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2011,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,
12/31/2011,10432.0,526.0,526.0,0.0,509.0,509.0,0.0,73.0,,,,,566,10.0,,,60,1674.0,8222.0,12199.0,-3977.0,125.0,125.0,411.0,0.0,0.0,0.0,401,8758.0,,888.0,702.0,,,186.0,0.0,0.0,0.0,0.0,,,268.0,0.0,7.0,1556.0,0.0,1156.0,1503.0,1503.0,0.0,0.0,,2014,0.0,0.0,0.0,0.0,451,3517.0,4673.0,0.0,5459.0,2.0,5457.0,0.0,0.0,219.0,5678.0,81.0,5759.0,10432.0,
03/31/2012,10269.0,362.0,362.0,0.0,414.0,414.0,0.0,61.0,,,,,847,22.0,,,331,1684.0,8289.0,12500.0,-4211.0,132.0,132.0,164.0,,,,142,8585.0,,792.0,531.0,,,261.0,0.0,0.0,,,,,270.0,,31.0,1516.0,0.0,1062.0,1509.0,1509.0,,,,1989,,,,,442,3498.0,4560.0,0.0,5451.0,2.0,5449.0,0.0,-43.0,217.0,5625.0,84.0,5709.0,10269.0,
06/30/2012,9842.0,427.0,427.0,0.0,337.0,337.0,0.0,66.0,,,,,383,23.0,,,41,1213.0,8331.0,,,138.0,138.0,160.0,,,,137,8629.0,,649.0,430.0,,,219.0,0.0,0.0,0.0,0.0,,,140.0,,3.0,1503.0,0.0,789.0,1509.0,1509.0,0.0,0.0,,1913,,,,,407,3422.0,4211.0,0.0,5460.0,2.0,5458.0,0.0,-53.0,136.0,5543.0,88.0,5631.0,9842.0,
09/30/2012,9583.0,240.0,240.0,0.0,385.0,385.0,0.0,71.0,,,,,191,9.0,,,32,887.0,8413.0,13170.0,-4757.0,143.0,143.0,140.0,,,,131,8696.0,,611.0,441.0,,,170.0,0.0,0.0,,,,,70.0,,1.0,1459.0,0.0,681.0,1509.0,1509.0,,,,1897,,,,,437,3406.0,4087.0,0.0,5467.0,2.0,5465.0,0.0,-117.0,55.0,5405.0,91.0,5496.0,9583.0,
12/31/2012,9456.0,153.0,153.0,0.0,443.0,443.0,0.0,66.0,,,,,110,2.0,,17.0,35,772.0,8416.0,13339.0,-4923.0,145.0,145.0,123.0,0.0,0.0,0.0,121,8684.0,,712.0,509.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,,,14.0,0.0,1.0,1401.0,0.0,726.0,1508.0,1508.0,0.0,0.0,,1851,0.0,0.0,0.0,0.0,449,3359.0,4085.0,0.0,5489.0,2.0,5487.0,0.0,-223.0,2.0,5268.0,103.0,5371.0,9456.0,
03/31/2013,9404.0,112.0,112.0,0.0,411.0,411.0,0.0,54.0,,,,,103,4.0,,33.0,50,680.0,8451.0,13613.0,-5162.0,148.0,148.0,125.0,,,,121,8724.0,,666.0,521.0,,,145.0,0.0,0.0,,,,,85.0,,0.0,1347.0,0.0,751.0,1589.0,1589.0,,,,1807,,,,,460,3396.0,4147.0,0.0,5491.0,2.0,5489.0,0.0,-339.0,-1.0,5151.0,106.0,5257.0,9404.0,
06/30/2013,9483.0,90.0,90.0,0.0,422.0,422.0,0.0,76.0,,,,,128,20.0,,27.0,48,716.0,8469.0,13847.0,-5378.0,157.0,157.0,141.0,,,,121,8767.0,,674.0,515.0,,,159.0,0.0,0.0,,,,,27.0,,9.0,1347.0,0.0,701.0,1688.0,1688.0,,,,1804,,,,,448,3492.0,4193.0,0.0,5501.0,2.0,5499.0,0.0,-321.0,-1.0,5179.0,111.0,5290.0,9483.0,
09/30/2013,9523.0,108.0,108.0,0.0,390.0,390.0,0.0,74.0,52.0,0.0,9.0,13.0,122,13.0,,33.0,45,694.0,8535.0,14115.0,-5580.0,161.0,161.0,133.0,,,,120,8829.0,,698.0,518.0,,,180.0,0.0,0.0,,,,,28.0,,7.0,1348.0,0.0,726.0,1776.0,1776.0,,,,1836,,,,,481,3612.0,4338.0,0.0,5510.0,2.0,5508.0,0.0,-435.0,-1.0,5074.0,111.0,5185.0,9523.0,
12/31/2013,8429.0,47.0,47.0,0.0,518.0,518.0,0.0,66.0,,,,,291,7.0,92.0,49.0,100,922.0,6760.0,12011.0,-5251.0,0.0,,747.0,0.0,0.0,0.0,740,7507.0,,801.0,634.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,,,206.0,0.0,12.0,776.0,96.0,1007.0,1911.0,1911.0,0.0,0.0,,1301,0.0,0.0,0.0,0.0,513,3212.0,4219.0,0.0,5518.0,2.0,5516.0,0.0,-1408.0,-1.0,4109.0,101.0,4210.0,8429.0,
