Date,Returns,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Source: Bloomberg
03/24/2002,,,,,,26.851612,,12.512985,,8.195263,5.163023,5.163022,5.163022,,36.999918,0.0,
06/16/2002,,,,,,26.617521,,10.473641,,5.833803,3.675755,3.675755,3.675755,,36.992133,0.0,
09/08/2002,,,,,,26.568253,,12.343176,,6.188552,3.898434,3.898433,3.898433,,37.005712,0.0,
12/29/2002,,,,,,25.620888,20.919298,13.77608,,9.323601,5.847873,5.847873,5.847873,,37.278812,0.0,
03/23/2003,,15.696361,44.891599,62.978519,,25.763809,,13.799751,108.269392,9.32484,5.874742,5.874742,5.874742,,36.999003,0.0,
06/15/2003,,16.994809,46.109357,63.812773,,26.635755,,13.287221,730.248056,9.585524,5.941752,5.941751,5.941751,,38.013285,0.0,
09/07/2003,,10.265458,38.46577,61.198669,,24.415392,,7.650044,,-9.855625,-6.159509,-6.15951,-6.15951,,,,
12/28/2003,,8.947322,36.649236,48.056361,,25.256694,19.569937,12.682734,1.05096,7.862247,4.913789,4.913789,4.913789,,37.501469,0.0,
03/21/2004,,9.23086,37.01868,55.300109,,25.446267,15.816586,13.63779,5.859763,9.277374,5.774987,5.774987,5.774987,,37.751926,0.0,
06/13/2004,,8.378619,35.102698,45.581589,,23.933493,14.320742,12.127278,0.327354,7.868651,4.898284,4.898284,4.898284,,37.749383,0.0,
09/05/2004,,13.407819,42.390769,56.810843,,24.396112,11.000437,8.732284,18.596326,0.484033,0.301251,0.301251,0.301251,,37.762238,0.0,
01/02/2005,,13.84985,42.447267,44.779853,,24.175546,14.729724,12.582101,11.624893,9.069879,5.646053,5.646053,5.646053,,37.749412,0.0,
03/27/2005,,15.734099,44.661652,58.056825,,25.161226,15.63998,13.659554,13.79581,10.845678,6.751463,6.751463,6.751463,,37.749732,27.615416,
06/19/2005,,17.571038,49.262543,56.889598,,25.478594,15.548171,13.425411,31.952637,10.403108,6.744698,6.744698,6.744698,,35.16651,27.8987,
09/11/2005,,23.035495,58.685712,71.733272,,25.627414,15.681802,13.444084,134.989645,10.010487,6.166315,6.166315,6.166315,,38.401444,31.88864,
01/01/2006,,23.839607,60.657845,61.006287,,25.658998,14.60869,12.384155,-16.867014,13.832781,8.549866,8.549866,8.549866,,38.191272,17.130249,
03/26/2006,,26.16164,71.185194,75.829422,,27.123232,17.658361,15.501332,,12.13304,7.522422,7.522422,7.522422,,38.000522,28.296115,
06/18/2006,,27.147001,76.657001,87.637195,,27.083886,16.43798,14.157216,-0.94207,10.259016,7.477246,7.477246,7.477246,,27.115367,30.371982,
