Date,Level 1 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,72.0,,,,3.964758,,,,1.580334,,,,
06/30/2008,140.0,,,,7.874016,,,,3.078276,,,,
09/30/2008,,178.0,,,9.955257,,,9.955257,3.832903,,,3.832903,
12/31/2008,,,,,23.600509,,,23.600509,7.761506,,,7.761506,
03/31/2009,374.0,374.0,,,23.761118,,,23.761118,8.088235,,,8.088235,
06/30/2009,331.0,331.0,,,21.465629,,,21.465629,7.24606,,,7.24606,
09/30/2009,331.0,331.0,,,22.125668,,,22.125668,7.323009,,,7.323009,
12/31/2009,331.0,331.0,,,22.578445,,,22.578445,7.441547,,,7.441547,
03/31/2010,333.0,333.0,,,22.409152,,,22.409152,7.544178,,,7.544178,
06/30/2010,279.0,279.0,,,19.843528,,,19.843528,6.424131,,,6.424131,
09/30/2010,294.0,294.0,,,21.444201,,,21.444201,6.803981,,,6.803981,
12/31/2010,284.0,284.0,,,20.669578,,,20.669578,6.680781,,,6.680781,
03/31/2011,287.0,287.0,,,21.212121,,,21.212121,6.805786,,,6.805786,
06/30/2011,287.0,287.0,,,21.514243,,,21.514243,6.768868,,,6.768868,
09/30/2011,289.0,289.0,,,22.213682,,,22.213682,6.749183,,,6.749183,
12/31/2011,289.0,289.0,,,22.882027,,,22.882027,6.78563,,,6.78563,
03/31/2012,310.0,310.0,,,25.182778,,,25.182778,7.185906,,,7.185906,
06/30/2012,294.0,294.0,,,24.459235,,,24.459235,6.846763,,,6.846763,
09/30/2012,356.0,356.0,,,29.69141,,,29.69141,8.273298,,,8.273298,
12/31/2012,393.0,393.0,,,32.134096,0.0,0.0,32.134096,8.964416,0.0,0.0,8.964416,
03/31/2013,336.0,336.0,,,27.096774,,,27.096774,7.68527,,,7.68527,
06/30/2013,394.0,394.0,,,32.084691,,,32.084691,8.824188,,,8.824188,
09/30/2013,476.0,476.0,,,38.699187,,,38.699187,10.278558,,,10.278558,
12/31/2013,473.0,473.0,,,25.818777,,,25.818777,8.305531,,,8.305531,
03/31/2014,145.0,145.0,,,8.10962,,,8.10962,2.708256,,,2.708256,
06/30/2014,146.0,146.0,,,8.262592,,,8.262592,2.735619,,,2.735619,
09/30/2014,132.0,132.0,,,7.746479,,,7.746479,2.501421,,,2.501421,
12/31/2014,138.0,138.0,,,8.258528,,,8.258528,2.660497,,,2.660497,
03/31/2015,139.0,139.0,,,8.590853,,,8.590853,2.732993,,,2.732993,
06/30/2015,128.0,128.0,2597.0,2597.0,8.349641,,,8.349641,2.519685,,,2.519685,
09/30/2015,125.0,125.0,,,8.300133,,,8.300133,2.498002,,,2.498002,
12/31/2015,104.0,104.0,,,7.036536,,,7.036536,2.084168,,,2.084168,
