Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,44.606998,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.698,,,-1.698,-1.698,,58.050273,-0.02864,-0.02864,,58.050273,-0.02864,-0.02864,-0.02864,
03/31/1990,51.303001,,,-43.221001,,8.082001,,-7.055,,,,,1.027,-0.032,,0.0,,0.0,0.032,0.995,-0.378,0.617,0.352,,,0.265,0.0,0.265,0.0,,0.265,0.265,,58.32402,0.00358,0.01074,,58.32402,0.00358,0.01074,0.01074,
06/30/1990,58.873997,,,-50.139999,,8.733997,,-6.754,,,,,1.979996,0.15,,0.0,,0.0,-0.15,2.129996,-0.747,1.382996,-0.475,,,1.857996,0.0,1.858,0.0,,1.858,1.858,,21.133999,0.09,0.07,,21.133999,0.09,0.07,0.07,
09/30/1990,59.536995,,,-50.715,,8.821995,,-6.683,,,,,2.138996,0.086,,0.0,,0.0,-0.086,2.224996,-0.801,1.423996,0.0,,,1.423996,0.0,1.423996,0.0,,1.423996,1.423996,,20.988998,0.07,0.07,,20.988998,0.07,0.07,0.07,
12/31/1990,47.927994,,,-42.023998,,5.903996,,-6.115,,,,,-0.211007,0.245,,0.0,,0.0,-0.245,0.033993,-0.008,0.025993,0.0,,,0.025993,0.0,0.026,0.0,,0.026,0.026,,20.565712,0.0,0.0,,20.565712,0.0,0.0,0.0,
03/31/1991,50.122002,,,-44.153999,,5.968002,,-8.908,,,,,-2.94,-0.117,,0.117,,0.0,0.0,-3.057,0.703,-2.354,0.0,,,-2.354,0.0,-2.354,0.0,,-2.354,-2.354,,20.643,-0.11,-0.11,,20.643,-0.11,-0.11,-0.11,
06/30/1991,73.263,,,-58.389,,14.874001,,-13.252,,,,,1.622,-0.345,,0.345,,0.0,0.0,1.277,-0.347,0.93,0.0,,,0.93,0.0,0.93,0.0,,0.93,0.93,,20.743999,0.04,0.04,,20.743999,0.04,0.04,0.04,
09/30/1991,77.668999,,,-60.421001,,17.247997,,-13.289,,,,,3.959,-0.189,,0.189,,0.0,0.0,3.77,-1.44,2.33,0.0,,,2.33,0.0,2.33,0.0,,2.33,2.33,,20.736,0.11,0.11,,20.736,0.11,0.11,0.11,
12/31/1991,65.32,,,-52.535,,12.785,,-12.033,,,,,0.752,-0.118,,0.118,,0.0,0.0,0.634,-0.293,0.341,0.0,,,0.341,0.0,0.341,0.0,,0.341,0.341,,20.733463,0.02,0.02,,20.733463,0.02,0.02,0.02,
03/31/1992,66.518997,,,-53.518002,,13.000996,,-12.658,,,,,0.343,-0.132,,0.132,,0.0,0.0,0.211,-0.101,0.11,0.0,,,0.11,0.0,0.11,0.0,,0.11,0.11,,20.799999,0.01,0.01,,20.799999,0.01,0.01,0.01,
