Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,258.846008,,,-179.806,,,79.040008,,-24.785999,,,,,,54.254002,5.836,,4.985,,0.0,,-10.821,60.090002,-21.808001,38.282001,0.0,,,38.282001,0.062,38.344002,,,38.344002,38.344002,,,,,,,,,,
06/30/2001,176.742004,,,-113.879997,,,62.862007,,-27.247999,,,,,,35.613998,-3.918,4.059191,4.06,-0.000809,0.0,-0.000179,-0.141012,31.695998,-11.168,20.528,0.0,,,20.527998,0.107,20.635,0.0,0.0,20.635,20.635,,,,,,,,,,
09/30/2001,153.339005,,,-80.422997,,,72.916008,,-29.872999,,,,,,43.042999,-7.252,7.242,7.301,-0.059,0.0,-0.568,0.578,35.790999,-12.825,22.966,0.0,,,22.965999,0.085,23.051001,0.0,0.0,23.051001,23.051001,,,,,,,,,,
12/31/2001,157.470001,,,-90.988998,,,66.481003,,-37.166,,,,,,29.315001,-1.54,,6.526,,0.0,,-4.986,27.775001,-8.417,19.358,0.0,,,19.358001,-0.254,19.104,,,19.104,19.104,,,,,,,,,,
03/31/2002,153.128998,,,-86.053001,,,67.075997,,-38.132,,,,,,28.944,-2.511,,8.419,,0.0,,-5.908,26.433,-8.928,17.504999,0.0,,,17.505,0.097,17.601999,0.0,0.0,17.601999,17.601999,,,,,,,,,,
06/30/2002,152.483994,,,-82.444,,,70.039994,,-31.313999,,,,,,38.726002,-3.435,3.373,8.845,-5.472,0.0,-0.666,0.728,35.291002,-12.569,22.722,0.0,,,22.722002,0.095,22.816999,0.0,0.0,22.816999,22.816999,,,,,,,,,,
09/30/2002,133.684006,,,-69.310997,,,64.373009,,-33.574001,,,,,,30.799,-6.451,7.437,9.02,-1.583,0.0,-1.22,0.234,24.348,-8.472,15.876,0.0,,,15.876,0.124,16.0,0.0,0.0,16.0,16.0,,,,,,,,,,
12/31/2002,189.826004,,,-121.511002,,,68.315002,,-34.664001,,,,,,33.651001,30.886999,,8.421,,0.0,,-39.307999,64.538,-23.195999,41.341999,0.0,,,41.342001,0.168,41.509998,0.0,0.0,41.509998,41.509998,,,,,,,,,,
03/31/2003,239.641998,,,-145.063004,,,94.578994,,-34.321999,,,,,,60.257,-6.159,6.495,7.512,-1.017,0.0,-1.036,0.7,54.098,-20.094,34.004002,5.113,,,28.891,0.045,28.936001,0.0,0.0,28.936001,28.936001,,,,,,,,,,
06/30/2003,185.936996,,,-104.543999,,,81.392997,,-32.429001,,,,,,48.964001,-5.145,5.715,6.956,-1.241,0.0,-1.322,0.752,43.819001,-16.089001,27.73,0.0,,,27.73,0.046,27.775999,0.0,0.0,27.775999,27.775999,,,,,,,,,,
09/30/2003,209.261993,,,-129.341003,,,79.92099,,-31.361,,,,,,48.560001,-5.135,,7.145,,0.0,,-2.01,43.425001,-16.111,27.313999,0.0,,,27.314001,0.038,27.351999,,,27.351999,27.351999,,,,,,,,,,
12/31/2003,234.167007,,,-144.537003,,,89.630004,,-37.066002,,,,,,52.563999,-3.677,,6.545,,0.0,,-2.868,48.886999,-16.832001,32.055,0.0,,,32.054998,-0.129,31.926001,0.0,0.0,31.926001,31.926001,,,,,,,,,,
03/31/2004,268.411011,,,-162.287994,,,106.123017,,-36.799999,,,,,,69.322998,-5.059,6.369,7.152,-0.783,0.0,-1.31,0.0,64.263998,-23.739,40.525002,0.0,,,40.524998,-0.27,40.255001,0.0,0.0,40.255001,40.255001,,,,,,,,,,
06/30/2004,278.450012,,,-174.755005,,,103.695007,,-37.783001,,,,,,65.912003,-5.228,6.492,6.722,-0.23,0.0,-1.264,0.0,60.684003,-22.521,38.162998,0.0,,,38.163003,0.0,38.162998,0.0,0.0,38.162998,38.162998,,,,,,,,,,
09/30/2004,284.597,,,-214.871,,,69.726,,-2.447,,,,,,67.279,-8.096,6.269,6.728,-0.459,0.0,,1.827,59.183,-21.972,37.211,0.0,,,37.211,0.0,37.211,,,37.211,37.211,,,,,,,,,,
12/31/2004,353.823,,,-261.185,,,92.638,,,,,,,,92.638,-20.0,,,-2.51,0.0,,22.51,72.638,-22.856,49.782,0.0,,,49.782,0.0,49.782,0.0,0.0,49.782,49.782,,,,,,,,,,
03/31/2005,352.422,,,-239.295,,,113.127,,-17.004,,,,,,96.123,-6.191,6.332,6.794,-0.462,0.0,,-0.141,89.932,-33.311,56.621,0.0,,,56.621,0.0,56.621,0.0,0.0,56.621,56.621,,,,,,,,,,
06/30/2005,380.637,,,-281.241,,,99.396,0.0,-8.333,,,,,,91.063,-4.452,6.127,7.016,-0.889,0.0,-1.675,0.0,86.611,-31.85,54.761,0.0,,,54.761,0.0,54.761,0.0,0.0,54.761,54.761,,,,,,,,,,
09/30/2005,481.492,,,-369.022,,,112.47,0.0,-6.056,,,,,,106.414,-3.027,4.937,8.546,-3.609,0.0,-1.91,0.0,103.387,-38.108,65.279,0.0,,,65.279,0.0,65.279,0.0,0.0,65.279,65.279,,,,,,,,,,
12/31/2005,613.623,,,-418.82,,,194.803,,-58.443,,,,,,136.36,-7.926,,30.865,-1.567,0.0,,-21.372,128.434,-46.858,81.576,0.0,,,81.576,0.0,81.576,0.0,0.0,81.576,81.576,,,,,,,,,,
03/31/2006,467.514,,,-289.483,,,178.031,,-21.449,,,,,,156.582,-6.432,6.564,7.855,-1.291,0.0,,-0.132,150.15,-55.485,94.665,0.0,,,94.665,0.0,94.665,0.0,0.0,94.665,94.665,,,,,,,,,,
06/30/2006,424.274,,,-257.219,,,167.055,0.0,-28.667,,,,,,138.388,-12.97,7.311,9.647,-2.336,0.0,-1.701,7.36,125.418,-46.133,79.285,0.0,,,79.285,0.0,79.285,0.0,0.0,79.285,79.285,,,,,,,,,,
09/30/2006,467.892,,,-298.2,,,169.692,0.0,-38.741,,,,,,130.951,14.97,6.948,7.892,-0.944,0.0,-1.801,-20.117,145.921,-53.919,92.002,0.0,,,92.002,0.0,92.002,0.0,0.0,92.002,92.002,,,,,,,,,,
12/31/2006,476.12,,,-312.498,,,163.622,,-0.941,,,,,,162.681,-21.47,,8.506,-1.229,0.0,,14.193,141.211,-51.063,90.148,0.0,,,90.148,0.0,90.148,,,90.148,90.148,,4.309427,,,,,,,,
03/31/2007,478.7,,,-289.0,,,189.7,,-22.3,,,,,,167.4,5.6,6.5,8.3,-1.8,0.0,,-12.1,173.0,-63.5,109.5,0.0,,,109.5,0.0,109.5,,,109.5,109.5,,,,,,,,,,
06/30/2007,430.6,,,-225.5,,,205.1,,-29.8,,,,,,175.3,-13.8,7.2,8.7,-1.5,0.0,,6.6,161.5,-59.4,102.1,0.0,,,102.1,0.0,102.1,,,102.1,102.1,,,,,,,,,,
09/30/2007,423.6,,,-227.0,,,196.6,,-26.3,,,,,,170.3,2.8,6.0,8.9,-2.9,0.0,,-8.8,173.1,-64.4,108.7,0.0,,,108.7,0.0,108.7,,,108.7,108.7,,,,,,,,,,
12/31/2007,522.3,,,-319.3,,,203.0,,-39.3,,,,,,163.7,-9.2,,9.7,-3.5,0.0,,3.0,154.5,-54.0,100.5,0.0,,,100.5,0.0,100.5,0.0,0.0,100.5,100.5,,,,,,,,,,
03/31/2008,617.5,,,-363.5,,,254.0,0.0,-28.5,,,,,,225.5,-0.6,11.7,12.6,-0.9,,-0.2,-10.9,224.9,-83.2,141.7,0.0,,,141.7,-2.4,139.3,0.0,0.0,139.3,139.3,,,,,,,,,,
06/30/2008,680.5,,,-385.4,,,295.1,0.0,-31.2,,,,,,263.9,-2.6,15.1,18.4,-3.3,0.0,-0.2,-12.3,261.3,-97.1,164.2,0.0,,,164.2,-2.1,162.1,0.0,0.0,162.1,162.1,,,,,,,,,,
09/30/2008,661.4,,,-334.8,,,326.6,,-27.6,,,,,,299.0,19.5,13.4,18.0,-4.6,0.0,,-32.9,318.5,-118.5,200.0,0.0,,,200.0,-2.4,197.6,,,197.6,197.6,,,,,,,,,,
12/31/2008,494.7,,,-207.7,,,287.0,,-41.6,,,,,,245.4,-130.7,7.4,13.2,-10.0,0.0,,127.5,114.7,-26.1,88.6,0.0,,,88.6,-2.1,86.5,0.0,0.0,86.5,86.5,,,,,,,,,,
03/31/2009,541.8,541.8,,-105.9,105.9,139.7,435.9,0.0,-251.9,23.3,,23.3,,88.9,184.0,-151.5,,16.2,,0.0,-0.6,135.9,32.5,-11.3,21.2,0.0,0.0,0.0,21.2,-0.5,20.7,0.0,0.0,20.7,111.83,91.13,,,,,,,,,
06/30/2009,442.7,442.7,,-207.7,63.1,,235.0,0.0,-116.4,103.3,79.2,24.1,,13.1,118.6,-46.7,,15.8,,,-0.5,31.4,71.9,-26.4,45.5,-19.8,-19.8,0.0,65.3,-0.6,64.7,0.0,0.0,64.7,65.07,20.17,174.1,0.37,0.26,0.373751,176.1,0.37,0.26,0.373751,
09/30/2009,488.0,488.0,,-190.6,58.2,,297.4,0.0,-150.1,138.3,113.9,24.4,,11.8,147.3,-33.3,,17.2,,,-0.9,17.0,114.0,-42.0,72.0,-20.6,-20.6,0.0,92.6,-0.6,92.0,0.0,0.0,92.0,93.5,22.1,174.3,0.53,0.41,0.536431,176.3,0.52,0.4,0.525355,
12/31/2009,559.7,559.7,,-230.5,73.1,,329.2,0.0,-164.7,150.8,126.6,24.2,,13.9,164.5,-20.7,,20.9,,,-0.7,0.5,143.8,-48.3,95.5,-21.5,-21.5,0.0,117.0,-0.9,116.1,0.0,0.0,116.1,-14.015,-108.615,174.4,0.665711,0.542431,-0.080361,176.9,0.656303,0.534765,-0.080361,
