Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1590.838013,1563.249023,0.0,0.0,27.589001,,-577.505981,577.506012,182.776001,394.730011,0.0,,1013.332031,-651.468994,100.299004,177.332001,48.005001,325.833008,361.863007,-99.847,,,2.834,,140.641998,112.712997,-4.71,32.639,-37.960999,262.016007,-79.391998,,182.623993,0.0,,,182.624009,0.0,182.623993,-10.975,,171.648993,171.648993,,436.947998,0.395,0.395,0.395,436.947998,0.395,0.395,0.395,
06/30/1990,1594.777954,1548.487061,0.0,0.0,46.291,,-637.469971,637.469986,199.453995,438.015991,0.0,,957.307983,-597.442993,100.344002,178.300003,44.847,273.951996,359.86499,-108.023006,,,3.16,,141.697006,110.566002,-5.36,36.491001,-30.514,251.841984,-93.791,,158.050995,0.0,,,158.050984,0.0,158.050995,-11.672,,146.378995,146.378995,,436.947998,0.335,0.335,0.335,436.947998,0.335,0.335,0.335,
09/30/1990,2257.584961,2168.386963,0.0,0.0,89.197998,,-958.039001,958.039017,249.445999,708.593018,0.0,,1299.545959,-692.95697,92.041,180.227005,53.124001,367.565002,606.588989,-109.160002,,,3.308,,143.858002,115.875,-5.103,33.085999,-31.389999,497.428987,-200.707993,,296.721008,0.0,,,296.720994,0.0,296.721008,-10.745,,285.976008,285.976008,,436.947998,0.655,0.655,0.655,436.947998,0.655,0.655,0.655,
12/31/1990,1755.329956,1706.161011,0.0,0.0,49.168999,,-726.288025,726.287979,195.716995,530.570984,0.0,,1029.041931,-616.45697,82.653999,179.820999,31.545,322.437012,412.584991,-103.587997,,,3.924,,144.016998,115.346001,-5.774,34.445,-36.505001,308.996994,-115.906998,,193.089996,0.0,,,193.089997,0.0,193.089996,-10.734,,182.355996,182.355996,,439.411987,0.415,0.415,0.415,439.411987,0.415,0.415,0.415,
03/31/1991,1669.995972,1642.281982,0.0,0.0,27.714001,,-596.788025,596.78801,176.959,419.82901,0.0,,1073.207947,-649.210999,108.759003,190.253998,51.752998,298.445007,423.997009,-121.666001,,,4.459,,140.442001,114.224998,-6.155,32.372002,-14.317,302.331008,-119.786003,,182.544998,0.0,,,182.545005,0.0,182.544998,-10.71,,171.834998,171.834998,,436.950012,0.395,0.395,0.395,436.950012,0.395,0.395,0.395,
06/30/1991,1695.060059,1646.05603,0.0,0.0,49.004002,,-579.382996,579.383011,130.320999,449.062012,0.0,,1115.677063,-747.143982,93.920998,188.787994,49.771999,414.662994,368.53299,-116.424995,,,4.438,,136.369995,115.990997,-5.867,26.246,-15.507,252.107995,-74.013,,178.095001,0.0,,,178.094994,0.0,178.095001,-10.602,,167.493001,167.493001,,436.950012,0.385,0.385,0.385,436.950012,0.385,0.385,0.385,
09/30/1991,2250.843994,2162.748047,0.0,0.0,88.096001,,-979.580017,979.580017,205.869995,773.710022,0.0,,1271.263977,-689.83197,85.222,192.266998,50.827,361.515991,581.432007,-127.119005,,,2.114,,140.587006,121.183998,-4.962,24.365,-11.354,454.313001,-195.518997,,258.794006,0.0,,,258.794004,0.0,258.794006,-10.469,,248.325006,248.325006,,436.950012,0.57,0.57,0.57,436.950012,0.57,0.57,0.57,
12/31/1991,1940.099976,1846.91394,0.0,0.0,93.185997,,-756.249023,756.248993,195.850006,560.398987,0.0,,1183.850952,-865.812988,95.098,195.690994,50.647999,524.375977,318.037994,-128.789998,,,4.989,,151.600998,139.600006,-8.016,20.017,-17.822001,189.247997,-63.681999,,125.566002,0.0,,,125.565998,0.0,125.566002,-10.219,,115.347002,115.347002,,452.339996,0.255,0.255,0.255,452.339996,0.255,0.255,0.255,
03/31/1992,1714.42395,1685.302979,0.0,0.0,29.121,,-607.517029,607.517014,173.585007,433.932007,0.0,,1106.906921,-689.312012,101.200996,196.628998,52.412998,339.069,417.595001,-134.530005,,,5.153,,139.464005,118.727997,-5.538,26.274,0.219,283.064997,-115.200996,,167.863998,0.0,,,167.864,0.0,167.863998,-11.217,,156.646998,156.646998,,441.481995,0.355,0.355,0.355,441.481995,0.355,0.355,0.355,
06/30/1992,1765.449951,1709.812012,0.0,0.0,55.638,,-595.241028,595.240982,167.884995,427.355988,0.0,,1170.208923,-741.942017,92.893997,195.751999,52.383999,400.911987,428.266998,-135.573003,,,4.782,,132.772003,113.755997,-11.956,30.972,7.583,292.693995,-124.918999,,167.774994,0.0,,,167.774996,0.0,167.774994,-9.669,,158.105994,158.105994,,445.635986,0.355,0.355,0.355,445.635986,0.355,0.355,0.355,
09/30/1992,2549.958984,2456.579102,0.0,0.0,93.379997,,-1073.777954,1073.777985,258.782013,814.995972,0.0,,1476.18103,-818.64801,82.470001,204.860992,51.838001,479.479004,657.53302,-156.743003,,,4.279,,123.983002,115.646004,-13.541,21.878,37.039001,500.790017,-217.615997,,283.174011,0.0,,,283.174019,0.0,283.174011,-10.876,,272.298011,272.298011,,447.721985,0.61,0.61,0.61,447.721985,0.61,0.61,0.61,
12/31/1992,1954.166992,1870.30603,0.0,0.0,83.861,,-810.463989,810.464004,235.748001,574.716003,0.0,,1143.703003,-760.098022,85.434998,209.757996,50.365002,414.540009,383.605011,-135.154006,,,5.786,,131.781006,114.870003,-13.965,30.875999,9.159,248.451005,-86.264,,162.186996,0.0,,,162.187005,0.0,162.186996,-10.238,,151.948996,151.948996,,446.90799,0.34,0.34,0.34,446.90799,0.34,0.34,0.34,
03/31/1993,1784.96106,1700.970947,0.0,0.0,83.989998,,-675.651978,675.651993,214.802994,460.848999,0.0,,1109.309082,-741.590027,90.600998,227.261002,61.188,362.540009,367.718994,-133.158001,,,5.016,,129.026001,127.072998,-11.526,13.479,9.148,234.560993,-75.214996,,159.345993,0.0,,,159.345997,0.0,159.345993,-10.471,,148.874993,148.874993,,447.735992,0.335,0.335,0.335,447.735992,0.335,0.335,0.335,
06/30/1993,1767.737061,1689.57605,0.0,0.0,78.161003,,-674.732971,674.733017,165.994003,508.739014,0.0,,1093.004089,-687.507996,87.211998,228.080002,53.507999,318.708008,405.496002,-141.585,,,5.075,,126.139999,118.736,-11.93,19.334,20.52,263.911002,-112.551003,,151.360001,0.0,,,151.36,0.0,151.360001,-10.212,,141.148001,141.148001,,447.739014,0.32,0.32,0.32,447.739014,0.32,0.32,0.32,
09/30/1993,2423.873047,2263.060059,0.0,0.0,160.813004,,-1144.954956,1144.955002,221.335007,923.619995,0.0,,1278.918091,-757.197021,84.646004,230.212997,54.287998,388.049988,521.721008,-128.184997,,,4.797,,119.922997,137.389008,-35.188,17.722,13.059,393.536012,-172.263,,221.272995,0.0,,,221.273011,0.0,221.272995,-10.02,,211.252995,211.252995,,447.755005,0.47,0.47,0.47,447.755005,0.47,0.47,0.47,
12/31/1993,1844.428955,1743.392944,0.0,0.0,101.036003,,-837.659973,837.659988,231.867996,605.791992,0.0,,1006.768982,-619.705017,100.541,236.445999,51.015999,231.701996,387.063995,-134.071995,,,5.112,,131.910995,144.802002,-27.356001,14.465,7.273,252.992,-104.971001,,148.020996,0.0,,,148.020999,0.0,148.020996,-10.297,,137.723996,137.723996,,447.790009,0.31,0.31,0.31,447.790009,0.31,0.31,0.31,
03/31/1994,1728.745972,1676.678955,0.0,0.0,52.067001,,-681.867004,681.86702,192.352005,489.515015,0.0,,1046.878967,-687.669006,84.176003,235.921997,54.556999,313.014008,359.209991,-126.001004,,,3.924,,129.076004,125.082001,-14.399,18.393,0.849,233.208987,-90.828003,,142.380997,0.0,,,142.380985,0.0,142.380997,-10.02,,132.360996,132.360996,,447.799011,0.3,0.3,0.3,447.799011,0.3,0.3,0.3,
06/30/1994,1858.520996,1746.437988,0.0,0.0,112.083,,-736.025024,736.025009,198.679001,537.346008,0.0,,1122.495972,-725.205994,88.308998,234.904007,52.801998,349.19101,397.290009,-136.290003,,,3.565,,134.134003,127.655998,-15.798,22.275999,5.721,261.000006,-109.177002,,151.822998,0.0,,,151.823004,0.0,151.822998,-10.02,,141.802998,141.802998,,447.799011,0.32,0.32,0.32,447.799011,0.32,0.32,0.32,
09/30/1994,2678.120117,2529.782959,0.0,0.0,148.337006,,-1197.192993,1197.192993,274.377991,922.815002,0.0,,1480.927124,-855.322998,77.268997,245.619995,54.075001,478.359009,625.604004,-135.608006,,,3.807,,135.462006,130.037003,-14.851,20.275999,3.953,489.995998,-195.660995,,294.334991,0.0,,,294.335003,-11.416,282.919006,-10.02,,272.899006,272.899006,,447.799011,0.61,0.61,0.61,447.799011,0.61,0.61,0.61,
12/31/1994,2041.714966,1845.64502,0.0,0.0,196.070007,,-836.323975,836.32399,223.110001,613.213989,0.0,,1205.390991,-829.632996,82.217003,224.007996,49.903,473.505005,375.757996,-133.612004,,,3.052,,148.160004,144.677994,-15.392,18.874001,-11.496,242.145992,-84.987,,157.158997,0.0,,,157.158992,-12.771,144.388,-10.764,,133.624,133.624,,447.799011,0.3,0.3,0.3,447.799011,0.3,0.3,0.3,
03/31/1995,1822.032959,1721.772949,0.0,0.0,100.260002,,-651.557007,651.557007,164.464996,487.09201,0.0,,1170.475952,-741.05603,97.894997,243.332993,54.789001,345.039001,429.420013,-140.281003,,,5.524,,135.050003,128.742996,-17.332001,23.639,10.755,289.13901,-111.725998,,177.412994,0.0,,,177.413013,-11.651,165.761993,-12.217,,153.544993,153.544993,,447.618988,0.34,0.34,0.34,447.618988,0.34,0.34,0.34,
06/30/1995,1860.837036,1737.838013,0.0,0.0,122.999001,,-688.728027,688.727982,138.998001,549.72998,0.0,,1172.109009,-756.846985,84.830002,253.218002,53.588001,365.210999,415.261993,-127.784995,,,4.999,,134.522995,129.485001,-18.228001,23.266001,-1.739,287.476998,-104.821999,,182.654999,0.0,,,182.655,-11.443,171.212006,-11.339,,159.873006,159.873006,,446.812988,0.36,0.36,0.36,446.812988,0.36,0.36,0.36,
09/30/1995,2670.006104,2509.8479,0.0,0.0,160.158005,,-1131.10498,1131.104996,213.557999,917.546997,0.0,,1538.901123,-888.002014,86.487999,253.720001,50.612,497.182007,650.898987,-138.066004,,,4.392,,136.242004,140.912994,-19.347,14.676,6.216,512.832983,-202.602005,,310.230988,0.0,,,310.230978,-11.284,298.946991,-11.378,,287.568991,287.568991,,445.855011,0.65,0.65,0.65,445.855011,0.65,0.65,0.65,
