Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,82.758003,3.772,3.772,0.0,10.345,,,0.991,,,,,1.33,,,,,,,16.438,20.656,,,0.881,,44.783001,44.784,,,-0.000999,66.320001,,1.293,1.293,,,,1.446,,,,,2.537,,,2.537,5.276,30.059999,,,,1.185,,,,,,1.185,31.244999,36.520999,3.208,30.253,,,0.0,,2.56,36.021,10.216,46.237,82.757999,
06/30/1998,85.18,3.706,3.706,0.0,11.787,,,1.124,,,,,1.762,,,,,,,18.379,21.851,,,0.323,,44.626999,44.626999,,,0.0,66.800999,,0.86,0.86,,,,1.187,,,,,1.798,,,1.798,3.845,7.665,,,,0.839,,,,,,0.839,8.504,12.349,0.0,61.389,,,0.0,,-0.056,61.333,11.498,72.831,85.18,
09/30/1998,86.976997,4.851,4.851,0.0,11.871,,,1.12,,,,,1.48,,,,,,,19.322001,21.475,,,0.315,,45.865002,45.865002,,,0.0,67.655002,,1.02,1.02,,,,1.21,,,,,2.3,,,2.3,4.53,6.99,,,,0.838,,,,,,0.838,7.828,12.358,0.0,61.585999,,,0.0,,1.167,62.752999,11.866,74.618999,86.976999,
12/31/1998,98.420998,6.07,6.07,0.0,12.122,,,1.25,,,,,1.459,,,,,,,20.900999,23.139,32.155998,-9.017,2.046,,52.334999,52.334999,,,0.0,77.519999,,1.195,1.195,,,,3.763,,,,,2.989,,,2.989,7.947,12.483,,,,1.828,,,,,,1.828,14.311,22.258,0.0,61.645,,,0.0,,2.724,64.369,11.794,76.163,98.421,
03/31/1999,98.863998,5.31,5.31,0.0,13.762,,,1.249,,,,,1.451,,,,,,,21.771999,23.724001,,,1.946,,51.422001,51.422001,,,0.0,77.092002,,1.452,1.452,,,,1.477,,,,,3.608,,,3.608,6.537,11.895,,,,1.827,,,,,,1.827,13.722,20.259001,0.0,61.665001,,,0.0,,4.197,65.862001,12.743,78.605001,98.864002,
06/30/1999,101.952003,3.814,3.814,0.0,14.182,,,1.522,1.522,0.0,0.0,0.0,1.831,,,,,,,21.349001,24.388,,,2.451,,53.764,53.764,,,0.0,80.603,,1.238,1.238,,,,1.641,,,,,3.62,,,3.62,6.499,11.694,,,,1.827,,,,,,1.827,13.521,20.02,0.0,62.049999,,,0.0,,5.965,68.014999,13.917,81.931999,101.952,
09/30/1999,116.411003,4.845,4.845,0.0,14.695,,,1.794,1.794,0.0,0.0,0.0,1.884,,,,,,,23.218,25.096001,,,2.902,,65.195,65.195,0.0,65.195,0.0,93.193,,1.794,1.794,,,,1.779,1.779,0.0,0.0,,4.391,,,4.391,7.964,21.216999,21.216999,0.0,0.0,1.827,,,,,,1.827,23.043999,31.007999,0.0,62.838001,,,0.0,,7.791,70.629001,14.774,85.403001,116.411001,
12/31/1999,137.868,9.523,9.523,,17.462,17.462,,2.077,,,,,2.198,,,,,,,31.26,27.995,41.719,-13.724,2.036,,76.577,76.461,76.461,0.0,0.116,106.608,,1.915,1.915,,,,3.047,3.047,0.0,0.0,,5.269,,,5.269,10.231,34.901,34.901,0.0,0.0,2.67,,,,,,2.67,37.571,47.802,,62.922,,,,9.786,0.0,72.708,17.358,90.066,137.868,
03/31/2000,139.807999,6.316,6.316,0.0,18.34,,,2.035,0.0,0.0,0.0,0.0,2.139,,,,,,,28.83,28.722,,,1.998,,80.258003,80.258003,,,0.0,110.978003,,2.387,2.387,,,,1.95,,,,,5.220999,,,5.220999,9.558,35.519001,,,,2.67,,,,,,2.67,38.189001,47.747001,0.0,62.972,,,0.0,,11.809,74.781,17.280001,92.061001,139.808002,
06/30/2000,151.238998,6.945,6.945,0.0,20.566,,,2.208,2.208,0.0,0.0,0.0,2.236,,,,,,,31.955,30.304001,,,1.946,,87.033997,87.033997,,,0.0,119.283997,,2.76,2.76,,,,1.992,,,,,5.999,,,5.999,10.751,42.359001,,,,2.67,,,,,,2.67,45.029001,55.780002,0.0,62.993,,,0.0,,14.014,77.007,18.452,95.459,151.239001,
