Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/27/1995,2073.427002,39.949001,39.949001,0.0,25.76,,,164.548004,,,,,103.628998,,,,,,333.885986,1669.411987,,,0.0,,,70.128998,,,,,,70.128998,1739.540985,,157.393997,157.393997,,,,69.093002,,,,,,263.350006,,,263.350006,489.837006,303.747986,,,,,115.708,,,,115.708,419.455986,909.292992,0.0,1253.801025,0.0,,-89.667,1164.134026,0.0,1164.134026,2073.427017,
11/26/1995,2089.739014,16.990999,16.990999,0.0,26.93,,,171.373993,,,,,126.0,,,,,,341.295013,1677.886963,,,0.0,,,70.556999,,,,,,70.556999,1748.443962,,128.621002,128.621002,,,,100.778999,,,,,,257.917992,,,257.917992,487.317993,303.748993,,,,,120.806,,,,120.806,424.554993,911.872986,0.0,1257.265015,0.0,,-79.399002,1177.866013,0.0,1177.866013,2089.738998,
02/25/1996,2088.878906,30.549999,30.549999,0.0,34.876999,,,146.190994,,,,,118.209999,,,,,,329.828003,1661.589966,,,0.0,,,97.460999,,,,,,97.460999,1759.050964,,156.136993,156.136993,,,,48.664001,,,,,,243.255005,,,243.255005,448.056,302.062012,,,,,122.667,,,,122.667,424.729012,872.785011,0.0,1262.130005,0.0,,-46.035999,1216.094006,0.0,1216.094006,2088.879017,
05/26/1996,2088.503906,30.343,30.343,0.0,24.771999,,,120.724998,,,,,112.139999,,,,,,287.980011,1702.860962,2409.475098,-706.614014,0.0,,,97.663002,,,,,,97.663002,1800.523964,,128.195999,128.195999,,,,72.653999,,,,,,244.456001,,,244.456001,445.306,301.151001,,,,,119.410004,,,,119.410004,420.561005,865.867004,0.0,1266.212036,-25.037001,,-18.538,1222.637035,0.0,1222.637035,2088.50404,
08/25/1996,2091.092041,31.601999,31.601999,0.0,29.363001,,,119.525002,,,,,113.087997,,,,,,293.578003,1700.702026,,,0.0,,,96.811996,,,,,,96.811996,1797.514023,,139.149994,139.149994,,,,33.754002,,,,,,237.176998,,,237.176998,410.080994,318.078003,,,,,120.697998,,,,120.697998,438.776001,848.856995,0.0,1267.703979,-27.943001,,2.474001,1242.23498,0.0,1242.23498,2091.091974,
11/24/1996,2103.778076,20.607,20.607,0.0,28.899,,,139.901993,,,,,126.889999,,,,,,316.298004,1692.162964,,,0.0,,,95.317001,,,,,,95.317001,1787.479965,,129.658005,129.658005,,,,90.304001,,,,,,228.255005,,,228.255005,448.21701,314.72699,,,,,120.179001,,,,120.179001,434.905991,883.123001,0.0,1267.536011,-34.229,,-12.652,1220.65501,0.0,1220.65501,2103.778011,
02/23/1997,2099.240967,28.787001,28.787001,0.0,30.704,,,147.425995,,,,,117.455002,,,,,,324.372009,1680.505981,,,0.0,,,94.362999,,,,,,94.362999,1774.86898,,152.462997,152.462997,,,,79.304001,,,,,,231.558014,,,231.558014,463.325012,313.756989,,,,,120.001999,,,,120.001999,433.758987,897.084,0.0,1267.94397,-69.042,,3.254997,1202.156967,0.0,1202.156967,2099.240967,
05/25/1997,1963.722046,25.49,25.49,0.0,16.333,,,132.240997,,,,,163.304993,,,,,,337.368988,1533.271973,2390.522949,-857.250977,0.0,,,93.081001,,,,,,93.081001,1626.352974,,113.086998,113.086998,,,,43.404999,,,,,,324.08799,,,324.08799,480.579987,313.187012,,,,,88.741997,,,,88.741997,401.929008,882.508995,0.0,1268.656006,-69.183998,,-118.258995,1081.213013,0.0,1081.213013,1963.722008,
08/24/1997,1933.237061,30.355,30.355,0.0,16.219,,,122.274002,,,,,151.753998,,,,,,320.60199,1517.602051,2388.51001,-870.90802,0.0,,,95.032997,,,,,,95.032997,1612.635048,,124.459999,124.459999,,,,0.005,,,,,,328.261991,,,328.261991,452.72699,311.411987,,,,,83.137001,,,,83.137001,394.548988,847.275978,0.0,1269.237061,-90.994003,,-92.281998,1085.96106,0.0,1085.96106,1933.237038,
11/23/1997,1981.55896,22.069,22.069,0.0,19.5,,,182.834,,,,,158.276993,,,,,,382.679993,1503.355957,2355.101074,-851.744995,0.0,,,95.523003,,,,,,95.523003,1598.87896,,132.244003,132.244003,,,,62.305,,,,,,321.950996,,,321.950996,516.5,311.441986,,,,,88.538002,,,,88.538002,399.979988,916.479988,0.0,1272.145996,-115.848999,,-91.218002,1065.078995,0.0,1065.078995,1981.558983,
