Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,1.168,,,1.168,18.802,18.802,0.04638,,,0.04638,0.02168,,,0.02168,
06/30/2008,0.818,,,0.818,8.486,8.486,0.030976,,,0.030976,0.014091,,,0.014091,
09/30/2008,1.393,,,1.393,13.588,13.588,0.043389,,,0.043389,0.023132,,,0.023132,
03/31/2009,0.367,0.0,0.0,0.367,,,,,,,,,,,
06/30/2009,0.739,0.0,0.0,0.739,,,,,,,,,,,
09/30/2009,1.229,10.137,0.0,11.366,4.375,,,,,,,,,,
12/31/2009,1.049,20.588,0.0,21.637,2.381,,0.027551,0.540729,0.0,0.56828,0.016475,0.323345,0.0,0.33982,
03/31/2010,1.139,,0.0,1.139,3.632,3.632,,,,,,,,,
06/30/2010,0.913,0.0,0.0,0.913,7.799,7.799,,,,,,,,,
09/30/2010,0.955,3.453,0.0,4.408,,,,,,,,,,,
12/31/2010,1.103,23.441,0.0,24.544,0.482,,0.023282,0.494781,0.0,0.518062,0.01167,0.248007,0.0,0.259677,
03/31/2011,1.425,71.126,0.0,72.551,0.379,0.379,,,,,,,,,
06/30/2011,1.189,,0.0,1.189,1.414,1.414,,,,,,,,,
09/30/2011,0.789,,0.0,0.789,1.368,1.368,,,,,,,,,
12/31/2011,0.98,36.115,,37.095,2.854,,,,,,,,,,
03/31/2012,0.988,,,0.988,2.76,2.76,,,,,,,,,
06/30/2012,0.942,,,0.942,,,,,,,,,,,
09/30/2012,1.172,,,1.172,,,,,,,,,,,
12/31/2012,1.384,,,1.384,7.511,7.511,,,,,,,,,
03/31/2013,1.555,63.249,,64.804,0.2,0.2,,,,,,,,,
06/30/2013,1.297,83.068,,84.365,0.135,0.135,0.010722,0.686685,,0.697406,0.005843,0.374241,,0.380084,
09/30/2013,1.037,,,1.037,71.943,71.943,0.008681,,0.0,0.008681,0.004499,,0.0,0.004499,
12/31/2013,1.211,0.038,0.0,1.249,11.599,11.599,,,,,,,,,
03/31/2014,1.76,3.715,0.0,5.475,,,,,,,,,,,
06/30/2014,0.0,,0.0,19.862,19.862,19.862,,,,,,,,,
09/30/2014,0.0,71.415,0.0,71.415,,,,,,,,,,,
12/31/2014,0.0,102.314,0.0,102.314,,,,,,,,,,,
03/31/2015,46.74,119.818,,166.558,,,,,,,,,,,
06/30/2015,43.326,128.099,0.0,171.425,,,,,,,,,,,
09/30/2015,40.241,195.327,0.0,235.568,,,,,,,,,,,
12/31/2015,22.779,241.549,0.0,264.328,,,,,,,,,,,
03/31/2016,15.23,212.335,0.0,227.565,,,,,,,,,,,
06/30/2016,11.619,224.942,0.0,236.561,,,,,,,,,,,
09/30/2016,17.527,253.285,0.0,270.812,,,,,,,,,,,
12/31/2016,27.899,241.721,0.0,269.62,,,,,,,,,,,
03/31/2017,17.33,217.516,0.0,234.846,,,,,,,,,,,
06/30/2017,11.422,155.049,0.0,166.471,,,,,,,,,,,
09/30/2017,7.615,104.363,0.0,111.978,41.582,41.582,,,,,,,,,
12/31/2017,7.269,97.476,0.0,104.745,23.05,23.05,,,,,,,,,
03/31/2018,14.443,67.999,0.0,82.442,,,,,,,,,,,
06/30/2018,21.903,148.329,0.0,170.232,,,,,,,,,,,
09/30/2018,12.912,97.476,0.0,110.388,43.664,43.664,,,,,,,,,
12/31/2018,11.286,126.691,0.0,137.977,,,,,,,,,,,
03/31/2019,13.773,82.609,0.0,96.382,,,,,,,,,,,
06/30/2019,11.86,180.517,0.0,192.377,,,,,,,,,,,
09/30/2019,10.617,228.669,0.0,239.286,,,,,,,,,,,
12/31/2019,15.685,86.393,0.0,102.078,,,,,,,,,,,
03/31/2020,8.034,123.28,0.0,131.314,,,,,,,,,,,
06/30/2020,6.6,101.891,0.0,108.491,,,,,,,,,,,
