Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1592.0,,-1461.400024,,130.599976,,-65.0,,,,65.599998,0.1,,7.6,,4.0,,-11.7,65.699998,-28.9,36.799999,,,,36.799999,-0.6,36.200001,,,36.200001,36.200001,,426.399994,0.085,0.085,,426.399994,0.085,0.085,0.085,
06/30/1990,1687.699951,,-1523.699951,,164.0,,-76.199997,,,,87.800003,-3.4,,8.3,,3.8,,-8.7,84.400003,-37.200001,47.200001,,,,47.200002,-0.1,47.099998,,,47.099998,47.099998,,426.399994,0.11,0.11,,426.399994,0.11,0.11,0.11,
09/30/1990,1781.199951,,-1637.5,,143.699951,,-78.300003,,,,65.400002,35.200002,,9.2,,2.0,,-46.400002,100.600003,-43.200001,57.400002,,,,57.400002,-2.0,55.400002,,,55.400002,55.400002,,426.799988,0.13,0.13,,426.799988,0.13,0.13,0.13,
12/31/1990,1844.300049,,-1683.800049,,160.5,,-63.799999,,,,96.699997,6.1,,8.6,,1.4,,-16.1,102.799997,-44.200001,58.599998,,,,58.599996,0.1,58.700001,,,58.700001,58.700001,,427.200012,0.1375,0.1375,,427.200012,0.1375,0.1375,0.1375,
03/31/1991,1729.800049,,-1601.300049,,128.5,,-75.400002,,,,53.099998,-4.099999,,9.9,,4.7,,-10.5,48.999999,-21.0,28.0,,,,27.999999,-0.6,27.4,,,27.4,27.4,,427.600006,0.065,0.065,,427.600006,0.065,0.065,0.065,
06/30/1991,1773.900024,,-1638.5,,135.400024,,-80.099998,,,,55.299999,4.6,,14.8,,3.2,,-22.6,59.899999,-27.0,32.900002,,,,32.899999,-0.6,32.299999,,,32.299999,32.299999,,427.600006,0.075,0.075,,427.600006,0.075,0.075,0.075,
09/30/1991,1708.5,,-1590.5,,118.0,,-72.800003,,,,45.200001,7.300001,,14.5,,0.9,,-22.700001,52.500002,-26.299999,26.200001,,,,26.200002,-1.6,24.6,,,24.6,24.6,,427.600006,0.0575,0.0575,,427.600006,0.0575,0.0575,0.0575,
12/31/1991,1763.300049,,-1757.099976,,6.200073,,-107.199997,,,,-101.0,32.6,,14.1,,2.3,,-49.0,-68.4,10.5,-57.900002,,,,-57.9,0.2,-57.700001,0.0,,-57.700001,-57.700001,,428.0,-0.135,-0.135,-0.135,428.0,-0.135,-0.135,-0.135,
03/31/1992,1673.0,,-1572.699951,,100.300049,,-63.099998,,,,37.200001,-12.700001,,15.1,,7.3,,-9.7,24.5,-12.4,12.1,13.8,,,-1.7,-2.4,-4.1,0.0,,-4.1,-4.1,,428.399994,-0.01,0.0225,,428.399994,-0.01,0.0225,0.0225,
06/30/1992,1612.599976,,-1508.5,,104.099976,,-70.900002,,,,33.200001,-3.200001,,13.1,,5.8,,-15.7,30.0,-15.3,14.7,0.0,,,14.7,-0.7,14.0,0.0,,14.0,14.0,,428.399994,0.0325,0.0325,,428.399994,0.0325,0.0325,0.0325,
09/30/1992,1561.5,,-1451.699951,,109.800049,,-73.900002,,,,35.900002,27.6,,12.5,,8.4,,-48.5,63.500002,-32.5,31.0,0.0,,,31.000002,0.0,31.0,0.0,,31.0,31.0,,428.399994,0.0725,0.0725,,428.399994,0.0725,0.0725,0.0725,
12/31/1992,1718.800049,,-1850.699951,,-131.899902,,-75.800003,,,,-207.699997,-41.6,,12.9,,11.2,,17.5,-249.299997,66.300003,-183.0,0.0,,,-182.999994,4.8,-178.199997,0.0,,-178.199997,-178.199997,,428.399992,-0.415,-0.415,-0.415,428.399992,-0.415,-0.415,-0.415,
