Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,3.292,2.68,2.68,2.68,0.0,0.0,0.612,0.0,,,,0.612,0.0,0.0,3.292,-0.444,0,0.444,2.848,0.129,,-0.129,2.977,0.0,,,2.977,0.0,,,2.977,0,2.977,0,,2.977,2.977,,14.747318,0.202656,0.202656,0.202656,15.294895,0.19515,0.19515,0.19515,
06/30/1998,3.684,3.161,3.161,3.161,0.0,0.0,0.523,0.0,,,,0.523,0.0,0.0,3.684,-0.372,0,0.372,3.312,0.103,,-0.103,3.415,0.0,,,3.415,0.0,,,3.415,0,3.415,0,,3.415,3.415,,14.747318,0.232679,0.232679,0.232679,15.573348,0.217667,0.217667,0.217667,
09/30/1998,4.762,4.09,4.09,4.09,0.0,0.0,0.672,0.0,,,,0.672,0.0,0.0,4.762,-0.496,0,0.496,4.266,0.558,,-0.558,4.824,0.0,,,4.824,0.0,,,4.824,0,4.824,0,,4.824,4.824,,14.748649,0.330254,0.330254,0.262702,15.269583,0.315242,0.315242,0.255196,
12/31/1998,5.184,4.442,4.499,4.499,0.0,-0.057,0.742,0.0,,,,0.742,0.0,0.0,5.184,-0.34,0,0.34,4.844,0.855,,-0.855,5.699,0.0,,,5.699,0.0,,,5.699,0,5.699,0,,5.699,5.699,,14.737991,0.382794,0.382794,0.307737,14.751314,0.382794,0.382794,0.307737,
03/31/1999,8.023,5.06,5.854,5.854,0.0,-0.794,2.963,2.297,,,,0.666,0.0,0.0,8.023,-0.604,0,0.604,7.419,-0.79,0.395,0.395,7.024,0.0,,,7.024,0.0,,,7.024,0,7.024,0,0.0,7.024,7.024,,14.74865,0.472864,0.472864,0.472864,15.027102,0.465358,0.465358,0.465358,
06/30/1999,7.155,5.413,6.49,6.49,0.0,-1.077,1.742,1.077,,,,0.665,0.0,0.0,7.155,-0.573,0,0.573,6.582,-0.842,0.421,0.421,6.161,0.0,,,6.161,0.0,,,6.161,0,6.161,0,0.0,6.161,6.161,,14.82992,0.412817,0.412817,0.412817,15.542705,0.397806,0.397806,0.397806,
09/30/1999,11.364,7.065,8.414,8.414,0.0,-1.349,4.299,3.57,,,,0.729,0.0,0.0,11.364,-0.793,0,0.793,10.571,-0.674,0.337,0.337,10.234,0.0,,,10.234,0.0,,,10.234,0,10.234,0,0.0,10.234,10.234,,19.810088,0.517898,0.517898,0.517898,20.809319,0.495381,0.495381,0.495381,
12/31/1999,101.229,26.117,30.833,30.833,0.0,-4.716,75.112,72.54,,,,2.572,0.0,0.0,101.229,-2.535,0,2.535,98.694,-2.986,1.493,1.493,97.201,,,,97.201,0.0,,,,0,97.201,0,0.0,97.201,97.201,,18.311241,5.306581,5.306581,5.306581,19.044011,5.103925,5.103925,5.103925,
03/31/2000,20.507,9.259,11.038,11.038,0.0,-1.779,11.248,10.768,,,,0.48,0.0,0.0,20.507,-0.635,0,0.635,19.872,-1.116,0.558,0.558,19.314,0.0,,,19.314,0.0,,,19.314,0,19.314,0,0.0,19.314,19.314,,23.759049,0.810623,0.810623,0.810623,24.449184,0.788106,0.788106,0.788106,
06/30/2000,13.865,10.628,13.094,13.094,0.0,-2.466,3.237,1.438,,,,1.799,0.0,0.0,13.865,-1.414,0,1.414,12.451,-2.444,1.222,1.222,11.229,0.0,,,11.229,0.0,,,11.229,0,11.229,0,0.0,11.229,11.229,,27.13112,0.412817,0.412817,0.412817,27.815926,0.405312,0.405312,0.405312,
