Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
12/31/1989,,,0.0,,1.213,1.213,,,,,,,,,
03/31/1990,,,1.721,,1.721,1.721,,,,,,,,,
06/30/1990,,,0.763,,0.763,0.763,,,,,,,,,
09/30/1990,,,1.404,,1.404,1.404,,,,,,,,,
12/31/1990,,,0.0,,27.73299,27.73299,,,,,,,,,
03/31/1991,,,1.386,,1.386,1.386,,,,,,,,,
06/30/1991,,,1.072,,1.072,1.072,,,,,,,,,
09/30/1991,,,2.005,,2.005,2.005,,,,,,,,,
12/31/1991,,,0.0,,1.425,1.425,,,,,,,,,
03/31/1992,,,0.554,,0.554,0.554,,,,,,,,,
06/30/1992,,,0.016,,0.016,0.016,,,,,,,,,
09/30/1992,,,0.102,,0.11,0.11,,,,,,,,,
12/31/1992,,,0.0,,-0.543,-0.543,,,,,,,,,
03/31/1993,,,0.807,,0.807,0.807,,,,,,,,,
06/30/1993,,,0.955,,0.955,0.955,,,,,,,,,
09/30/1993,,,2.213,,2.213,2.213,,,,,,,,,
12/31/1993,,,0.0,,1.915,1.915,,,,,,,,,
03/31/1994,,,0.855,,-2.929,-2.929,,,,,,,,,
06/30/1994,,,0.127,,0.127,0.127,,,,,,,,,
09/30/1994,,,1.679,,1.679,1.679,,,,,,,,,
12/31/1994,,,0.0,,1.981,1.981,,,,,,,,,
03/31/1995,,,1.631,,1.631,1.631,,,,,,,,,
06/30/1995,,,1.753,,1.753,1.753,,,,,,,,,
09/30/1995,,,3.556,,3.556,3.556,,,,,,,,,
12/31/1995,,,0.0,,4.371,4.371,,,,,,,,,
03/31/1996,,,4.347,,4.347,4.347,,,,,,,,,
06/30/1996,,,5.794,,5.063,5.063,,,,,,,,,
09/30/1996,,,9.759,,9.759,9.759,,,,,,,,,
12/31/1996,,,0.0,,78.997002,78.997002,,,,,,,,,
03/31/1997,,,14.345,,14.345,14.345,,,,,,,,,
06/30/1997,,,19.062,,45.741,45.741,,,,,,,,,
09/30/1997,,,23.094,,53.726002,53.726002,,,,,,,,,
12/31/1997,,,0.0,,18.184,18.184,,,,,,,,,
03/31/1998,,,31.277,,61.143002,61.143002,,,,,,,,,
06/30/1998,,,48.209,,-14.891,-14.891,,,,,,,,,
09/30/1998,,,22.239,,42.754002,42.754002,,,,,,,,,
12/31/1998,,,-24.169001,,-24.169001,-24.169001,,,,,,,,,
03/31/1999,,,2.538,,2.538,2.538,,,,,,,,,
06/30/1999,,,-2.02,,-2.02,-2.02,,,,,,,,,
09/30/1999,,,3.022,,-11.093,-11.093,,,,,,,,,
12/31/1999,,,7.48875,,-10.30025,-10.30025,,,,,,,,,
03/31/2000,,,9.993,,6.535,6.535,,,,,,,,,
06/30/2000,,,13.204,,13.204,13.204,,,,,,,,,
09/30/2000,,,21.523001,,21.523001,21.523001,,,,,,,,,
12/31/2000,,,35.923,,-83.612,-83.612,,,,,,,,,
03/31/2001,,,43.509998,,43.509998,43.509998,,,,,,,,,
06/30/2001,,,56.436001,,56.436001,56.436001,,,,,,,,,
09/30/2001,,,60.181,,60.181,60.181,,,,,,,,,
12/31/2001,,,54.523998,,54.523998,54.523998,,,,,,,,,
03/31/2002,,,45.219002,,45.219002,45.219002,,,,,,,,,
06/30/2002,,,38.852001,,38.852001,38.852001,,,,,,,,,
09/30/2002,,,34.569,,-121.641998,-121.641998,,,,,,,,,
12/31/2002,,,31.541,,31.541,31.541,,,,,,,,,
03/31/2003,,,33.529999,,33.529999,33.529999,,,,,,,,,
06/30/2003,,,39.044998,,28.573,28.573,,,,,,,,,
09/30/2003,,,47.633999,,32.411999,32.411999,,,,,,,,,
12/31/2003,,,48.837002,,48.837002,48.837002,,,,,,,,,
03/31/2004,,,53.5,,52.605,52.605,,,,,,,,,
06/30/2004,,,55.751999,,73.889,73.889,,,,,,,,,
09/30/2004,,,69.837997,,70.097,70.097,,,,,,,,,
12/31/2004,,,80.528999,,133.555,133.555,,,,,,,,,
03/31/2005,,,86.535004,,80.596,80.596,,,,,,,,,
06/30/2005,,,94.724998,,95.188,95.188,,,,,,,,,
09/30/2005,,,128.179001,,47.886,47.886,,,,,,,,,
12/31/2005,,,188.201004,,243.75,243.75,,,,,,,,,
03/31/2006,,,203.317001,,203.317,203.317,,,,,,,,,
06/30/2006,,,186.847,,186.847,186.847,,,,,,,,,
09/30/2006,,,234.203003,,234.203,234.203,,,,,,,,,
12/31/2006,,,263.700012,,272.002,272.002,,,,,,,,,
03/31/2007,,,284.235992,,281.572,281.572,,,,,,,,,
06/30/2007,,,235.608994,,165.31,165.31,,,,,,,,,
09/30/2007,,,294.924011,,292.713,292.713,,,,,,,,,
12/31/2007,,,344.842987,,331.011,331.011,,,,,,,,,
03/31/2008,,,350.291992,,264.201,264.201,,,,,,,,,
06/30/2008,,,299.687988,,370.984,370.984,,,,,,,,,
09/30/2008,,,384.326996,,370.6,370.6,,,,,,,,,
12/31/2008,,,364.371002,,387.368,387.368,,,,,,,,,
03/31/2009,,,186.338,,164.802,181.052,,,,,,,,,
06/30/2009,,,69.498,,41.981,62.131,,,,,,,,,
09/30/2009,,,92.658,,77.374,71.2848,,,,,,,,,
12/31/2009,,,15.23,,-114.016,-116.56425,,,,,,,,,
03/31/2010,,,41.466,,-68.357,12.75135,,,,,,,,,
06/30/2010,,,79.61,,-47.89,23.0003,,,,,,,,,
09/30/2010,,,132.434,,94.653,99.671,,,,,,,,,
12/31/2010,,,156.307,,-230.273,-178.21255,,,,,,,,,
03/31/2011,,,78.0,,37.0,71.05,,,,,,,,,
06/30/2011,,,126.0,,51.0,67.0,,,,,,,,,
09/30/2011,,,197.0,,121.0,132.4,,,,,,,,,
12/31/2011,,,82.7,,,,,,,,,,,,
03/31/2012,,,190.0,,123.0,200.0,,,,,,,,,
06/30/2012,,,322.15,,-849.0,-49.4,,,,,,,,,
09/30/2012,,,70.0,,70.0,98.6,,,,,,,,,
12/31/2012,,,8.56,,-122.0,-58.85,,,,,,,,,
03/31/2013,,,114.76,,22.0,116.1,,,,,,,,,
06/30/2013,,,116.0,,-118.0,114.7,,,,,,,,,
09/30/2013,,,177.0,,22.0,177.0,,,,,,,,,
12/31/2013,,,53.0,,-271.0,-73.4,,,,,,,,,
03/31/2014,,,99.0,,-41.0,100.3,,,,,,,,,
06/30/2014,,,186.0,,-145.0,188.6,,,,,,,,,
09/30/2014,,,248.0,,77.0,248.0,,,,,,,,,
12/31/2014,,,252.0,,-475.0,-82.247692,,,,,,,,,
03/31/2015,,,-33.0,,-118.0,-33.0,,,,,,,,,
06/30/2015,,,-77.0,,-489.0,-84.7,,,,,,,,,
09/30/2015,,,-42.0,,-170.0,-111.476923,,,,,,,,,
12/31/2015,,,-102.0,,-1208.0,-634.044004,,,,,,,,,
03/31/2016,,,-239.0,,-498.0,-239.35,,,,,,,,,
06/30/2016,,,-253.0,,-565.0,-253.0,,,,,,,,,
09/30/2016,,,-349.0,,-1780.0,-753.4,,,,,,,,,
12/31/2016,,,-303.0,,-549.0,-356.156504,,,,,,,,,
03/31/2017,,,-318.0,,-448.0,-318.0,,,,,,,,,
06/30/2017,,,-282.0,,-171.0,-154.333333,,,,,,,,,
09/30/2017,,,-221.0,,-256.0,-221.0,,,,,,,,,
12/31/2017,,,-329.0,,-1938.0,-989.015056,,,,,,,,,
03/31/2018,,,-188.0,,-245.0,-142.0,,,,,,,,,
06/30/2018,,,-156.0,,-264.0,-158.880826,,,,,,,,,
09/30/2018,,,-103.0,,-199.0,-91.884211,,,,,,,,,
12/31/2018,,,-140.0,,-2103.0,-138.810345,,,,,,,,,
03/31/2019,,,-428.07,,-481.0,-108.0,,,,,,,,,
06/30/2019,,,-316.0,,-316.0,-195.83,,,,,,,,,
09/30/2019,,,-821.0,,-821.0,-113.11,,,,,,,,,
