Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,19521.0,653.0,27.0,626.0,3817.0,3817.0,,872.0,236.0,207.0,429.0,0,2012.0,0.0,,,504.0,7354.0,2144.0,5948.0,-3804.0,229.0,229.0,9794.0,9010.0,6100.0,2910.0,,784,12167.0,,5881.0,417.0,,,5464.0,16,0,0.0,0.0,,16.0,0.0,0.0,43.0,0.0,5897.0,32,32,,,,1660.0,0.0,397.0,,1220.0,1692.0,7589.0,0,0.0,,,0,,11932.0,11932.0,0,11932.0,19521.0,
03/31/2012,18961.563,42.991,40.999,1.992,3646.763,3646.763,0.0,915.794,209.416,187.352,519.026,0,2145.5,,911.769,,0.0,6751.048,2168.582,6153.876,-3985.294,221.466,221.466,9820.467,8908.698,6164.149,2744.549,,0,12210.515,,5514.959,476.129,,,5038.83,0,0,,,,,0.0,,,0.0,5514.959,0,0,,,,1395.835,,,,1395.835,1395.835,6910.794,0,,,,0,,12050.769,12050.769,0,12050.769,18961.563,
06/30/2012,17709.554,74.537,74.537,0.0,2994.005,2994.005,0.0,862.775,207.688,207.439,447.648,0,2061.643,,873.715,,2050.643,5992.96,2092.021,6135.546,-4043.525,237.003,237.003,9387.57,8513.855,5973.558,2540.297,,0,11716.594,,4401.354,337.118,,,4064.236,0,0,,,,,438.367,,,422.367,4839.721,0,0,,,,1364.758,,,,1364.758,1364.758,6204.479,0,,,,0,,11505.075,11505.075,0,11505.075,17709.554,
09/30/2012,22729.979,4585.605,2760.988,1824.617,3097.51,3097.51,0.0,958.878,187.476,180.829,590.573,0,2288.746,,934.464,,2267.746,10930.739,2138.898,6308.398,-4169.5,202.619,202.619,9457.723,8523.259,6092.202,2431.057,,0,11799.24,,4847.432,423.907,,,4423.525,0,0,,,,,520.46,,,499.46,5367.892,0,0,,,,1693.251,,,,1693.251,1693.251,7061.143,0,,,,0,0.0,15668.836,15668.836,0,15668.836,22729.979,
12/31/2012,27008.0,7976.0,5901.0,2075.0,4298.0,4298.0,0.0,1091.0,258.0,286.0,547.0,0,1989.0,0.0,,0.0,1305.0,15354.0,2247.0,6542.0,-4295.0,119.0,119.0,9288.0,8453.0,6130.0,2323.0,,835,11654.0,,5724.0,556.0,0.0,0.0,5168.0,1042,1020,0.0,0.0,,22.0,10.0,0.0,96.0,0.0,6776.0,14630,14630,0.0,0.0,,2239.0,0.0,979.0,,1164.0,16869.0,23645.0,0,0.0,,,0,,3363.0,3363.0,0,3363.0,27008.0,
03/31/2013,27169.0,7479.0,6979.0,500.0,4299.0,,,1037.0,162.0,262.0,613.0,0,2108.0,0.0,,,690.0,14923.0,2200.0,6545.0,-4345.0,118.0,118.0,9928.0,8213.0,6060.0,2153.0,,1715,12246.0,,6308.0,,,,6308.0,436,414,,,,22.0,22.0,,121.0,0.0,6766.0,14601,14601,,,,2845.0,,,,2724.0,17446.0,24212.0,0,3961.0,16.0,3945.0,-97,330.0,-1237.0,2957.0,0,2957.0,27169.0,
06/30/2013,27910.0,8754.0,8743.0,11.0,3755.0,,,1085.0,223.0,358.0,504.0,0,2068.0,0.0,,,580.0,15662.0,2213.0,6646.0,-4433.0,121.0,121.0,9914.0,8221.0,6120.0,2101.0,,1693,12248.0,,6368.0,,,,6368.0,432,410,,,,22.0,5.0,,432.0,0.0,6805.0,14326,14326,,,,3221.0,,,,2789.0,17547.0,24352.0,0,4090.0,16.0,4074.0,-121,758.0,-1169.0,3558.0,0,3558.0,27910.0,
09/30/2013,28252.0,9596.0,8975.0,621.0,3798.0,,,1172.0,255.0,439.0,478.0,0,1977.0,0.0,,,533.0,16543.0,2244.0,6790.0,-4546.0,123.0,123.0,9342.0,8192.0,6199.0,1993.0,,1150,11709.0,,6358.0,,,,6358.0,434,411,,,,23.0,83.0,,349.0,0.0,6875.0,14375,14375,,,,3425.0,,,,3076.0,17800.0,24675.0,0,3596.0,16.0,3580.0,-119,1081.0,-981.0,3577.0,0,3577.0,28252.0,
12/31/2013,29198.0,9895.0,9595.0,300.0,3854.0,,,1150.0,261.0,404.0,485.0,0,2949.0,,,949.0,1217.0,17848.0,2298.0,6909.0,-4611.0,118.0,118.0,8934.0,8167.0,6277.0,1890.0,,767,11350.0,,6387.0,933.0,0.0,0.0,5454.0,431,413,0.0,0.0,,18.0,61.0,0.0,505.0,0.0,6879.0,14292,14292,0.0,0.0,,3535.0,0.0,1628.0,,1402.0,17827.0,24706.0,0,3687.0,16.0,3671.0,-320,1567.0,-442.0,4492.0,0,4492.0,29198.0,
03/31/2014,28657.0,9100.0,8140.0,960.0,3650.0,,,1104.0,241.0,439.0,424.0,0,3475.0,,,940.0,1418.0,17329.0,2333.0,7016.0,-4683.0,119.0,119.0,8876.0,8073.0,6271.0,1802.0,,803,11328.0,,6125.0,,,,6125.0,20,2,,,,18.0,71.0,,346.0,0.0,6216.0,14386,14386,,,,3358.0,,,,3012.0,17744.0,23960.0,0,3921.0,16.0,3905.0,-672,1874.0,-426.0,4697.0,0,4697.0,28657.0,
