Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2599.592041,152.233994,33.610001,,,490.233002,,,,,,,,,,,,,1776.332031,-29.833,1746.499023,83.255997,,,,,,,0.0,93.760025,,374.398987,1883.012939,703.312988,1179.699951,0.0,2257.412109,63.323002,,,,24.539,,,,,,,,,,36.653,2381.927111,0.0,67.039001,,,-2.268,,143.359995,208.130997,9.534,217.664997,2599.592108,
06/30/1990,2750.693115,160.261993,33.955002,,,499.130005,,,,,,,,,,,,,1884.886963,-30.128,1854.759033,96.105003,,,,,,,0.0,106.482079,,385.915009,1983.282959,744.682983,1238.599976,0.0,2369.197998,91.411003,,,,27.316,,,,,,,,,,39.264999,2527.190001,0.0,67.082001,,,-2.268,,148.814005,213.628006,9.875,223.503006,2750.693007,
09/30/1990,2837.218018,160.136002,35.195,,,485.149994,,,,,,,,,,,,,1967.796997,-30.611,1937.186035,108.447998,,,,,,,0.0,111.102989,,385.113007,2072.381958,744.182007,1328.199951,0.0,2457.495117,79.940002,,,,22.785999,,,,,,,,,,47.333,2607.554119,0.0,67.141998,,,-2.111,,154.344994,219.375992,10.288,229.663992,2837.218111,
12/31/1990,3057.541016,187.779999,67.717003,,,531.595,,,,897.492981,,,1164.574951,,,,,0.0,2062.068115,-32.028,2030.040039,124.535004,,,,,,,0.0,115.873971,,428.377014,2201.302002,895.041016,1306.260986,0.0,2629.678955,104.707001,,,,29.521999,,,,,,,,,,47.952,2811.859955,0.0,71.334,,,-2.811,,166.389003,234.912003,10.769,245.681003,3057.540958,
03/31/1991,3112.039062,157.139999,89.660004,,,540.060974,,,,,,,,,,,,,2101.139893,-32.125,2069.014893,133.143997,,,,,,,0.0,123.019196,,386.915985,2309.030945,818.299988,1490.730957,0.0,2695.947021,85.499001,,,,28.750999,,,,,,,,,,45.015999,2855.21302,0.0,75.834,,,-2.952,,172.894993,245.776993,11.049,256.825993,3112.039013,
06/30/1991,3361.775879,160.919006,46.466999,,,627.677979,,,,,,,,,,,,,2289.836914,-35.014,2254.822998,140.632996,,,,,,,0.0,131.255901,,406.209991,2477.417969,870.5,1606.917969,0.0,2883.62793,86.749001,,,,72.361,,,,,,,,,,48.451,3091.188931,0.0,82.473,,,-2.951,,179.512996,259.034996,11.552,270.586996,3361.775927,
09/30/1991,4017.136963,193.869003,26.101,,,759.549988,,,,,,,,,,,,,2759.64502,-39.275002,2720.370117,157.830994,,,,,,,0.0,159.415861,,429.710999,2992.12207,1037.400024,1954.722046,0.0,3421.833008,122.247002,,,,110.896004,,,,,,,,,,60.124001,3715.100014,0.0,103.473,,,-2.952,,189.453007,289.974007,12.063,302.037006,4017.13702,
12/31/1991,4935.407227,229.063004,28.134001,,,1031.404029,,,,1475.855957,,,1888.760986,,,,,0.0,3364.616943,-49.379002,3315.237941,171.593994,,,,,,,0.0,159.974258,,551.866028,3673.698974,1638.676025,2035.022949,0.0,4225.564941,146.904999,,,,109.793999,,,,,,,,,,67.110001,4549.37394,0.0,139.067993,,,-2.974,,237.181001,373.274994,12.758,386.032994,4935.406934,
03/31/1992,4145.668945,157.326004,34.709999,,,812.763023,,,,,,,,,,,,,2861.299072,-42.247002,2819.052002,166.130005,,,,,,,0.0,155.687912,,431.34201,3088.171997,1200.599976,1887.572021,0.0,3519.513916,128.393005,,,,121.636002,,,,,,,,,,58.375999,3827.918922,0.0,104.888,,,-2.974,,202.416001,304.330002,13.42,317.750002,4145.668924,
06/30/1992,4206.35498,171.401001,22.485001,,,812.828014,,,,,,,,,,,,,2923.99707,-43.127998,2880.868896,168.406998,,,,,,,0.0,150.36507,,460.487,3060.36499,1223.900024,1836.464966,0.0,3520.852051,169.003006,,,,134.007996,,,,,,,,,,55.676998,3879.540051,0.0,105.100998,,,-2.974,,210.710999,312.837997,13.977,326.814998,4206.355048,
