Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,175.25,-43.401001,131.848999,,-49.457001,,,,82.391998,0.786,,,,,-0.786,83.177998,-30.533001,52.645,,52.644997,,52.645,,,52.645,52.645,229.695999,0.23,0.23,,229.695999,0.23,0.23,0.23,
06/30/1990,191.056,-47.042999,144.013,,-54.285,,,,89.727997,0.428,,,,,-0.428,90.155997,-33.292999,56.862999,,56.862998,,56.862999,,,56.862999,56.862999,228.195999,0.25,0.25,,228.195999,0.25,0.25,0.25,
09/30/1990,196.916,-49.416,147.5,,-55.688999,,,,91.810997,0.723,,,,,-0.723,92.533997,-33.488998,59.044998,,59.044999,,59.044998,,,59.044998,59.044998,226.843994,0.26,0.26,,226.843994,0.26,0.26,0.26,
12/31/1990,187.390976,-37.863998,149.526978,,-64.468002,,,,85.058998,1.266,,1.599,,,-2.865,86.324998,-31.603001,54.721996,,54.721997,,54.721996,,,54.721996,54.721996,213.365005,0.24,0.24,,213.365005,0.24,0.24,0.24,
03/31/1991,203.440002,-47.942001,155.498001,,-61.169998,,,,94.328003,0.794,,,,,-0.794,95.122003,-35.792,59.330002,,59.330003,,59.330002,,,59.330002,59.330002,226.306,0.26,0.26,,226.306,0.26,0.26,0.26,
06/30/1991,220.882004,-52.737999,168.144005,,-61.358002,,,,106.786003,0.327,,,,,-0.327,107.113003,-40.265999,66.847,,66.847004,,66.847,,,66.847,66.847,225.697998,0.295,0.295,,225.697998,0.295,0.295,0.295,
09/30/1991,247.496002,-61.853001,185.643002,,-68.444,,,,117.198997,0.546,,,,,-0.546,117.744998,-44.305,73.440002,,73.439997,,73.440002,,,73.440002,73.440002,224.5,0.325,0.325,,224.5,0.325,0.325,0.325,
12/31/1991,207.710007,-36.147999,171.562008,,-66.069992,,,,105.491989,0.612,,0.683,,,-1.295,106.103989,-39.816002,66.287994,,66.287987,,66.287994,,,66.287994,66.287994,210.792007,0.3,0.3,,210.792007,0.3,0.3,0.3,
03/31/1992,235.554001,-54.317001,181.237,,-69.18,,,,112.056999,0.459,,,,,-0.459,112.515999,-42.658001,69.858002,,69.857998,,69.858002,,,69.858002,69.858002,223.895996,0.31,0.31,,223.895996,0.31,0.31,0.31,
06/30/1992,263.127991,-64.861,198.266991,,-72.728996,,,,125.538002,0.471,,,,,-0.471,126.009002,-47.924,78.084999,,78.085002,,78.084999,,,78.084999,78.084999,222.556,0.35,0.35,,222.556,0.35,0.35,0.35,
09/30/1992,272.993988,-65.209,207.784988,,-71.865997,,,,135.919006,0.362,,,,,-0.362,136.281006,-51.544998,84.736,,84.736008,,84.736,,,84.736,84.736,221.223007,0.38,0.38,,221.223007,0.38,0.38,0.38,
12/31/1992,272.740051,-70.562996,202.177055,,-74.928009,,,,127.248993,0.574,,0.733,,,-1.307,127.822993,-47.944,79.879013,,79.878993,,79.879013,0.0,,79.879013,79.879013,209.662766,0.36,0.36,,209.662766,0.36,0.36,0.36,
03/31/1993,266.233002,-62.667999,203.565002,,-73.622002,,,,129.942993,35.183998,,,,0.0,-35.183998,165.126991,-61.571999,103.555,19.846001,83.708992,0.0,83.709,0.0,,83.709,83.709,218.067001,0.38,0.47,,218.067001,0.38,0.47,0.47,
06/30/1993,280.251007,-59.955002,220.296005,,-75.388,,,,144.908005,0.519,,,,0.0,-0.519,145.427005,-55.591,89.835999,0.0,89.836005,0.0,89.835999,0.0,,89.835999,89.835999,216.690994,0.41,0.41,,216.690994,0.41,0.41,0.41,
09/30/1993,280.315002,-57.969002,222.346001,,-73.494003,,,,148.852005,0.741,,,,0.0,-0.741,149.593005,-60.889999,88.703003,0.0,88.703006,0.0,88.703003,0.0,,88.703003,88.703003,215.473999,0.41,0.41,,215.473999,0.41,0.41,0.41,
