Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2006,4153.122,552.149,161.498,390.651,28.14,28.14,,92.915,85.323,,,,,,758.527,1256.162,,,1.865,,2136.568,2072.885,,,,63.683,3394.595,,325.681,325.681,,,,16.0,,,,,,93.948,,,93.948,435.629,2580.0,,,,,225.716,,,,,,225.716,2805.716,3241.345,494.503,166.331,,,0.0,245.69,1.224,907.748,4.029,911.777,4153.122,
03/31/2007,4272.212,539.671,231.318,308.353,25.531,25.531,,106.721,95.815,,,,,,767.738,1363.786,1729.202,-365.416,,,2140.688,2072.885,,,,67.803,3504.474,,364.742,364.742,,,,16.0,,,,,,109.551,,,109.551,490.293,2576.0,,,,,255.104,,,,,,255.104,2831.104,3321.397,500.625,170.996,,,0.0,275.919,-0.992,946.548,4.267,950.815,4272.212,
06/30/2007,5666.345,1767.274,227.836,1539.438,29.533,29.533,,90.0,91.903,,,,,,1978.71,1534.402,1940.221,-405.819,8.573,,2144.66,2072.895,,,,71.765,3687.635,,402.538,402.538,,,,16.0,,,,,,107.097,,,107.097,525.635,2995.355,,,,,298.392,,,,,,298.392,3293.747,3819.382,,1502.325,,,0.0,332.453,7.664,1842.442,4.521,1846.963,5666.345,
09/30/2007,5765.18,1706.439,1464.26,242.179,34.362,34.362,,96.09,112.483,,,,,,1949.374,1669.175,2116.775,-447.6,,,2146.631,2072.895,,,,73.736,3815.806,,410.527,410.527,,,,16.0,,,,,,112.118,,,112.118,538.645,2990.778,,,,,337.932,,,,,,337.932,3328.71,3867.355,,1511.604,,,0.0,385.561,-4.115,1893.05,4.775,1897.825,5765.18,
12/31/2007,5806.13,1470.208,1470.208,,31.809,31.809,,109.139,121.728,,,,,,1732.884,1891.411,2379.91,-488.499,36.05,,2145.785,2072.895,,,,72.89,4073.246,,439.449,439.449,,,,16.0,,,,,,125.041,,,125.041,580.49,2986.177,,,,,385.685,,,,,,385.685,3371.862,3952.352,,1524.804,,,0.0,338.411,-14.469,1848.746,5.032,1853.778,5806.13,
03/31/2008,5900.591,1310.729,1310.729,0.0,32.827,32.827,,65.475,115.244,,,,,,1524.275,2038.194,2578.816,-540.622,28.049,,2310.073,2072.895,,,,237.178,4376.316,,438.353,438.353,,,,16.0,,,,,,137.689,,,137.689,592.042,2981.572,,,,,438.124,,,,,,438.124,3419.696,4011.738,0.0,1533.966,,,0.0,377.93,-28.378,1883.518,5.335,1888.853,5900.591,
06/30/2008,6078.779,1128.937,1128.937,0.0,38.445,38.445,,43.146,110.977,,,,,,1321.505,2263.223,2863.877,-600.654,21.348,,2472.703,2390.959,,,,81.744,4757.274,,479.025,479.025,,,,16.411,16.0,0.411,0.411,,,132.444,,,132.444,627.88,3003.521,2976.946,26.575,26.575,,473.693,,,,,,473.693,3477.214,4105.094,0.0,1553.269,,,0.0,428.395,-13.631,1968.033,5.652,1973.685,6078.779,
09/30/2008,6277.975,1020.392,1020.392,0.0,39.306,39.306,,82.495,134.732,,,,,,1276.925,2514.435,3180.437,-666.002,16.945,,2469.67,2391.343,,,,78.327,5001.05,,573.736,573.736,,,,16.492,15.992,0.5,0.5,,,140.957,,,140.957,731.185,3001.265,2972.265,29.0,29.0,,514.626,,,,,,514.626,3515.891,4247.076,0.0,1564.918,,,0.0,473.275,-13.263,2024.93,5.969,2030.899,6277.975,
12/31/2008,6422.148,697.948,697.948,0.0,34.666,34.666,,155.955,155.315,,,,,,1043.884,2847.751,3542.876,-695.125,5.986,,2524.527,2406.596,,,,117.931,5378.264,,568.432,568.432,,,,17.009,16.0,1.009,1.009,,,156.915,,,156.915,742.356,3057.983,2967.649,90.334,90.334,,581.196,,,,,,581.196,3639.179,4381.535,0.0,1579.007,,,0.0,487.849,-32.533,2034.323,6.29,2040.613,6422.148,
03/31/2009,6971.209,1075.337,850.702,224.635,45.251,45.251,0.0,103.154,185.588,69.15,,,1.832,114.606,1409.33,2993.108,3749.279,-756.171,4.612,4.612,2564.159,2439.657,,2439.657,,124.502,5561.879,,465.92,154.675,,,311.245,17.727,0.0,,,,17.727,177.372,,55.359,5.575,661.019,3591.105,3456.505,134.6,134.6,,627.626,,,,,417.1,155.167,4218.731,4879.75,0.0,1592.552,0.035,1592.517,0.0,531.822,-32.915,2091.459,0.0,2091.459,6971.209,
06/30/2009,7010.539,1094.643,869.79,224.853,54.159,54.159,,99.877,145.682,61.139,,,1.833,82.71,1394.361,3038.984,3882.283,-843.299,4.422,4.422,2572.772,2447.269,,2447.269,,125.503,5616.178,,434.977,,,,434.977,18.309,0.0,,,,18.309,176.522,,37.228,4.832,629.808,3589.41,3453.61,135.8,135.8,,645.285,,,,,441.625,166.432,4234.695,4864.503,,1609.471,0.035,1609.436,0.0,558.018,-21.453,2146.036,,2146.036,7010.539,
09/30/2009,7162.889,1180.506,955.578,224.928,47.78,47.78,0.0,88.124,152.861,88.792,,,1.832,62.237,1469.271,3097.625,4030.067,-932.442,3.846,3.846,2592.147,2451.544,,2451.544,,140.603,5693.618,,483.436,119.476,,,363.96,18.174,0.0,,,,18.174,169.684,,36.016,5.371,671.294,3590.688,3450.888,139.8,139.8,,667.276,,,,,481.732,149.528,4257.964,4929.258,0.0,1622.518,0.035,1622.483,0.0,631.568,-20.455,2233.631,0.0,2233.631,7162.889,
12/31/2009,7386.017,1154.313,929.381,224.932,51.536,51.536,0.0,147.401,138.141,48.353,,,1.948,87.84,1491.391,3252.213,4268.462,-1016.249,6.319,6.319,2636.094,2470.181,0.0,2470.181,,165.913,5894.626,,558.366,164.246,0.0,0.0,394.12,19.326,0.0,,,,19.326,219.777,0.0,0.702,7.966,797.469,3625.949,3444.755,181.194,181.194,,674.457,0.0,0.0,0.0,0.0,512.306,161.449,4300.406,5097.875,0.0,1634.789,0.035,1634.754,0.0,664.693,-11.34,2288.142,,2288.142,7386.017,
03/31/2010,7456.55,1189.431,914.574,274.857,52.838,52.838,0.0,117.594,178.168,69.557,,,5.959,102.652,1538.031,3263.511,4369.169,-1105.658,6.319,6.319,2648.689,2470.568,,2470.568,,178.121,5918.519,,552.003,195.043,,,356.96,19.742,0.0,3.7,3.7,,16.042,232.579,,4.048,9.116,804.324,3630.872,3445.272,185.6,185.6,,699.3,,,,,531.112,164.14,4330.172,5134.496,0.0,1646.006,0.035,1645.971,-0.626,687.354,-10.68,2322.054,,2322.054,7456.55,
06/30/2010,7479.122,1076.399,776.54,299.859,47.786,47.786,,195.363,167.977,65.407,,,5.959,96.611,1487.525,3306.443,4501.314,-1194.871,6.319,6.319,2678.835,2471.93,,2471.93,,206.905,5991.597,,426.444,139.098,,,287.346,19.921,0.0,,,,19.921,231.209,,6.341,18.413,677.574,3628.544,3442.644,185.9,185.9,,756.46,,,,,583.835,166.284,4385.004,5062.578,0.0,1659.889,0.035,1659.854,-0.852,767.269,-9.762,2416.544,,2416.544,7479.122,
09/30/2010,8320.613,1902.416,889.784,1012.632,46.737,46.737,,126.201,170.4,60.043,,,5.959,104.398,2245.754,3423.533,4728.151,-1304.618,6.319,6.319,2645.007,2490.629,,2490.629,,154.378,6074.859,,418.873,92.64,,,326.233,20.446,0.0,,,,20.446,249.689,,5.186,33.546,689.008,4314.105,4116.405,197.7,197.7,,810.835,,,,,631.969,173.68,5124.94,5813.948,0.0,1673.969,0.035,1673.934,-1.586,844.557,-10.275,2506.665,,2506.665,8320.613,
