Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1998,579325.0,27506.0,31419.0,,,121698.0,,,,,,,,,,,,,,,345006.0,-6762.0,338244.0,8103.0,,17789.0,,,,,4463.0,30103.0,,82164.0,261772.0,123861.0,137911.0,0.0,343936.0,117382.0,,,,,,,48475.0,,,,,,,,,,25842.0,535635.0,91.0,15114.0,,,0.0,,28485.0,43690.0,0.0,43690.0,579325.0,
06/30/1998,571870.0,26621.0,31875.0,,,112109.0,,,,,186396.0,,,161122.0,,,,,,0.0,347518.0,-6732.0,340786.0,7538.0,,17790.0,,,,,3734.0,31417.0,,84552.0,262780.0,147368.0,115412.0,0.0,347332.0,106564.0,,,,,,,49951.0,,,,,,,,,,22114.0,525961.0,85.0,15535.0,,,0.0,,30289.0,45909.0,0.0,45909.0,571870.0,
09/30/1998,594673.0,24715.0,37417.0,,,106648.0,,,,,195952.0,,,154735.0,,,,,,1295.0,351982.0,-7215.0,344767.0,7249.0,,14882.0,,,,,3917.0,55078.0,,85159.0,260597.0,114526.0,146071.0,0.0,345756.0,111772.0,,,,,,,52470.0,,,,,,,,,,37368.0,547366.0,84.0,15939.0,,,0.0,,31284.0,47307.0,0.0,47307.0,594673.0,
12/31/1998,617679.0,28277.0,33896.0,,,120189.0,,,,,196130.0,,,161198.0,,,,,,0.0,357328.0,-7122.0,350206.0,7289.0,,14708.0,,,,,2671.0,60443.0,,94336.0,262924.0,123510.0,139414.0,0.0,357260.0,120523.0,,,,,,,43523.0,,,,,,,,,,50435.0,571741.0,83.0,14837.0,,,0.0,,31018.0,45938.0,0.0,45938.0,617679.0,
03/31/1999,614245.0,25925.0,32366.0,,,120851.0,,,,,196558.0,,,166544.0,,,,,,0.0,363102.0,-7123.0,355979.0,7129.0,,14593.0,12651.0,1942.0,,,2194.0,55208.0,,89517.0,253800.0,,,0.0,343317.0,114512.0,,,,,,,55853.0,,,,,,,,,,53732.0,567414.0,81.0,15828.0,,,0.0,32128.0,-1206.0,46831.0,0.0,46831.0,614245.0,
06/30/1999,614102.0,24197.0,41257.0,,,111938.0,,,,,192474.0,,,171107.0,,,,,,0.0,363581.0,-7096.0,356485.0,7012.0,,14616.0,12741.0,1875.0,,,1908.0,56689.0,,90386.0,248659.0,,,0.0,339045.0,119966.0,,,,,,,60014.0,,,,,,,,,,49446.0,568471.0,80.0,14433.0,,,0.0,33256.0,-2138.0,45631.0,0.0,45631.0,614102.0,
09/30/1999,620652.0,25414.0,45215.0,,,118487.0,,,,,188554.0,,,171682.0,,,,,,0.0,360236.0,-7076.0,353160.0,6728.0,,14214.0,12414.0,1800.0,,,2066.0,55368.0,,89273.0,247738.0,,,0.0,337011.0,120458.0,,,,,,,59307.0,,,,,,,,,,57987.0,574763.0,78.0,13538.0,,,0.0,34631.0,-2358.0,45889.0,0.0,45889.0,620652.0,
12/31/1999,632574.0,26989.0,42766.0,,,121529.0,,,,,195779.0,,,174883.0,,,,,,0.0,370662.0,-6828.0,363834.0,6713.0,,13992.0,12262.0,1730.0,,,1869.0,54882.0,,95469.0,251804.0,,,0.0,347273.0,132530.0,,,,,,,50143.0,,,,,,,,,,58196.0,588142.0,77.0,11671.0,,,0.0,35681.0,-2997.0,44432.0,0.0,44432.0,632574.0,
03/31/2000,656113.0,27259.0,43051.0,,,113295.0,,,,,198641.0,,,183444.0,,,,,,0.0,382085.0,-6827.0,375258.0,6607.0,,13795.0,12121.0,1674.0,,,2362.0,74486.0,,94482.0,257144.0,,,0.0,351626.0,129827.0,,,,,,,67014.0,,,,,,,,,,62347.0,610814.0,77.0,10828.0,,,0.0,37089.0,-2695.0,45299.0,0.0,45299.0,656113.0,
06/30/2000,679538.0,27493.0,46854.0,,,114970.0,,,,,207487.0,,,193330.0,,,,,,0.0,400817.0,-6815.0,394002.0,6514.0,,13578.0,11961.0,1617.0,,,2477.0,73650.0,,95645.0,261019.0,,,0.0,356664.0,139534.0,,,,,,,74200.0,,,,,,,,,,63279.0,633677.0,75.0,10188.0,,,0.0,38330.0,-2732.0,45861.0,0.0,45861.0,679538.0,
09/30/2000,671725.0,24395.0,38875.0,,,112903.0,,,,,206571.0,,,196021.0,,,,,,0.0,402592.0,-6739.0,395853.0,6450.0,,13357.0,11803.0,1554.0,,,2277.0,77615.0,,93565.0,260423.0,,,0.0,353988.0,128497.0,,,,,,,74367.0,,,,,,,,,,68014.0,624866.0,74.0,9397.0,,,0.0,39338.0,-1950.0,46859.0,0.0,46859.0,671725.0,
12/31/2000,642191.0,27513.0,33503.0,,,93345.0,,,,,203542.0,,,188651.0,,,,,,0.0,392193.0,-6838.0,385355.0,6433.0,,13142.0,11643.0,1499.0,,,1972.0,80928.0,,100645.0,263599.0,,,0.0,364244.0,91609.0,,,,,,,72502.0,,,,,,,,,,66208.0,594563.0,72.0,8613.0,,,0.0,39815.0,-872.0,47628.0,0.0,47628.0,642191.0,
03/31/2001,609755.0,23333.0,26130.0,,,79151.0,,,,,197801.0,,,184876.0,,,,,,0.0,382677.0,-6900.0,375777.0,6366.0,,13452.0,12006.0,1446.0,,,2232.0,83314.0,,99164.0,253296.0,,,0.0,352460.0,97415.0,,,,,,,71999.0,,,,,,,,,,38995.0,560869.0,71.0,7872.0,,,0.0,40785.0,158.0,48886.0,0.0,48886.0,609755.0,
06/30/2001,625525.0,25405.0,32769.0,,,105317.0,,,,,185413.0,,,195012.0,,,,,,0.0,380425.0,-6911.0,373514.0,6371.0,,13256.0,11864.0,1392.0,,,2111.0,66782.0,,101689.0,261797.0,,,0.0,363486.0,108559.0,,,,,,,68198.0,,,,,,,,,,35980.0,576223.0,68.0,7629.0,,,0.0,41912.0,-307.0,49302.0,0.0,49302.0,625525.0,
09/30/2001,640105.0,23280.0,31079.0,,,105619.0,,,,,175740.0,,,163278.0,,,,,,0.0,339018.0,-6665.0,332353.0,6372.0,,12358.0,11028.0,1330.0,,,,129044.0,,100735.0,259135.0,,,0.0,359870.0,105354.0,,,,,,,66168.0,,,,,,,,,,58562.0,589954.0,67.0,6491.0,,,0.0,41857.0,1736.0,50151.0,0.0,50151.0,640105.0,
12/31/2001,621764.0,26837.0,34040.0,,,110696.0,,,,,163898.0,,,165255.0,,,,,,0.0,329153.0,-6875.0,322278.0,6414.0,,12148.0,10854.0,1294.0,,,,109351.0,,113934.0,259561.0,,,0.0,373495.0,81536.0,,,,,,,56434.0,,,,,,,,,,,,65.0,5076.0,,,0.0,42980.0,399.0,48520.0,,48520.0,,
