Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Abnormal Losses/(Gains),Income Taxes,Income Taxes from Sale of Assets,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,5.075,2.506,,2.09,0.0,0.479,-3.578,0.86,0.643,0.574,0.0,,1.501,1.497,-0.994,0.994,,0.0,0.503,-0.108,,0.0,,,0.395,,0.395,,,0.395,0.395,,,,,,,,,,,,,,,,,,,,,,,,5.703,,5.703,,,5.703,,,0.0,,,0.0,
06/30/1994,4.938,2.563,,2.047,0.0,0.328,-3.876,2.335,0.421,0.528,0.0,,0.592,1.062,-1.034,1.034,,0.0,0.028,0.251,,0.0,,,0.279,,0.279,,,0.279,0.279,,,,,,,,,,,,,,,,,,,,,,,,6.318,,6.318,,,6.318,,,0.0,,,0.0,
09/30/1994,9.894,9.423,,0.43,0.0,0.041,-6.369,4.312,0.273,1.784,0.0,,0.0,3.525,-0.353,0.353,,0.0,3.172,0.0,,0.0,,,3.172,,2.962,,,1.684,1.684,,13.079193,0.129034,0.131967,0.131967,13.079193,0.129034,0.131967,0.131967,,,,,,,,,,,,,,,3.171,,3.171,,,3.171,0.242446,0.242446,0.0,0.0,0.0,0.0,
12/31/1994,18.34,15.471,,2.787,0.0,0.082,-12.587,8.079,1.415,3.093,0.0,,0.0,5.753,-1.223,1.223,,0.0,4.53,0.0,,0.0,,,4.53,,4.181,,,2.345,2.345,,13.079193,0.178888,0.175956,0.175956,13.079193,0.178888,0.175956,0.175956,,,,,,,,,,,,,,,5.756,,5.756,,,5.756,0.440088,0.440088,0.212613,48.311498,48.311498,48.3148,
03/31/1995,18.995001,18.365999,,0.0,0.0,0.629,-12.066,7.771,0.646,3.649,0.0,,0.0,6.929,-2.504,2.504,,0.0,4.425,0.0,,0.0,,,4.425,,4.005,,,2.169,2.169,,13.079194,0.168624,0.168624,0.168624,13.079194,0.168624,0.168624,0.168624,,,,,,,,,,,,,,,6.318,,6.318,,,6.318,0.483057,0.483057,0.304257,62.985676,62.985676,62.978791,
06/30/1995,19.356001,18.573,,0.0,0.0,0.783,-12.191,8.11,0.447,3.634,0.0,,0.0,7.165,-2.809,2.809,,0.0,4.356,0.0,,0.0,,,4.356,,3.947,,,2.111,2.111,,13.079193,0.161293,0.161293,0.161293,13.079193,0.161293,0.161293,0.161293,,,,,,,,,,,,,,,6.269,,6.269,,,6.269,0.479311,0.479311,0.304257,63.477983,63.477983,63.471049,
09/30/1995,19.82,18.714001,,0.0,0.0,1.106,-12.835,8.435,0.616,3.784,0.0,,0.0,6.985,-3.078,3.078,,0.0,3.907,0.0,,0.0,,,3.907,,3.508,,,2.011,2.011,,13.162396,0.153961,0.153961,0.153961,13.162396,0.153961,0.153961,0.153961,,,,,,,,,,,,,,,6.307,,6.307,,,6.307,0.479168,0.479168,0.304257,63.496903,63.496903,63.516726,
12/31/1995,19.407,19.294001,,0.0,0.0,0.113,-12.176,8.11,0.095,3.971,0.0,,0.0,7.231,-4.931,4.931,,0.0,2.3,0.0,,0.0,,,2.3,,1.913,,,1.913,1.913,,12.941432,0.14663,0.14663,0.14663,12.941432,0.14663,0.14663,0.14663,,,,,,,,,,,,,,,6.391,,6.391,,,6.391,0.49384,0.49384,0.304257,61.61039,61.61039,59.349085,
03/31/1996,24.413,22.451,,1.848,0.0,0.114,-15.728,10.624,0.472,4.518,0.0,,0.114,8.685,-5.395,5.395,,0.0,3.29,0.0,,0.0,,,3.29,,2.81,,,2.81,2.81,,16.176789,0.175956,0.175956,0.175956,16.176789,0.175956,0.175956,0.175956,,,,,,,,,,,,,,,7.888,,7.888,,,7.888,0.487612,0.487612,0.311588,63.900862,63.900862,63.856493,
06/30/1996,25.775,23.801001,,1.877,0.0,0.097,-16.455,11.332,0.373,4.634,0.0,,0.116,9.32,-5.53,5.53,,0.0,3.79,0.0,,0.0,,,3.79,,3.145,,,3.145,3.145,,16.66373,0.190619,0.190619,0.190619,16.66373,0.190619,0.190619,0.190619,,,,,,,,,,,,,,,8.48,,8.48,,,8.48,0.50889,0.50889,0.311588,61.229073,61.229073,62.759438,
09/30/1996,25.888,24.139999,,1.717,0.0,0.031,-15.981,10.608,0.541,4.718,0.0,,0.114,9.907,-5.786,5.85,,-0.064,4.121,0.0,,0.0,,,4.121,,3.396,,,3.396,3.396,,16.91061,0.19795,0.19795,0.19795,16.91061,0.19795,0.19795,0.19795,,,,,,,,,,,,,,,8.824,,8.824,,,8.824,0.521803,0.521803,0.311588,59.713847,59.713847,59.462829,
12/31/1996,33.219002,30.124001,,2.925,0.0,0.17,-20.71,13.934,0.716,5.904,0.0,,0.156,12.509,-8.047,8.027,,0.02,4.462,0.0,,0.0,,,4.462,,3.633,,,3.633,3.633,,18.153195,0.19795,0.19795,0.19795,18.153195,0.19795,0.19795,0.19795,,,,,,,,,,,,,,,9.993,,9.993,,,9.993,0.550482,0.550482,0.311588,56.602873,56.602873,51.335936,
03/31/1997,40.991001,38.040001,,2.444,0.0,0.507,-25.475001,17.197001,0.498,7.543,0.0,,0.237,15.516,-9.452,9.452,0.0,0.0,6.064,0.0,,0.269,,,5.795,,4.584,,,4.584,4.584,,22.442909,0.205282,0.205282,0.205282,22.622955,0.205282,0.205282,0.205282,,,,,,,,,,,,,,,11.671,,11.671,,,11.671,0.515892,0.515892,0.339081,65.727235,65.727235,61.545715,
06/30/1997,45.674,41.679001,,3.161,0.0,0.834,-27.821,19.34,0.58,7.664,0.0,,0.237,17.853001,-11.617,11.152,0.465,0.0,6.236,0.0,,0.0,,,6.236,,5.264,,,5.264,5.264,,27.778793,0.190619,0.190619,0.190619,27.967023,0.190619,0.190619,0.190619,,,,,,,,,,,,,,,14.957,,14.957,,,14.957,0.534808,0.534808,0.339081,63.402421,63.402421,68.469615,
09/30/1997,54.049,47.363998,,3.568,0.0,3.117,-33.458,23.573,0.771,8.877,0.0,,0.237,20.591,-12.466,12.755,-0.458,0.169,8.125,0.0,,0.0,,,8.125,,6.967,,,6.132,6.132,,33.315183,0.183287,0.183287,0.183287,33.566156,0.183287,0.183287,0.183287,,,,,,,,,,,,,,,19.208,,19.208,,,19.208,0.572243,0.572243,0.339081,59.254801,59.254801,55.763225,
12/31/1997,74.904999,65.922997,,4.764,0.0,4.218,-51.070001,32.588001,4.135,14.11,0.0,,0.237,23.834999,-12.291999,18.025999,-2.845,-2.889,11.543,0.0,,0.0,,,11.543,,11.818,,,10.338,10.338,,47.42691,0.219945,0.219945,0.219945,47.998415,0.212613,0.212613,0.212613,,,,,,,,,,,,,,,28.666,,28.666,,,28.666,0.597228,0.597228,0.339081,56.775882,56.775882,57.646687,
03/31/1998,82.233002,71.335999,,4.821,0.0,6.076,-48.22,30.402,2.121,13.98,0.0,,1.717,34.013001,-9.5,15.441,-3.415,-2.526,24.513001,0.0,,0.0,,,24.513001,,21.642,,,17.961,17.961,,56.097721,0.322586,0.322586,0.322586,56.34597,0.315254,0.315254,0.315254,,,,,,,,,,,,,,,35.481998,,35.481998,,,35.481998,0.629717,0.629717,0.412396,65.489197,65.489197,65.520547,
06/30/1998,99.943001,89.928001,,4.741,0.0,5.274,-63.591,39.424,2.178,20.312,0.0,,1.677,36.351999,-21.824,19.337,2.487,0.0,14.527999,0.0,,0.0,,,14.527999,,13.62,,,8.651,8.651,,61.785516,0.139298,0.139298,0.139298,62.114237,0.139298,0.139298,0.139298,,,,,,,,,,,,,,,42.262001,,42.262001,,,42.262001,0.680392,0.680392,0.412396,60.611631,60.611631,55.425676,
09/30/1998,115.736,104.435997,,4.406,0.0,6.894,-78.141999,47.620998,3.341,25.503,0.0,,1.677,37.594001,-19.313001,21.978001,-2.408,-0.257,18.281,0.0,,0.0,,,18.281,,16.582001,,,8.912001,8.912001,,64.191575,0.139298,0.139298,0.139298,64.656691,0.139298,0.139298,0.139298,,,,,,,,,,,,,,,46.151001,,46.151001,,,46.151001,0.713785,0.713785,0.412763,57.827327,57.827327,57.745226,
12/31/1998,133.777344,111.439003,,10.135,0.0,12.206,-93.581002,58.067001,7.01,24.84,0.0,,3.664,40.198999,-27.396999,32.667999,-3.38,-1.891,12.802,0.0,,0.0,,,12.802,,12.63,,,2.55,2.55,,64.463009,0.036657,0.036657,0.036657,76.715628,0.036657,0.036657,0.036657,,,,,,,,,,,,,,,61.176998,,61.176998,,,61.176998,0.797452,0.797452,0.412396,51.714289,51.714289,35.165178,
03/31/1999,130.899994,112.585999,,8.556,0.0,9.758,-87.709,54.965,3.69,27.112,0.0,,1.942,43.191,-28.127,31.33,-3.188,-0.015,15.064,0.0,,0.0,,,15.064,,13.956,,,0.336,0.336,,77.021158,0.007331,0.007331,0.007331,79.672734,0.007331,0.007331,0.007331,,,,,,,,,,,,,,,66.224998,,66.224998,,,66.224998,0.831213,0.831213,0.458218,55.126463,55.126463,53.063042,
06/30/1999,135.348,116.237,,7.536,0.0,11.575,-53.841,50.981,2.86,27.827,0.0,,1.942,51.738,-27.73,29.734,-2.004,0.0,24.008,0.0,,0.0,,,24.008,,23.117,,,9.124,9.124,,85.007257,0.109972,0.109972,0.109972,86.683587,0.102641,0.102641,0.102641,,,,,,,,,,,,,,,78.074,,78.074,,,78.074,0.900678,0.900678,0.458218,50.874811,50.874811,48.953557,
09/30/1999,149.123001,120.398003,0.0,10.28,0.0,18.445,-100.251002,66.398003,3.772,30.080999,0.0,,0.0,48.872,-28.985,31.322001,-2.022,-0.315,19.886999,0.0,,0.0,,,19.886999,,19.487,,,4.851,4.851,,87.799325,0.058652,0.058652,0.058652,89.273778,0.05132,0.05132,0.05132,,,,,,,,,,,,,,,86.240997,,86.240997,,,86.240997,0.966028,0.966028,0.458218,47.433209,47.433209,46.649798,
12/31/1999,,,0.0,,,0.0,-134.137999,82.639,2.79,48.674999,0.0,,0.034,89.875,-64.322,47.708,14.499,2.115,25.553,0.0,,0.0,,,25.553,,24.399,,,9.763,9.763,,89.756632,0.109972,0.109972,0.109972,90.524546,0.109972,0.109972,0.109972,,,,,,,,,,,,,,,90.819,,90.819,,,90.819,1.003253,1.003253,0.458218,45.673259,45.673259,46.260144,
03/31/2000,247.349,224.32,0.0,10.025,0.0,13.004,-176.379,111.877,3.211,61.291,0.0,,0.0,69.281,-45.903,56.224,-5.216,-5.105,23.378,0.0,,0.0,,,23.378,,25.882,,,11.367,11.367,,89.950316,0.124635,0.124635,0.124635,90.45226,0.124635,0.124635,0.124635,,,,,,,,,,,,,,,98.122,,98.122,,,98.122,1.084793,1.084793,0.513204,47.308962,47.308962,47.046534,
06/30/2000,285.982,258.064,0.0,12.41,0.0,15.508,-205.46,116.737,1.94,85.289,0.0,,1.494,80.522,-61.03,64.397,-3.141,-0.226,19.492,0.0,,0.0,,,19.492,,11.822,,,-2.778,-2.778,,90.378606,-0.029326,-0.029326,-0.029326,90.378606,-0.029326,-0.029326,-0.029326,,,,,,,,,,,,,,,105.303,,105.303,,,105.303,1.165132,1.165132,0.513204,44.046893,44.046893,44.047178,
09/30/2000,304.35,271.079,0.0,14.43,0.0,18.841,-204.106,121.201,4.459,76.548,,,1.898,100.244,-69.262,67.855,10.309,-8.902,30.982,0.0,,0.0,,,30.982,,30.236,,,14.508,14.508,,92.361831,0.153961,0.153961,0.153961,97.842298,0.14663,0.14663,0.14663,,,,,,,,,,,,,,,112.485,,112.485,,,112.485,1.149656,1.149656,0.513204,44.639819,44.639819,41.694448,
12/31/2000,325.967,297.537,0.0,9.542,18.888,18.888,-219.86,117.622,8.513,93.725,0.0,,0.0,106.107,-78.96,81.35,9.712,-12.102,27.147,0.0,,0.0,,,27.147,,31.238,,,12.898,12.898,,95.977739,0.139298,0.139298,0.139298,98.12737,0.131967,0.131967,0.131967,,,,,,,,,,,,,,,123.92,,123.92,,,123.92,1.262848,1.262848,0.513204,40.638638,40.638638,40.151711,
03/31/2001,370.572,316.807,,39.106,,14.659,-249.544,147.494,4.092,93.057,,,4.901,121.028,-88.808,84.528,4.28,,32.22,,,0.681,,,,,14.018,,,-4.677,-4.677,,,-0.05132,-0.05132,-0.05132,,-0.05132,-0.05132,-0.05132,,,,,,,,,,,,,,,126.779,,126.779,,,126.779,,,0.571856,,,0.0,
06/30/2001,368.711,316.259,,35.084,,17.368,-249.195,147.29,4.457,93.116,,,4.332,119.516,-83.212,78.481,4.731,,36.304,,,-2.931,,,,,30.435,,,8.027,8.027,,99.183089,0.080646,0.080646,0.080646,101.417287,0.080646,0.080646,0.080646,,,,,,,,,,,,,,,,,,,,,,,0.571856,,,,
09/30/2001,376.667,314.95,,46.728,,14.989,-237.755,150.601,4.319,78.605,,,4.23,138.912,-83.648,78.787,4.861,,55.264,,,-1.348,,,,,26.111,,,1.77,1.77,,99.725953,0.014663,0.014663,0.014663,101.643707,0.014663,0.014663,0.014663,,,,,,,,,,,,,,,,,,,,,,,0.571856,,,,
12/31/2001,398.862,344.321,0.0,32.968,0.0,21.573,-183.136,137.179,5.662,21.983,6.646,,11.666,153.38,-57.344,67.741,2.594,-12.991,96.036,0.0,,0.0,,,96.036,,36.788,,,11.901,11.901,,100.092863,0.117304,0.117304,0.117304,102.432087,0.117304,0.117304,0.117304,,,,,,,,,,,,,,,134.0,,134.0,,,134.0,1.308184,1.308184,0.571856,43.713761,43.713761,42.714925,
03/31/2002,355.79,314.454,,22.617,,18.719,-205.626,134.326,3.096,67.08,,,1.124,150.164,-79.255,78.774,-3.481,3.962,70.909,,,-10.471,,,,,70.059,,,44.58,44.58,,102.087,0.432558,0.329917,0.329917,103.989751,0.425227,0.322586,0.322586,,,,,,,,,,,,,,,135.238,,135.238,,,135.238,1.300494,1.300494,0.601182,46.227244,46.227244,45.381402,
06/30/2002,380.935,334.422,,23.885,,22.628,-228.826,150.192,4.921,64.641,3.156,,5.916,152.109,-69.394,81.008,0.87,-12.484,82.715,,,16.57,,,,,46.033,,,22.138,22.138,,114.103655,0.190619,0.337249,0.337249,116.691122,0.190619,0.329917,0.329917,,,,,,,,,,,,,,,133.085,,133.085,,,133.085,1.14049,1.14049,0.601182,52.712657,52.712657,51.543825,
09/30/2002,371.123,335.729,,22.135,,13.259,-230.769,155.934,4.36,67.639,1.682,,1.154,140.354,-84.935,76.81,0.254,7.871,55.419,,,-4.336,,,,,46.345,,,24.253,24.253,,125.255546,0.190619,0.153961,0.153961,126.488583,0.190619,0.153961,0.153961,,,,,,,,,,,,,,,136.953,,136.953,,,136.953,1.08273,1.08273,0.601182,55.524669,55.524669,54.983403,
12/31/2002,402.414,353.679,0.0,27.487,0.0,21.248,-254.994,161.031,7.967,75.796,4.168,,6.032,147.42,-124.683,94.467,1.663,28.553,22.737,0.0,,-4.349,,,27.086,,6.609,,,-15.483,-15.483,,126.113489,-0.124635,-0.153961,-0.153961,126.113489,-0.124635,-0.153961,-0.153961,,,,,,,,,,,,,,,101.598,,101.598,,,101.598,0.805608,0.805608,0.601182,74.624697,74.624697,74.6245,
03/31/2003,372.503,351.398,0.0,15.027,0.0,6.078,-252.107,156.208,9.735,85.467,0.697,,0.0,123.991,-92.422,90.661,1.761,0.0,31.569,0.0,,0.501,,,31.068,,21.823,,,-0.318,-0.318,,126.429932,0.0,0.0,0.0,126.558146,0.0,0.0,0.0,,,,,,,,,,,,,,,83.787,,83.787,,,83.787,0.662044,0.662044,0.601182,90.80707,90.80707,90.71455,
06/30/2003,373.683,353.898,0.0,12.718,0.0,7.067,-250.779,154.777,7.566,87.645,0.791,,0.0,126.483,-93.467,91.174,3.132,-0.839,33.016,0.0,,-34.194,,,67.21,,59.23,,,34.269,34.269,,126.504951,0.285928,-0.007331,-0.007331,126.620889,0.285928,-0.007331,-0.007331,,,,,,,,,,,,,,,83.721,,83.721,,,83.721,0.661194,0.661194,0.601182,90.923711,90.923711,90.841008,
