Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2006,394.8,317.2,81.5,47.6,,,47.6,-51.5,512.1,-103.7,-459.9,,-843.2,-26.3,0.0,,,-26.3,,,0.0,0.0,0.0,,,,,-816.9,551.5,0.0,1360.9,-924.1,0.0,-924.1,114.7,,103.1,9.9,109.9,
06/30/2006,1451.4,754.5,164.3,1097.5,,,1097.5,-564.9,738.5,-1344.2,40.8,,-314.8,-68.7,0.0,,,-68.7,,,0.0,0.0,0.0,,,,,-246.1,-308.9,0.0,1203.4,-1549.1,0.0,-1549.1,36.8,,827.7,279.1,55.0,
09/30/2006,-608.4,356.8,98.2,719.1,,,719.1,-1782.5,-43.0,-989.8,-749.7,,-365.9,-58.9,0.0,,,-58.9,,,0.0,0.0,0.0,,,,,-307.0,234.7,0.0,682.0,-420.3,21.9,-442.2,-27.0,,-739.6,-144.5,-10.4,
12/31/2006,1426.900024,480.799988,102.800003,1794.5,,149.399994,1645.100006,-951.200012,-710.099976,2325.300049,-2566.400085,,-252.199997,-81.400002,0.0,,,-81.400002,,,0.0,0.0,0.0,,,,,-170.799995,-918.099976,-206.100006,81.900024,-290.5,36.5,-327.0,-503.399994,,256.600006,505.399994,388.600006,
03/31/2007,349.0,203.0,96.0,749.0,,,749.0,-699.0,472.0,-720.0,-451.0,,-64.0,-41.0,0.0,,,-41.0,,,0.0,0.0,0.0,,,,,-23.0,-593.0,0.0,-277.0,-145.0,34.0,-179.0,-171.0,,-308.0,70.0,45.0,
06/30/2007,456.0,434.0,98.0,924.0,,,924.0,-1000.0,-193.0,-860.0,53.0,,141.0,-40.0,0.0,,,-40.0,,,0.0,0.0,0.0,,,,,181.0,-575.0,0.0,-273.0,-474.0,36.0,-510.0,172.0,,22.0,28.0,147.0,
09/30/2007,298.2,641.6,103.1,885.0,,,885.0,-1331.4,59.5,-960.1,-430.8,,251.6,-66.6,0.0,,,-66.6,,,0.0,0.0,0.0,,,,,318.2,-596.4,0.0,256.8,-850.8,10.5,-861.3,-2.4,,-46.6,205.0,-150.3,
12/31/2007,673.5,559.5,95.699997,1329.0,,33.200001,1295.799999,-1310.900024,-736.900024,-1330.099976,756.099976,,-79.699997,-89.099998,0.0,,,-89.099998,,,0.0,0.0,0.0,,,,,9.400002,-43.999926,-170.0,697.800049,-569.999975,13.6,-583.599976,-1.8,,546.799988,523.200012,427.399994,
03/31/2008,91.0,270.0,92.0,857.0,,,857.0,-1128.0,790.0,-1346.0,-572.0,,-105.0,-88.0,0.0,,,-88.0,,,0.0,0.0,0.0,,,,,-17.0,-94.0,0.0,331.0,-429.0,0.0,-429.0,4.0,,-108.0,144.0,37.0,
06/30/2008,-88.0,407.0,97.0,1193.0,,,1193.0,-1785.0,-312.0,-1419.0,-54.0,,-129.0,-94.0,0.0,,,-94.0,,,0.0,0.0,0.0,,,,,-35.0,142.0,0.0,574.0,-434.0,2.0,-436.0,2.0,,-75.0,151.0,176.0,
