Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2008,13741,2936,2842,94,316,316,,,377,24.0,0.0,353.0,0.0,572,,,,,4201,168,,,86,,9286,9184,7270,1914,102,9540,,338,338,,,,0,,,,,,763,,,763,1101,0,,,,,865,,,,,,865,865,1966,0,12165,,,0,-403,13,11775,0,11775,13741,
12/31/2008,14465,3002,2958,44,974,974,,,262,11.0,,251.0,,1021,,,,,5259,149,396.0,-247.0,78,,8979,9139,7227,1912,-160,9206,,319,319,,,,0,,,,,,1765,,,1765,2084,0,,,,,854,,,,,,854,854,2938,0,12170,,,-126,-474,-43,11527,0,11527,14465,
03/31/2009,13651,3030,2988,42,185,185,0.0,,230,10.0,0.0,220.0,0.0,1065,,,,494.0,4510,138,,,79,79.0,8924,8901,7213,1688,23,9141,,667,163,,,504.0,0,0.0,,,,,647,,,0,1314,0,0.0,,,,889,,,,,708.0,181,889,2203,0,12218,,,-439,-285,-46,11448,0,11448,13651,
06/30/2009,13519,2830,2728,102,282,282,0.0,,198,14.0,0.0,184.0,0.0,1200,,,,408.0,4510,134,,,23,23.0,8852,8836,7176,1660,16,9009,,668,135,,,533.0,0,0.0,,,,,423,,,0,1091,0,0.0,,,,897,,,,,699.0,198,897,1988,0,12303,,,-668,-90,-14,11531,0,11531,13519,
09/30/2009,13452,2721,2360,361,228,228,0.0,,351,31.0,0.0,320.0,0.0,1208,,,,481.0,4508,133,,,22,22.0,8789,8777,7161,1616,12,8944,,814,282,,,532.0,0,0.0,,,,,471,,,0,1285,0,0.0,,,,875,,,,,685.0,190,875,2160,0,12332,,,-960,-75,-5,11292,0,11292,13452,
12/31/2009,13742,3245,2768,477,739,739,0.0,,241,40.0,0.0,201.0,0.0,1104,,,,606.0,5329,138,437.0,-299.0,23,23.0,8252,8243,7154,1089,9,8413,,1081,302,0.0,0.0,779.0,0,0.0,0.0,0.0,,,1426,0.0,,0,2507,0,0.0,0.0,0.0,,479,0.0,0.0,0.0,0.0,270.0,209,479,2986,0,12376,,,-1235,-361,-24,10756,0,10756,13742,
03/31/2010,12866,3342,2695,647,134,134,0.0,,194,33.0,0.0,161.0,0.0,816,,,,421.0,4486,131,,,23,23.0,8226,8215,7150,1065,11,8380,,770,147,,,623.0,0,0.0,,,,,772,,,0,1542,0,0.0,,,,456,,,,,254.0,202,456,1998,0,12234,,,-1342,20,-44,10868,0,10868,12866,
06/30/2010,12393,2846,2214,632,190,190,0.0,,157,34.0,0.0,123.0,0.0,775,,,,374.0,3968,160,,,23,23.0,8242,8229,7147,1082,13,8425,,608,149,,,459.0,0,0.0,,,,,482,,,0,1090,0,0.0,,,,445,,,,,249.0,196,445,1535,0,12260,,,-1584,239,-57,10858,0,10858,12393,
09/30/2010,12570,2849,2123,726,246,246,0.0,,258,46.0,0.0,212.0,0.0,795,,,,376.0,4148,169,,,23,23.0,8230,8216,7144,1072,14,8422,,771,238,,,533.0,0,0.0,,,,,622,,,0,1393,0,0.0,,,,431,,,,,231.0,200,431,1824,0,12313,,,-1848,290,-9,10746,0,10746,12570,
12/31/2010,13447,3508,2812,696,673,673,0.0,,112,14.0,0.0,98.0,0.0,1139,,0.0,,490.0,5432,169,512.0,-343.0,23,23.0,7823,7808,7132,676,15,8015,,1234,363,0.0,0.0,871.0,0,0.0,0.0,0.0,,,1726,0.0,0.0,0,2960,0,0.0,0.0,0.0,,284,0.0,0.0,0.0,0.0,120.0,164,284,3244,0,12353,,,-2194,57,-13,10203,0,10203,13447,
03/31/2011,12377,3359,2658,701,95,95,0.0,,103,23.0,0.0,80.0,0.0,792,,,,328.0,4349,165,,,25,25.0,7838,7813,7134,679,25,8028,,848,172,,,676.0,0,0.0,,,,,1043,,,0,1891,0,0.0,,,,249,,,,,83.0,166,249,2140,0,12382,,,-2537,366,26,10237,0,10237,12377,
06/30/2011,11972,2944,2334,610,140,140,0.0,,93,12.0,0.0,81.0,0.0,777,,,,266.0,3954,163,,,25,25.0,7830,7813,7130,683,17,8018,,645,156,,,489.0,0,0.0,,,,,601,,,0,1246,0,0.0,,,,261,,,,,97.0,164,261,1507,0,9735,,,0,701,29,10465,0,10465,11972,
09/30/2011,12113,2901,2469,432,139,139,0.0,,207,64.0,0.0,143.0,0.0,835,,,,328.0,4082,167,,,25,25.0,7839,7824,7126,698,15,8031,,792,250,,,542.0,0,0.0,,,,,487,,,0,1279,0,0.0,,,,263,,,,,95.0,168,263,1542,0,9751,,,0,849,-29,10571,0,10571,12113,
12/31/2011,13277,3525,3165,360,649,649,0.0,,144,28.0,0.0,116.0,0.0,1062,,0.0,,555.0,5380,163,533.0,-370.0,16,16.0,7718,7694,7111,583,24,7897,,1084,390,0.0,0.0,694.0,0,0.0,0.0,0.0,,,1472,0.0,0.0,0,2556,0,0.0,0.0,0.0,,229,0.0,0.0,0.0,0.0,55.0,174,229,2785,0,9616,,,0,948,-72,10492,0,10492,13277,
03/31/2012,12482,3476,3049,427,103,103,0.0,,146,39.0,0.0,107.0,0.0,841,,,,396.0,4566,154,,,17,17.0,7745,7718,7109,609,27,7916,,857,181,,,676.0,0,0.0,,,,,917,,,0,1774,0,0.0,,,,222,,,,,57.0,165,222,1996,0,9391,,,0,1128,-33,10486,0,10486,12482,
06/30/2012,12269,3192,2786,406,227,227,0.0,,128,36.0,0.0,92.0,0.0,785,,,,301.0,4332,149,,,17,17.0,7771,7759,7108,651,12,7937,,578,163,,,415.0,0,0.0,,,,,906,,,0,1484,0,0.0,,,,221,,,,,61.0,160,221,1705,0,9375,,,0,1313,-124,10564,0,10564,12269,
