Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/27/1990,105.889999,,,-33.880001,,72.009998,,-50.118,,,,,,21.892,1.642,,1.191,,,0.0,-2.833,23.534,-8.472,15.062,0.0,,,15.062,0.0,15.062,0.0,,15.062,15.062,,269.063995,0.05625,0.05625,,269.063995,0.05625,0.05625,0.05625,
04/28/1990,120.007004,,,-34.926998,,85.080006,,-54.98,,,,,,30.1,1.993,,1.298,,,0.0,-3.291,32.093,-11.554,20.539,0.0,,,20.539,0.0,20.539,0.0,,20.539,20.539,,273.519989,0.075,0.075,,273.519989,0.075,0.075,0.075,
07/28/1990,131.143005,,,-32.745998,,98.397007,,-61.618,,,,,,36.778999,4.074,,,,,0.0,-4.074,40.852999,-14.707,26.146,0.0,,,26.145999,0.0,26.146,0.0,,26.146,26.146,,275.221039,0.095,0.095,,275.221039,0.095,0.095,0.095,
10/27/1990,140.472,,,-30.774,,109.698,,-64.249001,,,,,,45.449001,3.177,,0.147,,,0.0,-3.324,48.626001,-16.054001,32.571999,0.0,,,32.572,0.0,32.571999,0.0,,32.571999,32.571999,,286.067992,0.115,0.115,0.115,286.067992,0.115,0.115,0.115,
01/26/1991,134.645996,,,-28.974001,,105.671995,,-64.124001,,,,,,41.548,5.278,,0.233,,,0.0,-5.511,46.826,-16.389,30.437,0.0,,,30.437001,0.0,30.437,0.0,,30.437,30.437,,292.131989,0.105,0.105,,292.131989,0.105,0.105,0.105,
04/27/1991,150.197998,,,-27.138,,123.059998,,-71.350998,,,,,,51.709,7.42,,0.242,,,0.0,-7.662,59.129,-20.695,38.433998,0.0,,,38.434,0.0,38.433998,0.0,,38.433998,38.433998,,295.803986,0.13,0.13,,295.803986,0.13,0.13,0.13,
07/27/1991,167.990997,,,-33.227001,,134.763996,,-72.858002,,,,,,61.905998,4.275,,0.224,,,0.0,-4.499,66.180998,-23.163,43.018002,0.0,,,43.017998,0.0,43.018002,0.0,,43.018002,43.018002,,297.056,0.145,0.145,,297.056,0.145,0.145,0.145,
10/26/1991,187.244003,,,-33.955002,,153.289001,,-82.314003,,,,,,70.974998,4.963,,0.222,,,0.0,-5.185,75.937998,-25.339001,50.598999,0.0,,,50.598997,0.0,50.598999,0.0,,50.598999,50.598999,,298.87799,0.17,0.17,0.17,298.87799,0.17,0.17,0.17,
02/01/1992,204.985001,,,-42.209999,,162.775002,,-87.208,,,,,,75.567001,3.469,,0.211,,,0.0,-3.68,79.036001,-26.872,52.164001,0.0,,,52.164002,0.0,52.164001,0.0,,52.164001,52.164001,,307.252014,0.17,0.17,,307.252014,0.17,0.17,0.17,
05/02/1992,224.996002,,,-41.942001,,183.054001,,-95.234001,,,,,,87.82,5.079,,0.171,,,0.0,-5.25,92.899,-31.586,61.313,0.0,,,61.312999,0.0,61.313,0.0,,61.313,61.313,,307.890015,0.2,0.2,,307.890015,0.2,0.2,0.2,
08/01/1992,243.261002,,,-46.868,,196.393002,,-102.550003,,,,,,93.843002,6.136,,0.114,,,0.0,-6.25,99.979002,-33.993,65.986,0.0,,,65.986002,0.0,65.986,0.0,,65.986,65.986,,308.252014,0.215,0.215,,308.252014,0.215,0.215,0.215,
10/31/1992,260.127991,,,-53.155998,,206.971993,,-107.339996,,,,,,99.632004,5.772,,0.129,,,0.0,-5.901,105.404004,-35.837002,69.567001,0.0,,,69.567002,0.0,69.567001,0.0,,69.567001,69.567001,,309.022003,0.23,0.23,0.23,309.022003,0.23,0.23,0.23,
01/30/1993,432.324005,,,-91.329002,,340.995003,,-210.977997,,,,,,130.016998,7.749,,,,,0.0,-7.749,137.765998,-40.346001,97.419998,0.0,,,97.419998,0.0,97.419998,0.0,,97.419998,97.419998,,362.894012,0.27,0.27,,362.894012,0.27,0.27,0.27,
05/01/1993,454.997986,,,-92.052002,,362.945984,,-230.166,,,,,,132.779999,7.604,,,,,0.0,-7.604,140.383999,-42.445999,97.938004,0.0,,,97.938,0.0,97.938004,0.0,,97.938004,97.938004,,365.494995,0.27,0.27,,365.494995,0.27,0.27,0.27,
07/31/1993,433.872009,,,-101.461998,,332.410011,,-612.619995,,,,,,-280.209991,7.678,,,,,0.0,-7.678,-272.531991,15.111,-257.42099,0.0,,,-257.420991,0.0,-257.42099,0.0,,-257.42099,-257.42099,,372.378998,-0.69,-0.69,,372.378998,-0.69,-0.69,-0.69,
10/30/1993,509.21701,,,-117.759003,,391.458007,,-265.946991,,,,,,125.511002,7.028,,,,,0.0,-7.028,132.539002,-29.756001,102.782997,0.0,,,102.783001,0.0,102.782997,0.0,,102.782997,102.782997,,316.617004,0.26,0.26,0.26,316.617004,0.26,0.26,0.26,
01/29/1994,488.278015,,,-103.777,,384.501015,,-268.759003,,,,,,115.741997,10.702,,,,,0.0,-10.702,126.443996,-31.983999,94.459999,0.0,,,94.459997,0.0,94.459999,0.0,,94.459999,94.459999,,368.075989,0.26,0.26,,368.075989,0.26,0.26,0.26,
04/30/1994,534.929993,,,-145.397003,,389.53299,,-251.942001,,,,,,137.591003,7.22,,,,,0.0,-7.22,144.811003,-48.446999,96.363998,0.0,,,96.364005,0.0,96.363998,0.0,,96.363998,96.363998,,368.481995,0.26,0.26,,368.481995,0.26,0.26,0.26,
07/30/1994,488.924011,,,-105.503998,,383.420013,,-273.52301,,,,,,109.897003,-114.637001,,,,,0.0,114.637001,-4.739998,0.275,-4.465,0.0,,,-4.464998,0.0,-4.465,0.0,,-4.465,-4.465,,368.312988,-0.01,-0.01,,368.312988,-0.01,-0.01,-0.01,
10/29/1994,485.945007,,,-112.388,,373.557007,,-276.371002,,,,,,97.185997,-66.318001,,,,,0.0,66.318001,30.867996,-10.496,20.372,0.0,,,20.371996,0.0,20.372,0.0,,20.372,20.372,,368.458008,0.06,0.17,0.17,368.458008,0.06,0.17,0.17,
01/28/1995,493.225006,,,-116.875,,376.350006,,-263.589996,,,,,,112.760002,9.825,,,,,0.0,-9.825,122.585002,-41.066002,81.518997,0.0,,,81.519,0.0,81.518997,0.0,,81.518997,81.518997,,372.027008,0.22,0.22,,372.027008,0.22,0.22,0.22,
04/29/1995,529.507996,,,-124.455002,,405.052994,,-277.167999,,,,,,127.885002,16.277,,,,,0.0,-16.277,144.162003,-48.293999,95.867996,0.0,,,95.868004,0.0,95.867996,0.0,,95.867996,95.867996,,374.382996,0.26,0.26,,374.382996,0.26,0.26,0.26,
07/29/1995,537.921997,,,-125.599998,,412.321999,,-278.165985,,,,,,134.156006,19.176001,,,,,0.0,-19.176001,153.332006,-51.366001,101.966003,0.0,,,101.966005,0.0,101.966003,0.0,,101.966003,101.966003,,376.493988,0.27,0.27,,376.493988,0.27,0.27,0.27,
10/28/1995,480.519012,,,-122.403,,358.116012,,-280.808014,,,,,,77.307999,11.342,,,,,0.0,-11.342,88.649999,-29.698,58.952,0.0,,,58.951999,0.0,58.952,0.0,,58.952,58.952,,375.433014,0.16,0.16,0.16,375.433014,0.16,0.16,0.16,
01/27/1996,437.919006,,,-96.011002,,341.908005,,-240.636002,,,,,,101.272003,-5.692,,,,,0.0,5.692,95.580003,-32.019001,63.561001,0.0,,,63.561002,0.0,63.561001,0.0,,63.561001,63.561001,,371.584991,0.17,0.17,0.22,371.584991,0.17,0.17,0.22,
04/27/1996,188.179993,,,-68.613998,,119.565994,,-231.746002,,,,,,-112.18,28.934,,,,,0.0,-28.934,-83.246,27.886999,-55.359001,0.0,,,-55.359001,0.0,-55.359001,0.0,,-55.359001,-55.359001,,362.441986,-0.15,-0.15,-0.15,362.441986,-0.15,-0.15,-0.15,
07/27/1996,365.091003,,,-75.617996,,289.473007,,-219.496994,,,,,,69.975998,14.736,,,,,0.0,-14.736,84.711998,-25.952999,58.758999,0.0,,,58.758999,0.0,58.758999,0.0,,58.758999,58.758999,,352.128998,0.17,0.17,0.17,352.128998,0.17,0.17,0.17,
10/26/1996,383.665985,,,-66.517998,,317.147987,,-248.830002,,,,,,68.318001,14.624,,,,,0.0,-14.624,82.942001,-23.912001,59.029999,0.0,,,59.03,0.0,59.029999,0.0,,59.029999,59.029999,,345.519989,0.17,0.17,0.17,345.519989,0.17,0.17,0.17,
01/31/1997,374.846985,,,-75.971001,,298.875984,,-237.376007,,,,,,61.5,13.777,,,,,0.0,-13.777,75.277,-24.465,50.812,0.0,,,50.812,0.0,50.812,0.0,,50.812,50.812,,346.506012,0.15,0.15,0.15,347.095001,0.15,0.15,0.15,
04/30/1997,273.106995,,,-77.175003,,195.931992,,-224.026993,,,,,,-28.094999,6.415,,,,,0.0,-6.415,-21.679999,7.046,-14.634,0.0,,,-14.633999,0.0,-14.634,0.0,,-14.634,-14.634,,347.903992,-0.04,-0.04,-0.04,347.903992,-0.04,-0.04,-0.04,
07/31/1997,90.073997,,,-61.671001,,28.402996,,-200.908005,,,,,,-172.505005,-45.452,,,,,0.0,45.452,-217.957005,96.311996,-121.644997,0.0,,,-121.645008,0.0,-121.644997,0.0,,-121.644997,-121.644997,,349.381012,-0.35,-0.35,-0.19,349.381012,-0.35,-0.35,-0.19,
10/31/1997,269.28299,,,-62.629002,,206.653988,,-212.223007,,,,,,-5.569,19.358999,,,,,0.0,-19.358999,13.789999,-6.619,7.171,0.0,,,7.170999,0.0,7.171,0.0,,7.171,7.171,,349.686005,0.02,0.02,0.02,353.337006,0.02,0.02,0.02,
01/31/1998,252.042007,,,-55.139,,196.903008,,-191.970993,,,,,,4.932,14.643,,,,,0.0,-14.643,19.575,-5.481,14.094,0.0,,,14.094,0.0,14.094,0.0,,14.094,14.094,,351.031006,0.04,0.04,0.04,352.971008,0.04,0.04,0.04,
04/30/1998,262.25,,,-59.278,,202.972,,-188.623993,,,,,,14.348,12.467,,,,,0.0,-12.467,26.815,-7.508,19.306999,0.0,,,19.307,0.0,19.306999,0.0,,19.306999,19.306999,,351.761993,0.05,0.05,0.05,356.585999,0.05,0.05,0.05,
07/31/1998,272.015991,,,-60.839001,,211.176991,,-181.091003,,,,,,30.086,6.798,,,,,0.0,-6.798,36.884,-10.328,26.556,0.0,,,26.556,0.0,26.556,0.0,,26.556,26.556,,353.436005,0.08,0.08,0.08,362.083008,0.07,0.07,0.07,
10/31/1998,297.57901,,,-65.650002,,231.929008,,-182.848999,,,,,,49.080002,9.28,,,,,0.0,-9.28,58.360002,-16.341,42.019001,0.0,,,42.019002,0.0,42.019001,0.0,,42.019001,42.019001,,345.871002,0.12,0.12,0.12,354.105011,0.12,0.12,0.12,
01/31/1999,285.806,,,-64.120003,,221.685997,,-185.335999,,,,,,36.349998,3.786,,,,,0.0,-3.786,40.135998,-11.238,28.898001,0.0,,,28.897999,0.0,28.898001,0.0,,28.898001,28.898001,,337.44101,0.09,0.09,0.09,351.522003,0.08,0.08,0.08,
04/30/1999,315.652008,,,-76.210999,,239.44101,,-189.949005,,,,,,49.492001,4.295,,,,,0.0,-4.295,53.787001,-15.061,38.726002,0.0,,,38.726001,0.0,38.726002,0.0,,38.726002,38.726002,,335.276001,0.12,0.12,0.12,351.115997,0.11,0.11,0.11,
07/31/1999,326.808014,,,-73.514,,253.294014,,-190.854996,,,,,,62.438999,6.049,,,,,0.0,-6.049,68.487999,-19.177,49.311001,0.0,,,49.310999,0.0,49.311001,0.0,,49.311001,49.311001,,334.488007,0.15,0.15,0.15,350.950989,0.14,0.14,0.14,
10/31/1999,344.553986,,,-72.176003,,272.377983,,-197.606995,,,,,,74.771004,6.654,,,,,0.0,-6.654,81.425004,-7.613,73.811996,0.0,,,73.812004,0.0,73.811996,0.0,,73.811996,73.811996,,330.635986,0.22,0.22,0.18,343.984009,0.21,0.21,0.17,
01/31/2000,316.042999,,,-78.726997,,237.316002,,-190.785995,,,,,,46.529999,15.741,,,,,0.0,-15.741,62.270999,-17.436001,44.834999,0.0,,,44.834998,0.0,44.834999,0.0,,44.834999,44.834999,,326.906006,0.14,0.14,0.14,342.105011,0.13,0.13,0.13,
04/30/2000,302.348999,,,-84.384003,,217.964996,,-209.725998,,,,,,8.239,34.845001,,,,,0.0,-34.845001,43.084002,-12.064,31.02,0.0,,,31.020001,0.0,31.02,0.0,0.0,31.02,31.02,,326.787994,0.09,0.09,0.02,341.54599,0.09,0.09,0.02,
07/31/2000,270.019012,,,-85.546997,,184.472015,,-203.354996,,,,,,-18.882999,30.787001,,,-32.891998,,0.0,2.104998,11.904001,-3.332,8.572,0.0,,,8.572001,0.0,8.572,0.0,0.0,8.572,8.572,,325.312988,0.03,0.03,0.03,327.259003,0.03,0.03,0.03,
10/31/2000,273.324005,,,-79.905998,,193.418007,,-212.994003,,,,,,-19.576,-27.011,,,,,0.0,27.011,-46.587,11.63,-34.957001,0.0,,,-34.957,0.0,-34.957001,0.0,0.0,-34.957001,-34.957001,,327.472992,-0.11,-0.11,0.0,327.472992,-0.11,-0.11,0.0,
01/31/2001,245.035004,,,-65.862,,179.173004,,-192.457001,,,,,,-13.284,17.830999,,,,,0.0,-17.830999,4.546999,-1.273,3.274,11.048,,,-7.774001,0.0,-7.774,0.0,0.0,-7.774,-7.774,,322.183014,-0.02,0.01,0.01,322.183014,-0.02,0.01,0.01,
04/30/2001,240.755005,,,-66.192001,,174.563004,,-196.548004,,,,,,-21.985001,-132.190994,,,,,0.0,132.190994,-154.175995,2.865,-151.311005,0.0,,,-151.310995,0.0,-151.311005,0.0,0.0,-151.311005,-151.311005,,317.872986,-0.48,-0.48,-0.03,317.872986,-0.48,-0.48,-0.03,
07/31/2001,255.009003,,,-82.100998,,172.908005,,-176.089996,,,,,,-3.182,-19.886,,,,,0.0,19.886,-23.068,3.794,-19.274,0.0,,,-19.274,0.0,-19.274,0.0,0.0,-19.274,-19.274,,328.683014,-0.06,-0.06,0.04,328.683014,-0.06,-0.06,0.04,
10/31/2001,309.997009,,,-122.454002,,187.543007,,-189.727997,,,,,,-2.185,-101.884003,,,,,0.0,101.884003,-104.069003,9.558,-94.511002,0.0,,,-94.511003,0.0,-94.511002,0.0,0.0,-94.511002,-94.511002,,361.587006,-0.26,-0.26,0.02,361.587006,-0.26,-0.26,0.02,
01/31/2002,277.859009,,,-117.569,,160.290009,,-158.813995,,,,,,1.476,10.454,,,,,0.0,-10.454,11.93,-3.579,8.351,0.0,,,8.351,0.0,8.351,0.0,0.0,8.351,8.351,,362.428009,0.02,0.02,0.02,362.970001,0.02,0.02,0.02,
04/30/2002,273.852997,,,-112.828003,,161.024994,,-155.585007,,,,,,5.44,-37.481998,,,,,0.0,37.481998,-32.041998,2.293,-29.749001,143.701996,,,-173.450994,0.0,-173.451004,0.0,0.0,-173.451004,-173.451004,,362.591003,-0.48,-0.08,0.03,362.591003,-0.48,-0.08,0.03,
07/31/2002,282.27301,,,-109.821999,,172.451012,,-161.182999,,,,,,11.268,4.23,,,,,0.0,-4.23,15.498,-5.549,9.949,0.0,,,9.949,0.0,9.949,0.0,0.0,9.949,9.949,,364.210999,0.03,0.03,0.04,364.247009,0.03,0.03,0.04,
10/31/2002,300.334991,,,-109.198997,,191.135994,,-174.994995,,,,,,16.141001,-103.751999,,,,,0.0,103.751999,-87.610998,-4.061,-91.671997,0.0,,,-91.671998,0.0,-91.671997,0.0,0.0,-91.671997,-91.671997,,364.884003,-0.25,-0.25,0.04,364.884003,-0.25,-0.25,0.04,
01/31/2003,259.971008,,,-97.564003,,162.407005,,-168.572006,,,,,,-6.165,-6.189,,,,,0.0,6.189,-12.354,0.466,-11.888,0.0,,,-11.888,0.0,-11.888,0.0,0.0,-11.888,-11.888,,368.075012,-0.03,-0.03,0.0,368.075012,-0.03,-0.03,0.0,
04/30/2003,275.96701,,,-108.771004,,167.196007,,-181.029999,,,,,,-13.834,-21.15,,0.0,,,0.0,21.15,-34.983999,6.372,-28.612,0.0,,,-28.611999,0.0,-28.612,0.0,0.0,-28.612,-28.612,,368.746002,-0.08,-0.08,-0.02,368.746002,-0.08,-0.08,-0.02,
07/31/2003,282.80899,,,-107.476997,,175.331993,,-169.026993,,,,,,6.305,-30.066999,,,,,0.0,30.066999,-23.762,11.362,-12.4,0.0,,,-12.399999,0.0,-12.4,0.0,0.0,-12.4,-12.4,,371.484009,-0.03,-0.03,0.02,371.484009,-0.03,-0.03,0.02,
10/31/2003,286.748993,,,-124.905998,,161.842995,,-156.917999,,,,,,4.925,11.165,,,,,0.0,-11.165,16.09,-125.094002,-109.003998,0.0,,,-109.004002,0.0,-109.003998,0.0,0.0,-109.003998,-109.003998,,373.876007,-0.29,-0.29,0.05,373.876007,-0.29,-0.29,0.05,
01/31/2004,267.106995,,,-94.875999,,172.230995,,-158.225006,,,,,,14.006,2.477,,0.0,,,0.0,-2.477,16.483,-6.348,10.135,0.0,,,10.135,0.0,10.135,0.0,,10.135,10.135,,380.105988,0.03,0.03,0.03,392.110992,0.03,0.03,0.03,
04/30/2004,293.556,,,-106.442001,,187.113998,,-169.891998,,,,,,17.222,-2.385,,0.0,,,0.0,2.385,14.837,-4.454,10.383,0.0,,,10.383,0.0,10.383,-25.782,,-15.398999,-15.398999,,384.528015,-0.04,-0.04,0.03,384.528015,-0.04,-0.04,0.03,
07/31/2004,291.096985,,,-103.956001,,187.140984,,-168.578995,,,,,,18.562,10.232,,0.0,,,0.0,-10.232,28.794001,-5.389,23.405001,0.0,,,23.405001,0.0,23.405001,-0.189,,23.216001,23.216001,,383.399994,0.06,0.06,0.04,397.776001,0.06,0.06,0.04,
10/31/2004,314.157,,,-110.405,,203.752,,-166.924,,,,,,36.828,-21.968,,0.0,,,0.0,21.968,14.86,-1.595,13.265,0.0,,,13.265,0.0,13.265,-0.125,0.0,13.14,13.14,,376.367,0.03,0.03,0.06,438.317,0.03,0.03,0.06,
01/31/2005,290.127991,,,-112.051003,,178.076988,,-171.242004,,,,,,6.835,447.765015,,0.0,,,0.0,-447.765015,454.600015,-59.438999,395.161011,0.0,,,395.161016,0.0,395.161011,-0.125,-4.145,390.891011,390.891011,,377.256989,1.04,1.04,0.03,435.46701,0.9,0.9,0.03,
