Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,545.338989,106.752996,19.247999,87.504997,121.393997,,,72.947998,,,,,6.208,,,,,307.303009,223.315002,,,0.0,14.721,,,,,14.721,238.036002,,44.257,44.257,,,,,,,,,41.103001,,,41.103001,85.360001,5.896,,,,10.51,,,10.51,16.406,101.766001,0.0,29.479,,,-22.195,,433.868004,441.152004,2.421,443.573004,545.339005,
12/31/1989,565.356995,122.315001,20.079,102.236,123.194,,,72.901001,,,,,4.211,,,,,322.621002,228.121002,,,0.0,14.615,,,,,14.615,242.736002,,43.646999,43.646999,,,,,,,,,40.829998,,,40.829998,84.476997,8.869,,,,10.882,,,10.882,19.751,104.227998,0.0,29.950001,,,-23.190001,,451.760008,458.520008,2.609,461.129008,565.357006,
03/31/1990,562.414978,119.904999,8.166,111.738998,125.247002,,,71.546997,,,,,1.703,,,,,318.402008,220.419006,,,0.0,23.594,,,,,23.594,244.013006,,43.182999,43.182999,,,,,,,,,37.485001,,,37.485001,80.667999,8.765,,,,10.167,,,10.167,18.932,99.599999,0.0,30.451,,,-23.061001,,453.256008,460.646008,2.169,462.815007,562.415007,
06/30/1990,606.898987,143.720004,7.81,135.910004,136.632004,,,71.831001,,,,,2.924,,,,,355.106995,228.968002,483.494995,-254.526993,0.0,22.823999,,,,,22.823999,251.792001,,52.033001,52.033001,,,,1.373,,,,,56.543996,,,56.543996,109.949997,8.046,,,,5.011,,,5.011,13.057,123.006997,0.0,31.176001,,,-27.167,,477.271004,481.280005,2.612,483.892005,606.899002,
09/30/1990,652.903015,143.097,10.041,133.056,150.104996,,,81.436996,,,,,5.199,,,,,379.838013,248.947998,,,0.0,24.117001,,,,,24.117001,273.064999,,63.769001,63.769001,,,,,,,,,58.351002,,,58.351002,122.120003,7.921,,,,3.574,,,3.574,11.495,133.615003,0.0,31.896999,,,-30.613001,,515.221003,516.505001,2.783,519.288001,652.903004,
12/31/1990,668.734009,151.784004,6.917,144.867004,145.541,,,84.440002,,,,,6.539,,,,,388.303986,254.996994,,,0.0,25.433001,,,,,25.433001,280.429995,,60.139999,60.139999,,,,,,,,,60.806999,,,60.806999,120.946999,7.475,,,,3.494,,,3.494,10.969,131.915998,0.0,32.610001,,,-30.493,,532.102985,534.219986,2.598,536.817986,668.733984,
03/31/1991,670.150024,122.688004,8.569,114.119003,155.020996,,,85.718002,,,,,6.52,,,,,369.946991,257.920013,,,0.0,42.283001,,,,,42.283001,300.203014,,63.563999,63.563999,,,,,,,,,57.879002,,,57.879002,121.443001,9.675,,,,3.066,,,3.066,12.741,134.184001,0.0,33.394001,,,-30.403,,530.275986,533.266987,2.699,535.965987,670.149988,
06/30/1991,709.695984,149.569997,15.551,134.018997,157.789001,,,83.570999,,,,,4.399,,,,,395.32901,280.760986,601.528015,-320.766998,0.0,33.605999,,,,,33.605999,314.366985,,74.276001,74.276001,,,,1.439,,,,,68.064998,,,68.064998,143.779999,9.136,,,,3.233,,,3.233,12.369,156.148999,0.0,37.216999,,,-30.649,,544.174024,550.742023,2.805,553.547023,709.696022,
09/30/1991,725.190979,142.687995,12.818,129.869995,162.164993,,,86.901001,,,,,5.467,,,,,397.221008,297.380005,,,0.0,30.59,,,,,30.59,327.970005,,73.660004,73.660004,,,,,,,,,57.270996,,,57.270996,130.931,10.777,,,,1.716,,,1.716,12.493,143.424,0.0,38.412998,,,-30.879,,571.094027,578.628025,3.139,581.767025,725.191025,
12/31/1991,773.372009,162.979998,13.754,149.225998,161.600998,,,89.972,,,,,6.909,,,,,421.462006,320.984009,,,0.0,30.926001,,,,,30.926001,351.910009,,75.818001,75.818001,,,,,,,,,62.762001,,,62.762001,138.580002,10.596,,,,1.996,,,1.996,12.592,151.172002,0.0,42.506001,,,-31.169001,,607.929987,619.266987,2.933,622.199987,773.371989,
03/31/1992,764.021973,156.300998,7.728,148.572998,155.541,,,90.480003,,,,,5.214,,,,,407.536011,325.01001,,,0.0,31.476,,,,,31.476,356.48601,,71.653999,71.653999,,,,,,,,,59.235008,,,59.235008,130.889008,10.251,,,,1.45,,,1.45,11.701,142.590008,0.0,43.509998,,,-31.159,,606.098026,618.449024,2.983,621.432024,764.022032,
06/30/1992,849.689026,157.156997,27.764999,129.391998,174.537994,,,93.718002,,,,,11.064,,,,,436.47699,362.718994,758.708008,-395.989014,0.0,50.493,,,,,50.493,413.211994,,83.119003,83.119003,,,,1.249,,,,,83.840997,,,83.840997,168.209,7.949,,,,9.309,,,9.309,17.258,185.467,0.0,38.999001,,,-31.040001,,652.430016,660.389016,3.833,664.222016,849.689016,
10/01/1992,874.627991,168.653002,20.865999,147.787003,176.867996,,,101.536003,,,,,13.906,,,,,460.963013,370.546997,,,0.0,43.118,,,,,43.118,413.664997,,79.897003,79.897003,,,,,,,,,82.037994,,,82.037994,161.934998,7.915,,,,9.382,,,9.382,17.297,179.231997,0.0,39.902,,,-30.966999,,682.560017,691.495018,3.901,695.396018,874.628016,
12/31/1992,852.843994,174.222,27.806,146.416,162.740005,,,96.903,,,,,12.882,,,,,446.747009,365.136993,,,0.0,40.959999,,,,,40.959999,406.096992,,64.088997,64.088997,,,,,,,,,82.146996,,,82.146996,146.235992,7.812,,,,8.944,,,8.944,16.756,162.991992,0.0,41.765999,,,-31.323999,,675.738001,686.18,3.672,689.852,852.843993,
03/31/1993,884.932007,185.008997,26.601999,158.406998,175.625,,,98.527,,,,,12.555,,,,,471.716003,370.658997,,,0.0,42.556999,,,,,42.556999,413.215996,,65.632004,65.632004,,,,,,,,,84.179001,,,84.179001,149.811005,7.658,,,,8.665,,,8.665,16.323,166.134005,0.0,49.922001,,,-31.247,,696.265005,714.940006,3.858,718.798006,884.932011,
06/30/1993,961.775024,186.053005,27.16,158.893005,193.192001,,,104.487999,,,,,16.483999,,,,,500.21701,385.828003,854.177002,-468.348999,0.0,75.730003,,,,,75.730003,461.558006,,79.223,79.223,,,,0.35,,,,,100.925993,,,100.925993,180.498993,7.51,,,,18.261,,,18.261,25.771,206.269993,0.0,50.319,,,-31.107,,732.442022,751.654022,3.851,755.505022,961.775015,
09/30/1993,989.19397,194.891994,20.02,174.871994,196.671005,,,111.194,,,,,23.337999,,,,,526.094971,395.631989,,,0.0,67.467003,,,,,67.467003,463.098991,,82.039001,82.039001,,,,,,,,,95.813004,,,95.813004,177.852005,7.554,,,,18.52,,,18.52,26.074,203.926005,0.0,50.852001,,,-31.104,,760.93597,780.683971,4.584,785.267972,989.193977,
12/31/1993,985.163025,224.176003,13.113,211.063004,178.421005,,,108.066002,,,,,21.386,,,,,532.049011,392.730988,,,0.0,60.382999,,,,,60.382999,453.113987,,76.737,76.737,,,,,,,,,92.813004,,,92.813004,169.550003,7.534,,,,18.663,,,18.663,26.197,195.747003,0.0,56.483002,,,-31.667,,759.841988,784.65799,4.758,789.415989,985.162992,
03/31/1994,1041.052979,237.049,16.910999,220.138,191.945007,,,112.848999,,,,,21.938,,,,,563.781006,415.483002,,,0.0,61.789001,,,,,61.789001,477.272003,,81.176003,81.176003,,,,,,,,,99.208,,,99.208,180.384003,7.512,,,,18.944,,,18.944,26.456,206.840003,0.0,57.630001,,,-31.653,,803.351974,829.328976,4.884,834.212976,1041.052979,
06/30/1994,1138.516968,228.926004,19.309,209.617004,216.865997,,,113.265999,,,,,27.554001,,,,,586.612,440.994995,1000.393982,-559.398987,0.0,110.910004,,,,,110.910004,551.904999,,96.658997,96.658997,,,,0.184,,,,,108.551,,,108.551,205.393997,7.35,,,,40.974998,,,40.974998,48.324998,253.718995,0.0,59.751999,,,-31.749001,,853.611001,881.613999,3.184,884.797999,1138.516994,
09/30/1994,1163.35498,244.496994,21.554001,222.942993,221.834,,,120.739998,,,,,26.667,,,,,613.737976,451.25,,,0.0,98.366997,,,,,98.366997,549.616997,,92.714996,92.714996,,,,0.0,,,,,105.900009,,,105.900009,198.615005,7.373,,,,42.022999,,,42.022999,49.395999,248.011004,0.0,60.349998,,,-31.615,,884.744028,913.479027,1.865,915.344027,1163.355031,
12/31/1994,1206.990967,248.666996,23.174,225.492996,224.376007,,,124.469002,,,,,25.820999,,,,,623.333008,467.411987,,,0.0,116.246002,,,,,116.246002,583.65799,,97.047997,97.047997,,,,,,,,,119.241997,,,119.241997,216.289993,7.35,,,,42.657001,,,42.657001,50.007001,266.296995,0.0,70.336998,,,-31.754999,,899.885004,938.467003,2.227,940.694003,1206.990998,
