Date,Level 1 Assets,Total FV Assets,Level 1 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2010,22.6,22.6,0.986038,0.986038,0.320704,0.320704,
12/31/2011,13.6,13.6,0.858586,0.858586,0.205438,0.205438,
09/30/2012,10.0,10.0,0.374251,0.374251,0.125897,0.125897,
