Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1990,109.530998,8.981,8.981,0.0,19.747999,,,4.591,,,,,5.867,,,,39.187,46.702,55.414001,-8.712,0.0,23.642,,,,23.642,70.344,,16.518,16.518,,,17.618999,,,,,,10.661001,,,10.661001,44.798,10.392,,,,,13.078,,,,,,13.078,23.47,68.268001,0.0,36.396999,,,0.0,,4.866,41.263,0.0,41.263,109.531,
03/31/1991,97.816002,1.375,1.375,0.0,6.692,,,7.838,,,,,1.177,,,,17.082001,63.293999,65.208,-1.914,0.0,17.440001,,,,17.440001,80.733999,,6.015,6.015,,,14.268,,,,,,5.261001,,,5.261001,25.544001,8.211,,,,,17.802999,,,,,,17.802999,26.014,51.558001,0.0,45.176998,,,0.0,,1.081,46.257998,0.0,46.257998,97.815999,
06/30/1991,112.720001,15.176,15.176,0.0,6.396,,,2.127,,,,,2.651,,,,26.35,66.462997,67.662003,-1.199,0.0,19.907,,,,19.907,86.369997,,6.179,6.179,,,5.414,,,,,,4.319,,,4.319,15.912,7.157,,,,,19.517,,,,,,19.517,26.674,42.586,0.0,71.485001,,,0.0,,-1.351,70.134001,0.0,70.134001,112.720001,
09/30/1991,126.443001,8.241,8.241,0.0,9.027,,,3.44,,,,,2.55,,,,23.257999,70.32,72.434998,-2.115,0.0,32.865002,,,,32.865002,103.185001,,5.507,5.507,,,4.894,,,,,,6.146001,,,6.146001,16.547001,12.097,,,,,20.051001,,,,,,20.051001,32.148001,48.695002,0.0,76.642998,,,0.0,,1.105,77.747998,0.0,77.747998,126.442999,
12/31/1991,177.630005,16.02,16.02,0.0,23.591,,,0.0,,,,,6.927,,,,46.537998,84.995003,96.856003,-11.861,0.0,46.097,,,,46.097,131.092003,,12.973,12.973,,,14.365,,,,,,14.4,,,14.4,41.737999,15.69,,,,,23.591,,,,,,23.591,39.280999,81.018998,0.0,90.195,,,0.0,,6.416,96.611,0.0,96.611,177.629998,
03/31/1992,153.095993,10.98,5.235,5.745,21.65,,,0.0,,,,,4.849,,,,37.479,87.574997,100.543999,-12.969,0.0,28.042,,,,28.042,115.616997,,12.979,12.979,,,14.846,,,,,,12.866002,,,12.866002,40.691002,14.815,,,,,21.101,,,,,,21.101,35.915999,76.607001,0.0,90.481003,,,0.0,,-13.992,76.489003,0.0,76.489003,153.096004,
06/30/1992,156.796997,7.152,5.762,1.39,22.264999,,,0.0,,,,,7.159,,,,36.576,90.089996,104.330002,-14.24,0.0,30.131001,,,,30.131001,120.220997,,12.26,12.26,,,8.092,,,,,,9.418,,,9.418,29.77,15.975,,,,,21.228001,,,,,,21.228001,37.203001,66.973001,0.0,101.387001,,,0.0,,-11.563,89.824001,0.0,89.824001,156.797003,
09/30/1992,157.449005,4.297,4.297,0.0,20.636999,,,0.0,,,,,7.718,,,,32.652,93.418999,107.607002,-14.188,0.0,31.378,,,,31.378,124.796999,,9.087,9.087,,,7.034,,,,,,10.192,,,10.192,26.313,16.615,,,,,22.531,,,,,,22.531,39.146,65.459,0.0,101.489998,,,0.0,,-9.5,91.989998,0.0,91.989998,157.448997,
12/31/1992,167.395996,5.598,5.598,0.0,24.233999,,,0.0,,,,,4.562,,,,34.394001,101.249001,116.641998,-15.393,0.0,31.753,,,,31.753,133.002001,,13.032,13.032,,,8.492,,,,,,6.361001,,,6.361001,27.885,18.452,,,,,23.804001,,,,,,23.804001,42.256001,70.141001,0.0,105.801003,,,0.0,,-8.546,97.255003,0.0,97.255003,167.396004,
03/31/1993,164.970001,4.851,4.851,0.0,22.622,,,0.0,,,,,4.614,,,,32.087002,101.484001,,,0.0,31.399,,,,31.399,132.883001,,10.75,10.75,,,5.665,,,,,,10.131,,,10.131,26.546,17.684,,,,,23.997999,,,,,,23.997999,41.681999,68.227999,0.0,104.737999,,,0.0,,-7.996,96.741999,0.0,96.741999,164.969998,
