Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,112.0,112.0,,,,,,,,,,
06/30/1993,2515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,,,139.0,139.0,,,,,,,,,,
09/30/1993,2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,156.0,156.0,,,,,,,,,,
12/31/1993,2601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,130.0,130.0,,,,,,,,,,
03/31/1994,2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,147.0,147.0,,234.199997,0.63,0.58,,234.199997,0.63,0.58,0.58,
06/30/1994,2725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,157.0,157.0,,234.199997,0.67,0.67,,234.199997,0.67,0.67,0.67,
09/30/1994,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,182.0,182.0,,234.199997,0.775,0.775,,234.199997,0.775,0.775,0.775,
12/31/1994,3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,158.0,158.0,,234.199997,0.675,0.675,,234.199997,0.675,0.675,0.675,
03/31/1995,3005,2424.0,,,,581.0,0.0,,,-1833.0,1833.0,,,,-975.0,,,,,,,,,197.0,,0.0,197.0,-56.0,141.0,0.0,,,141.0,-1.0,140.0,,,140.0,140.0,,234.199997,0.6,0.6,0.545,234.199997,0.6,0.6,0.545,
06/30/1995,2914,2264.0,,,,650.0,0.0,,,-2017.0,2017.0,,,,-771.0,,,,,,,,,126.0,,0.0,126.0,-20.0,106.0,0.0,,,106.0,-1.0,105.0,,,105.0,105.0,,234.199997,0.45,0.45,0.315,234.199997,0.45,0.45,0.315,
09/30/1995,3058,2402.0,,,,656.0,0.0,,,-1908.0,1908.0,,,,-927.0,,,,,,,,,223.0,,0.0,223.0,-50.0,173.0,0.0,,,173.0,0.0,173.0,,,173.0,173.0,,234.199997,0.74,0.74,0.66,234.199997,0.74,0.74,0.66,
12/31/1995,3173,2538.0,,,,635.0,0.0,,,-2011.0,2011.0,,,,-966.0,,,,,,,,,297.0,,0.0,297.0,-54.0,142.0,0.0,,,243.0,-1.0,141.0,,,141.0,141.0,,234.199996,0.6,0.6,0.52,234.199996,0.6,0.6,0.52,
03/31/1996,3278,2656.0,,,,622.0,0.0,,,-2041.0,2041.0,,,,-1123.0,,,,,,,,,114.0,,0.0,114.0,-18.0,96.0,0.0,,,96.0,0.0,96.0,0.0,,96.0,96.0,,234.399994,0.41,0.41,0.36,235.800003,0.405,0.405,0.36,
06/30/1996,3026,2403.0,,,,623.0,0.0,,,-2042.0,2042.0,,,,-805.0,,,,,,,,,179.0,,0.0,179.0,-36.0,143.0,0.0,,,143.0,0.0,143.0,0.0,,143.0,143.0,,234.399994,0.61,0.61,0.54,235.800003,0.605,0.605,0.54,
09/30/1996,2836,2388.0,,,,448.0,0.0,,,-2878.0,2878.0,,,,-823.0,,,,,,,,,-865.0,,0.0,-865.0,322.0,-543.0,0.0,,,-543.0,0.0,-543.0,0.0,,-543.0,-543.0,,234.399994,-2.315,-2.315,0.565,234.399994,-2.315,-2.315,0.565,
12/31/1996,3333,2629.0,,,,704.0,0.0,,,-1981.0,1981.0,,,,-1098.0,,,,,,,,,254.0,,0.0,254.0,-49.0,205.0,0.0,,,205.0,0.0,205.0,0.0,,205.0,205.0,,234.600006,0.875,0.875,0.825,236.800003,0.865,0.865,0.825,
03/31/1997,3118,2452.0,,,,666.0,0.0,,,-1958.0,1958.0,,,,-886.0,,,,,,,,,274.0,,0.0,274.0,-70.0,204.0,0.0,,,204.0,0.0,204.0,0.0,,204.0,204.0,,235.399994,0.865,0.865,0.76,238.199997,0.855,0.855,0.75,
06/30/1997,3142,2468.0,,,,674.0,0.0,,,-1928.0,1928.0,,,,-939.0,,,,,,,,,275.0,,368.0,643.0,-64.0,579.0,0.0,,,579.0,-5.0,574.0,0.0,,574.0,574.0,,236.0,2.43,2.43,0.875,238.800003,2.4,2.4,0.85,
09/30/1997,3306,2485.0,,,,821.0,0.0,,,-1929.0,1929.0,,,,-932.0,,,,,,,,,445.0,,0.0,445.0,-130.0,315.0,0.0,,,315.0,-16.0,299.0,0.0,,299.0,299.0,,236.5,1.26,1.26,0.77,239.5,1.25,1.25,0.76,
12/31/1997,3739,2918.0,,,,821.0,0.0,,,-2162.0,2162.0,,,,-1236.0,,,,,,,,,341.0,,0.0,341.0,-70.0,271.0,0.0,,,271.0,-16.0,255.0,0.0,,255.0,255.0,,236.0,1.08,1.08,0.87,238.800003,1.07,1.07,0.86,
03/31/1998,3673,2812.0,,,,780.0,81.0,,,-2074.0,1303.0,771.0,,,-1229.0,,,,,,,,,331.0,,55.0,386.0,-106.0,280.0,0.0,,,280.0,-16.0,264.0,0.0,0.0,264.0,264.0,,235.800003,1.12,1.12,0.619,239.100006,1.1,1.1,0.61,
06/30/1998,3493,2656.0,,,,763.0,74.0,,,-1998.0,1340.0,658.0,,,-1113.0,,,,,,,,,340.0,,0.0,340.0,-87.0,253.0,0.0,,,253.0,-17.0,236.0,0.0,0.0,236.0,236.0,,235.399994,1.0,1.0,0.79,239.100006,0.99,0.99,0.78,
09/30/1998,3640,2934.0,,,,706.0,,,,-2125.0,2125.0,,,,-1202.0,,,,,,,,,313.0,,0.0,313.0,-80.0,233.0,0.0,,,233.0,-19.0,214.0,0.0,0.0,214.0,214.0,,232.199997,0.92,0.92,0.92,235.600006,0.91,0.91,0.91,
