Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
09/30/1995,51.305,30.9,12.216,18.684,7.951,,,6.719,,,,,1.552,,,,,,47.122002,3.923,10.463,-6.54,0.0,,,,0.26,,,,,,0.26,4.183,,8.7,8.7,,,,0.186,,,,,6.127,,,6.127,15.013,0.0,,,,0.0,,,,,,0.0,0.0,15.013,0.015,63.931999,,,0.0,,-27.655001,36.291999,0.0,36.291999,51.304998,
12/31/1995,92.147003,68.394998,27.254999,41.139999,8.428,,,10.411,,,,,0.534,,,,,,87.767998,4.254,11.254,-7.0,0.0,,,,0.125,,,,,,0.125,4.379,,9.053,9.053,,,,0.098,,,,,10.615001,,,10.615001,19.766001,0.0,,,,0.0,,,,,,0.0,0.0,19.766001,0.0,97.293999,,,0.0,,-24.913,72.380999,0.0,72.380999,92.147,
03/31/1996,94.208,64.150999,16.073,48.077999,11.176,,,13.046,,,,,0.606,,,,,,88.978996,4.904,,,0.0,,,,0.325,,,,,,0.325,5.229,,8.726,8.726,,,,0.037,,,,,9.719001,,,9.719001,18.482,0.0,,,,0.0,,,,,,0.0,0.0,18.482,0.0,97.584999,,,0.0,,-21.858999,75.726,0.0,75.726,94.208,
06/30/1996,99.056,66.942,15.699,51.243,11.404,,,12.368,,,,,0.72,,,,,,91.433998,7.231,,,0.0,,,,0.391,,,,,,0.391,7.622,,10.016,10.016,,,,0.011,,,,,9.991999,,,9.991999,20.018999,0.0,,,,0.0,,,,,,0.0,0.0,20.018999,0.0,97.624001,,,0.0,,-18.587,79.037001,0.0,79.037001,99.056,
09/30/1996,103.865997,75.205,26.301001,48.903999,9.835,,,9.117,,,,,0.724,,,,,,94.880997,8.638,,,0.0,,,,0.347,,,,,,0.347,8.985,,8.655,8.655,,,,0.0,,,,,11.934001,,,11.934001,20.589001,0.0,,,,0.0,,,,,,0.0,0.0,20.589001,0.0,98.149002,,,0.0,,-14.872,83.277002,0.0,83.277002,103.866003,
12/29/1996,108.267998,74.288,19.323,54.965,11.885,,,9.63,,,,,1.684,,,,,,97.487,10.285,19.632,-9.347,0.0,,,,0.496,,,,,,0.496,10.781,,7.595,7.595,,,,0.0,,,,,12.863,,,12.863,20.458,0.0,,,,0.0,,,,,,0.0,0.0,20.458,0.0,98.233002,,,0.0,,-10.423,87.810002,0.0,87.810002,108.268002,
03/31/1997,107.771004,69.276001,13.875,55.401001,13.634,,,11.766,,,,,1.933,,,,,,96.609001,10.657,,,0.0,,,,0.505,,,,,,0.505,11.162,,6.721,6.721,,,,0.0,,,,,10.575,,,10.575,17.296,0.0,,,,0.0,,,,,,0.0,0.0,17.296,0.0,98.859001,,,0.0,,-8.384,90.475001,0.0,90.475001,107.771001,
06/30/1997,112.462997,71.386002,21.118,50.268002,16.250999,,,11.665,,,,,1.261,,,,,,100.563004,11.41,,,0.0,,,,0.49,,,,,,0.49,11.9,,7.529,7.529,,,,0.0,,,,,10.673,,,10.673,18.202,0.0,,,,0.0,,,,,,0.0,0.0,18.202,0.0,98.878998,,,0.0,,-4.618,94.260998,0.0,94.260998,112.462998,
09/30/1997,152.819,60.323,18.337,41.986,22.681,,,11.32,,,,,4.491,,,,,,98.815002,13.284,,,0.0,,,,40.720001,,,,,,40.720001,54.004001,,11.165,11.165,,,,0.0,,,,,39.627999,,,39.627999,50.792999,0.0,,,,0.0,,,,,,0.0,0.0,50.792999,0.0,99.836998,,,0.0,,2.189,102.025998,0.0,102.025998,152.818997,
