Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
02/28/1998,-2403,884,42,,-609,,,-609,-2720,,,,,,-103,,-103,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,
05/31/1998,-34751,847,62,,-18887,,,-18887,-16773,,,,,,-94,,-94,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,
08/31/1998,18002,653,54,,20209,,,20209,-2914,,,,,,-148,,-148,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,
11/27/1998,19214,44,84,,-761,,,-761,19847,,,,,-131.0,-131,,-131,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,19083.0,,,
02/26/1999,-47272,1007,97,,-754,,,-754,-47622,,,,,,-63,,-63,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,0.0,2861.0,
05/28/1999,45786,340,61,,1973,,,1973,43412,,,,,10.0,-133,,-133,143.0,143.0,,,,,,,,,,,,,0,2245.0,,3976.0,,,,,2639.0,2639.0,,,-4370.0,,48041.0,0.0,2886.0,
08/27/1999,-3821,638,71,,1010,,,1010,-5540,,,,,-53.0,-172,,-172,119.0,119.0,,,,,,,,,,,,,0,4620.0,-53.0,6404.0,,,,,2639.0,2639.0,,,-4370.0,,746.0,236.0,3032.0,
11/26/1999,-7282,723,108,,1760,,,1760,-9873,,,,,-288.0,-288,,-288,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-7570.0,227.0,3239.0,
02/25/2000,-4917,887,101,,-1081,,,-1081,-4824,,,,,-241.0,-292,,-292,51.0,51.0,,,,,,,,,,,,,0,4935.0,-54.0,4989.0,,,,,,,,,,,-223.0,260.0,3471.0,
05/26/2000,-4838,755,102,,981,,,981,-6676,,,,,-121.0,-291,,-291,170.0,170.0,,,,,,,,,,,,,0,11095.0,-108.0,11258.0,,,,,-55.0,,-55.0,,,,6136.0,920.0,4041.0,
08/25/2000,4730,824,119,,1150,,,1150,2637,,,,,-525.0,-407,,-407,-118.0,,-118.0,,,,,,,,,,,,0,6114.0,-163.0,6342.0,,,,,-65.0,,-65.0,,,,10319.0,410.0,4324.0,
11/24/2000,16160,601,164,,810,,,810,14585,,,,,-2769.0,-562,0.0,-562,-219.0,,-219.0,,,,0.0,,,,,,,,-1988,-28808.0,,-28281.0,,,,,-527.0,1.0,-528.0,0.0,0.0,,-15417.0,370.0,4574.0,
02/23/2001,-3448,768,196,,-2395,,,-2395,-2017,,,,,-528.0,-498,,-498,,,,,,,,,,,,,,,-30,4890.0,-58.0,5321.0,,,,,-373.0,,-373.0,,,,914.0,300.0,4769.0,
05/25/2001,-11654,577,209,,345,,,345,-12785,,,,,-420.0,-347,,-347,,,,,,,,,,,,,,,-73,15756.0,-116.0,16506.0,,,,,-634.0,,-634.0,,,,3682.0,524.0,4168.0,
