Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Intracompany Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,815.560974,804.991028,,,0.0,,,0.0,10.57,,-190.166,190.165997,205.520996,-15.355,0.0,,,625.394974,-331.492004,57.452,99.989998,59.007999,115.042,293.903015,-95.395998,,,0.0,,122.252998,121.176003,-0.712,1.789,-26.857,198.507017,-61.959,136.548004,0.0,,,136.548018,0.0,136.548004,-8.924,,127.624004,127.624004,,146.863998,0.87,0.87,0.87,146.863998,0.87,0.87,0.87,
06/30/1990,796.255981,791.221008,,,0.0,,,0.0,5.035,,-195.964996,195.964997,202.255997,-6.291,0.0,,,600.290985,-346.950012,60.240002,99.82,60.237,126.653,253.341003,-88.239002,,,0.0,,119.897003,119.464996,-0.934,1.366,-31.658001,165.102001,-47.339001,117.763,0.0,,,117.763,0.0,117.763,-8.884,,108.879001,108.879001,,146.878006,0.74,0.74,0.74,146.878006,0.74,0.74,0.74,
09/30/1990,893.424011,889.200989,,,0.0,,,0.0,4.223,,-214.417007,214.417006,204.587006,9.83,0.0,,,679.007004,-378.919006,75.453003,99.908997,70.304001,133.253006,300.088013,-84.887005,,,0.0,,118.022003,118.174004,-0.932,0.78,-33.134998,215.201008,-66.056,149.145004,0.0,,,149.145008,0.0,149.145004,-8.764,,140.381004,140.381004,,146.893997,0.95,0.95,0.95,146.893997,0.95,0.95,0.95,
12/31/1990,1071.040039,1063.376953,,,0.0,,,0.0,7.663,,-444.207001,444.207001,175.990997,268.216003,0.0,,,626.833038,-385.223999,86.383003,106.611,60.91,131.320007,241.608994,-90.135002,,,0.0,,118.329002,118.093002,-0.682,0.918,-28.194,151.473991,-40.471001,111.002998,0.0,,,111.002991,0.0,111.002998,-8.607,,102.395998,102.395998,,146.279999,0.7,0.7,0.7,146.279999,0.7,0.7,0.7,
03/31/1991,821.44397,811.97699,,,0.0,,,0.0,9.467,,-176.574005,176.574001,188.179001,-11.605,0.0,,,644.869965,-361.614014,66.459999,103.421997,66.358002,125.374001,283.256012,-90.013999,,,0.349,,116.376999,115.638,-0.537,1.276,-26.014,193.242013,-60.148998,133.093002,0.0,,,133.093015,0.0,133.093002,-8.344,,124.749002,124.749002,,146.925003,0.85,0.85,0.85,146.925003,0.85,0.85,0.85,
06/30/1991,877.369995,872.953979,,,0.0,,,0.0,4.416,,-210.270004,210.27,177.177002,33.092999,0.0,,,667.099991,-376.744995,77.294998,103.071999,63.027,133.350998,290.355011,-90.969998,,,0.468,,113.335999,112.811996,-0.72,1.244,-21.898001,199.385013,-63.860001,135.524994,0.0,,,135.525013,0.0,135.524994,-8.339,,127.185994,127.185994,,146.938995,0.87,0.87,0.87,146.938995,0.87,0.87,0.87,
09/30/1991,942.820007,938.067993,,,0.0,,,0.0,4.752,,-213.419998,213.419995,209.897995,3.522,0.0,,,729.400009,-383.421997,68.976997,103.143997,66.252998,145.048004,345.977997,-101.463999,,,0.327,,109.154999,108.762001,-0.504,0.897,-7.364,244.513998,-81.030998,163.483002,0.0,,,163.483,0.0,163.483002,-8.131,,155.352002,155.352002,,146.949005,1.06,1.06,1.06,146.949005,1.06,1.06,1.06,
12/31/1991,949.903015,941.270996,,,0.0,,,0.0,8.632,,-291.700989,291.700996,183.212997,108.487999,0.0,,,658.202026,-380.257996,76.938004,102.614998,43.035999,157.669006,277.944,-81.845997,,,0.315,,104.976997,104.592003,-0.431,0.816,-22.816,196.098003,-60.161999,135.936005,0.0,,,135.936004,0.0,135.936005,-8.018,,127.918005,127.918005,,148.718994,0.86,0.86,0.86,148.718994,0.86,0.86,0.86,
03/31/1992,895.827026,885.189026,,,0.0,,,0.0,10.638,,-203.240005,203.240004,172.397003,30.843,0.0,,,692.587021,-364.891998,65.796997,105.848,69.239998,124.007004,327.695007,-88.477999,,,0.234,,102.848999,102.390999,-0.497,0.955,-14.137,239.217008,-83.112,156.104996,0.0,,,156.105009,0.0,156.104996,-7.752,,148.352996,148.352996,,146.987,1.01,1.01,1.01,146.987,1.01,1.01,1.01,
06/30/1992,864.901978,858.643982,,,0.0,,,0.0,6.258,,-199.328003,199.328001,168.052002,31.275999,0.0,,,665.573975,-379.652008,72.678001,105.891998,63.622002,137.460007,285.921997,-87.156002,,,0.07,,102.081001,101.074997,-0.15,1.156,-14.855,198.765995,-72.991997,125.774002,0.0,,,125.773999,0.0,125.774002,-7.702,,118.072002,118.072002,,146.996002,0.8,0.8,0.8,146.996002,0.8,0.8,0.8,
09/30/1992,911.546021,908.038025,,,0.0,,,0.0,3.508,,-216.656998,216.656996,186.744995,29.912001,0.0,,,694.889023,-366.182007,61.743,105.957001,64.476997,134.005005,328.707001,-83.326002,,,0.235,,98.997002,98.664001,-0.499,0.832,-15.436,245.380999,-90.011002,155.369995,0.0,,,155.369997,0.0,155.369995,-7.599,,147.770995,147.770995,,147.001999,1.01,1.01,1.01,147.001999,1.01,1.01,1.01,
12/31/1992,885.867981,879.158997,,,0.0,,,0.0,6.709,,-211.246994,211.247002,177.177002,34.07,0.0,,,674.620987,-361.031006,62.584999,101.966003,54.672001,141.807999,313.589996,-97.680998,,,0.824,,92.377998,90.402,-0.25,2.226,6.127,215.908998,-65.111,150.798004,0.0,,,150.797998,0.0,150.798004,-7.445,,143.353004,143.353004,,147.787003,0.97,0.97,0.97,147.787003,0.97,0.97,0.97,
03/31/1993,874.846985,863.570007,,,0.0,,,0.0,11.277,,-203.201996,203.202003,175.048004,28.153999,0.0,,,671.644989,-373.80899,61.731998,110.316002,67.745003,134.016006,297.835999,-83.947003,,,0.375,,91.856003,91.735001,-0.385,0.506,-7.534,213.888996,-78.685997,135.203003,0.0,,,135.202999,0.0,135.203003,-8.143,,127.060003,127.060003,,147.020996,0.86,0.86,0.86,147.020996,0.86,0.86,0.86,
06/30/1993,835.171021,830.531006,,,0.0,,,0.0,4.64,,-201.156006,201.156006,182.199005,18.957001,0.0,,,634.015015,-388.29599,71.306999,108.580002,65.152,143.257004,245.718994,-80.935998,,,0.393,,89.725998,89.283997,-0.402,0.844,-8.397,164.782997,-62.118999,102.664001,0.0,,,102.663997,0.0,102.664001,-7.865,,94.799002,94.799002,,147.026993,0.64,0.64,0.64,147.026993,0.64,0.64,0.64,
09/30/1993,976.247986,972.268982,,,0.0,,,0.0,3.979,,-232.199005,232.199001,206.041,26.158001,0.0,,,744.048981,-396.112,57.900002,105.862,67.514999,164.835007,347.937012,-73.651997,,,0.489,,80.407997,78.677002,-0.501,2.232,-6.267,274.285015,-120.919998,153.365005,0.0,,,153.365017,0.0,153.365005,-7.415,,145.950006,145.950006,,147.033005,0.99,0.99,0.99,147.033005,0.99,0.99,0.99,
12/31/1993,868.945007,861.349976,,,0.0,,,0.0,7.595,,-205.317001,205.317006,186.839005,18.478001,0.0,,,663.628006,-413.70401,60.209999,107.753998,61.036999,184.703003,249.923996,-78.040998,,,0.798,,75.809998,74.612,-0.148,1.346,3.029,171.882998,-41.212002,130.671005,0.0,,,130.670996,0.0,130.671005,-7.414,,123.257005,123.257005,,147.042007,0.85,0.85,0.85,147.042007,0.85,0.85,0.85,
03/31/1994,899.588989,887.14502,,,0.0,,,0.0,12.444,,-238.835999,238.835999,195.029999,43.806,0.0,,,660.752991,-401.149994,56.171001,115.983002,69.314003,159.682007,259.602997,-76.230003,,,0.443,,77.245003,72.561996,-0.31,4.993,-0.572,183.372994,-70.502998,112.870003,0.0,,,112.869996,0.0,112.870003,-7.412,,105.458003,105.458003,,147.050003,0.72,0.72,0.72,147.050003,0.72,0.72,0.72,
06/30/1994,872.690002,867.588013,,,0.0,,,0.0,5.102,,-222.697998,222.698006,175.630005,47.068001,0.0,,,649.992004,-424.783997,66.634003,120.064003,71.239998,166.845993,225.207993,-74.457999,,,0.55,,75.960999,72.278999,-0.548,4.23,-0.953,150.749994,-63.466999,87.282997,0.0,,,87.282995,0.0,87.282997,-7.411,,79.871997,79.871997,,147.054001,0.54,0.54,0.54,147.054001,0.54,0.54,0.54,
09/30/1994,944.388977,941.117981,,,0.0,,,0.0,3.271,,-234.115005,234.115005,179.587006,54.528,0.0,,,710.273972,-433.125,65.177002,122.695999,59.323002,185.929001,277.148987,-76.511999,,,0.581,,73.056999,69.197998,-0.502,4.361,4.036,200.636988,-76.255997,124.380997,0.0,,,124.380991,0.0,124.380997,-7.409,,116.971997,116.971997,,145.669998,0.8,0.8,0.8,145.669998,0.8,0.8,0.8,
12/31/1994,802.672974,795.640991,,,0.0,,,0.0,7.032,,-140.513,140.513,140.513,,0.0,,,662.159974,-434.067993,74.427002,117.671997,55.997002,185.972,228.091995,-76.144996,,,0.11,,67.436996,68.141998,-0.705,,8.818,151.946999,-56.571999,95.375,0.0,,,95.375,0.0,95.375,-7.408,,87.967,87.967,,144.860001,0.61,0.61,0.61,144.860001,0.61,0.61,0.61,
03/31/1995,880.273987,870.387024,,,0.0,,,0.0,9.887,,-204.772003,204.772003,169.660004,35.112,0.0,,,675.501984,-399.286987,52.471001,125.043999,62.645,159.126999,276.214996,-84.743,,,0.315,,74.737,71.223,-0.387,3.901,10.321,191.471997,-77.982002,113.489998,0.0,,,113.489994,0.0,113.489998,-7.407,,106.082998,106.082998,,144.863998,0.73,0.73,0.73,144.863998,0.73,0.73,0.73,
06/30/1995,855.955017,851.213013,,,0.0,,,0.0,4.742,,-208.279007,208.278999,175.531998,32.747002,0.0,,,647.67601,-416.743988,59.903,124.629997,61.459,170.751999,230.932007,-74.462003,,,0.268,,72.634003,70.875,-0.554,2.313,2.096,156.470004,-64.914001,91.556,0.0,,,91.556003,0.0,91.556,-7.404,,84.152,84.152,,144.876007,0.58,0.58,0.58,144.876007,0.58,0.58,0.58,
09/30/1995,1032.28894,1029.041016,,,0.0,,,0.0,3.248,,-244.985992,244.986004,193.675003,51.311001,0.0,,,787.302948,-473.220001,66.405998,125.383003,64.352997,217.078003,314.083008,-77.897,,,0.369,,73.306,72.202003,-0.594,1.698,4.96,236.186008,-88.230003,147.955994,0.0,,,147.956005,0.0,147.955994,-6.544,,141.411994,141.411994,,144.906006,0.98,0.98,0.98,144.906006,0.98,0.98,0.98,
12/31/1995,867.026001,860.807983,,,0.0,,,0.0,6.218,,-191.487,191.487006,177.100006,14.387,0.0,,,675.539001,-467.76001,61.334999,125.554001,63.484001,217.386993,207.779007,-75.002997,,,0.456,,73.630997,72.611,-0.734,1.754,1.828,132.77601,-52.126999,80.649002,0.0,,,80.649011,0.0,80.649002,-6.382,,74.267002,74.267002,,145.119003,0.51,0.51,0.51,145.119003,0.51,0.51,0.51,
03/31/1996,909.578979,898.870972,,,0.0,,,0.0,10.708,,-199.162994,199.163008,175.667007,23.496,0.0,,,710.415985,-447.768005,73.611,132.011002,66.761002,175.384995,262.64801,-70.427996,,,0.388,,72.186996,71.315002,-0.702,1.574,-1.371,192.220014,-76.487,115.733002,0.0,,,115.733014,0.0,115.733002,-7.293,,108.440001,108.440001,,145.119995,0.75,0.75,0.75,145.119995,0.75,0.75,0.75,
