Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2007,633.117,0.0,0.0,633.117,0.0,0.0,0.0,0.0,0.0,0.0,633.117,-445.095,328.305,69.699,47.091,,188.022,-308.366,,,2.028,,67.893,68.739,-0.846,0.0,242.501,-120.344,-39.717,-160.061,0.0,,,-160.061,0.0,-160.061,-0.056,0.0,-160.117,-160.117,,160.0,,,,160.0,,,,
12/31/2007,553.821,0.0,0.0,553.821,0.0,0.0,0.0,0.0,0.0,0.0,553.821,-443.39,336.175,64.872,42.343,,110.431,-332.286,,,2.562,,70.365,71.456,-1.091,0.0,264.483,-221.855,-12.661,-234.516,0.0,,,-234.516,0.0,-234.516,-0.056,0.0,-234.572,-234.572,,,,,,,,,,
03/31/2008,506.815,,,506.815,,,,,,,,-428.561,,65.234,52.066,311.261,78.254,-814.784,,,2.541,1.658,68.6,69.968,-1.368,,750.383,-736.53,4.102,-732.428,,,,-732.428,,-732.428,-0.056,,-732.484,-732.484,,160.0,-4.58,-4.58,0.04,160.0,-4.58,-4.58,0.04,
06/30/2008,589.369,,,589.369,,,,,,,,-448.952,,68.748,49.629,330.575,140.417,-64.697,,,3.387,2.961,68.341,70.066,-1.725,,2.704,75.72,-30.166,45.554,,,,45.554,,45.554,-0.056,,45.498,45.498,0.52,159.932,0.28,0.28,0.28,159.976,0.28,0.28,0.28,
09/30/2008,672.193,,,672.193,,,,,,,,-461.583,,69.977,49.38,342.226,210.61,-64.848,,,4.442,0.786,69.714,72.684,-2.97,,0.362,145.762,-57.549,88.213,,,,88.213,,88.213,-0.055,,88.158,88.158,0.29705,159.949,0.55,0.55,0.55,160.0,0.55,0.55,0.55,
12/31/2008,568.551,0.0,0.0,568.551,0.0,0.0,0.0,0.0,0.0,0.0,568.551,-440.997,,73.197,48.065,319.735,127.554,-62.874,,,4.127,0.285,70.329,72.437,-2.108,0.0,-3.043,64.68,-28.215,36.465,0.0,,,36.465,0.0,36.465,-0.056,0.0,36.409,36.409,,159.99,0.23,0.23,0.23,160.045,0.23,0.23,0.23,
03/31/2009,550.17,,,550.17,,,,,,,,-885.54,,68.843,52.497,764.2,-335.37,-67.138,66.764,-3.343,3.343,,70.107,71.979,-1.872,,0.374,-402.508,-10.571,-413.079,0.0,0.0,0.0,-413.079,,-413.079,,0.0,-413.079,29.743,442.822,160.011,-2.58,-2.58,0.185881,160.011,-2.58,-2.58,0.185881,
06/30/2009,612.74,,,612.74,,,,,,,,-455.548,,73.242,51.699,330.607,157.192,-71.066,68.122,-3.575,3.575,,71.697,73.688,-1.991,,2.944,86.126,-34.137,51.989,0.0,0.0,0.0,51.989,,51.989,,0.0,51.989,51.999,0.01,163.229,0.32,0.32,0.318565,163.301,0.32,0.32,0.318565,
09/30/2009,679.956,,,679.956,,,,,,,,-465.55,,74.854,50.618,340.078,214.406,-72.605,70.16,-2.29,2.29,,72.45,74.124,-1.674,,2.445,141.801,-50.165,91.636,0.0,0.0,0.0,91.636,,91.636,,0.0,91.636,91.1264,-0.5096,174.595,0.52,0.52,0.52193,174.691,0.52,0.52,0.517083,
12/31/2009,597.837,,,597.837,,,,,,,,-460.456,,77.301,44.448,338.707,137.381,-74.465,72.789,-2.278,2.278,,75.067,76.754,-1.687,,1.676,62.916,-26.545,36.371,0.0,0.0,0.0,36.371,,36.371,0.0,0.0,36.371,36.584,0.213,174.631,0.21,0.21,0.209493,174.778,0.21,0.21,0.209493,
03/31/2010,566.762,,,566.762,,,,,,,,-442.113,,82.056,54.486,305.571,124.649,-76.3,75.168,-2.146,2.146,,77.314,78.696,-1.382,,1.132,48.349,-18.669,29.68,-1.128,-1.128,0.0,30.808,0.0,30.808,,0.0,30.808,29.609,-0.071,174.72,0.18,0.17,0.169465,174.796,0.18,0.17,0.169465,
