Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,646.153992,8.191,8.191,0,153.399002,,,114.000999,,,,,18.115,,,,,293.705994,331.618011,,,1.385,19.445,,,,,,19.445,352.448011,,132.567993,132.567993,,,,6.558,,,,,,37.649001,,,37.649001,176.774994,119.100998,,,,,66.829002,,,,66.829002,185.93,362.704994,0.0,100.863998,,,-129.996994,,294.855988,265.722992,17.726,283.448992,646.153986,
06/30/1990,671.176025,8.452,8.452,0,165.453995,,,117.379997,,,,,18.337,,,,,309.622986,342.786011,,,1.192,17.575001,,,,,,17.575001,361.553012,,134.557007,134.557007,,,,6.738,,,,,,35.717994,,,35.717994,177.013,132.389999,,,,,67.603996,,,,67.603996,199.993996,377.006996,0.0,100.863998,,,-129.998001,,304.772003,275.638,18.531,294.169001,671.175997,
09/30/1990,693.789001,11.074,11.074,0,163.893005,,,132.660004,,,,,18.391001,,,,,326.018005,349.217987,,,1.017,17.535999,,,,,,17.535999,367.770986,,130.660004,130.660004,,,,7.6,,,,,,37.316,,,37.316,175.576004,144.363007,,,,,68.347,,,,68.347,212.710007,388.286011,0.0,100.863998,,,-130.876999,,315.830994,285.817993,19.684999,305.502993,693.789003,
12/31/1990,756.476013,9.172,9.172,0,168.921997,,,144.626999,,,,,21.355,,,,,344.075989,370.388,597.677002,-227.289001,0.974,41.037998,,,,,,41.037998,412.399998,,143.768997,143.768997,,,,8.155,,,,,,41.986998,,,41.986998,193.910995,171.095001,,,,,76.672997,,,,76.672997,247.767998,441.678993,0.0,103.397003,,,-132.229996,,324.474991,295.641998,19.155001,314.796999,756.475992,
03/31/1991,742.5,4.549,4.549,0,161.841995,,,139.651993,,,,,21.23,,,,,327.27301,373.506989,,,1.61,40.110001,,,,,,40.110001,415.226989,,127.142998,127.142998,,,,8.093,,,,,,41.366999,,,41.366999,176.602997,171.587006,,,,,76.058998,,,,76.058998,247.646004,424.249001,0.0,103.324997,,,-132.229996,,327.269989,298.36499,19.886,318.25099,742.49999,
06/30/1991,721.518005,3.312,3.312,0,164.912994,,,124.945999,,,,,21.421,,,,,314.59201,367.165009,,,1.351,38.41,,,,,,38.41,406.926008,,113.206001,113.206001,,,,7.17,,,,,,46.448996,,,46.448996,166.824997,158.054993,,,,,75.469002,,,,75.469002,233.523994,400.348991,0.0,103.324997,,,-132.229996,,330.194992,301.289993,19.879,321.168993,721.517984,
09/30/1991,718.645996,9.929,9.929,0,155.102997,,,127.692001,,,,,20.356001,,,,,313.079987,366.200012,,,1.221,38.145,,,,,,38.145,405.566013,,117.705002,117.705002,,,,7.92,,,,,,45.852003,,,45.852003,171.477005,141.292999,,,,,75.230003,,,,75.230003,216.523003,388.000008,0.0,103.324997,,,-132.229996,,339.000992,310.095993,20.549999,330.645992,718.646,
12/31/1991,714.937012,1.392,1.392,0,156.835007,,,131.317001,,,,,18.226,,,,,307.769989,369.855988,614.867981,-245.011993,0.0,37.311001,,,,,,37.311001,407.166989,,112.723999,112.723999,,,,7.887,,,,,,46.525003,,,46.525003,167.136002,128.850006,,,,,68.067001,,,,68.067001,196.917007,364.053009,0.0,103.708,,,-132.229996,,357.748001,329.226005,21.658001,350.884006,714.937015,
03/31/1992,732.916016,10.43,10.43,0,163.712006,,,134.459,,,,,17.375999,,,,,325.97699,369.868011,,,0.0,37.070999,,,,,,37.070999,406.939011,,121.322998,121.322998,,,,9.521,,,,,,45.040005,,,45.040005,175.884003,134.270996,,,,,68.164001,,,,68.164001,202.434998,378.319,0.0,105.082001,,,-132.229996,,361.113998,333.966003,20.631001,354.597004,732.916004,
06/30/1992,745.880981,8.182,8.182,0,170.828003,,,131.947006,,,,,19.122999,,,,,330.079987,378.643005,,,0.0,37.158001,,,,,,37.158001,415.801006,,124.339996,124.339996,,,,10.744,,,,,,43.041003,,,43.041003,178.125,134.572006,,,,,66.720001,,,,66.720001,201.292007,379.417007,0.0,105.082001,,,-132.229996,,371.895996,344.748001,21.716,366.464001,745.881008,
